editor_id,quest_name,outcome_stage,outcome,act_tags,deity,valence,intensity,magnitude,citation,formid
MS07,Lights Out!,300,Stopped Jaree-Ra so the Icerunner could dock safely,"protect_the_weak,uphold_law_justice",Stendarr,+,S,milestone,"T16 direct raw-file read: Save the Icerunner s300 FailQuest records Jaree-Ra dead and the Icerunner able to dock safely.",Skyrim.esm:023A64
MS07,Lights Out!,300,Stopped Jaree-Ra so the Icerunner could dock safely,"protect_the_weak,uphold_law_justice",Stuhn,+,m,small,"T16 primary ruling: stopping the planned wreck protects its trapped crew.",Skyrim.esm:023A64
MS07,Lights Out!,300,Stopped Jaree-Ra so the Icerunner could dock safely,"protect_the_weak,uphold_law_justice",Kynareth,+,m,small,"T16 primary ruling: the explicit result restores safe passage to a ship and its crew.",Skyrim.esm:023A64
MS07,Lights Out!,300,Stopped Jaree-Ra so the Icerunner could dock safely,"protect_the_weak,uphold_law_justice",Khenarthi,+,S,small,"T16 primary ruling: the explicit result protects imperilled travellers and restores their safe road.",Skyrim.esm:023A64
MS07,Lights Out!,300,Stopped Jaree-Ra so the Icerunner could dock safely,"protect_the_weak,uphold_law_justice",Zenithar,+,S,small,"T16 primary ruling: preventing the wreck safeguards lawful shipping from piracy.",Skyrim.esm:023A64
MS07,Lights Out!,300,Stopped Jaree-Ra so the Icerunner could dock safely,"protect_the_weak,uphold_law_justice",Akatosh,+,m,small,"T16 primary ruling: the pirate plot is stopped and public order restored.",Skyrim.esm:023A64
MS07,Lights Out!,300,Stopped Jaree-Ra so the Icerunner could dock safely,"protect_the_weak,uphold_law_justice",Mara,+,m,small,"T16 cross-generation keep: the explicit outcome protects the Icerunner's imperilled crew.",Skyrim.esm:023A64
MS07,Lights Out!,300,Stopped Jaree-Ra so the Icerunner could dock safely,"protect_the_weak,uphold_law_justice",Z'en,+,m,small,"T16 cross-generation keep: exposing and stopping the wrecking fraud restores proportionate justice to lawful shipping.",Skyrim.esm:023A64
MS07,Lights Out!,310,Persuaded Jaree-Ra to abandon the Icerunner wrecking plot,"mercy_spare,protect_the_weak",Stendarr,+,S,milestone,"T16 direct raw-file read: Save the Icerunner s310 CompleteQuest says the player persuaded Jaree-Ra to give up his plan.",Skyrim.esm:023A64
MS07,Lights Out!,310,Persuaded Jaree-Ra to abandon the Icerunner wrecking plot,"mercy_spare,protect_the_weak",Stuhn,+,C,milestone,"T16 primary ruling: a nonlethal resolution releases the intended victims from the wrecking scheme.",Skyrim.esm:023A64
MS07,Lights Out!,310,Persuaded Jaree-Ra to abandon the Icerunner wrecking plot,"mercy_spare,protect_the_weak",Mara,+,S,small,"T16 primary ruling: persuasion spares Jaree-Ra and protects the crew.",Skyrim.esm:023A64
MS07,Lights Out!,310,Persuaded Jaree-Ra to abandon the Icerunner wrecking plot,"mercy_spare,protect_the_weak",Kynareth,+,m,small,"T16 primary ruling: the explicit result restores safe passage to the ship.",Skyrim.esm:023A64
MS07,Lights Out!,310,Persuaded Jaree-Ra to abandon the Icerunner wrecking plot,"mercy_spare,protect_the_weak",Khenarthi,+,S,small,"T16 primary ruling: the explicit result protects imperilled travellers without bloodshed.",Skyrim.esm:023A64
MS07,Lights Out!,310,Persuaded Jaree-Ra to abandon the Icerunner wrecking plot,"mercy_spare,protect_the_weak",Zenithar,+,S,small,"T16 primary ruling: lawful shipping is preserved without participating in the pirate fraud.",Skyrim.esm:023A64
MS07,Lights Out!,320,Joined Jaree-Ra's marauders to plunder the Icerunner,"theft_burglary,exploit_cheat",Nocturnal,+,C,milestone,"T16 direct raw-file read: Save the Icerunner s320 CompleteQuest says the player joined Jaree-Ra and the marauders for loot.",Skyrim.esm:023A64
MS07,Lights Out!,320,Joined Jaree-Ra's marauders to plunder the Icerunner,"theft_burglary,exploit_cheat",Rajhin,+,S,milestone,"T16 primary ruling: joining the staged wreck is a deliberate high-value theft.",Skyrim.esm:023A64
MS07,Lights Out!,320,Joined Jaree-Ra's marauders to plunder the Icerunner,"theft_burglary,exploit_cheat",Baan Dar,+,m,small,"T16 primary ruling: the player exploits a contrived disaster for plunder, but without the reversal that would warrant a stronger Baan Dar beat.",Skyrim.esm:023A64
MS07,Lights Out!,320,Joined Jaree-Ra's marauders to plunder the Icerunner,"theft_burglary,exploit_cheat",Zenithar,-,C,milestone,"T16 primary ruling: piracy and staged wrecking attack honest trade directly.",Skyrim.esm:023A64
MS07,Lights Out!,320,Joined Jaree-Ra's marauders to plunder the Icerunner,"theft_burglary,exploit_cheat",Stendarr,-,S,small,"T16 primary ruling: the player knowingly helps prey on the ship and its crew.",Skyrim.esm:023A64
MS07,Lights Out!,320,Joined Jaree-Ra's marauders to plunder the Icerunner,"theft_burglary,exploit_cheat",Khenarthi,-,S,small,"T16 primary ruling: the scheme turns travellers into prey.",Skyrim.esm:023A64
MS07,Lights Out!,320,Joined Jaree-Ra's marauders to plunder the Icerunner,"theft_burglary,exploit_cheat",Z'en,-,m,small,"T16 cross-generation keep: the player knowingly participates in a wrecking fraud for stolen cargo.",Skyrim.esm:023A64
MS07,Lights Out!,330,Betrayed Jaree-Ra's marauders and kept the Icerunner loot,"deceit,theft_burglary,break_oath_betray",Nocturnal,+,S,milestone,"T16 direct raw-file read: Save the Icerunner s330 CompleteQuest says the player betrayed the marauders and took the loot.",Skyrim.esm:023A64
MS07,Lights Out!,330,Betrayed Jaree-Ra's marauders and kept the Icerunner loot,"deceit,theft_burglary,break_oath_betray",Rajhin,+,C,milestone,"T16 primary ruling: the player reverses the thieves' own scheme and escapes with its prize.",Skyrim.esm:023A64
MS07,Lights Out!,330,Betrayed Jaree-Ra's marauders and kept the Icerunner loot,"deceit,theft_burglary,break_oath_betray",Baan Dar,+,S,milestone,"T16 primary ruling: turning a predatory bargain back on the predators is a direct trickster reversal.",Skyrim.esm:023A64
MS07,Lights Out!,330,Betrayed Jaree-Ra's marauders and kept the Icerunner loot,"deceit,theft_burglary,break_oath_betray",Mephala,+,S,small,"T16 primary ruling: the route is resolved through an explicit concealed betrayal.",Skyrim.esm:023A64
MS07,Lights Out!,330,Betrayed Jaree-Ra's marauders and kept the Icerunner loot,"deceit,theft_burglary,break_oath_betray",Zenithar,-,C,milestone,"T16 primary ruling: betraying the pirates does not make the stolen cargo honest commerce.",Skyrim.esm:023A64
