"id","eventClass","deity_or_race","tier","expected_toast","expected_chronicle","expected_ledger","expected_timing","emit_site_hint","notes"
"tier.seeker","tier","ALL","Seeker","Y","Y","N","immediate","PDV__ManagerQuest.psc:7553 RecomputeTier - SendPrismaEventToast(""tier"",...) + SurfaceTransition(""tier"", deity.DeityName+"" ""+GetPublicTierBand(newTier), ""reach"", deity.DeityIndex, """", false, false)","Universal Seeker advance for every patron-capable deity. NotifyTierUp per-(deity,tier) one-shot guard prevents dupes. SurfaceTransition routes to AppendBookOfDaysEntry (non-pinned for Seeker). Tier is a derived threshold, not an AwardPiety call, so ledger=N by rubric. RUBRIC-CONSISTENT."
"tier.devoted","tier","ALL","Devoted","Y","Y","N","immediate","PDV__ManagerQuest.psc:7553 RecomputeTier - SendPrismaEventToast(""tier"",...) + SurfaceTransition(""tier"", deity.DeityName+"" ""+GetPublicTierBand(newTier), ""reach"", deity.DeityIndex, """", false, false)","Universal Devoted advance, same mechanics as Seeker, non-pinned chronicle. No piety move at tier-up, ledger=N."
"tier.champion","tier","ALL","Champion","Y","Y","N","immediate","PDV__ManagerQuest.psc:7553 RecomputeTier - SendPrismaEventToast(""tier"",...) + SurfaceTransition(""tier"",...,false,true) [headline=true at 7555 -> pinned chronicle]","Universal Champion advance: headline=true -> AppendBookOfDaysEntry pinned so it survives the day-window prune. No piety move, ledger=N."
"tier.champion.race-reward-sync","tier","ALL","Champion","Y","Y","N","immediate","PDV__ManagerQuest.psc:11240 MaybeShowChampionRewardPresentation - SendPrismaEventToast(""tier"",...) + SurfaceTransition(""tier"",...,false,true) pinned","DISTINCT emit site from the universal path: invoked from per-race SyncRaceReward* (Altmer ~9840, Bosmer ~9908, Breton ~10015, Dunmer ~10185, Orc ~10268, Redguard ~10363, Nord ~10597, Imperial ~10838) when hadChampionSpell flips false->true. Shares NotifyTierUp guard so fires only if universal path hasn't. This is the live Champion surface for race patron beats. Kept separate because verifier must find this callsite. Kyne adds an ambient storm notification at 11243 (ShowNordNotification) + has an UNFIRED PDV_Msg_Nord_Kyne_ChampionEntry (declared line 469, no .Show() anywhere) - chronicle/toast covered by this row but the bespoke Kyne entry message is a GAP."
"tier.champion.khajiit-emphasis","tier","Khajiit","Champion","Y","Y","N","immediate","PDV__ManagerQuest.psc:10635 SyncKhajiitRewardFamily - SendPrismaEventToast(""tier"", deity,...) + SurfaceTransition(""tier"", deity.DeityName, ""reach"", deity.DeityIndex, """") [headline=false default]","DISTINCT Khajiit Champion path (Khenarthi/BaanDar/Rajhin/Alkosh/Azura). surfaceKey is bare DeityName, headline=false -> chronicle entry NOT pinned, unlike universal/race-sync paths. GAP: Khajiit Champion chronicle is prunable where every other race's is pinned. Toast+chronicle still emit so Y/Y."
"tier.redguard.sect-champion-entry","tier","Redguard","Devoted","Y","Y","N","immediate","PDV__ManagerQuest.psc:6760-6770 MaybeShowRedguardChampionEntry - PDV_Msg_Redguard_ChampionEntry_{Crown|Forebear|AshAbah}.Show() via ShowRedguardMessage(); gated on sect confirmed AND GetTier(anchor) >= TIER_DEVOTED","MERGED Crown/Forebear/AshAbah sect-entry bespoke popups (one row per rubric: same eventClass+race; Crown+AshAbah anchor Tu'whacca, Forebear anchors HoonDing). Fires as a vanilla blocking Message.Show() modal = the toast surface (toast=Y for the modal). RUBRIC FIX: finders set chronicle=N because there is no AppendBookOfDaysEntry in this path - that is a GAP, not the design intent. Per rubric this is a Devoted/Champion-entry milestone the player should notice, so expected_chronicle=Y (design-intent); note current emit has NO chronicle. One-shot via PDV.Redguard.ChampionEntryShown.<sect>."
"prepact.watching","prepact","ALL","n/a","N","Y","Y","immediate","PDV__ManagerQuest.psc:2867 AppendBookOfDaysEntry(""The world tilts toward ..."", tone=daedric.pressure) via ProcessPendingDaedricPrePactNotices; GetDashboardJson:1949-1951 appends 'watching' row via AppendDashboardGod","Pre-pact Prince 'takes notice' once-fire when piety crosses 50% of Seeker while tier==NONE and no active pact. PrePactNoticeShown flag prevents re-fire. Toast intentionally silent (quiet/ambient) = N per rubric. Chronicle once-fire = Y. Ledger=Y: watching dashboard row + driver ring from the triggering piety signals (RecordDaedricPathDriver fires on the signal's own AdjustStoredPiety, not on the notice itself). RUBRIC-CONSISTENT with the pre-pact-watching clause."
"daedric.milestone.seeker","daedric","ALL","Seeker","Y","Y","Y","immediate","PDV__ManagerQuest.psc:12953 SendPrismaDaedricMilestoneToast + :12961 AppendBookOfDaysEntry tone=tier.reach; ShowDaedricMilestonePresentation called from HandleDaedricPrinceSignal:2580; ledger via the SetStoredPiety->RecordDaedricPathDriver (PDV_DaedricPathBase.psc:349) that crossed the threshold","Fires via ShowDaedricMilestonePresentation when newTier>oldTier and >=TIER_SEEKER (also from HandleHircineHuntRite:6945). Toast carries boon/price/flavor text. Chronicle copy marked PLACEHOLDER. All three surfaces live."
"daedric.milestone.devoted","daedric","ALL","Devoted","Y","Y","Y","immediate","PDV__ManagerQuest.psc:12953 SendPrismaDaedricMilestoneToast + :12961 AppendBookOfDaysEntry tone=tier.reach; PDV_DaedricPathBase.psc:349 RecordDaedricPathDriver","Same ShowDaedricMilestonePresentation path at Devoted threshold. Boon/price upgrade via SyncPatronBoonsToTier + SyncDaedricContractToTier. PLACEHOLDER chronicle copy. All three surfaces live."
"daedric.milestone.champion","daedric","ALL","Champion","Y","Y","Y","immediate","PDV__ManagerQuest.psc:12933-12940 replayChampionOffer -> ShowTierEntryMessage (Msg_ChampionEntry blocking MESG Accept/Decline); :12953 SendPrismaDaedricMilestoneToast; :12961 AppendBookOfDaysEntry pinned=true; PDV_DaedricPathBase.psc:349 RecordDaedricPathDriver","At Champion the authored blocking MESG offers Accept/Decline + Prisma milestone toast + pinned chronicle. MCM-debug path defers via QueueDaedricMilestoneMcmReplay->ProcessPendingDaedricMilestone to avoid a blocking MESG while MCM open. PLACEHOLDER chronicle copy. All three surfaces live."
