editor_id,quest_name,outcome_stage,outcome,act_tags,citation,formid,evidence_tier,branch_note
ccBGSSSE001_Start_MQ1,First Catch,50,Made the first successful catch while learning to fish.,prove_by_struggle,ccbgssse001-fish.esm direct QUST read: s50 CompleteQuest records the player's first successful catch.,ccbgssse001-fish.esm:0009D3,A,One-shot first-skill milestone; no repeatable catch rows.
ccBGSSSE001_Crab_MQ1,In A Pinch,200,Delivered a juvenile mudcrab to Viriya for her breeding research.,"honest_labor_trade,civic_service",ccbgssse001-fish.esm direct QUST read: s200 CompleteQuest says the player brought Viriya the juvenile mudcrab she requested for her research.,ccbgssse001-fish.esm:0009D4,A,The research delivery is the player's act; no claim that the player performed the breeding.
ccBGSSSE001_Misc_Windhelm,Tusked Terror,200,Slew the vampiric horker Fangtusk and fulfilled the fishermen's bounty.,"kill_honorable_combat,protect_the_weak,civic_service",ccbgssse001-fish.esm direct QUST read: s60 identifies Fangtusk as a vampiric horker terrorizing fishermen; s200 CompleteQuest records slaying it and fulfilling the bounty.,ccbgssse001-fish.esm:0009D5,A,Open monster hunt and public-protection outcome.
ccBGSSSE001_Crab_MQ3,End of the Line,200,Supplied Viriya with the building materials needed to open her market stall.,"honest_labor_trade,civic_service",ccbgssse001-fish.esm direct QUST read: s200 CompleteQuest says the supplied building materials let Viriya open her stall and realize her dream.,ccbgssse001-fish.esm:0009D6,A,Concrete commercial and community support; friendship itself is not separately tagged.
ccBGSSSE001_Misc_WhiterunPartTwo,Two of a Kind,200,Gave Mila a second goldfish.,charity,ccbgssse001-fish.esm direct QUST read: s200 CompleteQuest records bringing Mila the second goldfish she requested.,ccbgssse001-fish.esm:0009D7,A,The child's reciprocal treasure key does not erase the directly evidenced gift.
ccBGSSSE001_Crab_MQ2,Crustacean Extermination,200,Stopped the necromancer-created frenzied mudcrab attacks.,"protect_the_weak,civic_service",ccbgssse001-fish.esm direct QUST read: s40 describes the dead necromancer's repeated resurrection of mudcrabs; s200 CompleteQuest records stopping the swarm.,ccbgssse001-fish.esm:0009DA,A,Necromancy is the NPC's act and is not attributed to the player.
ccBGSSSE001_Fish_MQ5,Fishing Legend,200,Completed the final rare-fish challenge and became a legendary fisherman.,prove_by_struggle,ccbgssse001-fish.esm direct QUST read: s20 identifies the final rare-fish challenge; s200 CompleteQuest designates the player a legendary fisherman.,ccbgssse001-fish.esm:0009DC,A,Distinct capstone of the one-shot fishing challenge chain.
ccBGSSSE001_Fish_MQ4,Darkest Depths,200,Completed the underground fishing challenge.,prove_by_struggle,ccbgssse001-fish.esm direct QUST read: s20-s21 define the cave and mine fishing challenge; s200 CompleteQuest records delivering every requested fish as proof of completion.,ccbgssse001-fish.esm:0009DD,A,"One-shot skill challenge, not a repeatable catch event."
ccBGSSSE001_Fish_MQ1,Catch of the Day,200,Completed the first formal fishing challenge.,prove_by_struggle,ccbgssse001-fish.esm direct QUST read: s10-s21 define the first skill-improvement challenge; s200 CompleteQuest records delivering every requested fish as proof of completion.,ccbgssse001-fish.esm:0009DE,A,One-shot skill challenge.
ccBGSSSE001_Misc_Markarth,Private Lessons,200,Taught Lynea how to fish.,honest_labor_trade,ccbgssse001-fish.esm direct QUST read: s200 CompleteQuest says Lynea appreciated the player's fishing lesson and paid with an amulet.,ccbgssse001-fish.esm:0009DF,A,The player teaches a paid practical lesson; disciplined_study would attribute the learner's act.
ccBGSSSE001_Misc_Khajiit,Spirits Away,200,Recovered and returned Ri'saad's missing bottles of flin.,honest_labor_trade,ccbgssse001-fish.esm direct QUST read: s200 CompleteQuest records finding Ri'saad's lost flin and returning it for payment.,ccbgssse001-fish.esm:0009E2,A,Completed recovery commission; no unsupported lost-property tag is required.
ccBGSSSE001_Misc_Solitude,The Ultimate Feast,200,Prepared the requested seafood feast for Gisli.,"aesthetic_devotion,honest_labor_trade",ccbgssse001-fish.esm direct QUST read: s200 CompleteQuest records preparing Gisli's ultimate seafood feast and receiving payment.,ccbgssse001-fish.esm:0009E3,A,Culinary creation and completed commission; no revel_indulge attribution to the cook.
ccBGSSSE001_Misc_Morthal,No Contest,200,Defeated the predatory ambusher Brutius and ended his threat to Morthal's citizens.,"kill_honorable_combat,protect_the_weak",ccbgssse001-fish.esm direct QUST read: s200 CompleteQuest says Brutius ambushed the player and had been preying upon Morthal's citizens.,ccbgssse001-fish.esm:0009E4,A,"Defensive combat, not assassination."
ccBGSSSE001_Fish_MQ3,Frozen Fish,200,Completed the freezing-water fishing challenge.,prove_by_struggle,ccbgssse001-fish.esm direct QUST read: s20-s21 define the freezing-water challenge; s200 CompleteQuest records delivering every requested fish as proof of completion.,ccbgssse001-fish.esm:0009E8,A,"One-shot skill challenge, not a repeatable catch event."
ccBGSSSE001_Crab_MQ4,Wave Breaker,2000,Defended Dawnstar by defeating the Emperor Crab spirit and its horde.,"kill_honorable_combat,protect_the_weak,civic_service,prove_by_struggle",ccbgssse001-fish.esm direct QUST read: s2000 CompleteQuest says the guardian spirit and horde no longer threaten Dawnstar after the player fought beside Viriya and the guards.,ccbgssse001-fish.esm:0009E9,A,Large public-defense culmination.
ccBGSSSE001_Fish_MQ2,Caught in the Rain,200,Completed the rainy-weather fishing challenge and returned the lucky fishing hat.,"prove_by_struggle,honest_labor_trade",ccbgssse001-fish.esm direct QUST read: s200 CompleteQuest separately records delivering the requested fish and returning Swims-In-Deep-Water's lucky hat.,ccbgssse001-fish.esm:0009EB,A,Honest branch; directly distinct from s210.
ccBGSSSE001_Fish_MQ2,Caught in the Rain,210,Completed the fishing challenge but kept the lucky hat after lying about finding it.,"prove_by_struggle,deceit,theft_burglary",ccbgssse001-fish.esm direct QUST read: s210 CompleteQuest says the player kept Swims-In-Deep-Water's hat after claiming it was not found.,ccbgssse001-fish.esm:0009EB,A,Dishonest branch; directly distinct from s200.
ccBGSSSE001_Misc_Falkreath,Clear-Headed,70,Used Zaria's disguised potion to frighten a guard away from skooma.,"deceit,heal_comfort,civic_service",ccbgssse001-fish.esm direct QUST/VMAD/decompiled-fragment read: s70 journal says the plan worked and may end the guard's skooma use; the s50 fragment makes him drink the disguised potion and sets s70; RUNTIME-VERIFY because s70 is non-terminal.,ccbgssse001-fish.esm:0009EC,A,"Use the proven branch stage, not the colliding s200 completion."
ccBGSSSE001_Misc_Falkreath,Clear-Headed,45,Killed the guard merely suspected of using skooma instead of carrying out the humane plan.,murder_treacherous,ccbgssse001-fish.esm direct QUST read: s45 says the player killed the suspected guard; the alternate s200 journal says Zaria clearly disapproved; RUNTIME-VERIFY because s45 is non-terminal.,ccbgssse001-fish.esm:0009EC,A,"Use the proven kill-branch stage, not the colliding s200 completion."
ccBGSSSE001_Misc_Dwarven,Beneath Bronze Waters,300,Recovered a Dwemer schematic and powered its mechanism to reveal the submerged treasure.,disciplined_study,"ccbgssse001-fish.esm direct QUST read: s300 CompleteQuest records recovering the schematic, gathering aetherium dynamo cores, and powering the mechanism.",ccbgssse001-fish.esm:000AD6,A,Calcelmo builds the fishing rod; no player master-craft attribution.
ccBGSSSE001_Misc_WhiterunPartOne,Heart of Gold,200,Gave Mila a goldfish and brightened her day.,charity,ccbgssse001-fish.esm direct QUST read: s200 CompleteQuest says the player gave Mila the goldfish and brightened her day.,ccbgssse001-fish.esm:000E5D,A,Direct gift to a child.
ccBGSSSE025_QuestA,Balance of Power,2000,Defeated the Saints and Seducers bandit leaders and made the roads safer.,"kill_honorable_combat,protect_the_weak,civic_service",ccbgssse025-advdsgs.esm direct QUST read: s900 records both leaders defeated and safer roads; s2000 CompleteQuest records Ri'saad rewarding the player for the same public-safety outcome.,ccbgssse025-advdsgs.esm:000912,A,Bandit suppression and road protection.
ccBGSSSE025_QuestB,Restoring Order,200,"Defeated Thoron, halted his Daedra-summoning ritual, and ended the spreading danger.","kill_honorable_combat,protect_the_weak","ccbgssse025-advdsgs.esm direct QUST read: s20-s40 describe unnatural roots, summoned Daedra, Thoron's attack, and the ritual's defeat; s200 CompleteQuest confirms the ritual ended.",ccbgssse025-advdsgs.esm:000913,A,No named-Prince tag: direct evidence does not safely attribute the rejection to a supported Prince profile.
ccBGSSSE025_MiscQuest_GSDSGearBook,Golden and Dark Smithing,200,Learned to smith Golden and Dark equipment from Joften's notes.,"disciplined_study,master_craft_forge",ccbgssse025-advdsgs.esm direct QUST/VMAD/decompiled-fragment read: objective 10 is Read Joften's notes; the s200 fragment completes all objectives and stops the quest; RUNTIME-VERIFY because the terminal has no journal text.,ccbgssse025-advdsgs.esm:000C4B,B,Directly proven learning milestone.
ccBGSSSE025_MiscQuest_AmberMadnessGear,Amber and Madness Smithing,14,Defeated Evethra during the search for her smithing knowledge.,kill_honorable_combat,ccbgssse025-advdsgs.esm direct QUST/VMAD/decompiled-fragment read: objective 15 is Kill Evethra; the s14 fragment completes that exact objective; RUNTIME-VERIFY because the stage has no journal text.,ccbgssse025-advdsgs.esm:000C4D,B,Positional combat milestone separated from the later study outcome.
ccBGSSSE025_MiscQuest_AmberMadnessGear,Amber and Madness Smithing,20,Learned to craft Amber and Madness equipment from Evethra's journal.,"disciplined_study,master_craft_forge",ccbgssse025-advdsgs.esm direct QUST/VMAD/decompiled-fragment read: objective 20 is Read Evethra's journal; the s20 fragment completes all objectives and stops the quest; RUNTIME-VERIFY because the terminal has no journal text.,ccbgssse025-advdsgs.esm:000C4D,B,Directly proven learning milestone.
ccBGSSSE025_MiscQuest_Nerveshatter,Nerveshatter,40,Placed amber and madness ore beside Gadnor's resting place.,honor_the_dead,"ccbgssse025-advdsgs.esm direct QUST/VMAD/decompiled-fragment read: objective 30 requires placing the ores at Gadnor's resting place; the s40 fragment removes both offerings, reveals Nerveshatter, and completes that objective; RUNTIME-VERIFY.",ccbgssse025-advdsgs.esm:0010BF,B,Honor-the-dead act is proven before the later weapon retrieval.
