semantic_family,record_targets,example_editorid_patterns,pdv_keyword_candidate,pdv_use,offline_patcher_rule,source_table,status
Sacred text,BOOK,"Book*, DA*, Temple*, Shrine*, BlackBook*",PDV_Text_SacredOrTheological,"BookRead piety, knowledge favors, Julianos/Mora/Xarxes signals","Whitelist by title/editorid and hand-review books before shipping",extracted/vanilla-book-signal-candidates.csv,seed
Forbidden knowledge,BOOK,"BlackBook*, Oghma*, MythicDawn*, Hermaeus*",PDV_Text_ForbiddenKnowledge,"Mora, Julianos tension, Altmer study risk","Manual whitelist only",extracted/vanilla-book-signal-candidates.csv,seed
Spell tome,BOOK,"SpellTome*",PDV_Text_SpellTome,"SpellLearned/BookRead one-shot learning signals","Patch from book Teaches field plus school/domain map",extracted/vanilla-book-signal-candidates.csv,seed
Ancestor record,BOOK/NOTE,"Dunmer, ash, ancestral, tomb, RavenRock",PDV_Text_AncestorMemory,"Dunmer substrate and ancestor rites","Manual Solstheim/Dunmer title pass",extracted/vanilla-book-signal-candidates.csv,seed
Meat food,ALCH,"Food*Meat*, Venison, Rabbit, Horker, Pheasant, Salmon",PDV_Food_Meat,"Bosmer Green Pact compliance, hunt rites, survival food","Generated by food names plus manual false-positive review",extracted/vanilla-item-semantic-candidates.csv,seed
Plant food,ALCH/INGR,"Gourd, Leek, Potato, Cabbage, Apple, Mushroom, Flower",PDV_Food_PlantMatter,"Bosmer taboo and alchemy/foraging friction","Generated by ingredient/food name and keyword review",extracted/vanilla-item-semantic-candidates.csv,seed
Fish,ALCH/INGR,"Fish, Salmon, Perch, Histcarp, RiverBetty",PDV_Food_Fish,"Bosmer acceptable food, Kynareth/Kyne water/nature signals","Generated by fish terms",extracted/vanilla-item-semantic-candidates.csv,seed
Alcohol,ALCH,"Ale, Mead, Wine, Skooma",PDV_Drink_AlcoholOrDrug,"Sanguine, Zenithar trade, social excess","Manual whitelist by editorid/name",extracted/vanilla-item-semantic-candidates.csv,seed
Poison,ALCH,"Poison*",PDV_Item_Poison,"Mephala, Nocturnal, Boethiah, taboo/assassin routes","Use ALCH flags/effect archetypes where possible",extracted/vanilla-item-semantic-candidates.csv,seed
Disease source,MGEF/SPEL,"Disease*, Vampirism, Sanguinare",PDV_Effect_DiseaseOrCurse,"Arkay/Stendarr/Peryite/curse overlays","Patch from magic effect names and archetypes",extracted/vanilla-magic-effect-palette.csv,seed
