editor_id,quest_name,outcome_stage,outcome,act_tags,citation,formid,evidence_tier,branch_note
DLC1VQ04,Chasing Echoes,90,Recreated Valerica's experiment and opened a portal to the Soul Cairn.,necromancy,Dawnguard.esm direct QUST read: s90 says the player recreated Valerica's experiment and opened the Soul Cairn portal; RUNTIME-VERIFY because this is a non-terminal common milestone.,Dawnguard.esm:00284F,A,Common pre-choice act only. The later vampire-versus-partial-soul-trap choice remains inert until its exact stage is proven.
DLC1VQ05,Beyond Death,50,Slew the Keepers and broke the barrier imprisoning Valerica.,protect_the_weak,Dawnguard.esm direct QUST read: s50 says all three Keepers were slain and Valerica's prison barrier faded; RUNTIME-VERIFY because this is non-terminal.,Dawnguard.esm:002850,A,Replaces unsupported s200 protection-adjacent readings with the evidenced rescue milestone.
DLC1VQ05,Beyond Death,80,Defeated Durnehviir in a challenging open battle.,"kill_honorable_combat,prove_by_struggle","Dawnguard.esm direct QUST read: s80 says Durnehviir attacked, the battle was challenging, and the party emerged unscathed; RUNTIME-VERIFY because this is non-terminal.",Dawnguard.esm:002850,A,Discrete battle milestone; no necromancy or honor-the-dead inference.
DLC1VQ06,Unseen Visions,200,Completed the Ancestor Moth ritual and read the Elder Scrolls.,"honor_the_wild,disciplined_study",Dawnguard.esm direct QUST read: s60 records completing the Ancestor Moth ritual; s200 CompleteQuest records the player's Elder Scroll reading and vision.,Dawnguard.esm:002852,A,Retains the existing wild-honor reading and adds the directly evidenced player study.
DLC1VQ07,Touching the Sky,200,"Destroyed the vampire Vyrthur, protected Serana, and recovered Auriel's Bow.","slay_undead,protect_the_weak","Dawnguard.esm direct QUST read: s200 CompleteQuest says Vyrthur was a vampire, Serana was in mortal danger, the player destroyed him, and took Auriel's Bow.",Dawnguard.esm:002853,A,Existing outcome is directly supported.
DLC1VQ02,Bloodline,180,Accepted Harkon's blood and joined his vampire court.,"embrace_vampirism,serve_a_daedra:molagbal",Dawnguard.esm direct QUST read: mutually exclusive s180 CompleteQuest says the player accepted Harkon's blood and joined his court.,Dawnguard.esm:002F65,A,Vampire branch 1 of 2; moves the transformation act out of the later Prophet quest.
DLC1VQ02,Bloodline,190,Refused Harkon's blood and returned to Isran.,destroy_reject_daedra:molagbal,Dawnguard.esm direct QUST read: mutually exclusive s190 CompleteQuest says the player refused Harkon's gift and returned to Isran.,Dawnguard.esm:002F65,A,Hunter branch 2 of 2; later Dawnguard recruitment must not double-score this refusal.
DLC1VQ03Vampire,Prophet,70,Captured Dexion and made him a vampire thrall.,enthrall_enslave,Dawnguard.esm direct QUST read: s67 says the player forced Dexion to submit; s70 says the player captured him and made him a thrall; RUNTIME-VERIFY because this is non-terminal.,Dawnguard.esm:004C3D,A,Owner-approved canonical tag 2026-08-12. Current s200 embrace_vampirism is a stale duplicate of Bloodline and remains inert.
DLC1HunterBaseIntro,A New Order,200,Recruited Sorine and Gunmar to strengthen the Dawnguard's defense.,civic_service,Dawnguard.esm direct QUST read: s200 CompleteQuest says the player recruited people into the Dawnguard to help fight the vampires.,Dawnguard.esm:004E24,A,Concrete alliance-building service only; no duplicate Harkon-refusal reaction.
DLC1VampireBaseIntro,The Bloodstone Chalice,40,Defeated the two vampires who ambushed the player at Redwater Den.,kill_honorable_combat,Dawnguard.esm direct QUST read: s40 says Stalf and Salonia ambushed the player and must be killed before they kill the player; RUNTIME-VERIFY because this is non-terminal.,Dawnguard.esm:00594C,A,The terminal does not directly evidence chaos or service to Molag Bal.
DLC1VQ08,Kindred Judgment,200,Confronted and slew the vampire lord Harkon.,slay_undead,Dawnguard.esm direct QUST read: the objective chain ends with Confront Harkon with Auriel's Bow and Slay Harkon; s200 is CompleteQuest but untexted; RUNTIME-VERIFY.,Dawnguard.esm:007C25,B,Existing undead-slaying outcome retained at the terminal position.
DLC1VQ03Hunter,Prophet,80,Rescued Dexion from his vampire captors and sent him to Fort Dawnguard.,protect_the_weak,Dawnguard.esm direct QUST read: s70 says the player broke the vampires' hold on Dexion; s80 says the player rescued him from his captors; RUNTIME-VERIFY because this is non-terminal.,Dawnguard.esm:0098CB,A,Moves the player rescue to the evidenced milestone; later reading is Dexion's act.
DLC1LD,Lost to the Ages,225,Completed Katria's quest and forged a powerful artifact at the Aetherium Forge.,"master_craft_forge,honor_the_dead","Dawnguard.esm direct QUST read: s225 says the player and Katria found the Forge, defeated its guardians, and forged a powerful artifact; RUNTIME-VERIFY because this stage is not flagged CompleteQuest.",Dawnguard.esm:005817,A,One-shot culmination of the forge expedition and the dead adventurer's unfinished work.
DLC1VQDragon,Durnehviir,60,Fulfilled a mutually beneficial pact and deepened comradeship with Durnehviir.,friendship,Dawnguard.esm direct QUST read: s30 records the pact; s60 says the agreement is mutually beneficial after the player repeatedly summoned him; RUNTIME-VERIFY because this is non-terminal.,Dawnguard.esm:00C73A,A,Friendship/comradeship reading; not a Daedric bargain.
