deity,act,trigger_detection,act_tag,valence,intensity,magnitude,anti_farm_cap,buildability,notes
Namira,Feed on a corpse,Ring of Namira "Feed" lesser-power MGEF fires (eat a humanoid corpse),cannibalism,+,C,small,1/dawn,GOOD,"Requires Ring of Namira equipped (acquired via DA11). Hook the Feed ability's magic effect. The single biggest repeatable Namira faucet."
Namira,Eat Human Flesh,OnObjectEquipped of an item in a curated Human-Flesh/heart FormList,cannibalism,+,C,small,1/dawn,GOOD,"Vanilla HumanFlesh ingredient + DLC human hearts; one small FormList. Shares the once/dawn cannibalism cap with the corpse-feed (do not double-bank)."
Sanguine,Drink alcohol,OnObjectEquipped of an item in a curated alcohol (mead/ale/wine) FormList,revel_indulge,+,C,small,1/dawn,MEDIUM,"Vanilla has no clean alcohol keyword; needs a curated ALCH FormList (Black-Briar/Honningbrew/Nord mead/wine/ale). The core Sanguine day-to-day act."
Sanguine,Drink skooma,OnObjectEquipped of an item in a curated skooma / Sleeping Tree Sap ALCH FormList,revel_indulge_skooma,+,C,small,1/dawn,GOOD,"Curated vanilla/DLC skooma and Sleeping Tree Sap list. Compiler aliases this row to the revel_indulge anti-farm key so alcohol and skooma cannot double-bank on the same dawn."
Sanguine,Summon with the Sanguine Rose,OnSpellCast / staff-fire of the Sanguine Rose,serve_a_daedra:sanguine,+,S,small,1/dawn,GOOD,"Specific staff (acquired via DA14). Using his artifact pleases him repeatedly, lightly."
Peryite,Bear an untreated disease,Player has any disease magic effect (afflicted-state poll),spread_order_pestilence,+,m,small,1/dawn,GOOD,"Peryite is the hardest god to faucet; per his profile, embracing affliction/the lowly IS the devotion. Small tick while diseased and uncured. Curing disease does NOT score for him."
Peryite,Ward with Spellbreaker,Block event while Spellbreaker is the equipped shield,serve_a_daedra:peryite,+,m,small,1/dawn,MEDIUM,"Specific shield (acquired via DA13). Using his artifact-ward = small ongoing service."
Vaermina,Harvest dreams (Skull of Corruption),OnSpellCast of the Skull of Corruption,serve_a_daedra:vaermina,+,S,small,1/dawn,GOOD,"Specific staff (acquired via DA16). The Skull's dream-harvest (bonus dmg vs recently-slept) is the repeatable act; also reads as forbidden_knowledge (dream secrets)."
Clavicus Vile,Wear the Masque,OnObjectEquipped of the Masque of Clavicus Vile,serve_a_daedra:clavicus,+,m,small,1/dawn,GOOD,"Masque (acquired via DA03 reunite branch). Transactional edge worn = light ongoing service. Cleanest buildable Clavicus faucet."
Clavicus Vile,Win a favorable bargain (quest persuade),Successful Persuade/Intimidate check that yields a quest concession (curated dialogue-fragment hooks),deceit,+,S,small,1/dawn,MEDIUM,"Per user direction: hook the specific quest persuade-success INFOs that net a reward/concession (hand-authored per-quest fragments, not a generic event). Masque-wear remains the always-on fallback."
Hermaeus Mora,Read a Black Book,OnRead of a book in the Black Book FormList,forbidden_knowledge,+,C,small,1/book,GOOD,"COORDINATE OWNER: the exclusion audit says pick BookRead OR quest-stage for Black Books — do not double-fire. One-shot per distinct Black Book."
Hermaeus Mora,Study rare/forbidden tomes,OnRead of a book in a curated rare-lore FormList,disciplined_study,+,m,small,1/dawn,MEDIUM,"Apocrypha/banned-lore tomes (not skill books). Small day-to-day scholarship tick."
Dibella,Marry / court,PlayerMarried event (one-shot) or marriage-quest completion,marriage_family,+,m,small,1/ever,GOOD,"One-shot. Dibella shares marriage with Mara; small for Dibella."
Dibella,Give alms to a beggar,"Vanilla ""The Gift of Charity"" ability/MGEF applied (give a beggar 1+ gold)",charity,+,m,small,1/dawn,GOOD,"Hook the vanilla Gift of Charity MGEF (+10 Speech 1hr). Vanilla already gates it to once per 4 in-game hours; our 1/dawn cap sits on top. Shares the charity cap with Mara."
Dibella,Adorn in fine apparel,OnObjectEquipped of an item in a curated fine-apparel/circlet/jewelry FormList,aesthetic_devotion,+,C,small,1/dawn,GOOD,"Dibella's new core tag (added to Part A 2026-06-08). Adorning oneself in beauty = day-to-day devotion. Curated FormList of fine clothes/circlets/amulets/rings."
Dibella,Perform music or create art,No clean vanilla repeatable (instruments are Bards-College-quest only),aesthetic_devotion,+,C,small,1/dawn,DEFERRED,"Reserved for modded instrument/art content + the future custom-content-flagging pass; no vanilla hook. Adornment (above) carries aesthetic_devotion for vanilla."
Molag Bal,Bear the Mace of Molag Bal,OnObjectEquipped of an item in a curated Mace of Molag Bal FormList,serve_a_daedra:molag_bal,+,C,small,1/dawn,GOOD,"Equip-event faucet (proven OnObjectEquipped pattern); light frequency, daily-capped; floor adds the renewable faucet type."
Hircine,Don the Hunt-Lord's regalia,OnObjectEquipped of an item in a curated Savior's Hide / Ring of Hircine FormList,serve_a_daedra:hircine,+,C,small,1/dawn,GOOD,"Equip-event faucet (proven OnObjectEquipped pattern); light frequency, daily-capped; floor adds the renewable faucet type."
Meridia,Bear Dawnbreaker,OnObjectEquipped of an item in a curated Dawnbreaker FormList,serve_a_daedra:meridia,+,C,small,1/dawn,GOOD,"Equip-event faucet (proven OnObjectEquipped pattern); light frequency, daily-capped; floor adds the renewable faucet type."
Sheogorath,Carry the Wabbajack,OnObjectEquipped of an item in a curated Wabbajack FormList,serve_a_daedra:sheogorath,+,C,small,1/dawn,GOOD,"Equip-event faucet (proven OnObjectEquipped pattern); light frequency, daily-capped; floor adds the renewable faucet type."
Sheogorath,Fire the Wabbajack,OnSpellCast / staff-fire of the Wabbajack,serve_a_daedra:sheogorath_fire,+,S,small,1/dawn,GOOD,"Specific staff-fire faucet. Compiler aliases this row to the serve_a_daedra:sheogorath anti-farm key so firing and carrying the Wabbajack share one daily cap."
Mehrunes Dagon,Bear Mehrunes' Razor,OnObjectEquipped of an item in a curated Mehrunes' Razor FormList,serve_a_daedra:mehrunes_dagon,+,C,small,1/dawn,GOOD,"Equip-event faucet (proven OnObjectEquipped pattern); light frequency, daily-capped; floor adds the renewable faucet type."
Nocturnal,Wear the Nightingale's shadow,OnObjectEquipped of an item in a curated Nightingale gear FormList,serve_a_daedra:nocturnal,+,C,small,1/dawn,GOOD,"Equip-event faucet (proven OnObjectEquipped pattern); light frequency, daily-capped; floor adds the renewable faucet type. Skeleton Key excluded."
Azura,Study Azura's threshold texts,OnRead of Azura and the Box / Invocation of Azura,fate_threshold,+,C,small,1/book,GOOD,"Book-read faucet using exact vanilla Azura text FormIDs; avoids a silent Azura's Star equip hook because the Star is a soul gem, not equippable."
Boethiah,Don the Ebony Mail,OnObjectEquipped of an item in a curated Ebony Mail FormList,serve_a_daedra:boethiah,+,C,small,1/dawn,GOOD,"Equip-event faucet (proven OnObjectEquipped pattern); light frequency, daily-capped; floor adds the renewable faucet type."
Mephala,Wield the Ebony Blade,OnObjectEquipped of an item in a curated Ebony Blade FormList,serve_a_daedra:mephala,+,C,small,1/dawn,GOOD,"Equip-event faucet (proven OnObjectEquipped pattern); light frequency, daily-capped; floor adds the renewable faucet type."
Malacath,Bear Volendrung,OnObjectEquipped of an item in a curated Volendrung FormList,serve_a_daedra:malacath,+,C,small,1/dawn,GOOD,"Equip-event faucet (proven OnObjectEquipped pattern); light frequency, daily-capped; floor adds the renewable faucet type."
