work_id,scope,audit_tranche,audit_shard,risk_priority,formid,editor_id,canonical_source_plugin,direct_read,classification,deep_read,owner_verdict,tagged_rows,crossgen,promoted,post_readback,notes
COREQ-0001,core,V02,V02-01,standard,Skyrim.esm:013E06,VoicePowers,Skyrim.esm,ok,STRUCTURAL-SILENT,not-needed,SILENT,not-needed,not-needed,not-needed,not-needed,
COREQ-0002,core,V02,V02-01,standard,Skyrim.esm:0143AF,DragonControl,Skyrim.esm,ok,STRUCTURAL-SILENT,not-needed,SILENT,not-needed,not-needed,not-needed,not-needed,
COREQ-0003,core,V02,V02-01,standard,Skyrim.esm:015CC2,dunEldergleamT03,Skyrim.esm,ok,SEMANTIC-SILENT,not-needed,SILENT,not-needed,not-needed,not-needed,not-needed,
COREQ-0004,core,V02,V02-01,standard,Skyrim.esm:015D24,TGRDU,Skyrim.esm,ok,SEMANTIC-SILENT,not-needed,SILENT,not-needed,not-needed,not-needed,not-needed,
COREQ-0005,core,V02,V02-01,standard,Skyrim.esm:015FCC,DialogueRiverwoodSceneA,Skyrim.esm,ok,STRUCTURAL-SILENT,not-needed,SILENT,not-needed,not-needed,not-needed,not-needed,
COREQ-0006,core,V02,V02-01,standard,Skyrim.esm:016C8D,MS05_dunDeadMensRespiteQST,Skyrim.esm,ok,SEMANTIC-SILENT,not-needed,SILENT,not-needed,not-needed,not-needed,not-needed,
COREQ-0007,core,V02,V02-01,standard,Skyrim.esm:016FA6,DialogueGenericSceneSpecial01,Skyrim.esm,ok,STRUCTURAL-SILENT,not-needed,SILENT,not-needed,not-needed,not-needed,not-needed,
COREQ-0008,core,V02,V02-01,standard,Skyrim.esm:017015,CreatureDialogueFrostbiteSpider,Skyrim.esm,ok,STRUCTURAL-SILENT,not-needed,SILENT,not-needed,not-needed,not-needed,not-needed,
COREQ-0009,core,V02,V02-01,standard,Skyrim.esm:01703C,KingOlafsFestivalStarter,Skyrim.esm,ok,SEMANTIC-SILENT,not-needed,SILENT,not-needed,not-needed,not-needed,not-needed,
COREQ-0010,core,V02,V02-01,standard,Skyrim.esm:017042,MQSovngardeConv2ActorDialogue,Skyrim.esm,ok,SEMANTIC-SILENT,not-needed,SILENT,not-needed,not-needed,not-needed,not-needed,
COREQ-0011,core,V02,V02-01,standard,Skyrim.esm:017289,DialogueMarkarthMarketSceneKerahEndon1,Skyrim.esm,ok,STRUCTURAL-SILENT,not-needed,SILENT,not-needed,not-needed,not-needed,not-needed,
COREQ-0012,core,V02,V02-01,standard,Skyrim.esm:01728B,DialogueMarkarthMarketSceneKerahEndon2,Skyrim.esm,ok,STRUCTURAL-SILENT,not-needed,SILENT,not-needed,not-needed,not-needed,not-needed,
COREQ-0013,core,V02,V02-01,standard,Skyrim.esm:01728D,DialogueMarkarthMarketSceneKerahHroki1,Skyrim.esm,ok,STRUCTURAL-SILENT,not-needed,SILENT,not-needed,not-needed,not-needed,not-needed,
COREQ-0014,core,V02,V02-01,standard,Skyrim.esm:01728F,DialogueMarkarthMarketSceneKerahHroki2,Skyrim.esm,ok,STRUCTURAL-SILENT,not-needed,SILENT,not-needed,not-needed,not-needed,not-needed,
COREQ-0015,core,V02,V02-01,standard,Skyrim.esm:017291,DialogueMarkarthMarketSceneHogniHroki1,Skyrim.esm,ok,STRUCTURAL-SILENT,not-needed,SILENT,not-needed,not-needed,not-needed,not-needed,
COREQ-0016,core,V02,V02-01,standard,Skyrim.esm:017293,DialogueMarkarthMarketSceneHogniHroki2,Skyrim.esm,ok,STRUCTURAL-SILENT,not-needed,SILENT,not-needed,not-needed,not-needed,not-needed,
COREQ-0017,core,V02,V02-01,standard,Skyrim.esm:017295,DialogueMarkarthKeepStormcloakCourtScene04,Skyrim.esm,ok,STRUCTURAL-SILENT,not-needed,SILENT,not-needed,not-needed,not-needed,not-needed,
COREQ-0018,core,V02,V02-01,standard,Skyrim.esm:017297,DialogueMarkarthTreasuryHouseThonarBetridScene01,Skyrim.esm,ok,STRUCTURAL-SILENT,not-needed,SILENT,not-needed,not-needed,not-needed,not-needed,
COREQ-0019,core,V02,V02-01,standard,Skyrim.esm:017C93,DialogueMarkarthTreasuryHouseThonarBetridScene02,Skyrim.esm,ok,STRUCTURAL-SILENT,not-needed,SILENT,not-needed,not-needed,not-needed,not-needed,
COREQ-0020,core,V02,V02-01,standard,Skyrim.esm:017C9B,DialogueMarkarthTreasuryHouseRhiadaIldeneScene01,Skyrim.esm,ok,STRUCTURAL-SILENT,not-needed,SILENT,not-needed,not-needed,not-needed,not-needed,
COREQ-0021,core,V02,V02-01,standard,Skyrim.esm:017C9D,DialogueMarkarthTreasuryHouseRhiadaThonarScene01,Skyrim.esm,ok,STRUCTURAL-SILENT,not-needed,SILENT,not-needed,not-needed,not-needed,not-needed,
COREQ-0022,core,V02,V02-01,standard,Skyrim.esm:017C9F,DialogueMarkarthTreasuryHouseIldeneThonarScene01,Skyrim.esm,ok,STRUCTURAL-SILENT,not-needed,SILENT,not-needed,not-needed,not-needed,not-needed,
COREQ-0023,core,V02,V02-01,standard,Skyrim.esm:017CA3,DialogueMarkarthTreasuryHouseRhiadaBetridScene01,Skyrim.esm,ok,STRUCTURAL-SILENT,not-needed,SILENT,not-needed,not-needed,not-needed,not-needed,
COREQ-0024,core,V02,V02-01,standard,Skyrim.esm:017CA5,DialogueMarkarthArnleifLisbetImedhnainScene01,Skyrim.esm,ok,STRUCTURAL-SILENT,not-needed,SILENT,not-needed,not-needed,not-needed,not-needed,
COREQ-0025,core,V02,V02-01,standard,Skyrim.esm:017CB2,CreatureDialogueTroll,Skyrim.esm,ok,STRUCTURAL-SILENT,not-needed,SILENT,not-needed,not-needed,not-needed,not-needed,
COREQ-0026,core,V02,V02-01,standard,Skyrim.esm:017E09,DialogueMarkarthArnleifLisbetImedhnainScene02,Skyrim.esm,ok,STRUCTURAL-SILENT,not-needed,SILENT,not-needed,not-needed,not-needed,not-needed,
COREQ-0027,core,V02,V02-01,standard,Skyrim.esm:017F05,DialogueMarkarth,Skyrim.esm,ok,STRUCTURAL-SILENT,not-needed,SILENT,not-needed,not-needed,not-needed,not-needed,
COREQ-0028,core,V02,V02-01,standard,Skyrim.esm:017F32,DialogueWhiterunBanneredMareScene1,Skyrim.esm,ok,STRUCTURAL-SILENT,not-needed,SILENT,not-needed,not-needed,not-needed,not-needed,
COREQ-0029,core,V02,V02-01,standard,Skyrim.esm:0180C3,CreatureDialogueGoat,Skyrim.esm,ok,STRUCTURAL-SILENT,not-needed,SILENT,not-needed,not-needed,not-needed,not-needed,
COREQ-0030,core,V02,V02-01,existing-core-row,Skyrim.esm:018601,dunHunterQST,Skyrim.esm,ok,APPROVED,not-needed,APPROVED,not-needed,not-needed,ok,ok,
COREQ-0031,core,V02,V02-01,standard,Skyrim.esm:018956,DialogueWhiterunBanneredMareScene2,Skyrim.esm,ok,STRUCTURAL-SILENT,not-needed,SILENT,not-needed,not-needed,not-needed,not-needed,
COREQ-0032,core,V02,V02-01,standard,Skyrim.esm:01895B,DialogueWhiterunBanneredMareScene3,Skyrim.esm,ok,STRUCTURAL-SILENT,not-needed,SILENT,not-needed,not-needed,not-needed,not-needed,
COREQ-0033,core,V02,V02-01,standard,Skyrim.esm:018B4B,MS01,Skyrim.esm,ok,SEMANTIC-SILENT,not-needed,SILENT,not-needed,not-needed,not-needed,not-needed,The terminals only frame the player and hand off to the Cidhna Mine continuation; no discrete player-owned resolution is evidenced here.
COREQ-0034,core,V02,V02-01,standard,Skyrim.esm:01920D,CreatureDialogueSabreCat,Skyrim.esm,ok,STRUCTURAL-SILENT,not-needed,SILENT,not-needed,not-needed,not-needed,not-needed,
COREQ-0035,core,V02,V02-01,standard,Skyrim.esm:019E53,CW,Skyrim.esm,ok,SEMANTIC-SILENT,not-needed,SILENT,not-needed,not-needed,not-needed,not-needed,
COREQ-0036,core,V02,V02-01,standard,Skyrim.esm:019FD1,DialogueWhiterunTempleofKynarethScene1,Skyrim.esm,ok,STRUCTURAL-SILENT,not-needed,SILENT,not-needed,not-needed,not-needed,not-needed,
COREQ-0037,core,V02,V02-01,standard,Skyrim.esm:019FD9,DialogueWhiterunDragonsreachScene1,Skyrim.esm,ok,STRUCTURAL-SILENT,not-needed,SILENT,not-needed,not-needed,not-needed,not-needed,
COREQ-0038,core,V02,V02-01,standard,Skyrim.esm:019FE4,CreatureDialogueSkeever,Skyrim.esm,ok,STRUCTURAL-SILENT,not-needed,SILENT,not-needed,not-needed,not-needed,not-needed,
COREQ-0039,core,V02,V02-01,standard,Skyrim.esm:01A4EA,DA02Post,Skyrim.esm,ok,SEMANTIC-SILENT,not-needed,SILENT,not-needed,not-needed,not-needed,not-needed,
COREQ-0040,core,V02,V02-01,standard,Skyrim.esm:01B112,DialogueGenericScene04,Skyrim.esm,ok,STRUCTURAL-SILENT,not-needed,SILENT,not-needed,not-needed,not-needed,not-needed,
COREQ-0041,core,V02,V02-01,standard,Skyrim.esm:01BAEC,dunNilheimQST,Skyrim.esm,ok,REJECTED,not-needed,REJECTED,inert,not-needed,not-needed,not-needed,Vanilla s100 is already dependency-owned in PDV_QRM_NilheimQE; a core row would collide when the option is installed. Owner approved the inert recommendation 2026-08-12.
