"formid","source_plugin","editor_id","quest_name","classification","stage_count","journal_stage_count","completion_stages","objective_count","evidence_summary","notes"
"Skyrim.esm:0AB3FA","Skyrim.esm","WICastMagic02","Dangerous Magic","semantic-silent-radiant-or-template","2","0","","1","direct_mcp_review=ok; source=Skyrim.esm; stages=2; journal_stages=none; completion_stages=none; objectives=1; deep_read=not-needed",""
"Skyrim.esm:0ABD94","Skyrim.esm","PerkInvestor","","semantic-silent","1","0","","0","direct_mcp_review=ok; source=Skyrim.esm; stages=1; journal_stages=none; completion_stages=none; objectives=0; deep_read=not-needed",""
"Skyrim.esm:0ABF3A","Skyrim.esm","CreatureDialogueAtronachStorm","CreatureDialogueAtronachStorm","structural-silent","0","0","","0","direct_mcp_review=ok; source=Skyrim.esm; stages=0; journal_stages=none; completion_stages=none; objectives=0; deep_read=not-needed",""
"Skyrim.esm:0AC9BF","Skyrim.esm","WESharedDialogue","","structural-silent","0","0","","0","direct_mcp_review=ok; source=Skyrim.esm; stages=0; journal_stages=none; completion_stages=none; objectives=0; deep_read=not-needed",""
"Skyrim.esm:0AC9D1","Skyrim.esm","TGStatus","Thieves Guild Status Quest","semantic-silent","5","0","","0","direct_mcp_review=ok; source=Skyrim.esm; stages=5; journal_stages=none; completion_stages=none; objectives=0; deep_read=not-needed",""
"Skyrim.esm:0AD39C","Skyrim.esm","CompanionsBrawlingQuest","","structural-silent","0","0","","0","direct_mcp_review=ok; source=Skyrim.esm; stages=0; journal_stages=none; completion_stages=none; objectives=0; deep_read=not-needed",""
"Skyrim.esm:0AD39D","Skyrim.esm","C04JorrvaskrCommotion","","semantic-silent","2","0","","0","direct_mcp_review=ok; source=Skyrim.esm; stages=2; journal_stages=none; completion_stages=none; objectives=0; deep_read=not-needed",""
"Skyrim.esm:0AD7AD","Skyrim.esm","WICommentDiseased","Player is diseased","semantic-silent-radiant-or-template","1","0","","0","direct_mcp_review=ok; source=Skyrim.esm; stages=1; journal_stages=none; completion_stages=none; objectives=0; deep_read=not-needed",""
"Skyrim.esm:0AD8E1","Skyrim.esm","DialogueMorthalFalionsHouseScene04","Morthal Falion's House Scene 4","structural-silent","0","0","","0","direct_mcp_review=ok; source=Skyrim.esm; stages=0; journal_stages=none; completion_stages=none; objectives=0; deep_read=not-needed",""
"Skyrim.esm:0AD907","Skyrim.esm","DialogueMorthalHighmoonHallScene01","Morthal Highmoon Hall Scene 1","structural-silent","0","0","","0","direct_mcp_review=ok; source=Skyrim.esm; stages=0; journal_stages=none; completion_stages=none; objectives=0; deep_read=not-needed",""
"Skyrim.esm:0AD90B","Skyrim.esm","DialogueMorthalHighmoonHallScene02","Morthal Highmoon Hall Scene 2","structural-silent","0","0","","0","direct_mcp_review=ok; source=Skyrim.esm; stages=0; journal_stages=none; completion_stages=none; objectives=0; deep_read=not-needed",""
"Skyrim.esm:0AD94A","Skyrim.esm","DialogueMorthalHighmoonHallScene03","Morthal Highmoon Hall Scene 3","structural-silent","0","0","","0","direct_mcp_review=ok; source=Skyrim.esm; stages=0; journal_stages=none; completion_stages=none; objectives=0; deep_read=not-needed",""
"Skyrim.esm:0AD953","Skyrim.esm","DialogueMorthalHighmoonHallScene04","Morthal Highmoon Hall Scene 4","structural-silent","0","0","","0","direct_mcp_review=ok; source=Skyrim.esm; stages=0; journal_stages=none; completion_stages=none; objectives=0; deep_read=not-needed",""
"Skyrim.esm:0ADC8C","Skyrim.esm","WIKill05","Run to deceased and lock self in editor location","semantic-silent-radiant-or-template","2","0","","0","direct_mcp_review=ok; source=Skyrim.esm; stages=2; journal_stages=none; completion_stages=none; objectives=0; deep_read=not-needed",""
"Skyrim.esm:0ADFE7","Skyrim.esm","dunValtheimKeepQST","","semantic-silent","6","0","","0","direct_mcp_review=ok; source=Skyrim.esm; stages=6; journal_stages=none; completion_stages=none; objectives=0; deep_read=not-needed",""
"Skyrim.esm:0AE014","Skyrim.esm","dunBardsLeapSummitQST","The Lost Verse","semantic-silent","5","0","","0","direct_mcp_review=ok; source=Skyrim.esm; stages=5; journal_stages=none; completion_stages=none; objectives=0; deep_read=not-needed",""
"Skyrim.esm:0AE77E","Skyrim.esm","DialogueWhistlingMine","Whistling Mine Dialogue","structural-silent","0","0","","0","direct_mcp_review=ok; source=Skyrim.esm; stages=0; journal_stages=none; completion_stages=none; objectives=0; deep_read=not-needed",""
"Skyrim.esm:0AEC22","Skyrim.esm","DA11IntroScene","DA11IntroScene","semantic-silent","3","0","100","0","direct_mcp_review=ok; source=Skyrim.esm; stages=3; journal_stages=none; completion_stages=100; objectives=0; deep_read=not-needed",""
"Skyrim.esm:0AEDDE","Skyrim.esm","DialogueMorthalHighmoonHallScene05","Morthal Highmoon Hall Scene 5","structural-silent","0","0","","0","direct_mcp_review=ok; source=Skyrim.esm; stages=0; journal_stages=none; completion_stages=none; objectives=0; deep_read=not-needed",""
"Skyrim.esm:0AEDE7","Skyrim.esm","DialogueMorthalHighmoonHallScene06","Morthal Highmoon Hall Scene 6","structural-silent","0","0","","0","direct_mcp_review=ok; source=Skyrim.esm; stages=0; journal_stages=none; completion_stages=none; objectives=0; deep_read=not-needed",""
"Skyrim.esm:0AEEA4","Skyrim.esm","DialogueMorthalHighmoonHallScene07","Morthal Highmoon Hall Scene 7","structural-silent","0","0","","0","direct_mcp_review=ok; source=Skyrim.esm; stages=0; journal_stages=none; completion_stages=none; objectives=0; deep_read=not-needed",""
