editor_id,quest_name,outcome_stage,outcome,act_tags,citation,formid,evidence_tier,branch_note
ValTGAgent,Shadow of Possibility,200,Refused the Nightingale oath but accepted a separate bargain to serve as an Agent of Nocturnal.,serve_a_daedra:nocturnal,"s200 [COMPLETE] journal: ""I chose not to become a Nightingale. Instead, Val and I have become Agents of Nocturnal of a different variety... We are less powerful than Nightingales, but our souls remain our own.""",AX ValSerano.esp:23A085,A,Alternative to the vanilla Nightingale oath; the s210 branch duplicates accepting that vanilla oath and is not rowed.
ValTGCrow,Debt to the Crow,200,Relented and returned the Skeleton Key to appease Nocturnal.,serve_a_daedra:nocturnal,"s200 [COMPLETE] journal: ""I've relented and given the Skeleton Key to the Wraiths-of-Crows sent by Nocturnal. This appeased Nocturnal and her Daedra no longer hunt me.""",AX ValSerano.esp:290776,A,Terminal of the keep-the-Key consequence arc.
Val001,Between the Daedra and the Deep Blue Sea,200,Rescued Val Serano after he was marooned on a deserted island.,protect_the_weak,"s200 [COMPLETE] journal: ""I've rescued a man named Val Serano from a deserted island.""",AX ValSerano.esp:2EE9A6,A,Single outcome; aid to a stranded person is explicit.
Val002,He Runs a Tight Shipwreck,90,Passed a forged relic to Solitude's guard to clear Val's name.,deceit,"s40 journal: ""Val has no intention of returning the real relic to Solitude. Instead, he plans to substitute a forgery.""; s80 objective: Give the fake Star of Solitude to Captain Aldis; s90 journal: ""I've helped Val clear his name in Solitude, but at what cost to my own reputation?"" RUNTIME-VERIFY: the quest has no CompleteQuest flag.",AX ValSerano.esp:33AAF4,A,Terminal recorded stage despite missing completion flag.
ValCOLGradPres,The Seafaring Mage,30,Crafted and gave Val a set of mage robes to celebrate completing his studies.,master_craft_forge,"s10 objective: Craft the Seafaring Mage Robes and Boots at a tanning rack; s30 journal: ""To celebrate him completing his studies at the College of Winterhold, I crafted and gave him a set of mage robes."" RUNTIME-VERIFY: the quest has no CompleteQuest flag.",AX ValSerano.esp:356D21,A,Single crafted-gift outcome.
Val00A,Romancing the Rogue,200,Committed to a shared future with Val after the first romance path.,marriage_family,"s200 [COMPLETE] journal: ""Val and I have decided to chart our course together.""",AX ValSerano.esp:3AA4A5,A,Mutually exclusive positive romance terminal; route variant 1 of 3.
Val00A,Romancing the Rogue,300,Committed to a shared future with Val after the second romance path.,marriage_family,"s300 [COMPLETE] journal: ""Val and I have decided to chart our course together.""",AX ValSerano.esp:3AA4A5,A,Mutually exclusive positive romance terminal; route variant 2 of 3.
Val00A,Romancing the Rogue,400,Committed to a shared future with Val after the third romance path.,marriage_family,"s400 [COMPLETE] journal: ""Val and I have decided to chart our course together.""",AX ValSerano.esp:3AA4A5,A,Mutually exclusive positive romance terminal; route variant 3 of 3.
Val003,But You Have Heard of Me,200,Spared Tarek Serano after defeating the Dark Rose mutineers.,mercy_spare,"s60 journal: ""His father's fate is in my hands.""; s70: ""I've allowed Tarek Serano to leave with his life.""; s200 [COMPLETE]: ""We defeated the mutineers from the Dark Rose but allowed Tarek to live.""",AX ValSerano.esp:3AA4A7,A,Mutually exclusive with killing Tarek at s201.
Val003,But You Have Heard of Me,201,Killed Tarek Serano after the defeated pirate's fate was placed in the player's hands.,kill_the_helpless,"s60 journal: ""His father's fate is in my hands.""; s71: ""I've slain Tarek Serano.""; s201 [COMPLETE]: ""We defeated the mutineers from the Dark Rose and slew Tarek.""",AX ValSerano.esp:3AA4A7,A,The explicit spare-or-kill decision occurs after the battle; this is not honorable combat.
