race,moment,moment_order,deity_tone,slot_id,surface,surfacing,voice,budget_target,budget_hard,char_count,over_budget,trigger,draft_prose,edit
Mehrunes Dagon,Boon -- Seeker (Tier 1),10,"Mehrunes Dagon (Daedric path): Wrathful, totalizing, grandiose; the Prince of Destruction does not argue his case -- the end is a command he expects you to execute, not a cause he persuades you toward; his register is contemptuous of mortal hesitation and absolutely certain of the result; he is cold toward mortal concerns but his conviction about destruction is furious and absolute; he commands, tests, and dismisses -- you are either the instrument of the ruin or you are in the way of it.",PDV_Bless_Daedric_Dagon_Seeker,Boon description,Quiet,Narrator,140,200,127,,Passive blessing description; visible whenever the player views active effects.,Dagon's edge settles in you. Your blow against what is entrenched carries extra weight; the wall that should hold breaks first.,
Mehrunes Dagon,Boon -- Devoted (Tier 2),11,"Mehrunes Dagon (Daedric path): Wrathful, totalizing, grandiose; the Prince of Destruction does not argue his case -- the end is a command he expects you to execute, not a cause he persuades you toward; his register is contemptuous of mortal hesitation and absolutely certain of the result; he is cold toward mortal concerns but his conviction about destruction is furious and absolute; he commands, tests, and dismisses -- you are either the instrument of the ruin or you are in the way of it.",PDV_Bless_Daedric_Dagon_Devoted,Boon description,Quiet,Narrator,140,200,114,,Passive blessing description; visible whenever the player views active effects.,"Dagon's ruin deepens in you. Barriers fall faster, fortifications yield, and the things built to last crack first.",
Mehrunes Dagon,Boon -- Champion (Tier 3),12,"Mehrunes Dagon (Daedric path): Wrathful, totalizing, grandiose; the Prince of Destruction does not argue his case -- the end is a command he expects you to execute, not a cause he persuades you toward; his register is contemptuous of mortal hesitation and absolutely certain of the result; he is cold toward mortal concerns but his conviction about destruction is furious and absolute; he commands, tests, and dismisses -- you are either the instrument of the ruin or you are in the way of it.",PDV_Bless_Daedric_Dagon_Champion,Boon description,Quiet,Narrator,140,200,130,,Passive blessing description; visible whenever the player views active effects.,Dagon names you his ruin made walking. What stands is enemy; what is entrenched is target. You are the end that cannot be stopped.,
Mehrunes Dagon,Price -- Seeker (Tier 1),20,"Mehrunes Dagon (Daedric path): Wrathful, totalizing, grandiose; the Prince of Destruction does not argue his case -- the end is a command he expects you to execute, not a cause he persuades you toward; his register is contemptuous of mortal hesitation and absolutely certain of the result; he is cold toward mortal concerns but his conviction about destruction is furious and absolute; he commands, tests, and dismisses -- you are either the instrument of the ruin or you are in the way of it.",PDV_Price_Daedric_Dagon_Seeker,Price description,Quiet,Narrator,140,200,134,,Passive price description (paired with the boon); visible whenever the player views active effects.,The price of the ruin path: escalation. Dagon does not distinguish your order from the enemy's; the destruction begins to include you.,
Mehrunes Dagon,Price -- Devoted (Tier 2),21,"Mehrunes Dagon (Daedric path): Wrathful, totalizing, grandiose; the Prince of Destruction does not argue his case -- the end is a command he expects you to execute, not a cause he persuades you toward; his register is contemptuous of mortal hesitation and absolutely certain of the result; he is cold toward mortal concerns but his conviction about destruction is furious and absolute; he commands, tests, and dismisses -- you are either the instrument of the ruin or you are in the way of it.",PDV_Price_Daedric_Dagon_Devoted,Price description,Quiet,Narrator,140,200,131,,Passive price description (paired with the boon); visible whenever the player views active effects.,The price deepens: civic rupture. The communities that held you are part of the order Dagon destroys; the world around you empties.,
Mehrunes Dagon,Price -- Champion (Tier 3),22,"Mehrunes Dagon (Daedric path): Wrathful, totalizing, grandiose; the Prince of Destruction does not argue his case -- the end is a command he expects you to execute, not a cause he persuades you toward; his register is contemptuous of mortal hesitation and absolutely certain of the result; he is cold toward mortal concerns but his conviction about destruction is furious and absolute; he commands, tests, and dismisses -- you are either the instrument of the ruin or you are in the way of it.",PDV_Price_Daedric_Dagon_Champion,Price description,Quiet,Narrator,140,200,138,,Passive price description (paired with the boon); visible whenever the player views active effects.,"The full price: you are the principle. Dagon's ruin does not stop when you stop pointing it; you have become the revolution, no off state.",
Mehrunes Dagon,Tier-up -- Seeker,30,"Mehrunes Dagon (Daedric path): Wrathful, totalizing, grandiose; the Prince of Destruction does not argue his case -- the end is a command he expects you to execute, not a cause he persuades you toward; his register is contemptuous of mortal hesitation and absolutely certain of the result; he is cold toward mortal concerns but his conviction about destruction is furious and absolute; he commands, tests, and dismisses -- you are either the instrument of the ruin or you are in the way of it.",PDV_Notif_Daedric_Dagon_SeekerEntry,Notification,Noted,Narrator,60,80,42,,HUD corner notification. One per save.,Dagon marks you a Seeker of the ruin path.,
Mehrunes Dagon,Tier-up -- Devoted,31,"Mehrunes Dagon (Daedric path): Wrathful, totalizing, grandiose; the Prince of Destruction does not argue his case -- the end is a command he expects you to execute, not a cause he persuades you toward; his register is contemptuous of mortal hesitation and absolutely certain of the result; he is cold toward mortal concerns but his conviction about destruction is furious and absolute; he commands, tests, and dismisses -- you are either the instrument of the ruin or you are in the way of it.",PDV_Notif_Daedric_Dagon_DevotedEntry,Notification,Marked,Narrator,60,80,34,,HUD corner notification. One per save.,Dagon's ruin runs in you. Devoted.,
Mehrunes Dagon,Tier-down (lapse),32,"Mehrunes Dagon (Daedric path): Wrathful, totalizing, grandiose; the Prince of Destruction does not argue his case -- the end is a command he expects you to execute, not a cause he persuades you toward; his register is contemptuous of mortal hesitation and absolutely certain of the result; he is cold toward mortal concerns but his conviction about destruction is furious and absolute; he commands, tests, and dismisses -- you are either the instrument of the ruin or you are in the way of it.",PDV_Notif_Daedric_Dagon_Lapse,Notification,Noted,Narrator,60,80,51,,HUD corner notification. One per direction per save.,Dagon's favor withdraws. The destructive edge dims.,
Mehrunes Dagon,Champion recognition (MessageBox),33,"Mehrunes Dagon (Daedric path): Wrathful, totalizing, grandiose; the Prince of Destruction does not argue his case -- the end is a command he expects you to execute, not a cause he persuades you toward; his register is contemptuous of mortal hesitation and absolutely certain of the result; he is cold toward mortal concerns but his conviction about destruction is furious and absolute; he commands, tests, and dismisses -- you are either the instrument of the ruin or you are in the way of it.",PDV_Msg_Daedric_Dagon_ChampionEntry,MessageBox,Marked,God-voice,280,500,19+289,,MessageBox. One-time on first Champion tier.,"Title: ""Dagon's Ruin-Walker"" Body: ""Three times you brought the walls down without flinching. I do not congratulate instruments -- I deploy them. You are my Walker. The Razor is yours in spirit if not in hand, and the order standing before you is already ending. Do not stop. I do not tolerate hesitation in what I name mine.""",
