cluster,editor_id,outcome_stage,quest_name,act_tags,credited,missing,waived
sky_storm_nature,C01,200,Proving Honor,prove_by_struggle,Kyne(+S/small),Kynareth,waived
sky_storm_nature,C02,200,Brotherhood,prove_by_struggle,Kyne(+m/small),Kynareth,waived
sky_storm_nature,C03,200,The Silver Hand,kill_honorable_combat,Kyne(+m/small),Kynareth,waived
sky_storm_nature,C04,200,Blood's Honor,kill_honorable_combat,Kyne(+m/small) Y'ffre(+m/small) Khenarthi(+m/small),Kynareth,waived
sky_storm_nature,C05,200,Purity of Revenge,kill_honorable_combat,Kyne(+m/small),Kynareth,waived
sky_storm_nature,CW01A,1,Joining the Legion,kill_honorable_combat,Kyne(+m/small),Kynareth,waived
sky_storm_nature,CW01B,1,Joining the Stormcloaks,kill_honorable_combat,Kyne(+m/small),Kynareth,waived
sky_storm_nature,DA01,110,The Black Star,necromancy,Kynareth(-m/small) Y'ffre(-S/small),Kyne,waived
sky_storm_nature,DA06,200,The Cursed Tribe,prove_by_struggle,Kyne(+S/small),Kynareth,waived
sky_storm_nature,DA10,200,The House of Horrors,kill_the_helpless,Kyne(-m/small),Kynareth,waived
sky_storm_nature,DA11,100,The Taste of Death,kill_the_helpless,Kyne(-m/small) Khenarthi(-m/small),Kynareth,waived
sky_storm_nature,DA14,10,A Night To Remember,defile_nature,Kynareth(-S/small),Kyne,waived
sky_storm_nature,DA14,10,A Night To Remember,defile_nature,Kynareth(-S/small),Y'ffre,waived
sky_storm_nature,DA14,30,A Night To Remember,heal_comfort,Kynareth(+m/small),Kyne,waived
sky_storm_nature,DA16,200,Waking Nightmare,protect_the_weak,Kynareth(+m/small) Khenarthi(+S/small),Kyne,waived
sky_storm_nature,DB01,200,Innocence Lost,kill_the_helpless,Kyne(-m/small) Khenarthi(-m/small),Kynareth,waived
sky_storm_nature,DB02,200,With Friends Like These...,kill_the_helpless,Kyne(-m/small) Khenarthi(-m/small),Kynareth,waived
sky_storm_nature,DB03,30,Mourning Never Comes,kill_the_helpless,Kyne(-m/small) Khenarthi(-m/small),Kynareth,waived
sky_storm_nature,DB05,200,Bound Until Death,kill_the_helpless,Kyne(-m/small) Khenarthi(-m/small),Kynareth,waived
sky_storm_nature,DB08,200,Recipe for Disaster,kill_the_helpless,Kyne(-m/small),Kynareth,
sky_storm_nature,DB09,200,To Kill an Empire,defend_kin_home,Kyne(+m/small),Kynareth,waived
sky_storm_nature,DB10,20,Death Incarnate,kill_honorable_combat,Kyne(+m/small),Kynareth,waived
sky_storm_nature,DLC1VQ04,200,Chasing Echoes,necromancy,Kynareth(-m/small) Y'ffre(-S/small),Kyne,
sky_storm_nature,dunHunterQST,100,Kyne's Sacred Trials,"the_hunt,prove_by_struggle",Kyne(+C/milestone) Y'ffre(+m/small),Kynareth,waived
sky_storm_nature,MG03,55,Hitting the Books,protect_the_weak,Kynareth(+m/small) Khenarthi(+m/small),Kyne,waived
sky_storm_nature,MG05,200,Containment,protect_the_weak,Kynareth(+m/small),Kyne,waived
sky_storm_nature,MS14,200,Laid to Rest,protect_the_weak,Kynareth(+m/small) Khenarthi(+m/small),Kyne,waived
sky_storm_nature,T01,200,The Heart of Dibella,protect_the_weak,Kynareth(+m/small) Khenarthi(+S/small),Kyne,waived
