editor_id,quest_name,outcome_stage,outcome,act_tags,deity,valence,intensity,magnitude,citation,formid
ksws07MainQuest,The Frozen Heart,1300,Broke the curse and restored the Snow Elf woman's heart to her,"heal_comfort,succor_the_fallen",Auri-El,+,C,milestone,"Tier A stage log s1200/s1300 CompleteQuest 'We defeated the boss, dispelled the curse, and returned her heart to her'; Snow Elf lore lens; ruled 2026-07-16; restoring one of his last children from a curse is core domain",ksws07_quest.esm:002086
ksws07MainQuest,The Frozen Heart,1300,Broke the curse and restored the Snow Elf woman's heart to her,heal_comfort,Mara,+,C,milestone,"Tier A stage log s1200/s1300 CompleteQuest 'We defeated the boss, dispelled the curse, and returned her heart to her'; Snow Elf lore lens; ruled 2026-07-16",ksws07_quest.esm:002086
ksws07MainQuest,The Frozen Heart,1300,Broke the curse and restored the Snow Elf woman's heart to her,show_mercy,Stendarr,+,m,small,"Tier A stage log s1200/s1300 CompleteQuest 'We defeated the boss, dispelled the curse, and returned her heart to her'; Snow Elf lore lens; ruled 2026-07-16",ksws07_quest.esm:002086
ksws07MainQuest,The Frozen Heart,10000,Refused to help lift the Snow Elf woman's curse,abandon_the_suffering,Auri-El,-,m,small,"Tier A stage log s10000 CompleteQuest 'I've refused to help her end her curse'; Snow Elf lore lens; ruled 2026-07-16",ksws07_quest.esm:002086
ksws07MainQuest,The Frozen Heart,10000,Refused to help lift the Snow Elf woman's curse,abandon_the_suffering,Mara,-,m,small,"Tier A stage log s10000 CompleteQuest 'I've refused to help her end her curse'; Snow Elf lore lens; ruled 2026-07-16",ksws07_quest.esm:002086
ksws07MainQuest,The Frozen Heart,10000,Refused to help lift the Snow Elf woman's curse,abandon_the_suffering,Stendarr,-,m,small,"Tier A stage log s10000 CompleteQuest 'I've refused to help her end her curse'; Snow Elf lore lens; ruled 2026-07-16",ksws07_quest.esm:002086
ksws07MainQuest,The Frozen Heart,20100,Killed the cursed Snow Elf woman,kill_the_helpless,Stendarr,-,C,milestone,"Tier A stage log s20100 CompleteQuest 'I killed her'; Snow Elf lore lens; ruled 2026-07-16",ksws07_quest.esm:002086
ksws07MainQuest,The Frozen Heart,20100,Killed the cursed Snow Elf woman,kill_the_helpless,Auri-El,-,C,milestone,"Tier A stage log s20100 CompleteQuest 'I killed her'; Snow Elf lore lens; ruled 2026-07-16; butchering one of his last children",ksws07_quest.esm:002086
ksws07MainQuest,The Frozen Heart,20100,Killed the cursed Snow Elf woman,kill_the_helpless,Mara,-,m,small,"Tier A stage log s20100 CompleteQuest 'I killed her'; Snow Elf lore lens; ruled 2026-07-16",ksws07_quest.esm:002086
ksws07MainQuest,The Frozen Heart,20100,Killed the cursed Snow Elf woman,kill_the_helpless,Trinimac,-,m,small,"Tier A stage log s20100 CompleteQuest 'I killed her'; Snow Elf lore lens; ruled 2026-07-16; killing a helpless mer is the anti-honor act",ksws07_quest.esm:002086
ksws07MainQuest,The Frozen Heart,20100,Killed the cursed Snow Elf woman,cruelty,Molag Bal,+,m,small,"Tier A stage log s20100 CompleteQuest 'I killed her'; Snow Elf lore lens; ruled 2026-07-16",ksws07_quest.esm:002086
