editor_id,quest_name,outcome_stage,outcome,act_tags,deity,valence,intensity,magnitude,citation
t02,The Book of Love,200,Completed Mara's pilgrim errands as a Breton hearth and vow proof,"marriage_family,heal_comfort",Mara,+,C,small,"remap T9: Breton Hidden Art hearth/home cover and Knight's Road full-Eight contributor; terminal stage only; rejects ordinary marriage loops"
t02,The Book of Love,200,Completed Mara's pilgrim errands as Knight's Road mercy-vow proof,"mercy_spare,protect_the_weak",Stendarr,+,S,small,remap T9: Breton Knight's Road core; terminal stage only; rejects generic favor quests
t02,The Book of Love,200,Completed Mara's pilgrim errands as lawful public devotion,uphold_law_justice,Akatosh,+,m,small,remap T9: Breton Knight's Road full-Eight contributor; terminal stage only; not generic temple attendance
t02,The Book of Love,200,Completed Mara's pilgrim errands as social beauty and repair,aesthetic_devotion,Dibella,+,m,small,remap T9: Breton Knight's Road full-Eight contributor; terminal stage only; not generic romance
MS14,Laid to Rest,200,Destroyed Movarth and protected Morthal as a Knight's Road death-duty vow,"slay_undead,honor_the_dead",Arkay,+,C,small,remap T9: Breton/Nord/Imperial death-duty cross-wire; terminal stage only; rejects generic undead kills
MS14,Laid to Rest,200,Destroyed Movarth and protected Morthal as courtly public protection,protect_the_weak,Stendarr,+,S,small,remap T9: Knight's Road protection; terminal stage only; rejects ordinary Morthal travel
MS14,Laid to Rest,200,Destroyed Movarth and protected Morthal as hearth continuity,protect_the_weak,Mara,+,S,small,remap T9: Breton Hidden Art cover/home and Knight's Road mercy; terminal stage only
MS14,Laid to Rest,200,Destroyed Movarth and protected Morthal as warding against the occult,"slay_undead,disciplined_study",Magnus,+,m,small,remap T9: Breton Hidden Art benign magic / warding interpretation; terminal stage only; rejects generic vampire combat
T03,The Blessings of Nature,100,Restored the Gildergreen through the Eldergleam as a Green Way covenant milestone,"honor_the_wild,defile_nature",Y'ffre,+,C,milestone,"remap T9: Green Way Kynareth proxy routes to Y'ffre; approved stage already used by P2; rejects shrine proximity and repeat visits"
T03,The Blessings of Nature,100,Restored the Gildergreen through the Eldergleam as nature repair,honor_the_wild,Kynareth,+,m,small,remap T9: Divine/Knight's Road Kynareth contributor only; Green Way ownership remains Y'ffre; exact stage only and rejects shrine proximity
MG08,The Eye of Magnus,200,Contained the Eye of Magnus through disciplined magical stewardship,disciplined_study,Magnus,+,C,milestone,"remap T9: Hidden Art benign magic and Altmer Magnus; terminal stage only; rejects generic College membership"
