race,moment,moment_order,deity_tone,slot_id,surface,surfacing,voice,budget_target,budget_hard,char_count,over_budget,trigger,draft_prose,edit
Dunmer,Substrate posture readout,61,,PDV_Msg_Dunmer_AncestorPosture_Normal,Status spell readout,Quiet,Narrator,180,240,91,,Shown via Survey Devotion and on posture transitions.,"The ash-prayer carries. The ancestors are present, and they answer the life you are living.",
Dunmer,Substrate posture readout,61,,PDV_Msg_Dunmer_AncestorPosture_Strained,Status spell readout,Noted,Narrator,180,240,117,,Shown via Survey Devotion and on posture transitions.,"The ash-prayer carries, but thinly. Something in you sits uneasy with the ancestors -- the beast, or an unclean rite.",
Dunmer,Substrate posture readout,61,,PDV_Msg_Dunmer_AncestorPosture_Silent,Status spell readout,Marked,Narrator,180,240,132,,Shown via Survey Devotion and on posture transitions.,The ash-prayer meets no answer. The ancestors do not speak to the undead. The silence is not punishment; it is what you have become.,
Dunmer,Substrate posture readout,61,,PDV_Msg_Dunmer_AncestorPosture_RestoredScarred,Status spell readout,Marked,Narrator,180,240,99,,Shown via Survey Devotion and on posture transitions.,"The ash-prayer carries again. The ancestors answer -- but they remember the silence, and so do you.",
Dunmer,First blessing (Tier 1),10,,PDV_Bless_Dunmer_GoodDaedra_T1,Blessing description,Quiet,Narrator,140,200,103,,Passive blessing description; visible whenever the player views active effects.,The ash-prayer is kept and the Good Daedra are acknowledged. Fire resistance +5%; magic resistance +5%.,
Dunmer,Deepening blessing (Tier 2),11,,PDV_Bless_Dunmer_GoodDaedra_T2,Blessing description,Quiet,Narrator,140,200,168,,Passive blessing description; visible whenever the player views active effects.,"The Reclamations hold steady around your exile. From dawn to midday, fire resistance +10% and magic resistance +5%. A power-attack kill on a strong foe returns stamina.",
Dunmer,Devoted blessing (Tier 3),12,"Azura: Twilight-voiced, prophetic, tender about painful truth; speaks of thresholds and of becoming truer, not merely stronger; warns rather than commands.",PDV_Bless_Dunmer_Azura_T3,Blessing description,Quiet,Narrator,140,200,123,,Passive blessing description; visible whenever the player views active effects.,"Azura watches your thresholds. From dawn to noon, fire and magic resistance climb together; by night, magic costs 10% less.",
Dunmer,Devoted blessing (Tier 3),12,"Boethiah: Trial-voiced, sharp, strength-testing; speaks of the unworthy cut away and the self authored through struggle; combative, never cruel.",PDV_Bless_Dunmer_Boethiah_T3,Blessing description,Quiet,Narrator,140,200,152,,Passive blessing description; visible whenever the player views active effects.,"Boethiah marks proven strength. After felling a significant foe, carry weight +25 and lighter power attacks for a day. The ancestors record the victory.",
Dunmer,Devoted blessing (Tier 3),12,"Mephala: Soft, conspiratorial, web-voiced; speaks of the hidden people, the secret kept, the web drawn close; intimate rather than loud.",PDV_Bless_Dunmer_Mephala_T3,Blessing description,Quiet,Narrator,140,200,134,,Passive blessing description; visible whenever the player views active effects.,Mephala draws the web close. Poison resistance +20%; the hidden network returns 5% more gold. Discretion opens doors others never see.,
Dunmer,Other,999,,PDV_Notif_Dunmer_GoodDaedra_ObservantEntry,Notification,Noted,Narrator,60,80,59,,HUD corner notification. One per save.,The ash-prayer holds and the Good Daedra answer. Observant.,
Dunmer,Other,999,,PDV_Notif_Dunmer_GoodDaedra_FaithfulEntry,Notification,Noted,Narrator,60,80,52,,HUD corner notification. One per save; suppress-if-offer-same-dawn.,The Reclamations are steady in your exile. Faithful.,
Dunmer,Other,999,,PDV_Notif_Dunmer_Focus_DevotedEntry,Notification,Marked,Narrator,60,80,32,,HUD corner notification. One per save; %s is the focus deity.,%s knows your name now. Devoted.,
Dunmer,Other,999,,PDV_Notif_Dunmer_GoodDaedra_ObservantLapse,Notification,Noted,Narrator,60,80,50,,HUD corner notification. One per direction per save.,The Good Daedra answer more faintly now. Wavering.,
Dunmer,Other,999,,PDV_Notif_Dunmer_GoodDaedra_FaithfulLapse,Notification,Noted,Narrator,60,80,56,,HUD corner notification. One per direction per save.,The Reclamations are thinning toward silence. Observant.,
Dunmer,Other,999,,PDV_Notif_Dunmer_Focus_DevotedLapse,Notification,Marked,Narrator,60,80,55,,HUD corner notification. One per save per focus loss.,The bond with %s loosens. The Devoted bond is not held.,
Dunmer,Champion recognition (MessageBox),30,"Azura: Twilight-voiced, prophetic, tender about painful truth; speaks of thresholds and of becoming truer, not merely stronger; warns rather than commands.",PDV_Msg_Dunmer_Azura_ChampionEntry,MessageBox,Marked,God-voice,280,500,22+143,,MessageBox. One-time on first Azura Devoted.,"Title: ""Azura at the Threshold"" Body: ""I marked your people once, at the worst crossing they ever made. I mark you now. Stand at the thresholds, and you will not stand at them blind.""",
Dunmer,Champion ambient line,31,"Azura: Twilight-voiced, prophetic, tender about painful truth; speaks of thresholds and of becoming truer, not merely stronger; warns rather than commands.",PDV_Notif_Dunmer_Azura_ChampionAmbient_Threshold,Notification,Noted,Player-2nd,60,80,50,,HUD corner notification. Azura Devoted + threshold beat; one per in-game day.,"At the threshold, Azura's voice goes ahead of you.",
Dunmer,Champion recognition (MessageBox),30,"Boethiah: Trial-voiced, sharp, strength-testing; speaks of the unworthy cut away and the self authored through struggle; combative, never cruel.",PDV_Msg_Dunmer_Boethiah_ChampionEntry,MessageBox,Marked,God-voice,280,500,15+148,,MessageBox. One-time on first Boethiah Devoted.,"Title: ""Boethiah's Mark"" Body: ""You did not survive. You overcame. The unworthy fell, and you stood where they stood. Author yourself further -- I am watching, and so are the dead.""",
Dunmer,Champion ambient line,31,"Boethiah: Trial-voiced, sharp, strength-testing; speaks of the unworthy cut away and the self authored through struggle; combative, never cruel.",PDV_Notif_Dunmer_Boethiah_ChampionAmbient_Trial,Notification,Noted,Player-2nd,60,80,43,,HUD corner notification. Boethiah Devoted + rival-strength kill; cooldown.,A worthy foe down. The ancestors have seen.,
Dunmer,Champion recognition (MessageBox),30,"Mephala: Soft, conspiratorial, web-voiced; speaks of the hidden people, the secret kept, the web drawn close; intimate rather than loud.",PDV_Msg_Dunmer_Mephala_ChampionEntry,MessageBox,Marked,God-voice,280,500,13+145,,MessageBox. One-time on first Mephala Devoted.,"Title: ""Mephala's Web"" Body: ""The hidden people survive because someone holds the threads. You hold them now. The web knows your hand, and it will not let you fall through it.""",
Dunmer,Champion ambient line,31,"Mephala: Soft, conspiratorial, web-voiced; speaks of the hidden people, the secret kept, the web drawn close; intimate rather than loud.",PDV_Notif_Dunmer_Mephala_ChampionAmbient_HiddenObligation,Notification,Noted,Player-2nd,60,80,41,,HUD corner notification. Mephala Devoted + hidden-community beat; per qualifying event.,"The web tightens, quietly, in your favor.",
Dunmer,Commitment offer (the god asks),50,"Azura: Twilight-voiced, prophetic, tender about painful truth; speaks of thresholds and of becoming truer, not merely stronger; warns rather than commands.",PDV_Msg_Dunmer_Azura_Offer,MessageBox,Marked,God-voice,280,500,16+197,,MessageBox. Dawn-fire; per-deity cooldown.,"Title: ""Azura's Twilight"" Body: ""You have lived toward me without naming it -- the thresholds kept, the hard truths faced. This is not leaving the ancestors. It is the ash-prayer deepening toward dawn. Will you name me your focus?""",
