editor_id,classes,note
BardsCollegeDrum,gold,leveled gold from Giraud (UESP)
BardsCollegeFlute,gold,leveled gold from Pantea (UESP)
BardsCollegeLute,gold,leveled gold from Inge (UESP)
BardsCollegePoeticEdda,gold,leveled gold from Giraud (UESP)
DB11,gold,Hail Sithis! large gold sum (UESP)
DB03,gold,Mourning Never Comes: Muiri pays leveled gold (UESP; main-loop correction over the conservative agent pass)
MS05,gold,Tending the Flames: Viarmo pays leveled gold after the festival (UESP; main-loop correction)
MG01,mageAid,First Lessons: College of Winterhold
MG02,mageAid,Under Saarthal: College of Winterhold
MG03,mageAid,Hitting the Books: College of Winterhold
MG04,mageAid,Good Intentions: College of Winterhold
MG05,mageAid,Revealing the Unseen: College of Winterhold
MG07,mageAid,The Staff of Magnus: College of Winterhold
MG08,mageAid,The Eye of Magnus: College of Winterhold
MQ103,mageAid,Bleak Falls Barrow: research errand for court wizard Farengar
