race,moment,moment_order,deity_tone,slot_id,surface,surfacing,voice,budget_target,budget_hard,char_count,over_budget,trigger,draft_prose,edit
Imperial,First blessing (Tier 1),10,"Akatosh: Imperial, institutional, time-and-law; the Empire's own god; speaks of continuity and the unbroken line; formal.",PDV_Bless_Imperial_Akatosh_T1,Blessing description,Quiet,Narrator,140,200,124,,Passive blessing description; visible whenever the player views active effects.,Akatosh steadies your civic hours. Time-pressure checks are more forgiving and your resistance to dragon breath rises by 5%.,
Imperial,Deepening blessing (Tier 2),11,"Akatosh: Imperial, institutional, time-and-law; the Empire's own god; speaks of continuity and the unbroken line; formal.",PDV_Bless_Imperial_Akatosh_T2,Blessing description,Quiet,Narrator,140,200,111,,Passive blessing description; visible whenever the player views active effects.,Akatosh rewards the unwavering. Long devotion streaks return bonus piety; dragon-order service scores strongly.,
Imperial,Devoted blessing (Tier 3),12,"Akatosh: Imperial, institutional, time-and-law; the Empire's own god; speaks of continuity and the unbroken line; formal.",PDV_Bless_Imperial_Akatosh_T3,Blessing description,Quiet,Narrator,140,200,143,,Passive blessing description; visible whenever the player views active effects.,Akatosh keeps the long order. Unbroken devotion of fourteen days returns cumulative skill experience; the Amulet of Akatosh doubles its effect.,
Imperial,First blessing (Tier 1),10,"Talos: The forbidden god; speaks low and urgent of conscience against law, of the man who made the Empire; defiant, costly, never safe.",PDV_Bless_Imperial_Talos_T1,Blessing description,Quiet,Narrator,140,200,109,,Passive blessing description; visible whenever the player views active effects.,"Talos answers even the quiet faith. Your shouts recharge 5% faster, and civil war service is felt as worship.",
Imperial,Deepening blessing (Tier 2),11,"Talos: The forbidden god; speaks low and urgent of conscience against law, of the man who made the Empire; defiant, costly, never safe.",PDV_Bless_Imperial_Talos_T2,Blessing description,Quiet,Narrator,140,200,123,,Passive blessing description; visible whenever the player views active effects.,"Talos answers defiance. At Private Defiant, hidden shrines bless deeper; at Open Defiant, devotion gains a further measure.",
Imperial,Devoted blessing (Tier 3),12,"Talos: The forbidden god; speaks low and urgent of conscience against law, of the man who made the Empire; defiant, costly, never safe.",PDV_Bless_Imperial_Talos_T3,Blessing description,Quiet,Narrator,140,200,145,,Passive blessing description; visible whenever the player views active effects.,"Talos marks faith held against the law. Your shouts recharge 15% faster, and Stormcloak ground and defiance return a surge of stamina and health.",
Imperial,First blessing (Tier 1),10,Kynareth: Temple-framed weather grace; speaks of road and open sky in a civic Divine register; steadier than the Nord's Kyne.,PDV_Bless_Imperial_Kynareth_T1,Blessing description,Quiet,Narrator,140,200,129,,Passive blessing description; visible whenever the player views active effects.,"Kynareth shelters the traveler. Your resistance to cold and storms rises by 10%, and your stamina regenerates 5% faster outdoors.",
Imperial,Deepening blessing (Tier 2),11,Kynareth: Temple-framed weather grace; speaks of road and open sky in a civic Divine register; steadier than the Nord's Kyne.,PDV_Bless_Imperial_Kynareth_T2,Blessing description,Quiet,Narrator,140,200,112,,Passive blessing description; visible whenever the player views active effects.,Kynareth steadies the open way. Outdoor rest fully restores stamina; her shrine cleansing fully restores health.,
Imperial,Devoted blessing (Tier 3),12,Kynareth: Temple-framed weather grace; speaks of road and open sky in a civic Divine register; steadier than the Nord's Kyne.,PDV_Bless_Imperial_Kynareth_T3,Blessing description,Quiet,Narrator,140,200,124,,Passive blessing description; visible whenever the player views active effects.,"Kynareth grants passage. In storm and rain, power attacks cost 10% less stamina; outdoor sleep removes all exposure penalty.",
Imperial,First blessing (Tier 1),10,"Mara: Civic warmth, the mother of the people; speaks of marriage, household, the bonds that hold a community; kind and public.",PDV_Bless_Imperial_Mara_T1,Blessing description,Quiet,Narrator,140,200,91,,Passive blessing description; visible whenever the player views active effects.,Mara counts your kindness. Healing magic is 5% more effective; vendors offer better prices.,
