editor_id,quest_name,outcome_stage,outcome,act_tags,deity,valence,intensity,magnitude,citation,formid
FreeformRiften11b,A Strong Nord Woman,100,Faced down Tythis on Svana's behalf and freed her from him,protect_the_weak,Stendarr,+,S,small,"B04: the mod's OWN quest, not an override. Objectives s20 'Talk to Tythis', s30 'Win the brawl against Tythis', s40 'Threaten Tythis', s50 'Talk to Svana'; s100 is the CompleteQuest terminal. honorable_duel is for the brawl, which is a fist-fight challenge rather than a killing. RUNTIME-VERIFY: every stage in this quest is tier B or C - objectives only, no journal text anywhere - so the outcome is read from the objective chain and must be confirmed in game. cross-gen KEEP: protect_the_weak(C) from the Stendarr Part B profile, stepped down.",Caught Red Handed - Quest Expansion.esp:000802
FreeformRiften11b,A Strong Nord Woman,100,Faced down Tythis on Svana's behalf and freed her from him,protect_the_weak,Mara,+,m,small,"B04: the mod's OWN quest, not an override. Objectives s20 'Talk to Tythis', s30 'Win the brawl against Tythis', s40 'Threaten Tythis', s50 'Talk to Svana'; s100 is the CompleteQuest terminal. honorable_duel is for the brawl, which is a fist-fight challenge rather than a killing. RUNTIME-VERIFY: every stage in this quest is tier B or C - objectives only, no journal text anywhere - so the outcome is read from the objective chain and must be confirmed in game. cross-gen KEEP: protect_the_weak(m) from the Mara Part B profile, stepped down.",Caught Red Handed - Quest Expansion.esp:000802
FreeformRiften11b,A Strong Nord Woman,100,Faced down Tythis on Svana's behalf and freed her from him,protect_the_weak,Kynareth,+,m,small,"B04: the mod's OWN quest, not an override. Objectives s20 'Talk to Tythis', s30 'Win the brawl against Tythis', s40 'Threaten Tythis', s50 'Talk to Svana'; s100 is the CompleteQuest terminal. honorable_duel is for the brawl, which is a fist-fight challenge rather than a killing. RUNTIME-VERIFY: every stage in this quest is tier B or C - objectives only, no journal text anywhere - so the outcome is read from the objective chain and must be confirmed in game. cross-gen KEEP: protect_the_weak(m) from the Kynareth Part B profile, stepped down.",Caught Red Handed - Quest Expansion.esp:000802
FreeformRiften11b,A Strong Nord Woman,100,Faced down Tythis on Svana's behalf and freed her from him,protect_the_weak,Talos,+,m,small,"B04: the mod's OWN quest, not an override. Objectives s20 'Talk to Tythis', s30 'Win the brawl against Tythis', s40 'Threaten Tythis', s50 'Talk to Svana'; s100 is the CompleteQuest terminal. honorable_duel is for the brawl, which is a fist-fight challenge rather than a killing. RUNTIME-VERIFY: every stage in this quest is tier B or C - objectives only, no journal text anywhere - so the outcome is read from the objective chain and must be confirmed in game. cross-gen KEEP: protect_the_weak(m) from the Talos Part B profile, stepped down.",Caught Red Handed - Quest Expansion.esp:000802
FreeformRiften11b,A Strong Nord Woman,100,Faced down Tythis on Svana's behalf and freed her from him,protect_the_weak,Tsun,+,m,small,"B04: the mod's OWN quest, not an override. Objectives s20 'Talk to Tythis', s30 'Win the brawl against Tythis', s40 'Threaten Tythis', s50 'Talk to Svana'; s100 is the CompleteQuest terminal. honorable_duel is for the brawl, which is a fist-fight challenge rather than a killing. RUNTIME-VERIFY: every stage in this quest is tier B or C - objectives only, no journal text anywhere - so the outcome is read from the objective chain and must be confirmed in game. cross-gen KEEP: protect_the_weak(m) from the Tsun Part B profile, stepped down.",Caught Red Handed - Quest Expansion.esp:000802
FreeformRiften11b,A Strong Nord Woman,100,Faced down Tythis on Svana's behalf and freed her from him,protect_the_weak,Stuhn,+,m,small,"B04: the mod's OWN quest, not an override. Objectives s20 'Talk to Tythis', s30 'Win the brawl against Tythis', s40 'Threaten Tythis', s50 'Talk to Svana'; s100 is the CompleteQuest terminal. honorable_duel is for the brawl, which is a fist-fight challenge rather than a killing. RUNTIME-VERIFY: every stage in this quest is tier B or C - objectives only, no journal text anywhere - so the outcome is read from the objective chain and must be confirmed in game. cross-gen KEEP: protect_the_weak(S) from the Stuhn Part B profile, stepped down.",Caught Red Handed - Quest Expansion.esp:000802
FreeformRiften11b,A Strong Nord Woman,100,Faced down Tythis on Svana's behalf and freed her from him,protect_the_weak,Syrabane,+,S,small,"B04: the mod's OWN quest, not an override. Objectives s20 'Talk to Tythis', s30 'Win the brawl against Tythis', s40 'Threaten Tythis', s50 'Talk to Svana'; s100 is the CompleteQuest terminal. honorable_duel is for the brawl, which is a fist-fight challenge rather than a killing. RUNTIME-VERIFY: every stage in this quest is tier B or C - objectives only, no journal text anywhere - so the outcome is read from the objective chain and must be confirmed in game. cross-gen KEEP: protect_the_weak(C) from the Syrabane Part B profile, stepped down.",Caught Red Handed - Quest Expansion.esp:000802
FreeformRiften11b,A Strong Nord Woman,100,Faced down Tythis on Svana's behalf and freed her from him,protect_the_weak,Khenarthi,+,m,small,"B04: the mod's OWN quest, not an override. Objectives s20 'Talk to Tythis', s30 'Win the brawl against Tythis', s40 'Threaten Tythis', s50 'Talk to Svana'; s100 is the CompleteQuest terminal. honorable_duel is for the brawl, which is a fist-fight challenge rather than a killing. RUNTIME-VERIFY: every stage in this quest is tier B or C - objectives only, no journal text anywhere - so the outcome is read from the objective chain and must be confirmed in game. cross-gen KEEP: protect_the_weak(S) from the Khenarthi Part B profile, stepped down.",Caught Red Handed - Quest Expansion.esp:000802
FreeformRiften11b,A Strong Nord Woman,100,Faced down Tythis on Svana's behalf and freed her from him,honorable_duel,Leki,+,S,small,"B04: the mod's OWN quest, not an override. Objectives s20 'Talk to Tythis', s30 'Win the brawl against Tythis', s40 'Threaten Tythis', s50 'Talk to Svana'; s100 is the CompleteQuest terminal. honorable_duel is for the brawl, which is a fist-fight challenge rather than a killing. RUNTIME-VERIFY: every stage in this quest is tier B or C - objectives only, no journal text anywhere - so the outcome is read from the objective chain and must be confirmed in game. cross-gen KEEP: honorable_duel(C) from the Leki Part B profile, stepped down.",Caught Red Handed - Quest Expansion.esp:000802
FreeformRiften11b,A Strong Nord Woman,100,Faced down Tythis on Svana's behalf and freed her from him,protect_the_weak,The Hist,+,m,small,"B04: the mod's OWN quest, not an override. Objectives s20 'Talk to Tythis', s30 'Win the brawl against Tythis', s40 'Threaten Tythis', s50 'Talk to Svana'; s100 is the CompleteQuest terminal. honorable_duel is for the brawl, which is a fist-fight challenge rather than a killing. RUNTIME-VERIFY: every stage in this quest is tier B or C - objectives only, no journal text anywhere - so the outcome is read from the objective chain and must be confirmed in game. cross-gen KEEP: protect_the_weak(S) from the The Hist Part B profile, stepped down.",Caught Red Handed - Quest Expansion.esp:000802
