race,moment,moment_order,deity_tone,slot_id,surface,surfacing,voice,budget_target,budget_hard,char_count,over_budget,trigger,draft_prose,edit
Breton,First blessing (Tier 1),10,,PDV_Bless_Breton_KnightsRoad_T1,Blessing description,Quiet,Narrator,140,200,124,,Passive blessing description; visible whenever the player views active effects.,"The vow is kept. Your magic resistance rises by 5%, and defending an NPC in combat grants 20 more maximum health for a time.",
Breton,Deepening blessing (Tier 2),11,,PDV_Bless_Breton_KnightsRoad_T2,Blessing description,Quiet,Narrator,140,200,124,,Passive blessing description; visible whenever the player views active effects.,Stendarr and the Divines answer the knight. Mercy and unrewarded aid arm the next fight; high Integrity steadies your block.,
Breton,First blessing (Tier 1),10,,PDV_Bless_Breton_HiddenArt_T1,Blessing description,Quiet,Narrator,140,200,106,,Passive blessing description; visible whenever the player views active effects.,The hidden practice answers. Novice and Apprentice spells cost 5% less; magic regenerates faster at night.,
Breton,Deepening blessing (Tier 2),11,,PDV_Bless_Breton_HiddenArt_T2,Blessing description,Quiet,Narrator,140,200,130,,Passive blessing description; visible whenever the player views active effects.,"Your patron rewards the occult work. Daedric shrines and rituals sharpen your magic; at Notorious, devotion gains a quarter again.",
Breton,First blessing (Tier 1),10,,PDV_Bless_Breton_GreenWay_T1,Blessing description,Quiet,Narrator,140,200,101,,Passive blessing description; visible whenever the player views active effects.,"The old covenant stirs. Your resistance to poison rises by 10%, and foraging yields an extra harvest.",
Breton,Deepening blessing (Tier 2),11,,PDV_Bless_Breton_GreenWay_T2,Blessing description,Quiet,Narrator,140,200,138,,Passive blessing description; visible whenever the player views active effects.,Y'ffre answers the druid. Outdoor sleep restores stamina and half your missing health; animals rarely turn on you; standing stones answer.,
Breton,Other,999,,PDV_Notif_Breton_Observant_Entry,Notification,Noted,Narrator,60,80,41,,HUD corner notification. One per deity per save.,%s has noticed your tradition. Observant.,
Breton,Other,999,,PDV_Notif_Breton_Faithful_Entry,Notification,Noted,Narrator,60,80,46,,HUD corner notification. One per deity per save.,Your standing with %s is steady now. Faithful.,
Breton,Other,999,,PDV_Notif_Breton_Devoted_Entry,Notification,Marked,Narrator,60,80,28,,HUD corner notification. One per save.,%s knows your name. Devoted.,
Breton,Other,999,,PDV_Notif_Breton_Observant_Lapse,Notification,Noted,Narrator,60,80,46,,HUD corner notification. One per deity per direction per save.,Your standing with %s has slipped to Wavering.,
Breton,Other,999,,PDV_Notif_Breton_Faithful_Lapse,Notification,Noted,Narrator,60,80,39,,HUD corner notification. One per deity per direction per save.,The favor of %s is thinning. Observant.,
Breton,Other,999,,PDV_Notif_Breton_Devoted_Lapse,Notification,Marked,Narrator,60,80,55,,HUD corner notification. One per save per Devoted loss.,The bond with %s loosens. The Devoted bond is not held.,
Breton,Other,999,,PDV_Msg_Breton_TraditionChoice_Setup,MessageBox,Marked,Narrator,280,500,15+194,,MessageBox. First-run setup; one-time.,"Title: ""Which Tradition"" Body: ""Breton faith is the tradition you walk; the gods give it shape after. Choose: the Knight's Road of vow and mercy, the Hidden Art of occult practice, or the Green Way of the old druidic covenant.""",
Breton,Path / tradition setup,101,,PDV_Notif_Breton_Tradition_KnightsRoad_Entry,Notification,Noted,Narrator,60,80,53,,HUD corner notification. On tradition set to Knight's Road.,You walk the Knight's Road. The vow is yours to keep.,
Breton,Path / tradition setup,101,,PDV_Notif_Breton_Tradition_HiddenArt_Entry,Notification,Noted,Narrator,60,80,69,,HUD corner notification. On tradition set to Hidden Art.,"You walk the Hidden Art. The occult practice is yours, and its risks.",
Breton,Path / tradition setup,101,,PDV_Notif_Breton_Tradition_GreenWay_Entry,Notification,Noted,Narrator,60,80,58,,HUD corner notification. On tradition set to Green Way.,You walk the Green Way. The old druidic covenant is yours.,
Breton,Focus emergence (silent),25,,PDV_Notif_Breton_FocusEmergence,Notification,Noted,Narrator,60,80,78,,HUD corner notification. Fires when focused emphasis settles within the tradition; %s deity.,"Within your tradition, your devotion has settled on %s. The focus has emerged.",
Breton,Other,999,,PDV_Msg_Breton_ChampionEntry_KnightsRoad,MessageBox,Marked,God-voice,280,500,16+202,,MessageBox. One-time on first Knight's Road Devoted.,"Title: ""The Vow Unbroken"" Body: ""Skyrim offered you the Guild, the Brotherhood, every expedient shortcut -- and you kept the vow through all of it. That is the hardest road in this province. The shield you carry for others is real now.""",
Breton,Other,999,,PDV_Msg_Breton_ChampionEntry_HiddenArt,MessageBox,Marked,God-voice,280,500,24+190,,MessageBox. One-time on first Hidden Art Devoted.,"Title: ""The Double Life Resolved"" Body: ""You chose -- the practice hidden completely, or declared and Notorious. You did not linger in the safe middle. Your patron rewards the one who commits, whichever way. The art is fully yours.""",
Breton,Other,999,,PDV_Msg_Breton_ChampionEntry_GreenWay,MessageBox,Marked,God-voice,280,500,20+191,,MessageBox. One-time on first Green Way Devoted.,"Title: ""The Forest Knows You"" Body: ""Skyrim's woods are cold and they do not welcome easily. They welcome you. The animals settle, the hunt is guided, the standing stones answer. The old covenant is kept, quietly and completely.""",
Breton,Other,999,,PDV_Notif_Breton_KnightlyVowIntegrity_Intact,Notification,Noted,Narrator,60,80,59,,HUD corner notification. One per band entry.,Your knightly vow stands intact. Stendarr reads it clearly.,
Breton,Other,999,,PDV_Notif_Breton_KnightlyVowIntegrity_Strained,Notification,Noted,Narrator,60,80,68,,HUD corner notification. One per band entry.,Your knightly vow is strained. Knight's Road favor comes harder now.,
Breton,Other,999,,PDV_Notif_Breton_KnightlyVowIntegrity_Broken,Notification,Marked,Narrator,60,80,74,,HUD corner notification. One per band entry.,Your knightly vow is broken. The Knight's Road halts until you restore it.,
Breton,Other,999,,PDV_Notif_Breton_WitchcraftExposure_Hidden,Notification,Noted,Narrator,60,80,74,,HUD corner notification. One per band entry.,Your occult practice is Hidden. It is invisible to those who would object.,
Breton,Other,999,,PDV_Notif_Breton_WitchcraftExposure_Suspected,Notification,Noted,Narrator,60,80,62,,HUD corner notification. One per band entry.,Your practice is Suspected. The Vigilants may begin to notice.,
Breton,Other,999,,PDV_Notif_Breton_WitchcraftExposure_Known,Notification,Noted,Narrator,60,80,60,,HUD corner notification. One per band entry.,Your practice is Known. The Vigilants are a real danger now.,
Breton,Other,999,,PDV_Notif_Breton_WitchcraftExposure_Notorious,Notification,Marked,Narrator,60,80,77,,HUD corner notification. One per band entry.,Practice now Notorious. Society ruptures; the patron rewards full commitment.,
Breton,Other,999,,PDV_Notif_Breton_DruidicStanding_Open,Notification,Noted,Narrator,60,80,56,,HUD corner notification. One per band entry.,The druidic covenant is open but unproven. Y'ffre waits.,
Breton,Other,999,,PDV_Notif_Breton_DruidicStanding_Acknowledged,Notification,Noted,Narrator,60,80,66,,HUD corner notification. One per band entry.,The druidic covenant is acknowledged. Y'ffre answers you steadily.,
Breton,Other,999,,PDV_Notif_Breton_DruidicStanding_Frayed,Notification,Noted,Narrator,60,80,57,,HUD corner notification. One per band entry.,The druidic covenant frays. The forest is forgetting you.,
Breton,Druidic / Green Way trial,102,,PDV_Msg_Breton_GreenWay_DruidicTrial_Confront,MessageBox,Marked,God-voice,280,500,17+232,,"MessageBox. One-time, on first werewolf transformation as Green Way.","Title: ""The Druidic Trial"" Body: ""The beast is in you now. The druid circles have always been split on this. Decide: the beast serves the Green, and the covenant deepens around the new shape -- or Hircine's gift becomes your own, and the Green closes to you. Choose.""",
Breton,Druidic / Green Way trial,102,,PDV_Msg_Breton_GreenWay_DruidicTrial_BeastServesGreen,MessageBox,Marked,Player-2nd,40,60,27,,MessageBox. Y'ffre devotion resumes full; Hircine path locked out.,The beast serves the Green.,
Breton,Druidic / Green Way trial,102,,PDV_Msg_Breton_GreenWay_DruidicTrial_HircineClaimed,MessageBox,Marked,Player-2nd,40,60,23,,MessageBox. Druidic fork betrayal pressure begins; Hircine drift begins.,Hircine's gift is mine.,
Breton,Drifting away (neglect),40,,PDV_Notif_Breton_KnightsRoad_NeglectTexture,Notification,Noted,Player-2nd,60,80,63,,HUD corner notification. One per lapse-band crossing.,"The vow feels hollow. Your patron is disappointed, not distant.",
Breton,Drifting away (neglect),40,,PDV_Notif_Breton_HiddenArt_NeglectTexture,Notification,Noted,Player-2nd,60,80,71,,HUD corner notification. One per lapse-band crossing.,"You went Notorious, then stopped. The cost remains; the reward is gone.",
Breton,Drifting away (neglect),40,,PDV_Notif_Breton_GreenWay_NeglectTexture,Notification,Noted,Player-2nd,60,80,63,,HUD corner notification. One per lapse-band crossing.,The forest stopped noticing you. Nature is only background now.,
Breton,Survey Devotion (player checks status),60,,PDV_Msg_Breton_Survey_KnightsRoad,Status spell readout,Quiet,Narrator,180,240,103,,Shown via Survey Devotion and on posture transitions.,"You walk the Knight's Road: vow, mercy, protective justice. Standing: %s1. Knightly Vow Integrity: %s2.",
Breton,Survey Devotion (player checks status),60,,PDV_Msg_Breton_Survey_HiddenArt,Status spell readout,Quiet,Narrator,180,240,102,,Shown via Survey Devotion and on posture transitions.,You walk the Hidden Art: occult practice and the double life. Standing: %s1. Witchcraft Exposure: %s2.,
Breton,Survey Devotion (player checks status),60,,PDV_Msg_Breton_Survey_GreenWay,Status spell readout,Quiet,Narrator,180,240,87,,Shown via Survey Devotion and on posture transitions.,You walk the Green Way: the old druidic covenant. Standing: %s1. Druidic Standing: %s2.,
Breton,"Contextual favor (small, Noted)",70,,PDV_Notif_Breton_FavorNoted_KnightsRoad_MercyJustice,Notification,Noted,Player-2nd,60,80,64,,HUD corner notification. After-act; curated mercy/justice outcomes.,"Mercy chosen, justice kept. The vow holds, and Stendarr sees it.",
Breton,"Contextual favor (small, Noted)",70,,PDV_Notif_Breton_FavorNoted_KnightsRoad_ProtectedOther,Notification,Noted,Player-2nd,60,80,61,,HUD corner notification. Momentary/after-act; curated defense situations.,You stood between the weak and the blade. The shield is real.,
Breton,"Contextual favor (small, Noted)",70,,PDV_Notif_Breton_FavorNoted_KnightsRoad_UnrewardedAid,Notification,Noted,Player-2nd,60,80,61,,HUD corner notification. After-act; curated zero-reward quest variants.,Help given with no reward asked. The Knight's Road counts it.,
Breton,"Contextual favor (small, Noted)",70,,PDV_Notif_Breton_FavorNoted_HiddenArt_OccultWork,Notification,Noted,Player-2nd,60,80,63,,HUD corner notification. After-act; major occult acts only.,"The hidden practice deepens. Your patron is pleased, and quiet.",
Breton,"Contextual favor (small, Noted)",70,,PDV_Notif_Breton_FavorNoted_HiddenArt_DaedricRite,Notification,Noted,Player-2nd,60,80,59,,HUD corner notification. After-act; Daedric quest outcomes.,A Daedric rite completed. The patron's reward flows strong.,
Breton,"Contextual favor (large, Marked)",71,,PDV_Msg_Breton_FavorMarked_HiddenArt_NotoriousRupture,MessageBox,Marked,God-voice,280,500,9+159,,MessageBox. One-time on first reaching Notorious.,"Title: ""Notorious"" Body: ""You have stopped hiding. Society recoils, and there is no taking it back -- but I no longer have to whisper to you. The art is loud now, and it is fully yours.""",
Breton,"Contextual favor (small, Noted)",70,,PDV_Notif_Breton_FavorNoted_GreenWay_StandingStone,Notification,Noted,Player-2nd,60,80,48,,"HUD corner notification. Environmental; per stone, first visit.","At the standing stone, the old covenant answers.",
Breton,"Contextual favor (small, Noted)",70,,PDV_Notif_Breton_FavorNoted_GreenWay_OutdoorLife,Notification,Noted,Player-2nd,60,80,48,,"HUD corner notification. Environmental; cadence-based, daily cap.",The wild keeps you. Y'ffre's covenant is steady.,
Breton,"Contextual favor (small, Noted)",70,,PDV_Notif_Breton_FavorNoted_GreenWay_NatureRestraint,Notification,Noted,Player-2nd,60,80,53,,HUD corner notification. After-act; nature-aligned restraint.,You spared the living world where you could. Counted.,
Breton,Curse onset / cure,80,,PDV_Msg_Breton_CurseState_VampireOnset,MessageBox,Marked,God-voice,280,500,27+261,,MessageBox. Once on becoming vampire.,"Title: ""The Curse and the Tradition"" Body: ""You are undead now, and each tradition answers differently. The Knight's Road breaks -- oaths and Divines lost. The Green Way excommunicates -- Y'ffre closes. Only the Hidden Art finds you a partial home, in the Volkihar court and the witch-mother's acceptance.""",
Breton,Curse onset / cure,80,,PDV_Msg_Breton_CurseState_VampireCured,MessageBox,Marked,God-voice,280,500,8+196,,MessageBox. Once on cure.,"Title: ""Re-Entry"" Body: ""The undeath is lifted. The Knight's Road may be rebuilt through restored Integrity. The Green Way remains under betrayal pressure until an authored re-entry exists; richer restoration is deferred.""",
