editor_id,quest_name,outcome_stage,outcome,act_tags,deity,valence,intensity,magnitude,citation,formid
Sat_Orphanage,Three Wise Men,20,Delivered toys and food so Honorhall's children could celebrate Saturalia,"charity,protect_the_weak",Mara,+,C,milestone,"T13 direct raw-file read: s20 CompleteQuest explicitly records the orphanage donation and the children's joy.",TheGiftofSaturalia.esp:0008AA
Sat_Orphanage,Three Wise Men,20,Delivered toys and food so Honorhall's children could celebrate Saturalia,"charity,protect_the_weak",Stendarr,+,C,milestone,"T13 direct raw-file read: s20 CompleteQuest explicitly records the orphanage donation and the children's joy.",TheGiftofSaturalia.esp:0008AA
Sat_Laugh,The Joy of Dawnstar,8,Made seven people in Dawnstar laugh for Saturalia,"heal_comfort,aesthetic_devotion",Mara,+,C,milestone,"T13 direct raw-file read: s8 CompleteQuest explicitly records making seven people laugh.",TheGiftofSaturalia.esp:0008D3
Sat_Laugh,The Joy of Dawnstar,8,Made seven people in Dawnstar laugh for Saturalia,"heal_comfort,aesthetic_devotion",Dibella,+,C,milestone,"T13 direct raw-file read: s8 CompleteQuest explicitly records making seven people laugh.",TheGiftofSaturalia.esp:0008D3
Sat_Adoption,Windhelm By The Sea,10,Helped Captain Lonely-Gale consider adopting an orphan,marriage_family,Mara,+,C,milestone,"T13 direct raw-file read: s10 CompleteQuest says Lonely-Gale might have adopted a child after the player's intervention.",TheGiftofSaturalia.esp:000963
Sat_Dog,Lending a Paw,10,Brought Santus to keep Olava the Feeble company,"heal_comfort,protect_the_weak",Mara,+,C,milestone,"T13 direct raw-file read: s10 CompleteQuest says Olava was happy to have the dog's company.",TheGiftofSaturalia.esp:0009A4
Sat_Dog,Lending a Paw,10,Brought Santus to keep Olava the Feeble company,"heal_comfort,protect_the_weak",Stendarr,+,C,milestone,"T13 direct raw-file read: s10 CompleteQuest says Olava was happy to have the dog's company.",TheGiftofSaturalia.esp:0009A4
Sat_Music,A Song in the Dark,30,Helped a blind beggar win admission to the Bards College,"charity,protect_the_weak,aesthetic_devotion",Mara,+,C,milestone,"T13 direct raw-file read: s30 ShutDownStage/CompleteQuest says Diane sang for Viarmo and was accepted into the College.",TheGiftofSaturalia.esp:0009D2
Sat_Music,A Song in the Dark,30,Helped a blind beggar win admission to the Bards College,"charity,protect_the_weak,aesthetic_devotion",Stendarr,+,C,milestone,"T13 direct raw-file read: s30 ShutDownStage/CompleteQuest says Diane sang for Viarmo and was accepted into the College.",TheGiftofSaturalia.esp:0009D2
Sat_Music,A Song in the Dark,30,Helped a blind beggar win admission to the Bards College,"charity,protect_the_weak,aesthetic_devotion",Dibella,+,C,milestone,"T13 direct raw-file read: s30 ShutDownStage/CompleteQuest says Diane sang for Viarmo and was accepted into the College.",TheGiftofSaturalia.esp:0009D2
Sat_Music,A Song in the Dark,30,Helped a blind beggar win admission to the Bards College,"charity,protect_the_weak,aesthetic_devotion",Y'ffre,+,S,small,"T13 direct raw-file read: s30 confirms the bardic performance and admission; Y'ffre's Storyteller profile treats aesthetic devotion as S.",TheGiftofSaturalia.esp:0009D2
Sat_Adoption,Windhelm By The Sea,10,Helped Captain Lonely-Gale consider adopting an orphan,marriage_family,Dibella,+,m,small,"T13 cross-gen KEEP: the CompleteQuest log explicitly records possible adoption; stepped-down Dibella family profile match.",TheGiftofSaturalia.esp:000963
Sat_Dog,Lending a Paw,10,Brought Santus to keep Olava the Feeble company,"heal_comfort,protect_the_weak",Dibella,+,m,small,"T13 cross-gen KEEP: the CompleteQuest entry explicitly says Olava was happy to have company; stepped-down Dibella comfort profile match.",TheGiftofSaturalia.esp:0009A4
Sat_Dog,Lending a Paw,10,Brought Santus to keep Olava the Feeble company,"heal_comfort,protect_the_weak",Kynareth,+,m,small,"T13 cross-gen KEEP: direct comfort to a vulnerable elder; stepped-down Kynareth comfort profile match.",TheGiftofSaturalia.esp:0009A4
Sat_Music,A Song in the Dark,30,Helped a blind beggar win admission to the Bards College,"charity,protect_the_weak,aesthetic_devotion",Stuhn,+,m,small,"T13 cross-gen KEEP: concrete aid to a vulnerable person; stepped-down Stuhn protection profile match.",TheGiftofSaturalia.esp:0009D2
Sat_Music,A Song in the Dark,30,Helped a blind beggar win admission to the Bards College,"charity,protect_the_weak,aesthetic_devotion",Syrabane,+,S,small,"T13 cross-gen KEEP: concrete protection/opportunity for a vulnerable artist; stepped-down Syrabane warding profile match.",TheGiftofSaturalia.esp:0009D2
Sat_Orphanage,Three Wise Men,20,Delivered toys and food so Honorhall's children could celebrate Saturalia,"charity,protect_the_weak",Dibella,+,m,small,"T13 cross-gen KEEP: explicit charity and joy for orphans; stepped-down Dibella charity profile match.",TheGiftofSaturalia.esp:0008AA
Sat_Orphanage,Three Wise Men,20,Delivered toys and food so Honorhall's children could celebrate Saturalia,"charity,protect_the_weak",Stuhn,+,m,small,"T13 cross-gen KEEP: concrete aid to defenseless children; stepped-down Stuhn protection profile match.",TheGiftofSaturalia.esp:0008AA
Sat_Orphanage,Three Wise Men,20,Delivered toys and food so Honorhall's children could celebrate Saturalia,"charity,protect_the_weak",Syrabane,+,S,small,"T13 cross-gen KEEP: concrete aid to defenseless children; stepped-down Syrabane warding profile match.",TheGiftofSaturalia.esp:0008AA
