editor_id,quest_name,outcome_stage,outcome,act_tags,deity,valence,intensity,magnitude,citation,formid
EVGSirenrootQuest,Sirenroot,150,"Laid the haunting Ayleid spirit to rest, escaped the flooding ruin, and was paid for the dive",honor_the_dead,Arkay,+,C,milestone,"Tier A stage log s150 CompleteQuest 'I spoke with Frissa Black-Briar about the Ayleid ruins, and she compensated me'; Ayleid = Aldmeri kin, mer-lore lens; ruled 2026-07-16; retagged 2026-08-09 lay_spirit_to_rest -> honor_the_dead: the original was in neither Part A nor any Part B profile, so it could never fan out and was invisible to the equity audit. Stage evidence above is unchanged.",evgSIRENROOT.esm:026BC5
EVGSirenrootQuest,Sirenroot,150,"Laid the haunting Ayleid spirit to rest, escaped the flooding ruin, and was paid for the dive",honor_the_dead,Meridia,+,C,small,"Tier A stage log s150 CompleteQuest 'I spoke with Frissa Black-Briar about the Ayleid ruins, and she compensated me'; Ayleid = Aldmeri kin, mer-lore lens; ruled 2026-07-16; Ayleids were Meridia's historic worshippers; a haunt purged from her people's ruin; retagged 2026-08-09 lay_spirit_to_rest -> honor_the_dead: the original was in neither Part A nor any Part B profile, so it could never fan out and was invisible to the equity audit. Stage evidence above is unchanged.",evgSIRENROOT.esm:026BC5
EVGSirenrootQuest,Sirenroot,150,"Laid the haunting Ayleid spirit to rest, escaped the flooding ruin, and was paid for the dive",honor_the_dead,Stendarr,+,S,small,"Tier A stage log s150 CompleteQuest 'I spoke with Frissa Black-Briar about the Ayleid ruins, and she compensated me'; Ayleid = Aldmeri kin, mer-lore lens; ruled 2026-07-16; retagged 2026-08-09 lay_spirit_to_rest -> honor_the_dead: the original was in neither Part A nor any Part B profile, so it could never fan out and was invisible to the equity audit. Stage evidence above is unchanged.",evgSIRENROOT.esm:026BC5
EVGSirenrootQuest,Sirenroot,150,"Laid the haunting Ayleid spirit to rest, escaped the flooding ruin, and was paid for the dive",honor_the_dead,Tu'whacca,+,S,small,"Tier A stage log s150 CompleteQuest 'I spoke with Frissa Black-Briar about the Ayleid ruins, and she compensated me'; Ayleid = Aldmeri kin, mer-lore lens; ruled 2026-07-16; bound dead released back into the cycle; retagged 2026-08-09 lay_spirit_to_rest -> honor_the_dead: the original was in neither Part A nor any Part B profile, so it could never fan out and was invisible to the equity audit. Stage evidence above is unchanged.",evgSIRENROOT.esm:026BC5
EVGSirenrootQuest,Sirenroot,150,"Laid the haunting Ayleid spirit to rest, escaped the flooding ruin, and was paid for the dive",honor_the_dead,Azura,+,m,small,"Tier A stage log s150 CompleteQuest 'I spoke with Frissa Black-Briar about the Ayleid ruins, and she compensated me'; Ayleid = Aldmeri kin, mer-lore lens; ruled 2026-07-16; anti-undeath kinship echo, stepped down; retagged 2026-08-09 lay_spirit_to_rest -> honor_the_dead: the original was in neither Part A nor any Part B profile, so it could never fan out and was invisible to the equity audit. Stage evidence above is unchanged.",evgSIRENROOT.esm:026BC5
EVGSirenrootQuest,Sirenroot,150,"Laid the haunting Ayleid spirit to rest, escaped the flooding ruin, and was paid for the dive",honor_the_dead,Y'ffre,+,m,small,"Tier A stage log s150 CompleteQuest 'I spoke with Frissa Black-Briar about the Ayleid ruins, and she compensated me'; Ayleid = Aldmeri kin, mer-lore lens; ruled 2026-07-16; retagged 2026-08-09 lay_spirit_to_rest -> honor_the_dead: the original was in neither Part A nor any Part B profile, so it could never fan out and was invisible to the equity audit. Stage evidence above is unchanged.",evgSIRENROOT.esm:026BC5
EVGSirenrootQuest,Sirenroot,150,"Laid the haunting Ayleid spirit to rest, escaped the flooding ruin, and was paid for the dive","honor_the_dead,honor_elven_dead",Auri-El,+,S,small,"Tier A stage log s150 CompleteQuest 'I spoke with Frissa Black-Briar about the Ayleid ruins, and she compensated me'; Ayleid = Aldmeri kin, mer-lore lens; ruled 2026-07-16; an elven ancestor-soul released to Aetherius; mer death-rite; retagged 2026-08-09 lay_spirit_to_rest -> honor_the_dead: the original was in neither Part A nor any Part B profile, so it could never fan out and was invisible to the equity audit. Stage evidence above is unchanged.",evgSIRENROOT.esm:026BC5
EVGSirenrootQuest,Sirenroot,150,"Laid the haunting Ayleid spirit to rest, escaped the flooding ruin, and was paid for the dive","honor_the_dead,honor_elven_dead",Xarxes,+,S,small,"Tier A stage log s150 CompleteQuest 'I spoke with Frissa Black-Briar about the Ayleid ruins, and she compensated me'; Ayleid = Aldmeri kin, mer-lore lens; ruled 2026-07-16; keeper of elven ancestry; an ancient Ayleid's story recovered; retagged 2026-08-09 lay_spirit_to_rest -> honor_the_dead: the original was in neither Part A nor any Part B profile, so it could never fan out and was invisible to the equity audit. Stage evidence above is unchanged.",evgSIRENROOT.esm:026BC5
EVGSirenrootQuest,Sirenroot,150,"Laid the haunting Ayleid spirit to rest, escaped the flooding ruin, and was paid for the dive",arcane_mastery,Magnus,+,m,small,"Tier A stage log s150 CompleteQuest 'I spoke with Frissa Black-Briar about the Ayleid ruins, and she compensated me'; Ayleid = Aldmeri kin, mer-lore lens; ruled 2026-07-16; Varla stones are captured Aetherial star-magic; the four-stone rite",evgSIRENROOT.esm:026BC5
EVGSirenrootQuest,Sirenroot,150,"Laid the haunting Ayleid spirit to rest, escaped the flooding ruin, and was paid for the dive",honest_work,Zenithar,+,m,small,"Tier A stage log s150 CompleteQuest 'I spoke with Frissa Black-Briar about the Ayleid ruins, and she compensated me'; Ayleid = Aldmeri kin, mer-lore lens; ruled 2026-07-16; paid salvage contract completed",evgSIRENROOT.esm:026BC5
