race,moment,moment_order,deity_tone,slot_id,surface,surfacing,voice,budget_target,budget_hard,char_count,over_budget,trigger,draft_prose,edit
Peryite,Boon -- Seeker (Tier 1),10,"Peryite (Daedric path): Dry, dutiful, faintly officious; the god of the lowest task and the disease it comes with; speaks in assignment, not invitation -- the work must be done, and he assigns it without apology or explanation; his register is completely indifferent to whether you find the task noble, because he is not asking.",PDV_Bless_Daedric_Peryite_Seeker,Boon description,Quiet,Narrator,140,200,136,,Passive blessing description; visible whenever the player views active effects.,"Peryite's resilience settles in you. Affliction finds you harder to bring down, and the unpleasant tasks others refuse are simply tasks.",
Peryite,Boon -- Devoted (Tier 2),11,"Peryite (Daedric path): Dry, dutiful, faintly officious; the god of the lowest task and the disease it comes with; speaks in assignment, not invitation -- the work must be done, and he assigns it without apology or explanation; his register is completely indifferent to whether you find the task noble, because he is not asking.",PDV_Bless_Daedric_Peryite_Devoted,Boon description,Quiet,Narrator,140,200,116,,Passive blessing description; visible whenever the player views active effects.,"Peryite's imposed order deepens. Disease weakens you less; the tasks you are assigned, however low, run efficiently.",
Peryite,Boon -- Champion (Tier 3),12,"Peryite (Daedric path): Dry, dutiful, faintly officious; the god of the lowest task and the disease it comes with; speaks in assignment, not invitation -- the work must be done, and he assigns it without apology or explanation; his register is completely indifferent to whether you find the task noble, because he is not asking.",PDV_Bless_Daedric_Peryite_Champion,Boon description,Quiet,Narrator,140,200,131,,Passive blessing description; visible whenever the player views active effects.,Peryite names you keeper of the lowest order. Affliction barely touches you; the unwanted tasks run efficiently through your hands.,
Peryite,Price -- Seeker (Tier 1),20,"Peryite (Daedric path): Dry, dutiful, faintly officious; the god of the lowest task and the disease it comes with; speaks in assignment, not invitation -- the work must be done, and he assigns it without apology or explanation; his register is completely indifferent to whether you find the task noble, because he is not asking.",PDV_Price_Daedric_Peryite_Seeker,Price description,Quiet,Narrator,140,200,100,,Passive price description (paired with the boon); visible whenever the player views active effects.,"The price of the affliction path: you carry what Peryite assigns, and some assignments are diseases.",
Peryite,Price -- Devoted (Tier 2),21,"Peryite (Daedric path): Dry, dutiful, faintly officious; the god of the lowest task and the disease it comes with; speaks in assignment, not invitation -- the work must be done, and he assigns it without apology or explanation; his register is completely indifferent to whether you find the task noble, because he is not asking.",PDV_Price_Daedric_Peryite_Devoted,Price description,Quiet,Narrator,140,200,112,,Passive price description (paired with the boon); visible whenever the player views active effects.,"The price deepens: task-order submission. Peryite assigns; the devotee's judgment yields to it, not ahead of it.",
Peryite,Price -- Champion (Tier 3),22,"Peryite (Daedric path): Dry, dutiful, faintly officious; the god of the lowest task and the disease it comes with; speaks in assignment, not invitation -- the work must be done, and he assigns it without apology or explanation; his register is completely indifferent to whether you find the task noble, because he is not asking.",PDV_Price_Daedric_Peryite_Champion,Price description,Quiet,Narrator,140,200,136,,Passive price description (paired with the boon); visible whenever the player views active effects.,The full price: you are the lowest-order mechanism. Peryite assigns; you execute; the nature of the assignment is not yours to question.,
Peryite,Tier-up -- Seeker,30,"Peryite (Daedric path): Dry, dutiful, faintly officious; the god of the lowest task and the disease it comes with; speaks in assignment, not invitation -- the work must be done, and he assigns it without apology or explanation; his register is completely indifferent to whether you find the task noble, because he is not asking.",PDV_Notif_Daedric_Peryite_SeekerEntry,Notification,Noted,Narrator,60,80,51,,HUD corner notification. One per save.,Peryite marks you a Seeker of the affliction order.,
Peryite,Tier-up -- Devoted,31,"Peryite (Daedric path): Dry, dutiful, faintly officious; the god of the lowest task and the disease it comes with; speaks in assignment, not invitation -- the work must be done, and he assigns it without apology or explanation; his register is completely indifferent to whether you find the task noble, because he is not asking.",PDV_Notif_Daedric_Peryite_DevotedEntry,Notification,Marked,Narrator,60,80,47,,HUD corner notification. One per save.,Peryite's task-order deepens its hold. Devoted.,
Peryite,Tier-down (lapse),32,"Peryite (Daedric path): Dry, dutiful, faintly officious; the god of the lowest task and the disease it comes with; speaks in assignment, not invitation -- the work must be done, and he assigns it without apology or explanation; his register is completely indifferent to whether you find the task noble, because he is not asking.",PDV_Notif_Daedric_Peryite_Lapse,Notification,Noted,Narrator,60,80,55,,HUD corner notification. One per direction per save.,Peryite reassigns. The affliction resilience withdraws.,
Peryite,Champion recognition (MessageBox),33,"Peryite (Daedric path): Dry, dutiful, faintly officious; the god of the lowest task and the disease it comes with; speaks in assignment, not invitation -- the work must be done, and he assigns it without apology or explanation; his register is completely indifferent to whether you find the task noble, because he is not asking.",PDV_Msg_Daedric_Peryite_ChampionEntry,MessageBox,Marked,God-voice,280,500,21+256,,MessageBox. One-time on first Champion tier.,"Title: ""Peryite's Task-Keeper"" Body: ""You have completed three tasks no one else would take. That is the gate. I do not offer meaning; I offer efficiency. The lowest order must run, and it runs best through those who accept it without complaint. You are that now. The assignment list continues.""",
