id,surface,race,target,tier,verify_layer,verdict,detail,requirement,authority
BC-0025,signal_channel,Altmer,College/Psijic milestones,BETA,source,GAP-REVIEW,missing: PDV_ALT_POS_COLLEGE_PSIJIC,College of Winterhold advancement and Eye of Magnus/Psijic-adjacent quest stages must generate PDV_ALT_POS_COLLEGE_PSIJIC piety (+8 to +12 per authored milestone); anti-farm on repeatables.,PDV_RaceDesign_Altmer.md -- Positive income tags / PDV_ALT_POS_COLLEGE_PSIJIC
BC-0048,signal_channel,Bosmer,Z'en - Exchange Reciprocity family (Z1: transaction),BETA,source,GAP-REVIEW,missing: PDV_FavorFamily_ZenReciprocity,"Bosmer Exchange path must have a signal channel PDV_FavorFamily_ZenReciprocity Z1 for completed market transactions (buy/sell via BarterMenu, training, or fine/bounty-settled via Crime-Gold node); Class B +0.5, shared daily cap 1.5, per-signal cooldown ~1 game-hour; requires non-zero gold movement.",PDV_TriggerTopups_Exchange_KnightsRoad.md - A. Bosmer - The Exchange (Z'en): the Reciprocity family - Z1
BC-0049,signal_channel,Bosmer,Z'en - Exchange Reciprocity family (Z2: production),BETA,source,GAP-REVIEW,missing: PDV_FavorFamily_ZenReciprocity,"Bosmer Exchange path must have a signal channel PDV_FavorFamily_ZenReciprocity Z2 for acquiring sellable goods by own labor (ore mined, firewood chopped, ingredients/pelts gathered, item crafted) via Add-Item SM and Increase-Skill (smithing/alchemy/enchanting); gated on skill-XP gained or per-recipe cooldown to block re-temper spam.",PDV_TriggerTopups_Exchange_KnightsRoad.md - A. Bosmer - The Exchange (Z'en): the Reciprocity family - Z2
BC-0052,signal_channel,Breton,Knight's Road - Justice family (K1: defend the road),BETA,source,GAP-REVIEW,missing: PDV_FavorFamily_KnightJustice,"Breton Knight's Road must have a signal channel PDV_FavorFamily_KnightJustice K1 for defeating a predatory-faction enemy (BanditFaction, ForswornFaction) WITHOUT a stealth-kill opener (isSneakAttack false / player.IsSneaking() false at kill); Class B +0.5, daily cap 1.5.",PDV_TriggerTopups_Exchange_KnightsRoad.md - B. Breton - Knight's Road: the Justice family - K1
BC-0094,signal_channel,Nord,Kyne/Kynareth,BETA,source,GAP-REVIEW,"TELEMETRY-STUB (no piety sink within depth 2): RouteNordKyneTalosContext, HandleNordKyneTalosContext","Focused Kyne/Kynareth context has live support/favor routing through the Nord sky-road contextual favor path, but the original piety-award wording remains a separate source-authoring question.",PDV_RaceDesign_Nord.md -- Focused Kyne contextual favor table; live support route is RouteNordKyneTalosContext
BC-0224,record_flag,ALL,All 16 Daedric Princes,BETA,esp,GAP-REVIEW,missing: PDV_GLO_DaedricExposure,PDV_GLO_DaedricExposure derived global must be maintained as the max of all active per-Prince stigma values and keyed to broad social-reaction conditions.,PDV_Daedric_DecisionPacket_CAT4.md D-15.1 'PDV_GLO_DaedricExposure = max(active path stigma)'
BC-0457,anti_farm,Bosmer,Z'en - Reciprocity family shared cap,BETA,source,GAP-REVIEW,missing: PDV_FavorFamily_ZenReciprocity,Z1 and Z2 signals for Bosmer Exchange must share a single PDV_FavorFamily_ZenReciprocity daily cap of 1.5; together they must not exceed one default day's contribution without allowing either to be farmed independently.,PDV_TriggerTopups_Exchange_KnightsRoad.md - A. Bosmer - Anti-farm
BC-0458,anti_farm,Breton,Knight's Road - Justice family shared cap,BETA,source,GAP-REVIEW,missing: PDV_FavorFamily_KnightJustice,"Knight's Road Justice family K1 and K2 signals must share PDV_FavorFamily_KnightJustice daily cap of 1.5; sneak-kills excluded from scoring to block stealth-archer farming; predatory-faction gate blocks scoring innocents, guards, or animals.",PDV_TriggerTopups_Exchange_KnightsRoad.md - B. Breton - Anti-farm
BC-0520,substrate,Dunmer,Ancestor ash-prayer (PDV_Substrate_DunmerAncestor),BETA,esp,GAP-REVIEW,missing: PDV_State_DunmerAncestorPosture,PDV_Substrate_DunmerAncestor must be always-active for all Dunmer with keys Metric/Tier/LastEvent/PrayerCount/HomeCount/Posture; PDV_State_DunmerAncestorPosture uses Normal=0/Strained=1/Silent=2/RestoredScarred=3; no passive decay -- portable shrine assumed maintained.,PDV_RaceDesign_Dunmer.md -- Ancestor substrate implementation (LOCKED) + Ancestor posture enum (LOCKED)
BC-0535,state_track,Dunmer,Dunmer ancestor substrate and posture state,BETA,esp,GAP-REVIEW,missing: PDV_State_DunmerAncestorPosture,"PDV_Substrate_DunmerAncestor and PDV.Substrate.DunmerAncestor.* key contract must exist; PDV_State_DunmerAncestorPosture must have enum values Normal, Strained, Silent, RestoredScarred; no passive decay; focus uses shared patron state not a Dunmer path enum.","PDV_RaceRewardBudgetLedger.md -- Focused Pass: Dunmer, Needs verifier/proof; PDV_RaceEffectReviewLedger.md -- Dunmer baseline"
BC-0570,curse_daedric,Dunmer,Dunmer ancestor silence / RestoredScarred posture on vampire cure,BETA,source,GAP-REVIEW,missing: PDV_State_DunmerAncestorPosture,Dunmer ancestor posture must include RestoredScarred state for vampire cure/restoration; ancestor substrate must not passively decay in Skyrim; deviation prices route through global Daedric system.,"PDV_RaceEffectReviewLedger.md -- Dunmer layered baseline row, curse/Daedric; PDV_RaceRewardBudgetLedger.md -- Focused Pass: Dunmer"
BC-0573,curse_daedric,Imperial,Vampire,BETA,source,GAP-REVIEW,missing: PDV_State_ImperialVampireHistory,"Imperial vampirism must halt Divine devotion entirely (not reduce -- halt); ConcordatStanding no longer matters religiously; on cure, Divine devotion resumes at a lowered starting floor with one-time state tracking, no full restoration.",PDV_RaceDesign_Imperial.md -- Curse State Summary / Vampire
BC-0577,curse_daedric,Nord,Hircine,BETA,source,GAP-REVIEW,missing: PDV_State_NordCurse,Werewolf state must open Hircine pressure path with Sovngarde vs Hunting Grounds tension; Shor/Tsun/Stuhn piety gain reduced while transformed or in active Companions werewolf arc; cure/renounce starts readable hunt-residue recovery.,PDV_RaceDesign_Nord.md -- Curse State Summary / Phase 13 lock (LOCKED)
BC-0593,runtime_wiring,ALL,PDV_FavorFamily_KnightJustice - router registration,BETA,esp,GAP-REVIEW,missing: PDV_FavorFamily_KnightJustice,PDV_FavorFamily_KnightJustice family keyword must be registered in the PDV_ActionRouter constants block; Kill-Actor victim-faction + sneak-flag branch must be wired in PDV_PlayerEvents.psc.,PDV_TriggerTopups_Exchange_KnightsRoad.md - Integration (per Architecture:287)
BC-0594,runtime_wiring,ALL,PDV_FavorFamily_ZenReciprocity - router registration,BETA,esp,GAP-REVIEW,missing: PDV_FavorFamily_ZenReciprocity,PDV_FavorFamily_ZenReciprocity family keyword must be registered in the PDV_ActionRouter constants block; Add-Item/Increase-Skill SM branch and menu-event handler on PDV_PlayerEvents alias must be wired per the integration spec.,PDV_TriggerTopups_Exchange_KnightsRoad.md - Integration (per Architecture:287)
BC-0634,surfacing,ALL,Tier transition notifications,BETA,source,GAP-REVIEW,"missing: PDV_Notif_*_Tier, PDV_Notif_*_ChampionMoment","Player-facing notifications must fire at tier threshold changes (Observant/Faithful/Devoted), patron offer/acceptance, track threshold changes, curse/fork choices, restoration state changes, and Champion moments. Routine score movement stays silent.",Devotion_Races_Overview.md -- Reading the Race Sheets / notification shape; PDV_RaceDesign_Breton.md -- Global gameplay rules (notifications)
BC-0636,surfacing,Altmer,curse transition -- terminal vampire / werewolf halt,BETA,data,GAP-REVIEW,missing: PDV_Msg_Altmer_CurseState_VampireOnset (NAMING-DRIFT? found PDV_Msg_Nord_CurseState_VampireOnset),Altmer vampire onset must surface PDV_Msg_Altmer_CurseState_VampireOnset (terminal) plus optional PDV_Msg_Altmer_VampireExiledPath_Entry/Recognition; vampire cure is N/A by design (terminal path); werewolf onset must surface PDV_Msg_Altmer_CurseState_WerewolfHardHalt; werewolf cure is N/A by design (halt),PDV_TransitionSurfacing_CoverageMap.md Section3 curse table -- Altmer row
BC-0637,surfacing,Altmer,emergence transition -- focus devoted,BETA,data,GAP-REVIEW,missing: PDV_Notif_Altmer_Focus_DevotedEntry,Altmer Devoted crossing must fire as the emergence class using PDV_Notif_Altmer_Focus_DevotedEntry as a Loud MessageBox,PDV_TransitionSurfacing_CoverageMap.md Section2 emergence table -- Altmer row
BC-0639,surfacing,Altmer,neglect transition,BETA,data,GAP-REVIEW,missing: PDV_Notif_Altmer_Pantheon_ObservantLapse,"Altmer must surface neglect tier-drop lapses (PDV_Notif_Altmer_Pantheon_ObservantLapse, FaithfulLapse, Focus_DevotedLapse) and thematic texture rows (OrthodoxyDrift, CultivationFading, AuriElDistant) once per tier-drop with recovery re-arm",PDV_TransitionSurfacing_CoverageMap.md Section5 neglect table -- Altmer row
BC-0641,surfacing,Altmer,tier transition -- Observant/Faithful,BETA,data,GAP-REVIEW,"missing: PDV_Notif_Altmer_Pantheon_ObservantEntry, PDV_Notif_Altmer_Pantheon_FaithfulEntry",Altmer must surface Observant and Faithful broad-worship tier milestones as Medium Notifications using PDV_Notif_Altmer_Pantheon_ObservantEntry and PDV_Notif_Altmer_Pantheon_FaithfulEntry,PDV_TransitionSurfacing_CoverageMap.md Section1 tier table -- Altmer row
BC-0644,surfacing,Argonian,neglect transition,BETA,data,GAP-REVIEW,missing: PDV_Notif_Argonian_Observant_Lapse,"Argonian must surface neglect tier-drop lapses (Observant_Lapse, Faithful_Lapse, Devoted_Lapse) and thematic texture rows (HistThinning_NeglectTexture, PeopleIsolation_NeglectTexture, VoidDormancy_NeglectTexture) once per tier-drop with recovery re-arm",PDV_TransitionSurfacing_CoverageMap.md Section5 neglect table -- Argonian row
BC-0646,surfacing,Argonian,tier transition -- Observant/Faithful,BETA,data,GAP-REVIEW,"missing: PDV_Notif_Argonian_Observant_Entry, PDV_Notif_Argonian_Faithful_Entry",Argonian must surface Observant and Faithful broad-worship tier milestones as Medium Notifications using PDV_Notif_Argonian_Observant_Entry and PDV_Notif_Argonian_Faithful_Entry,PDV_TransitionSurfacing_CoverageMap.md Section1 tier table -- Argonian row
BC-0647,surfacing,Bosmer,curse transition,BETA,data,GAP-REVIEW,missing: PDV_Msg_Bosmer_CurseState_VampireOnset (NAMING-DRIFT? found PDV_Msg_Nord_CurseState_VampireOnset),"Bosmer must surface vampire onset, vampire cure, werewolf onset, and werewolf cure via the curse class as Loud MessageBoxes",PDV_TransitionSurfacing_CoverageMap.md Section3 curse table -- Bosmer row
BC-0650,surfacing,Bosmer,reorientation transition -- path switch,BETA,data,GAP-REVIEW,missing: PDV_Notif_Bosmer_Path_ (NAMING-DRIFT? found BOSMER_PATH_OLD_CONTRACT),"Bosmer must surface each confirmed path switch (OldContract, LivingStory, Exchange, BanditRoad) via the reorientation class as Medium or Loud MessageBoxes on the confirmed switch only",PDV_TransitionSurfacing_CoverageMap.md Section4 reorientation table -- Bosmer row
BC-0651,surfacing,Bosmer,tier transition -- Observant/Faithful,BETA,data,GAP-REVIEW,"missing: PDV_Notif_Bosmer_Observant_Entry, PDV_Notif_Bosmer_Faithful_Entry",Bosmer must surface Observant and Faithful broad-worship tier milestones as Medium Notifications using PDV_Notif_Bosmer_Observant_Entry and PDV_Notif_Bosmer_Faithful_Entry,PDV_TransitionSurfacing_CoverageMap.md Section1 tier table -- Bosmer row
BC-0652,surfacing,Breton,Book-read signals,BETA,source,GAP-REVIEW,missing: PDV_Notif_Breton_FavorNoted_HiddenArt_BookRead_,"Reading Hidden Art texts (Herbane's Bestiary: Hagravens, The Madmen of the Reach, Anise's Letter) must each generate one-time approved occult piety with notifications PDV_Notif_Breton_FavorNoted_HiddenArt_BookRead_*.",PDV_RaceDesign_Breton.md -- Signal Examples (book-read rows)
BC-0653,surfacing,Breton,curse transition -- tradition-differentiated werewolf onset,BETA,data,GAP-REVIEW,missing: PDV_Msg_Breton_CurseState_VampireOnset (NAMING-DRIFT? found PDV_Msg_Nord_CurseState_VampireOnset),Breton must surface vampire onset and cure and werewolf onset differentiated by tradition (WerewolfOnset_KnightsRoad and WerewolfOnset_HiddenArt) and werewolf cure via the curse class as Loud MessageBoxes,PDV_TransitionSurfacing_CoverageMap.md Section3 curse table -- Breton row
BC-0654,surfacing,Breton,emergence transition -- focus within tradition,BETA,data,GAP-REVIEW,missing: PDV_Notif_Breton_FocusEmergence,Breton must surface focus emergence within tradition as a Loud MessageBox using PDV_Notif_Breton_FocusEmergence,PDV_TransitionSurfacing_CoverageMap.md Section2 emergence table -- Breton row
BC-0656,surfacing,Breton,reorientation transition -- druidic standing,BETA,data,GAP-REVIEW,missing: PDV_Notif_Breton_DruidicStanding_,"Breton must surface confirmed druidic standing switches (Open, Acknowledged, Frayed) via the reorientation class; tradition is start-locked and must not have a reorientation surface",PDV_TransitionSurfacing_CoverageMap.md Section4 reorientation table -- Breton row
BC-0658,surfacing,Breton,tier transition -- Observant/Faithful,BETA,data,GAP-REVIEW,"missing: PDV_Notif_Breton_Observant_Entry, PDV_Notif_Breton_Faithful_Entry",Breton must surface Observant and Faithful broad-worship tier milestones as Medium Notifications using PDV_Notif_Breton_Observant_Entry and PDV_Notif_Breton_Faithful_Entry,PDV_TransitionSurfacing_CoverageMap.md Section1 tier table -- Breton row
BC-0659,surfacing,Dunmer,Book-read signals,BETA,source,GAP-REVIEW,"missing: PDV_Notif_Dunmer_FavorNoted_Azura_BookRead_, PDV_Notif_Dunmer_FavorNoted_Boethiah_BookRead_","Reading Azura texts (Invocation of Azura, Azura and the Box) and Boethiah texts (Boethiah's Glory, Boethiah's Proving) must each fire one-time Reclamation acknowledgment with notifications PDV_Notif_Dunmer_FavorNoted_Azura_BookRead_* and PDV_Notif_Dunmer_FavorNoted_Boethiah_BookRead_*.",PDV_RaceDesign_Dunmer.md -- Signal Examples (book-read rows)
BC-0660,surfacing,Dunmer,curse transition,BETA,data,GAP-REVIEW,missing: PDV_Msg_Dunmer_CurseState_VampireOnset (NAMING-DRIFT? found PDV_Msg_Nord_CurseState_VampireOnset),"Dunmer must surface vampire onset, vampire cure, werewolf onset, and werewolf cure via the curse class as Loud MessageBoxes",PDV_TransitionSurfacing_CoverageMap.md Section3 curse table -- Dunmer row
BC-0661,surfacing,Dunmer,emergence transition -- focus devoted entry,BETA,data,GAP-REVIEW,missing: PDV_Notif_Dunmer_Focus_DevotedEntry,Dunmer Devoted crossing must fire as the emergence class using PDV_Notif_Dunmer_Focus_DevotedEntry as a Loud MessageBox,PDV_TransitionSurfacing_CoverageMap.md Section2 emergence table -- Dunmer row
BC-0664,surfacing,Dunmer,tier transition -- Observant/Faithful,BETA,data,GAP-REVIEW,"missing: PDV_Notif_Dunmer_GoodDaedra_ObservantEntry, PDV_Notif_Dunmer_GoodDaedra_FaithfulEntry",Dunmer must surface Observant and Faithful broad-worship tier milestones as Medium Notifications using PDV_Notif_Dunmer_GoodDaedra_ObservantEntry and PDV_Notif_Dunmer_GoodDaedra_FaithfulEntry,PDV_TransitionSurfacing_CoverageMap.md Section1 tier table -- Dunmer row
