source_id,event_id,outcome,deity,valence,intensity,magnitude,act_tags
afdi,artifact_destroyed.00.azura,Destroyed Azura's Star,Azura,-,C,milestone,destroy_reject_daedra:azura
afdi,artifact_destroyed.00.azura,Rejected a Daedric artifact,Stendarr,+,S,small,destroy_reject_daedra:azura
afdi,artifact_destroyed.00.azura,Rejected a Daedric artifact,Syrabane,+,m,small,destroy_reject_daedra:azura
afdi,artifact_destroyed.01.black_star,Destroyed the Black Star,Azura,+,C,milestone,destroy_profane_artifact:black_star
afdi,artifact_destroyed.01.black_star,Rejected a profaned Daedric artifact,Stendarr,+,S,small,destroy_reject_daedra:azura
afdi,artifact_destroyed.01.black_star,Rejected a profaned Daedric artifact,Syrabane,+,m,small,destroy_reject_daedra:azura
afdi,artifact_destroyed.02.clavicus_vile,Destroyed Clavicus Vile's artifact,Clavicus Vile,-,C,milestone,destroy_reject_daedra:clavicus_vile
afdi,artifact_destroyed.02.clavicus_vile,Rejected a Daedric artifact,Stendarr,+,S,small,destroy_reject_daedra:clavicus_vile
afdi,artifact_destroyed.02.clavicus_vile,Rejected a Daedric artifact,Syrabane,+,m,small,destroy_reject_daedra:clavicus_vile
afdi,artifact_destroyed.03.hircine,Destroyed Hircine's artifact,Hircine,-,C,milestone,destroy_reject_daedra:hircine
afdi,artifact_destroyed.03.hircine,Rejected a Daedric artifact,Stendarr,+,S,small,destroy_reject_daedra:hircine
afdi,artifact_destroyed.03.hircine,Rejected a Daedric artifact,Syrabane,+,m,small,destroy_reject_daedra:hircine
afdi,artifact_destroyed.04.mehrunes_dagon,Destroyed Mehrunes Dagon's artifact,Mehrunes Dagon,-,C,milestone,destroy_reject_daedra:mehrunes_dagon
afdi,artifact_destroyed.04.mehrunes_dagon,Rejected a Daedric artifact,Stendarr,+,S,small,destroy_reject_daedra:mehrunes_dagon
afdi,artifact_destroyed.04.mehrunes_dagon,Rejected a Daedric artifact,Syrabane,+,m,small,destroy_reject_daedra:mehrunes_dagon
afdi,artifact_destroyed.05.meridia,Destroyed Meridia's artifact,Meridia,-,C,milestone,destroy_reject_daedra:meridia
afdi,artifact_destroyed.05.meridia,Rejected a Daedric artifact,Stendarr,+,S,small,destroy_reject_daedra:meridia
