editor_id,quest_name,outcome_stage,outcome,act_tags,deity,valence,intensity,magnitude,citation,formid
TOK_QUST_KagrenacTools,Kagrenac's Tools (defeat the Sixth House remnant),85,"Defeated Mathis Valen and both bodyguards, ending a Sixth House remnant's scheme to seize Kagrenac's Tools and retake Morrowind by force",protect_the_weak,Stendarr,+,S,small,"B01 direct raw-file read via pdv_joj_stage_digest, tier A: s85 journal 'With Mathis Valen defeated along with both his bodyguards, a disaster is averted, however, the Sixth House of Dagoth Ur whereabouts and strength remains an elusive mystery.' s80 establishes him as leader of the Sixth House remnant scheming to reclaim Morrowind. RUNTIME-VERIFY: non-terminal stage, so reachability down this path is not proven by the record alone. cross-gen KEEP: protect_the_weak(C) from the Stendarr Part B profile, stepped down.",Tools of Kagrenac.esp:21F221
TOK_QUST_KagrenacTools,Kagrenac's Tools (defeat the Sixth House remnant),85,"Defeated Mathis Valen and both bodyguards, ending a Sixth House remnant's scheme to seize Kagrenac's Tools and retake Morrowind by force",protect_the_weak,Mara,+,m,small,"B01 direct raw-file read via pdv_joj_stage_digest, tier A: s85 journal 'With Mathis Valen defeated along with both his bodyguards, a disaster is averted, however, the Sixth House of Dagoth Ur whereabouts and strength remains an elusive mystery.' s80 establishes him as leader of the Sixth House remnant scheming to reclaim Morrowind. RUNTIME-VERIFY: non-terminal stage, so reachability down this path is not proven by the record alone. cross-gen KEEP: protect_the_weak(m) from the Mara Part B profile, stepped down.",Tools of Kagrenac.esp:21F221
TOK_QUST_KagrenacTools,Kagrenac's Tools (defeat the Sixth House remnant),85,"Defeated Mathis Valen and both bodyguards, ending a Sixth House remnant's scheme to seize Kagrenac's Tools and retake Morrowind by force",protect_the_weak,Kynareth,+,m,small,"B01 direct raw-file read via pdv_joj_stage_digest, tier A: s85 journal 'With Mathis Valen defeated along with both his bodyguards, a disaster is averted, however, the Sixth House of Dagoth Ur whereabouts and strength remains an elusive mystery.' s80 establishes him as leader of the Sixth House remnant scheming to reclaim Morrowind. RUNTIME-VERIFY: non-terminal stage, so reachability down this path is not proven by the record alone. cross-gen KEEP: protect_the_weak(m) from the Kynareth Part B profile, stepped down.",Tools of Kagrenac.esp:21F221
TOK_QUST_KagrenacTools,Kagrenac's Tools (defeat the Sixth House remnant),85,"Defeated Mathis Valen and both bodyguards, ending a Sixth House remnant's scheme to seize Kagrenac's Tools and retake Morrowind by force",kill_honorable_combat,Talos,+,m,small,"B01 direct raw-file read via pdv_joj_stage_digest, tier A: s85 journal 'With Mathis Valen defeated along with both his bodyguards, a disaster is averted, however, the Sixth House of Dagoth Ur whereabouts and strength remains an elusive mystery.' s80 establishes him as leader of the Sixth House remnant scheming to reclaim Morrowind. RUNTIME-VERIFY: non-terminal stage, so reachability down this path is not proven by the record alone. cross-gen KEEP: kill_honorable_combat(S) from the Talos Part B profile, stepped down.",Tools of Kagrenac.esp:21F221
TOK_QUST_KagrenacTools,Kagrenac's Tools (defeat the Sixth House remnant),85,"Defeated Mathis Valen and both bodyguards, ending a Sixth House remnant's scheme to seize Kagrenac's Tools and retake Morrowind by force",kill_honorable_combat,Kyne,+,m,small,"B01 direct raw-file read via pdv_joj_stage_digest, tier A: s85 journal 'With Mathis Valen defeated along with both his bodyguards, a disaster is averted, however, the Sixth House of Dagoth Ur whereabouts and strength remains an elusive mystery.' s80 establishes him as leader of the Sixth House remnant scheming to reclaim Morrowind. RUNTIME-VERIFY: non-terminal stage, so reachability down this path is not proven by the record alone. cross-gen KEEP: kill_honorable_combat(S) from the Kyne Part B profile, stepped down.",Tools of Kagrenac.esp:21F221
TOK_QUST_KagrenacTools,Kagrenac's Tools (defeat the Sixth House remnant),85,"Defeated Mathis Valen and both bodyguards, ending a Sixth House remnant's scheme to seize Kagrenac's Tools and retake Morrowind by force",kill_honorable_combat,Shor,+,S,small,"B01 direct raw-file read via pdv_joj_stage_digest, tier A: s85 journal 'With Mathis Valen defeated along with both his bodyguards, a disaster is averted, however, the Sixth House of Dagoth Ur whereabouts and strength remains an elusive mystery.' s80 establishes him as leader of the Sixth House remnant scheming to reclaim Morrowind. RUNTIME-VERIFY: non-terminal stage, so reachability down this path is not proven by the record alone. cross-gen KEEP: kill_honorable_combat(C) from the Shor Part B profile, stepped down.",Tools of Kagrenac.esp:21F221
TOK_QUST_KagrenacTools,Kagrenac's Tools (defeat the Sixth House remnant),85,"Defeated Mathis Valen and both bodyguards, ending a Sixth House remnant's scheme to seize Kagrenac's Tools and retake Morrowind by force",kill_honorable_combat,Tsun,+,m,small,"B01 direct raw-file read via pdv_joj_stage_digest, tier A: s85 journal 'With Mathis Valen defeated along with both his bodyguards, a disaster is averted, however, the Sixth House of Dagoth Ur whereabouts and strength remains an elusive mystery.' s80 establishes him as leader of the Sixth House remnant scheming to reclaim Morrowind. RUNTIME-VERIFY: non-terminal stage, so reachability down this path is not proven by the record alone. cross-gen KEEP: kill_honorable_combat(S) from the Tsun Part B profile, stepped down.",Tools of Kagrenac.esp:21F221
TOK_QUST_KagrenacTools,Kagrenac's Tools (defeat the Sixth House remnant),85,"Defeated Mathis Valen and both bodyguards, ending a Sixth House remnant's scheme to seize Kagrenac's Tools and retake Morrowind by force",protect_the_weak,Stuhn,+,m,small,"B01 direct raw-file read via pdv_joj_stage_digest, tier A: s85 journal 'With Mathis Valen defeated along with both his bodyguards, a disaster is averted, however, the Sixth House of Dagoth Ur whereabouts and strength remains an elusive mystery.' s80 establishes him as leader of the Sixth House remnant scheming to reclaim Morrowind. RUNTIME-VERIFY: non-terminal stage, so reachability down this path is not proven by the record alone. cross-gen KEEP: protect_the_weak(S) from the Stuhn Part B profile, stepped down.",Tools of Kagrenac.esp:21F221
TOK_QUST_KagrenacTools,Kagrenac's Tools (defeat the Sixth House remnant),85,"Defeated Mathis Valen and both bodyguards, ending a Sixth House remnant's scheme to seize Kagrenac's Tools and retake Morrowind by force",kill_honorable_combat,Auri-El,+,m,small,"B01 direct raw-file read via pdv_joj_stage_digest, tier A: s85 journal 'With Mathis Valen defeated along with both his bodyguards, a disaster is averted, however, the Sixth House of Dagoth Ur whereabouts and strength remains an elusive mystery.' s80 establishes him as leader of the Sixth House remnant scheming to reclaim Morrowind. RUNTIME-VERIFY: non-terminal stage, so reachability down this path is not proven by the record alone. cross-gen KEEP: kill_honorable_combat(m) from the Auri-El Part B profile, stepped down.",Tools of Kagrenac.esp:21F221
TOK_QUST_KagrenacTools,Kagrenac's Tools (defeat the Sixth House remnant),85,"Defeated Mathis Valen and both bodyguards, ending a Sixth House remnant's scheme to seize Kagrenac's Tools and retake Morrowind by force",kill_honorable_combat,Trinimac,+,m,small,"B01 direct raw-file read via pdv_joj_stage_digest, tier A: s85 journal 'With Mathis Valen defeated along with both his bodyguards, a disaster is averted, however, the Sixth House of Dagoth Ur whereabouts and strength remains an elusive mystery.' s80 establishes him as leader of the Sixth House remnant scheming to reclaim Morrowind. RUNTIME-VERIFY: non-terminal stage, so reachability down this path is not proven by the record alone. cross-gen KEEP: kill_honorable_combat(S) from the Trinimac Part B profile, stepped down.",Tools of Kagrenac.esp:21F221
