pdv_signal_family,vanilla_surface,capture_pattern,scoring_use,anti_farm_rule,source_id,status
Hostile kill,"Kill Actor Story Manager event","Existing PDV receiver/router/EventBus","Combat, protection, hunt, taboo/hostility scoring","Direct player only; target classification; daily caps",ck_sm_event_node,active
Crime pressure,"Crime Gold, Arrest, Jail, Pay Fine events","Story Manager receiver to reputation/state track","Imperial civic order, Stendarr justice, Nocturnal/Mephala contrast","One award per hold/day or per major threshold",ck_sm_event_node,planned
Quest milestone,"Quest stage/completion, Script Event, curated fragments","Curated CK signal through manager/router","Daedric choices, faction allegiance, theological crisis, commitment offers","One-shot StorageUtil marker per quest/stage",ck_condition_functions,planned
Shrine/prayer,"Shrine activation, custom PDV activators, blessing spells","Curated activator script or explicit event","Devotional practice, cure privilege, commitment, patron refresh","Cooldown per shrine/deity/day",uesp_skyrim_blessings,planned
Skill milestone,"Increase Skill event or quest reward","Story Manager receiver threshold only","Learning, discipline, martial/magical practice","Milestone bands only; no raw skill XP",uesp_skyrim_skills,planned
Craft/labor,"Craft Item event, workbench result, item keywords/value","Story Manager receiver with item classification","Malacath, Zenithar, Julianos, Bosmer taboo, offering creation","Daily cap; value/quality threshold; no iron-dagger loops",ck_sm_event_node,planned
Magic use,"Cast Magic event, spell keywords/school","Story Manager receiver with spell classification","Restoration, necromancy taboo, Altmer magical study, Daedric magic","Cooldown; meaningful spell families only",ck_sm_event_node,planned
Location/pilgrimage,"Change Location event, location keywords, worldspace","Story Manager receiver with LocType/FormList filters","Sacred places, wilderness, temple, exile, community","Per-location discovery marker and cooldown",ck_sm_event_node,planned
Sleep/rest,"Player alias sleep events or location-gated rest","Player alias event","Mara, Kynareth/Kyne, travel rhythm, neglect recovery","Dawn-only consolidation; no daily chore loop",ck_actor_value,planned
Relationship/community,"Change Relationship Rank, faction rank, curated dialogue","Receiver or curated quest/dialogue signal","Orc community, Mara, Imperial civic belonging, Argonian community","Meaningful thresholds only",ck_sm_event_node,planned
Disease/curse,"Player Cured/Infected, disease effects, race/state checks","Receiver plus curse-state overlay","Arkay, Stendarr, Peryite, vampire/werewolf overlays","State transition markers; no hidden repeated penalties",uesp_skyrim_disease,planned
Offerings,"Player Add Item, shrine container, barter/donation scripts","Curated activator/container script","Zenithar, ancestor rites, Daedric bargains, temple charity","Per-deity/day cap; item whitelist; value bands",ck_sm_event_node,planned
