editor_id,quest_name,outcome_stage,outcome,act_tags,deity,valence,intensity,magnitude,citation,formid
ReturnAegisbane,Return Aegisbane (returned the heirloom),10,Returned the Shatter-Shield family warhammer Aegisbane to Torbjorn rather than keeping it,heal_comfort,Mara,+,S,small,"B04: the fork is stated at ReturnAegisbaneQuest s20 objective 'Speak to Torbjorn Shatter-Shield about Aegisbane' with journal 'Return Aegisbane or keep it', and this branch tracker's s10 reads 'good ending'. RUNTIME-VERIFY: the branch stages carry DEVELOPER PLACEHOLDER text ('good ending', 'bad ending', 'End') rather than player-facing journal entries, so the tier-A flag overstates the evidence and which stage fires must be confirmed in game. cross-gen KEEP: heal_comfort(C) from the Mara Part B profile, stepped down.",ReturnAegisbane.esp:000D62
ReturnAegisbane,Return Aegisbane (returned the heirloom),10,Returned the Shatter-Shield family warhammer Aegisbane to Torbjorn rather than keeping it,honor_the_dead,Arkay,+,S,small,"B04: the fork is stated at ReturnAegisbaneQuest s20 objective 'Speak to Torbjorn Shatter-Shield about Aegisbane' with journal 'Return Aegisbane or keep it', and this branch tracker's s10 reads 'good ending'. RUNTIME-VERIFY: the branch stages carry DEVELOPER PLACEHOLDER text ('good ending', 'bad ending', 'End') rather than player-facing journal entries, so the tier-A flag overstates the evidence and which stage fires must be confirmed in game. cross-gen KEEP: honor_the_dead(C) from the Arkay Part B profile, stepped down.",ReturnAegisbane.esp:000D62
ReturnAegisbane,Return Aegisbane (returned the heirloom),10,Returned the Shatter-Shield family warhammer Aegisbane to Torbjorn rather than keeping it,heal_comfort,Dibella,+,m,small,"B04: the fork is stated at ReturnAegisbaneQuest s20 objective 'Speak to Torbjorn Shatter-Shield about Aegisbane' with journal 'Return Aegisbane or keep it', and this branch tracker's s10 reads 'good ending'. RUNTIME-VERIFY: the branch stages carry DEVELOPER PLACEHOLDER text ('good ending', 'bad ending', 'End') rather than player-facing journal entries, so the tier-A flag overstates the evidence and which stage fires must be confirmed in game. cross-gen KEEP: heal_comfort(S) from the Dibella Part B profile, stepped down.",ReturnAegisbane.esp:000D62
ReturnAegisbane,Return Aegisbane (returned the heirloom),10,Returned the Shatter-Shield family warhammer Aegisbane to Torbjorn rather than keeping it,heal_comfort,Kynareth,+,m,small,"B04: the fork is stated at ReturnAegisbaneQuest s20 objective 'Speak to Torbjorn Shatter-Shield about Aegisbane' with journal 'Return Aegisbane or keep it', and this branch tracker's s10 reads 'good ending'. RUNTIME-VERIFY: the branch stages carry DEVELOPER PLACEHOLDER text ('good ending', 'bad ending', 'End') rather than player-facing journal entries, so the tier-A flag overstates the evidence and which stage fires must be confirmed in game. cross-gen KEEP: heal_comfort(m) from the Kynareth Part B profile, stepped down.",ReturnAegisbane.esp:000D62
ReturnAegisbane,Return Aegisbane (returned the heirloom),10,Returned the Shatter-Shield family warhammer Aegisbane to Torbjorn rather than keeping it,honor_the_dead,Shor,+,m,small,"B04: the fork is stated at ReturnAegisbaneQuest s20 objective 'Speak to Torbjorn Shatter-Shield about Aegisbane' with journal 'Return Aegisbane or keep it', and this branch tracker's s10 reads 'good ending'. RUNTIME-VERIFY: the branch stages carry DEVELOPER PLACEHOLDER text ('good ending', 'bad ending', 'End') rather than player-facing journal entries, so the tier-A flag overstates the evidence and which stage fires must be confirmed in game. cross-gen KEEP: honor_the_dead(m) from the Shor Part B profile, stepped down.",ReturnAegisbane.esp:000D62
ReturnAegisbane,Return Aegisbane (returned the heirloom),10,Returned the Shatter-Shield family warhammer Aegisbane to Torbjorn rather than keeping it,honor_the_dead,Auri-El,+,m,small,"B04: the fork is stated at ReturnAegisbaneQuest s20 objective 'Speak to Torbjorn Shatter-Shield about Aegisbane' with journal 'Return Aegisbane or keep it', and this branch tracker's s10 reads 'good ending'. RUNTIME-VERIFY: the branch stages carry DEVELOPER PLACEHOLDER text ('good ending', 'bad ending', 'End') rather than player-facing journal entries, so the tier-A flag overstates the evidence and which stage fires must be confirmed in game. cross-gen KEEP: honor_the_dead(m) from the Auri-El Part B profile, stepped down.",ReturnAegisbane.esp:000D62
ReturnAegisbane,Return Aegisbane (returned the heirloom),10,Returned the Shatter-Shield family warhammer Aegisbane to Torbjorn rather than keeping it,honor_the_dead,Xarxes,+,S,small,"B04: the fork is stated at ReturnAegisbaneQuest s20 objective 'Speak to Torbjorn Shatter-Shield about Aegisbane' with journal 'Return Aegisbane or keep it', and this branch tracker's s10 reads 'good ending'. RUNTIME-VERIFY: the branch stages carry DEVELOPER PLACEHOLDER text ('good ending', 'bad ending', 'End') rather than player-facing journal entries, so the tier-A flag overstates the evidence and which stage fires must be confirmed in game. cross-gen KEEP: honor_the_dead(C) from the Xarxes Part B profile, stepped down.",ReturnAegisbane.esp:000D62
ReturnAegisbane,Return Aegisbane (returned the heirloom),10,Returned the Shatter-Shield family warhammer Aegisbane to Torbjorn rather than keeping it,honor_the_dead,Azura,+,m,small,"B04: the fork is stated at ReturnAegisbaneQuest s20 objective 'Speak to Torbjorn Shatter-Shield about Aegisbane' with journal 'Return Aegisbane or keep it', and this branch tracker's s10 reads 'good ending'. RUNTIME-VERIFY: the branch stages carry DEVELOPER PLACEHOLDER text ('good ending', 'bad ending', 'End') rather than player-facing journal entries, so the tier-A flag overstates the evidence and which stage fires must be confirmed in game. cross-gen KEEP: honor_the_dead(m) from the Azura Part B profile, stepped down.",ReturnAegisbane.esp:000D62
ReturnAegisbane,Return Aegisbane (returned the heirloom),10,Returned the Shatter-Shield family warhammer Aegisbane to Torbjorn rather than keeping it,honor_the_dead,Khenarthi,+,m,small,"B04: the fork is stated at ReturnAegisbaneQuest s20 objective 'Speak to Torbjorn Shatter-Shield about Aegisbane' with journal 'Return Aegisbane or keep it', and this branch tracker's s10 reads 'good ending'. RUNTIME-VERIFY: the branch stages carry DEVELOPER PLACEHOLDER text ('good ending', 'bad ending', 'End') rather than player-facing journal entries, so the tier-A flag overstates the evidence and which stage fires must be confirmed in game. cross-gen KEEP: honor_the_dead(m) from the Khenarthi Part B profile, stepped down.",ReturnAegisbane.esp:000D62
ReturnAegisbane,Return Aegisbane (returned the heirloom),10,Returned the Shatter-Shield family warhammer Aegisbane to Torbjorn rather than keeping it,honor_the_dead,Tu'whacca,+,S,small,"B04: the fork is stated at ReturnAegisbaneQuest s20 objective 'Speak to Torbjorn Shatter-Shield about Aegisbane' with journal 'Return Aegisbane or keep it', and this branch tracker's s10 reads 'good ending'. RUNTIME-VERIFY: the branch stages carry DEVELOPER PLACEHOLDER text ('good ending', 'bad ending', 'End') rather than player-facing journal entries, so the tier-A flag overstates the evidence and which stage fires must be confirmed in game. cross-gen KEEP: honor_the_dead(C) from the Tu'whacca Part B profile, stepped down.",ReturnAegisbane.esp:000D62
