formid,source_plugin,editor_id,quest_name,classification,stage_count,journal_stage_count,completion_stages,objective_count,evidence_summary,notes
Dawnguard.esm:00284F,Dawnguard.esm,DLC1VQ04,Chasing Echoes,candidate-and-unsafe-existing,23,8,200,16,direct_mcp_review=ok; source=Dawnguard.esm; stages=23; journal_stages=10|20|35|50|60|90|100|200; completion_stages=200; objectives=16,unsafe_existing=s200 necromancy/study/struggle rows are delayed and branch-blind; direct s90 journal supports the common Soul Cairn portal rite; vampire-versus-partial-soul-trap branch stage remains unproven and inert.
Dawnguard.esm:002850,Dawnguard.esm,DLC1VQ05,Beyond Death,candidate-and-unsafe-existing,16,5,200,12,direct_mcp_review=ok; source=Dawnguard.esm; stages=16; journal_stages=10|30|50|80|200; completion_stages=200; objectives=12,unsafe_existing=s200 necromancy/honor/prove tags are not terminal acts; direct s50 supports freeing Valerica from the Keepers and s80 supports the challenging Durnehviir battle.
Dawnguard.esm:002852,Dawnguard.esm,DLC1VQ06,Unseen Visions,candidate-proposed,14,4,200,6,direct_mcp_review=ok; source=Dawnguard.esm; stages=14; journal_stages=10|50|60|200; completion_stages=200; objectives=6,direct s200 CompleteQuest supports the Ancestor Moth ritual and the player's disciplined Elder Scroll reading.
Dawnguard.esm:002853,Dawnguard.esm,DLC1VQ07,Touching the Sky,candidate-proposed,33,5,200,10,direct_mcp_review=ok; source=Dawnguard.esm; stages=33; journal_stages=10|50|100|110|200; completion_stages=200; objectives=10,direct s200 CompleteQuest supports destroying vampire Vyrthur and protecting Serana from his stated mortal threat.
Dawnguard.esm:002B01,Dawnguard.esm,DLC1HunterBaseIntroAmbush,(absent),structural-silent,2,0,200,0,direct_mcp_review=ok; source=Dawnguard.esm; stages=2; journal_stages=none; completion_stages=200; objectives=0,Structural/dialogue/monitor/handler/control record; no discrete player-act row.
Dawnguard.esm:002B6E,Dawnguard.esm,DLC1NPCMentalModel,(absent),structural-silent,3,0,,0,direct_mcp_review=ok; source=Dawnguard.esm; stages=3; journal_stages=none; completion_stages=none; objectives=0,Structural/dialogue/monitor/handler/control record; no discrete player-act row.
Dawnguard.esm:002C09,Dawnguard.esm,DLC1Init,(absent),structural-silent,1,0,,0,direct_mcp_review=ok; source=Dawnguard.esm; stages=1; journal_stages=none; completion_stages=none; objectives=0,Structural/dialogue/monitor/handler/control record; no discrete player-act row.
Dawnguard.esm:002F65,Dawnguard.esm,DLC1VQ02,Bloodline,candidate-proposed,15,7,180|190|200,3,direct_mcp_review=ok; source=Dawnguard.esm; stages=15; journal_stages=5|20|25|30|40|180|190; completion_stages=180|190|200; objectives=3,direct mutually exclusive CompleteQuest branches: s180 accepted Harkon's blood; s190 refused it and returned to Isran.
Dawnguard.esm:0034D0,Dawnguard.esm,DLC1_WESC03,Bats!,structural-silent,3,0,,0,direct_mcp_review=ok; source=Dawnguard.esm; stages=3; journal_stages=none; completion_stages=none; objectives=0,Structural/dialogue/monitor/handler/control record; no discrete player-act row.
Dawnguard.esm:0034D4,Dawnguard.esm,DLC1_WESC04,Vampire Assassin,structural-silent,5,0,,0,direct_mcp_review=ok; source=Dawnguard.esm; stages=5; journal_stages=none; completion_stages=none; objectives=0,Structural/dialogue/monitor/handler/control record; no discrete player-act row.
Dawnguard.esm:0034DA,Dawnguard.esm,DLC1_WESC05,Dawnguard Vampire Hunters,structural-silent,2,0,,0,direct_mcp_review=ok; source=Dawnguard.esm; stages=2; journal_stages=none; completion_stages=none; objectives=0,Structural/dialogue/monitor/handler/control record; no discrete player-act row.
Dawnguard.esm:0034DE,Dawnguard.esm,DLC1_WESC01,Vigilants pursuing Vampire,structural-silent,4,0,,0,direct_mcp_review=ok; source=Dawnguard.esm; stages=4; journal_stages=none; completion_stages=none; objectives=0,Structural/dialogue/monitor/handler/control record; no discrete player-act row.
Dawnguard.esm:0034EA,Dawnguard.esm,DLC1_WESC02,Vampire Masquerade,structural-silent,4,0,,0,direct_mcp_review=ok; source=Dawnguard.esm; stages=4; journal_stages=none; completion_stages=none; objectives=0,Structural/dialogue/monitor/handler/control record; no discrete player-act row.
Dawnguard.esm:0034F8,Dawnguard.esm,DLC1_WESC06_CacheTracking,Whiterun Cache Tracking,structural-silent,5,0,,0,direct_mcp_review=ok; source=Dawnguard.esm; stages=5; journal_stages=none; completion_stages=none; objectives=0,Structural/dialogue/monitor/handler/control record; no discrete player-act row.
Dawnguard.esm:0034FF,Dawnguard.esm,DLC1_WESC07_CacheTracking,Hjaalmarch/Pale/Winterhold Cache Tracking,structural-silent,5,0,,0,direct_mcp_review=ok; source=Dawnguard.esm; stages=5; journal_stages=none; completion_stages=none; objectives=0,Structural/dialogue/monitor/handler/control record; no discrete player-act row.
Dawnguard.esm:003500,Dawnguard.esm,DLC1_WESC08_CacheTracking,Reach/Haafingar Cache Tracking,structural-silent,5,0,,0,direct_mcp_review=ok; source=Dawnguard.esm; stages=5; journal_stages=none; completion_stages=none; objectives=0,Structural/dialogue/monitor/handler/control record; no discrete player-act row.
Dawnguard.esm:003508,Dawnguard.esm,DLC1_WESC07,Dawnguard Outrider (07 / Northlands Caches),structural-silent,4,0,,0,direct_mcp_review=ok; source=Dawnguard.esm; stages=4; journal_stages=none; completion_stages=none; objectives=0,Structural/dialogue/monitor/handler/control record; no discrete player-act row.
Dawnguard.esm:003511,Dawnguard.esm,DLC1_WESC06,Dawnguard Novice (06 / Whiterun Caches),structural-silent,6,0,,0,direct_mcp_review=ok; source=Dawnguard.esm; stages=6; journal_stages=none; completion_stages=none; objectives=0,Structural/dialogue/monitor/handler/control record; no discrete player-act row.
