editor_id,quest_name,outcome_stage,outcome,act_tags,deity,valence,intensity,magnitude,citation,formid
HD1GoreMurderer,The Apple from the Tree,30,Killed Gore rather than allowing the companion to leave the player's service.,murder_treacherous,Stendarr,-,m,small,"s10 journal: ""Gore has left my party...""; s20: ""Gore wants to leave the party... but I won't let that happen."" s30 [COMPLETE]: ""I have killed Gore for trying to betray me."" cross-gen KEEP: murder_treacherous(S) from the Stendarr Part B profile, stepped down",GORE.esp:6738F7
HD1GoreMurderer,The Apple from the Tree,30,Killed Gore rather than allowing the companion to leave the player's service.,murder_treacherous,Mara,-,m,small,"s10 journal: ""Gore has left my party...""; s20: ""Gore wants to leave the party... but I won't let that happen."" s30 [COMPLETE]: ""I have killed Gore for trying to betray me."" cross-gen KEEP: murder_treacherous(m) from the Mara Part B profile, stepped down",GORE.esp:6738F7
HD1GoreMurderer,The Apple from the Tree,30,Killed Gore rather than allowing the companion to leave the player's service.,murder_treacherous,Talos,-,m,small,"s10 journal: ""Gore has left my party...""; s20: ""Gore wants to leave the party... but I won't let that happen."" s30 [COMPLETE]: ""I have killed Gore for trying to betray me."" cross-gen KEEP: murder_treacherous(S) from the Talos Part B profile, stepped down",GORE.esp:6738F7
HD1GoreMurderer,The Apple from the Tree,30,Killed Gore rather than allowing the companion to leave the player's service.,murder_treacherous,Shor,-,m,small,"s10 journal: ""Gore has left my party...""; s20: ""Gore wants to leave the party... but I won't let that happen."" s30 [COMPLETE]: ""I have killed Gore for trying to betray me."" cross-gen KEEP: murder_treacherous(S) from the Shor Part B profile, stepped down",GORE.esp:6738F7
HD1GoreMurderer,The Apple from the Tree,30,Killed Gore rather than allowing the companion to leave the player's service.,murder_treacherous,Tsun,-,m,small,"s10 journal: ""Gore has left my party...""; s20: ""Gore wants to leave the party... but I won't let that happen."" s30 [COMPLETE]: ""I have killed Gore for trying to betray me."" cross-gen KEEP: murder_treacherous(S) from the Tsun Part B profile, stepped down",GORE.esp:6738F7
HD1GoreMurderer,The Apple from the Tree,30,Killed Gore rather than allowing the companion to leave the player's service.,murder_treacherous,HoonDing,-,m,small,"s10 journal: ""Gore has left my party...""; s20: ""Gore wants to leave the party... but I won't let that happen."" s30 [COMPLETE]: ""I have killed Gore for trying to betray me."" cross-gen KEEP: murder_treacherous(m) from the HoonDing Part B profile, stepped down",GORE.esp:6738F7
HD1GoreMurderer,The Apple from the Tree,30,Killed Gore rather than allowing the companion to leave the player's service.,murder_treacherous,Leki,-,m,small,"s10 journal: ""Gore has left my party...""; s20: ""Gore wants to leave the party... but I won't let that happen."" s30 [COMPLETE]: ""I have killed Gore for trying to betray me."" cross-gen KEEP: murder_treacherous(S) from the Leki Part B profile, stepped down",GORE.esp:6738F7
HD1GoreMurderer,The Apple from the Tree,30,Killed Gore rather than allowing the companion to leave the player's service.,murder_treacherous,Sithis,+,m,small,"s10 journal: ""Gore has left my party...""; s20: ""Gore wants to leave the party... but I won't let that happen."" s30 [COMPLETE]: ""I have killed Gore for trying to betray me."" cross-gen KEEP: murder_treacherous(S) from the Sithis Part B profile, stepped down",GORE.esp:6738F7
HD1GoreMurderer,The Apple from the Tree,30,Killed Gore rather than allowing the companion to leave the player's service.,murder_treacherous,Boethiah,+,m,small,"s10 journal: ""Gore has left my party...""; s20: ""Gore wants to leave the party... but I won't let that happen."" s30 [COMPLETE]: ""I have killed Gore for trying to betray me."" cross-gen KEEP: murder_treacherous(S) from the Boethiah Part B profile, stepped down",GORE.esp:6738F7
HD1GoreMurderer,The Apple from the Tree,30,Killed Gore rather than allowing the companion to leave the player's service.,murder_treacherous,Mephala,+,m,small,"s10 journal: ""Gore has left my party...""; s20: ""Gore wants to leave the party... but I won't let that happen."" s30 [COMPLETE]: ""I have killed Gore for trying to betray me."" cross-gen KEEP: murder_treacherous(S) from the Mephala Part B profile, stepped down",GORE.esp:6738F7
