editor_id,quest_name,outcome_stage,outcome,act_tags,deity,valence,intensity,magnitude,citation,formid
DwarfSphereQ04,"No Corpse, No Case",20,Dissolved a vampire's corpse in a barrel of chaurus acid on Shanath's orders.,desecrate_the_dead,Arkay,-,S,small,"s20 journal: ""I now need to carefully place the vampire's body in to the barrel."" (s20 obj: Drop the n'wah's body into the barrel) cross-gen KEEP: desecrate_the_dead(C) from the Arkay Part B profile, stepped down.",Dwarfsphere.esp:7B5507
DwarfSphereQ04,"No Corpse, No Case",20,Dissolved a vampire's corpse in a barrel of chaurus acid on Shanath's orders.,desecrate_the_dead,Xarxes,-,m,small,"s20 journal: ""I now need to carefully place the vampire's body in to the barrel."" (s20 obj: Drop the n'wah's body into the barrel) cross-gen KEEP: desecrate_the_dead(S) from the Xarxes Part B profile, stepped down.",Dwarfsphere.esp:7B5507
DwarfSphereQ04,"No Corpse, No Case",20,Dissolved a vampire's corpse in a barrel of chaurus acid on Shanath's orders.,desecrate_the_dead,Azura,-,m,small,"s20 journal: ""I now need to carefully place the vampire's body in to the barrel."" (s20 obj: Drop the n'wah's body into the barrel) cross-gen KEEP: desecrate_the_dead(m) from the Azura Part B profile, stepped down.",Dwarfsphere.esp:7B5507
DwarfSphereQ04,"No Corpse, No Case",20,Dissolved a vampire's corpse in a barrel of chaurus acid on Shanath's orders.,desecrate_the_dead,Tu'whacca,-,m,small,"s20 journal: ""I now need to carefully place the vampire's body in to the barrel."" (s20 obj: Drop the n'wah's body into the barrel) cross-gen KEEP: desecrate_the_dead(S) from the Tu'whacca Part B profile, stepped down.",Dwarfsphere.esp:7B5507
DwarfSphereQ04,"No Corpse, No Case",20,Dissolved a vampire's corpse in a barrel of chaurus acid on Shanath's orders.,desecrate_the_dead,Meridia,-,m,small,"s20 journal: ""I now need to carefully place the vampire's body in to the barrel."" (s20 obj: Drop the n'wah's body into the barrel) cross-gen KEEP: desecrate_the_dead(S) from the Meridia Part B profile, stepped down.",Dwarfsphere.esp:7B5507
DwarfSphereQ04,"No Corpse, No Case",20,Dissolved a vampire's corpse in a barrel of chaurus acid on Shanath's orders.,desecrate_the_dead,Namira,+,m,small,"s20 journal: ""I now need to carefully place the vampire's body in to the barrel."" (s20 obj: Drop the n'wah's body into the barrel) cross-gen KEEP: desecrate_the_dead(S) from the Namira Part B profile, stepped down.",Dwarfsphere.esp:7B5507
DwarfSphereQ06,Legacy of the Extinct Race,230,Took position beside the Sadrith Kegran scientists and fought off the assault on the settlement.,protect_the_weak,Stendarr,+,S,small,"RUNTIME-VERIFY: s230 has an objective only -- ""Prepare for battle. Take your position next to the scientists"" (s240 obj: Stay alive) cross-gen KEEP: protect_the_weak(C) from the Stendarr Part B profile, stepped down.",Dwarfsphere.esp:7D3B68
DwarfSphereQ06,Legacy of the Extinct Race,230,Took position beside the Sadrith Kegran scientists and fought off the assault on the settlement.,protect_the_weak,Mara,+,m,small,"RUNTIME-VERIFY: s230 has an objective only -- ""Prepare for battle. Take your position next to the scientists"" (s240 obj: Stay alive) cross-gen KEEP: protect_the_weak(m) from the Mara Part B profile, stepped down.",Dwarfsphere.esp:7D3B68
DwarfSphereQ06,Legacy of the Extinct Race,230,Took position beside the Sadrith Kegran scientists and fought off the assault on the settlement.,protect_the_weak,Kynareth,+,m,small,"RUNTIME-VERIFY: s230 has an objective only -- ""Prepare for battle. Take your position next to the scientists"" (s240 obj: Stay alive) cross-gen KEEP: protect_the_weak(m) from the Kynareth Part B profile, stepped down.",Dwarfsphere.esp:7D3B68
DwarfSphereQ06,Legacy of the Extinct Race,230,Took position beside the Sadrith Kegran scientists and fought off the assault on the settlement.,protect_the_weak,Talos,+,m,small,"RUNTIME-VERIFY: s230 has an objective only -- ""Prepare for battle. Take your position next to the scientists"" (s240 obj: Stay alive) cross-gen KEEP: protect_the_weak(m) from the Talos Part B profile, stepped down.",Dwarfsphere.esp:7D3B68
DwarfSphereQ06,Legacy of the Extinct Race,230,Took position beside the Sadrith Kegran scientists and fought off the assault on the settlement.,defend_kin_home,Kyne,+,m,small,"RUNTIME-VERIFY: s230 has an objective only -- ""Prepare for battle. Take your position next to the scientists"" (s240 obj: Stay alive) cross-gen KEEP: defend_kin_home(m) from the Kyne Part B profile, stepped down.",Dwarfsphere.esp:7D3B68
DwarfSphereQ06,Legacy of the Extinct Race,230,Took position beside the Sadrith Kegran scientists and fought off the assault on the settlement.,defend_kin_home,Shor,+,m,small,"RUNTIME-VERIFY: s230 has an objective only -- ""Prepare for battle. Take your position next to the scientists"" (s240 obj: Stay alive) cross-gen KEEP: defend_kin_home(S) from the Shor Part B profile, stepped down.",Dwarfsphere.esp:7D3B68
DwarfSphereQ06,Legacy of the Extinct Race,230,Took position beside the Sadrith Kegran scientists and fought off the assault on the settlement.,protect_the_weak,Tsun,+,m,small,"RUNTIME-VERIFY: s230 has an objective only -- ""Prepare for battle. Take your position next to the scientists"" (s240 obj: Stay alive) cross-gen KEEP: protect_the_weak(m) from the Tsun Part B profile, stepped down.",Dwarfsphere.esp:7D3B68
DwarfSphereQ06,Legacy of the Extinct Race,230,Took position beside the Sadrith Kegran scientists and fought off the assault on the settlement.,protect_the_weak,Stuhn,+,m,small,"RUNTIME-VERIFY: s230 has an objective only -- ""Prepare for battle. Take your position next to the scientists"" (s240 obj: Stay alive) cross-gen KEEP: protect_the_weak(S) from the Stuhn Part B profile, stepped down.",Dwarfsphere.esp:7D3B68
