editor_id,quest_name,outcome_stage,outcome,act_tags,deity,valence,intensity,magnitude,citation,formid
ValTGAgent,Shadow of Possibility,200,Refused the Nightingale oath but accepted a separate bargain to serve as an Agent of Nocturnal.,serve_a_daedra:nocturnal,Akatosh,-,m,small,"s200 [COMPLETE] journal: ""I chose not to become a Nightingale. Instead, Val and I have become Agents of Nocturnal of a different variety... We are less powerful than Nightingales, but our souls remain our own."" cross-gen KEEP: serve_a_daedra:nocturnal(m) from the Akatosh Part B profile, stepped down",AX ValSerano.esp:23A085
ValTGAgent,Shadow of Possibility,200,Refused the Nightingale oath but accepted a separate bargain to serve as an Agent of Nocturnal.,serve_a_daedra:nocturnal,Stendarr,-,m,small,"s200 [COMPLETE] journal: ""I chose not to become a Nightingale. Instead, Val and I have become Agents of Nocturnal of a different variety... We are less powerful than Nightingales, but our souls remain our own."" cross-gen KEEP: serve_a_daedra:nocturnal(S) from the Stendarr Part B profile, stepped down",AX ValSerano.esp:23A085
ValTGAgent,Shadow of Possibility,200,Refused the Nightingale oath but accepted a separate bargain to serve as an Agent of Nocturnal.,serve_a_daedra:nocturnal,Auri-El,-,m,small,"s200 [COMPLETE] journal: ""I chose not to become a Nightingale. Instead, Val and I have become Agents of Nocturnal of a different variety... We are less powerful than Nightingales, but our souls remain our own."" cross-gen KEEP: serve_a_daedra:nocturnal(S) from the Auri-El Part B profile, stepped down",AX ValSerano.esp:23A085
ValTGCrow,Debt to the Crow,200,Relented and returned the Skeleton Key to appease Nocturnal.,serve_a_daedra:nocturnal,Akatosh,-,m,small,"s200 [COMPLETE] journal: ""I've relented and given the Skeleton Key to the Wraiths-of-Crows sent by Nocturnal. This appeased Nocturnal and her Daedra no longer hunt me."" cross-gen KEEP: serve_a_daedra:nocturnal(m) from the Akatosh Part B profile, stepped down",AX ValSerano.esp:290776
ValTGCrow,Debt to the Crow,200,Relented and returned the Skeleton Key to appease Nocturnal.,serve_a_daedra:nocturnal,Stendarr,-,m,small,"s200 [COMPLETE] journal: ""I've relented and given the Skeleton Key to the Wraiths-of-Crows sent by Nocturnal. This appeased Nocturnal and her Daedra no longer hunt me."" cross-gen KEEP: serve_a_daedra:nocturnal(S) from the Stendarr Part B profile, stepped down",AX ValSerano.esp:290776
ValTGCrow,Debt to the Crow,200,Relented and returned the Skeleton Key to appease Nocturnal.,serve_a_daedra:nocturnal,Auri-El,-,m,small,"s200 [COMPLETE] journal: ""I've relented and given the Skeleton Key to the Wraiths-of-Crows sent by Nocturnal. This appeased Nocturnal and her Daedra no longer hunt me."" cross-gen KEEP: serve_a_daedra:nocturnal(S) from the Auri-El Part B profile, stepped down",AX ValSerano.esp:290776
Val001,Between the Daedra and the Deep Blue Sea,200,Rescued Val Serano after he was marooned on a deserted island.,protect_the_weak,Stendarr,+,S,small,"s200 [COMPLETE] journal: ""I've rescued a man named Val Serano from a deserted island."" cross-gen KEEP: protect_the_weak(C) from the Stendarr Part B profile, stepped down",AX ValSerano.esp:2EE9A6
Val001,Between the Daedra and the Deep Blue Sea,200,Rescued Val Serano after he was marooned on a deserted island.,protect_the_weak,Mara,+,m,small,"s200 [COMPLETE] journal: ""I've rescued a man named Val Serano from a deserted island."" cross-gen KEEP: protect_the_weak(m) from the Mara Part B profile, stepped down",AX ValSerano.esp:2EE9A6
Val001,Between the Daedra and the Deep Blue Sea,200,Rescued Val Serano after he was marooned on a deserted island.,protect_the_weak,Kynareth,+,m,small,"s200 [COMPLETE] journal: ""I've rescued a man named Val Serano from a deserted island."" cross-gen KEEP: protect_the_weak(m) from the Kynareth Part B profile, stepped down",AX ValSerano.esp:2EE9A6
Val001,Between the Daedra and the Deep Blue Sea,200,Rescued Val Serano after he was marooned on a deserted island.,protect_the_weak,Talos,+,m,small,"s200 [COMPLETE] journal: ""I've rescued a man named Val Serano from a deserted island."" cross-gen KEEP: protect_the_weak(m) from the Talos Part B profile, stepped down",AX ValSerano.esp:2EE9A6
Val001,Between the Daedra and the Deep Blue Sea,200,Rescued Val Serano after he was marooned on a deserted island.,protect_the_weak,Tsun,+,m,small,"s200 [COMPLETE] journal: ""I've rescued a man named Val Serano from a deserted island."" cross-gen KEEP: protect_the_weak(m) from the Tsun Part B profile, stepped down",AX ValSerano.esp:2EE9A6
Val001,Between the Daedra and the Deep Blue Sea,200,Rescued Val Serano after he was marooned on a deserted island.,protect_the_weak,Stuhn,+,m,small,"s200 [COMPLETE] journal: ""I've rescued a man named Val Serano from a deserted island."" cross-gen KEEP: protect_the_weak(S) from the Stuhn Part B profile, stepped down",AX ValSerano.esp:2EE9A6
Val001,Between the Daedra and the Deep Blue Sea,200,Rescued Val Serano after he was marooned on a deserted island.,protect_the_weak,Syrabane,+,S,small,"s200 [COMPLETE] journal: ""I've rescued a man named Val Serano from a deserted island."" cross-gen KEEP: protect_the_weak(C) from the Syrabane Part B profile, stepped down",AX ValSerano.esp:2EE9A6
Val001,Between the Daedra and the Deep Blue Sea,200,Rescued Val Serano after he was marooned on a deserted island.,protect_the_weak,Khenarthi,+,m,small,"s200 [COMPLETE] journal: ""I've rescued a man named Val Serano from a deserted island."" cross-gen KEEP: protect_the_weak(S) from the Khenarthi Part B profile, stepped down",AX ValSerano.esp:2EE9A6
