editor_id,quest_name,outcome_stage,outcome,act_tags,citation,formid,evidence_tier,branch_note
MASMainQuest,Moon and Star (killed the Nerevarine unhired),48,"Hunted down and killed the Nerevarine without even being contracted to, out of pride","murder_treacherous,kill_the_helpless","B02 tier A terminal: s48 'Even though I was not hired to do so, I killed him all the same. Surely if I can kill even the Nerevarine, none can stand before me!' Tagged as murder rather than assassination_contract precisely because the journal says there was no contract for it.",MoonAndStar_MAS.esp:00696B,A,"Branch 1 of 6 mutually-exclusive endings. This is the worst-faith one: no contract, no provocation, pride alone."
MASMainQuest,Moon and Star (killed the Nerevarine and the broker),49,Killed the Nerevarine under contract and then killed Mandyn Hlaalu rather than deal with him,"assassination_contract,murder_treacherous","B02 tier A terminal: s49 'I killed the Nerevarine, as I was hired to do, but I did not want to cooperate with Mandyn Hlaalu and slew him on the spot. Serves him right for trying to toy with me.'",MoonAndStar_MAS.esp:00696B,A,"Branch 2 of 6. Both parties dead; the second killing is unprovoked."
MASMainQuest,Moon and Star (fulfilled the contract),50,Killed the Nerevarine for the contract and took Mandyn Hlaalu's payment,assassination_contract,"B02 tier A terminal: s50 'Mandyn Hlaalu rewarded me for slaying the Nerevarine, and went on his way.' Rejected generic reads: keep_oath is NOT applied - a murder contract taken under a false House Hlaalu pretext is not a vow any god honours.",MoonAndStar_MAS.esp:00696B,A,"Branch 3 of 6. Stages 50, 53 and 55 are the same outcome with different flavour text and are rowed separately because the mod can land on any one of them."
MASMainQuest,Moon and Star (fulfilled the contract),53,Killed the Nerevarine for the contract and took Mandyn Hlaalu's payment,assassination_contract,"B02 tier A terminal: s53 'Mandyn Hlaalu rewarded me for slaying the Nerevarine, and went on his way. I doubt I'll see him again.'",MoonAndStar_MAS.esp:00696B,A,Variant terminal of branch 3.
MASMainQuest,Moon and Star (fulfilled the contract),55,Killed the Nerevarine for the contract and took Mandyn Hlaalu's payment,assassination_contract,"B02 tier A terminal: s55 'Mandyn Hlaalu rewarded me for slaying the Nerevarine, and went on his way. I doubt I'll see him again.'",MoonAndStar_MAS.esp:00696B,A,Variant terminal of branch 3.
MASMainQuest,Moon and Star (took the Morag Tong's favour),60,Killed the Nerevarine and was rewarded by the Morag Tong with a blade and an offer of membership,"assassination_contract,murder_treacherous","B02 tier A terminal: s60 'Mandyn Hlaalu rewarded me for slaying the Nerevarine with gold and a special dagger', following s58 'A Morag Tong agent visited me in the dead of night, thanking me for slaying the Nerevarine with no provocation.'",MoonAndStar_MAS.esp:00696B,A,"Branch 4 of 6. Stages 60, 63 and 65 are the same outcome and are all rowed."
MASMainQuest,Moon and Star (took the Morag Tong's favour),63,Killed the Nerevarine and was rewarded by the Morag Tong with a blade and an offer of membership,"assassination_contract,murder_treacherous","B02 tier A terminal: s63, same resolution text as s60.",MoonAndStar_MAS.esp:00696B,A,Variant terminal of branch 4.
MASMainQuest,Moon and Star (took the Morag Tong's favour),65,Killed the Nerevarine and was rewarded by the Morag Tong with a blade and an offer of membership,"assassination_contract,murder_treacherous","B02 tier A terminal: s65, same resolution text as s60.",MoonAndStar_MAS.esp:00696B,A,Variant terminal of branch 4.
MASMainQuest,Moon and Star (spared him and broke the weapon),92,Spared the Nerevarine and helped him destroy an ancient Dwemer weapon for the good of Tamriel,"mercy_spare,protect_the_weak","B02 tier A terminal: s70 'I agreed to help him destroy an ancient Dwemer weapon, for the good of Tamriel' and s92 'The Nerevarine gave me a powerful artifact for helping him defeat the ancient Dwemer weapon.' Rejected generic reads: break_oath_betray is NOT applied - Mandyn is a Morag Tong assassin who lied about acting for House Hlaalu, and refusing a deceiver's murder contract is not oath-breaking.",MoonAndStar_MAS.esp:00696B,A,"Branch 5 of 6. The good-faith ending."
MASMainQuest,"Moon and Star (spared him, killed the assassin in self-defence)",90,"Spared the Nerevarine, then killed Mandyn Hlaalu when he attacked over the refusal","mercy_spare,kill_honorable_combat","B02 tier A terminal: s90 'After learning that I had not killed the Nerevarine, he attacked me and I slew him.' The killing is a response to being attacked, so kill_honorable_combat rather than murder_treacherous.",MoonAndStar_MAS.esp:00696B,A,"Branch 6 of 6."
