race,moment,moment_order,deity_tone,slot_id,surface,surfacing,voice,budget_target,budget_hard,char_count,over_budget,trigger,draft_prose,edit
Orc,First blessing (Tier 1),10,"Malacath: Blunt, verdict-toned, exile-coded; never petitioned, never warm; speaks of the code, the forge, the oath, and what he has witnessed; a judgment rendered, not a comfort offered.",PDV_Bless_Orc_Malacath_T1,Blessing description,Quiet,Narrator,140,200,136,,Passive blessing description; visible whenever the player views active effects.,Malacath has noted your conduct. Smithing experience +5%; Orcish armor you wear adds 5 armor; disease resistance +10%; brawl damage +5%.,
Orc,Other,999,"Malacath: Blunt, verdict-toned, exile-coded; never petitioned, never warm; speaks of the code, the forge, the oath, and what he has witnessed; a judgment rendered, not a comfort offered.",PDV_Bless_Orc_Malacath_T2_Stronghold,Blessing description,Quiet,Narrator,140,200,143,,Passive blessing description; visible whenever the player views active effects.,Malacath watches the code carried in full. Your forge work tempers higher. Proving strength against a hard foe restores health after the fight.,
Orc,Other,999,"Malacath: Blunt, verdict-toned, exile-coded; never petitioned, never warm; speaks of the code, the forge, the oath, and what he has witnessed; a judgment rendered, not a comfort offered.",PDV_Bless_Orc_Malacath_T2_City,Blessing description,Quiet,Narrator,140,200,148,,Passive blessing description; visible whenever the player views active effects.,Malacath sees the code held with no stronghold to hold it for you. Quality work earns his eye. Standing firm against scorn steadies your next words.,
Orc,Other,999,"Malacath: Blunt, verdict-toned, exile-coded; never petitioned, never warm; speaks of the code, the forge, the oath, and what he has witnessed; a judgment rendered, not a comfort offered.",PDV_Bless_Orc_Malacath_T2_LegionExile,Blessing description,Quiet,Narrator,140,200,146,,Passive blessing description; visible whenever the player views active effects.,Malacath weighs the code carried under foreign command. A contract honored under pressure is counted. Endurance through the long march is counted.,
Orc,Other,999,"Malacath: Blunt, verdict-toned, exile-coded; never petitioned, never warm; speaks of the code, the forge, the oath, and what he has witnessed; a judgment rendered, not a comfort offered.",PDV_Bless_Orc_Malacath_T3_Stronghold,Blessing description,Quiet,Narrator,140,200,163,,Passive blessing description; visible whenever the player views active effects.,"Malacath's witness is complete. Weapons you forged strike 5% harder in your hands alone. Near death, once a day, his fury restores stamina and lightens your blows.",
Orc,Other,999,"Malacath: Blunt, verdict-toned, exile-coded; never petitioned, never warm; speaks of the code, the forge, the oath, and what he has witnessed; a judgment rendered, not a comfort offered.",PDV_Bless_Orc_Malacath_T3_City,Blessing description,Quiet,Narrator,140,200,155,,Passive blessing description; visible whenever the player views active effects.,"Malacath saw you hold the code where nothing rewarded it. Your craft always reaches its ceiling. Met with scorn and unbroken, your next fight steadies you.",
Orc,Other,999,"Malacath: Blunt, verdict-toned, exile-coded; never petitioned, never warm; speaks of the code, the forge, the oath, and what he has witnessed; a judgment rendered, not a comfort offered.",PDV_Bless_Orc_Malacath_T3_LegionExile,Blessing description,Quiet,Narrator,140,200,139,,Passive blessing description; visible whenever the player views active effects.,Malacath acknowledged the endurance. A hard service completed steadies the next fight. You carry 15 more weight; the exile's back is broad.,
Orc,Other,999,"Malacath: Blunt, verdict-toned, exile-coded; never petitioned, never warm; speaks of the code, the forge, the oath, and what he has witnessed; a judgment rendered, not a comfort offered.",PDV_Notif_Orc_Malacath_ObservantEntry,Notification,Noted,Narrator,60,80,52,,HUD corner notification. One per save.,Malacath has begun to watch your conduct. Observant.,
Orc,Other,999,"Malacath: Blunt, verdict-toned, exile-coded; never petitioned, never warm; speaks of the code, the forge, the oath, and what he has witnessed; a judgment rendered, not a comfort offered.",PDV_Notif_Orc_Malacath_FaithfulEntry,Notification,Noted,Narrator,60,80,57,,HUD corner notification. One per save.,Malacath sees the pattern. The code is carried. Faithful.,
Orc,Other,999,"Malacath: Blunt, verdict-toned, exile-coded; never petitioned, never warm; speaks of the code, the forge, the oath, and what he has witnessed; a judgment rendered, not a comfort offered.",PDV_Notif_Orc_Malacath_DevotedEntry,Notification,Marked,Narrator,60,80,40,,HUD corner notification. One per save; precedes the per-mode Champion entry.,Malacath's witness is complete. Devoted.,
Orc,Other,999,"Malacath: Blunt, verdict-toned, exile-coded; never petitioned, never warm; speaks of the code, the forge, the oath, and what he has witnessed; a judgment rendered, not a comfort offered.",PDV_Notif_Orc_Malacath_ObservantLapse,Notification,Noted,Narrator,60,80,46,,HUD corner notification. One per direction per save.,Malacath's eye has drifted from you. Wavering.,
Orc,Other,999,"Malacath: Blunt, verdict-toned, exile-coded; never petitioned, never warm; speaks of the code, the forge, the oath, and what he has witnessed; a judgment rendered, not a comfort offered.",PDV_Notif_Orc_Malacath_FaithfulLapse,Notification,Noted,Narrator,60,80,47,,HUD corner notification. One per direction per save.,The code shows thin to Malacath now. Observant.,
Orc,Other,999,"Malacath: Blunt, verdict-toned, exile-coded; never petitioned, never warm; speaks of the code, the forge, the oath, and what he has witnessed; a judgment rendered, not a comfort offered.",PDV_Notif_Orc_Malacath_DevotedLapse,Notification,Marked,Narrator,60,80,45,,HUD corner notification. One per save per Devoted loss.,Malacath no longer holds the Devoted witness.,
Orc,Other,999,"Malacath: Blunt, verdict-toned, exile-coded; never petitioned, never warm; speaks of the code, the forge, the oath, and what he has witnessed; a judgment rendered, not a comfort offered.",PDV_Msg_Orc_Malacath_ChampionEntry_Stronghold,MessageBox,Marked,God-voice,280,500,15+158,,MessageBox. One-time on first Stronghold Devoted.,"Title: ""The Forge Sings"" Body: ""I do not bless. I witness. The forge, the oath, the strength, the kin -- you carried all four. The stronghold is yours, and the work you make knows your hand.""",
Orc,Other,999,"Malacath: Blunt, verdict-toned, exile-coded; never petitioned, never warm; speaks of the code, the forge, the oath, and what he has witnessed; a judgment rendered, not a comfort offered.",PDV_Msg_Orc_Malacath_ChampionEntry_City,MessageBox,Marked,God-voice,280,500,15+154,,MessageBox. One-time on first City Devoted.,"Title: ""Witnessed Alone"" Body: ""No chief confirmed you. No shaman named you. No stronghold held the code for you. I did. You held it where nothing made you, and that is the harder thing.""",
Orc,Other,999,"Malacath: Blunt, verdict-toned, exile-coded; never petitioned, never warm; speaks of the code, the forge, the oath, and what he has witnessed; a judgment rendered, not a comfort offered.",PDV_Msg_Orc_Malacath_ChampionEntry_LegionExile,MessageBox,Marked,God-voice,280,500,18+160,,MessageBox. One-time on first LegionExile Devoted; Entry-only Champion.,"Title: ""The Burden Carried"" Body: ""You carried my code through a foreign army, a foreign province, years that wanted you smaller. You did not get smaller. The exile who endures is my truest word.""",
Orc,Champion ambient line,31,"Malacath: Blunt, verdict-toned, exile-coded; never petitioned, never warm; speaks of the code, the forge, the oath, and what he has witnessed; a judgment rendered, not a comfort offered.",PDV_Notif_Orc_Malacath_ChampionAmbient_ForgeWork,Notification,Noted,Player-2nd,60,80,42,,HUD corner notification. Stronghold Devoted + forge use; one per in-game day.,The forge work feels like prayer answered.,
Orc,Champion ambient line,31,"Malacath: Blunt, verdict-toned, exile-coded; never petitioned, never warm; speaks of the code, the forge, the oath, and what he has witnessed; a judgment rendered, not a comfort offered.",PDV_Notif_Orc_Malacath_ChampionAmbient_StrongholdAccept,Notification,Noted,Player-2nd,60,80,57,,HUD corner notification. Stronghold Devoted + at a stronghold; one per stronghold visit.,"At the stronghold, the shaman's words seem meant for you.",
Orc,Champion ambient line,31,"Malacath: Blunt, verdict-toned, exile-coded; never petitioned, never warm; speaks of the code, the forge, the oath, and what he has witnessed; a judgment rendered, not a comfort offered.",PDV_Notif_Orc_Malacath_ChampionAmbient_PrivateOath,Notification,Noted,Player-2nd,60,80,48,,HUD corner notification. City Devoted + dignity-under-scorn beat; per qualifying event.,"Scorned, and unbroken. Malacath's witness holds.",
