editor_id,quest_name,outcome_stage,outcome,act_tags,citation,formid,evidence_tier,branch_note
manny_GF_Books,Memories of the Umbranox,30,Recovered all of Caio Umbranox's journals and handed them over to Seviana for a gold reward.,honest_labor_trade,"s30 journal: ""I've rescued all the Caio's Journals and delivered them to Seviana. She rewarded me with 1000 gold.""",Gray Fox Cowl.esm:0026F4,A,"Mutually exclusive endings: hand over for gold (s30), hand over for a spell tome (s40), or keep the journals (s50)."
manny_GF_Books,Memories of the Umbranox,40,Recovered all of Caio Umbranox's journals and handed them over to Seviana for a spell tome.,honest_labor_trade,"s40 journal: ""I've rescued all the Caio's Journals and delivered them to Seviana. She rewarded me with a powerful spell tome.""",Gray Fox Cowl.esm:0026F4,A,"Mutually exclusive endings: hand over for gold (s30), hand over for a spell tome (s40), or keep the journals (s50)."
manny_GF_Books,Memories of the Umbranox,50,Recovered all of Caio Umbranox's journals and kept them instead of delivering them to Seviana.,theft_burglary,"s50 journal: ""I've rescued all the Caio's Journals. However I decided to keep them with me.""",Gray Fox Cowl.esm:0026F4,A,"Mutually exclusive endings: hand over for gold (s30), hand over for a spell tome (s40), or keep the journals (s50)."
manny_GF_BuryValenDreth,Bury Valen Dreth,10,Buried the remains of Valen Dreth at Falkreath.,honor_the_dead,"s10 objective (tier B, objective only): ""Bury the rests of Valen Dreth at Falkreath"" -- RUNTIME-VERIFY that the burial actually lands on s10 rather than the untexted s20.",Gray Fox Cowl.esm:01E072,B,Single outcome.
manny_GF_ColdharbourQuest,Reward of Coldharbour,10,Escaped Coldharbour without killing its Guardians.,mercy_spare,"s10 objective: ""(Optional) Do not kill the Guardians of Coldharbour""",Gray Fox Cowl.esm:01F56B,A,Optional branch -- sparing the Guardians is exclusive with killing them; no stage records the killing branch.
manny_GF_ColdharbourQuest,Reward of Coldharbour,255,Escaped the Daedric realm of Coldharbour.,prove_by_struggle,"s255 journal: ""I've successfully escaped from Coldharbour.""",Gray Fox Cowl.esm:01F56B,A,Single outcome; the escape itself is unbranched.
manny_GF_Farewell,Time for the Farewells,20,Escorted Seviana and Luvien safely to the docks of Solitude.,protect_the_weak,"s20 journal: ""I've successfully escorted Seviana and Luvien to the docks of Solitude.""",Gray Fox Cowl.esm:01CFA7,A,Single outcome.
manny_GF_IrlavExperiment,The Experiment,100,Carried out Irlav's arcane experiment by placing the artifacts and was nearly killed when it went wrong.,reckless_magic,"s100 journal: ""I think something went wrong with the experiment... I was almost killed! Need to talk to Irlav!""",Gray Fox Cowl.esm:03039F,A,Single outcome.
manny_GF_MiscQuestShantaFilibb,Claim Shanta Filibb,50,Killed all the bandits holding Shanta Filibb.,"kill_honorable_combat,uphold_law_justice","s50 journal: ""I have killed all the bandits. I need to check the notice board in Ben Erai city if there is a note for a reward.""",Gray Fox Cowl.esm:050159,A,Single outcome.
manny_GF_MQ,The Call of Gray Cowl of Nocturnal,999,Claimed the Gray Cowl of Nocturnal from the mausoleum of the Champion of Cyrodiil.,acquire_daedric_artifact:nocturnal,"s999 journal: ""I've got the legendary Gray Cowl of Nocturnal.""",Gray Fox Cowl.esm:001E61,A,Single outcome.
manny_GF_Sadraaka,The Curse of Sadraaka,30,Killed Sadraaka and freed the ghostly Alik'r warriors of the Forgotten City from their curse.,"slay_undead,honor_the_dead","s30 journal: ""I successfully freed the Forgotten City from the curse of Sadraaka.""",Gray Fox Cowl.esm:026AE8,A,Single outcome.
