"editor_id","quest_name","outcome_stage","outcome","act_tags","citation","formid","evidence_tier","branch_note"
"TGBan","Reparations","200","Paid reparations after breaking the Thieves Guild's rules and was reinstated.","atonement_restitution","Skyrim.esm direct QUST read: s200 journal: I've paid my reparations and I have been reinstated to the Thieves Guild..","Skyrim.esm:0B03A2","A",""
"MGRitual02","Illusion Ritual Spell","200","Recovered the four hidden Master Illusion texts and delivered them to Drevis.","disciplined_study","Skyrim.esm direct QUST read: s200 journal: I have found the Master Illusion Texts hidden throughout the College and delivered them to Drevis Neloren. In return, he has given me one of the Master Illusion spells..","Skyrim.esm:0B3233","A",""
"FreeformFalkreathQuest03","Dark Ancestor","200","Destroyed the vampire Vighar and reported his death to Dengeir.","slay_undead","Skyrim.esm direct QUST read: objectives: Tell Dengeir that Vighar is dead; s200 CompleteQuest. RUNTIME-VERIFY.","Skyrim.esm:0B83C3","B",""
"MGR20B","Fetch me that Book!","200","Recovered a requested book for Urag gro-Shub.","disciplined_study","Skyrim.esm direct QUST read: objectives: Find the copy of <Alias=Book>; Return the book to Urag gro-Shub; s200 CompleteQuest. RUNTIME-VERIFY.","Skyrim.esm:0BC096","B","REPEATABLE-ELIGIBLE: stage-safe; daily hard cap owns repetition."
"BQ02","Bounty: Forsworn","200","Killed a Forsworn leader under a hold bounty and collected the reward.","uphold_law_justice,kill_honorable_combat","Skyrim.esm direct QUST read: objectives: Kill the leader of <Alias=BountyLocation>; Collect the bounty from <Alias=Steward>; Collect the bounty from <Alias=Jarl>; s200. RUNTIME-VERIFY.","Skyrim.esm:0BD77F","C","REPEATABLE-ELIGIBLE: stage-safe; daily hard cap owns repetition."
"BQ03","Bounty: Giant","200","Killed a giant under a hold bounty and collected the reward.","uphold_law_justice,kill_honorable_combat","Skyrim.esm direct QUST read: objectives: Kill the giant located at <Alias=BountyLocation>; Collect bounty from <Alias=Steward>; Collect bounty from <Alias=Jarl>; s200. RUNTIME-VERIFY.","Skyrim.esm:0BD78C","C","REPEATABLE-ELIGIBLE: stage-safe; daily hard cap owns repetition."
"MGRAppBrelyna01","Brelyna's Practice","200","Helped Brelyna test her unstable experimental spells.","reckless_magic,civic_service","Skyrim.esm direct QUST read: s200 journal: After two attempts at helping Brelyna with trying out new spells, she has agreed that perhaps she should work a bit more before trying anything else..","Skyrim.esm:0C0416","A",""
"FreeformValdDebt","Vald's Debt","200","Recovered the Quill of Gemination so Vald's debt could be discharged.","atonement_restitution,civic_service","Skyrim.esm direct QUST read: objectives: Talk to Maven about Vald's debt; Locate the Quill of Gemination under Lake Honrich; Bring the Quill of Gemination to Maven; s200. RUNTIME-VERIFY.","Skyrim.esm:0C04BA","C",""
"CR06","Family Heirloom","200","Recovered a family's stolen heirloom and returned it through the Companions.","restore_cultural_relic,civic_service","Skyrim.esm direct QUST read: objectives: Retrieve the <Alias=Gewgaw> from <Alias=Location>; Return to <Alias=Questgiver>; s200 CompleteQuest.","Skyrim.esm:0C18E1","A","REPEATABLE-ELIGIBLE: stage-safe; daily hard cap owns repetition."
"FreeformRiften22","Stabilized","200","Helped Shadr resolve his debt to Sapphire.","civic_service","Skyrim.esm direct QUST read: objectives: Speak to Sapphire about Shadr's debt; Return to Shadr; s200. RUNTIME-VERIFY.","Skyrim.esm:0C1E07","C",""
"MGR30","Aftershock","200","Closed a dangerous magical rupture before it became a greater threat.","protect_the_weak","Skyrim.esm direct QUST read: s200 journal: A magical anomaly was reported in Skyrim; it seems to have been connected to Ancano's meddling with the Eye of Magnus. I successfully shut it down before it could become a greater problem..","Skyrim.esm:0C1E72","A","REPEATABLE-ELIGIBLE: stage-safe; daily hard cap owns repetition."
"dunNchuandZelQst","The Lost Expedition","110","Reactivated Nchuand-Zel's defenses and reported the lost expedition to Calcelmo.","protect_the_weak,disciplined_study","Skyrim.esm direct QUST read: s110 journal: I've informed Calcelmo about the journal and received some gold for my efforts..","Skyrim.esm:0C3709","A",""
"SolitudeFreeform02","Fit for a Jarl","200","Presented Taarie's outfit to Elisif and returned with the Jarl's judgment.","aesthetic_devotion,civic_service","Skyrim.esm direct QUST read: objectives: Speak to <Alias.ShortName=Target> with <Alias.ShortName=Questgiver>'s outfit on.; Tell <Alias.ShortName=Questgiver> what <Alias.ShortName=Target> said about the outfit.; s200. RUNTIME-VERIFY.","Skyrim.esm:0C7D1C","C",""
"SolitudeFreeform03","Return to Grace","200","Recovered Greta's item from the dead and returned it while helping her return to the Temple.","honor_the_dead,civic_service","Skyrim.esm direct QUST read: objectives: Speak to <Alias.ShortName=Target> about going to the Temple of Divines.; Retrieve <Alias.ShortName=Item> off of <Alias.ShortName=DeadPerson>.; Return <Alias.ShortName=Item> to <Alias.ShortName=Target>.; s200. RUNTIME-VERIFY.","Skyrim.esm:0C7D42","C",""
"MGRejoinQuest","Rejoining the College","200","Paid restitution for misconduct and had the College suspension lifted.","atonement_restitution","Skyrim.esm direct QUST read: s200 journal: I have paid Tolfdir and my suspension from the College has been lifted..","Skyrim.esm:0C9A0E","A",""
"NN01","A Return To Your Roots","200","Completed Sinderion's Crimson Nirnroot fieldwork and entrusted it to his former student.","disciplined_study,honor_the_dead","Skyrim.esm direct QUST read: s200 journal: I have brought my Crimson Nirnroot to Avrusa Sarethi, a former student of Sinderion. She was overjoyed that I was able to complete Sinderion's field work and pledged to continue his research in his memory..","Skyrim.esm:0C9BA0","A",""
