editor_id,quest_name,outcome_stage,outcome,act_tags,citation,formid,evidence_tier,branch_note
HLIOADQuest,Attuned Assassination,70,"Sourced a tome of Dwemer Tonal Magic for Remi, who used it to research and build a tuning fork that shuts down automata.","disciplined_study,forbidden_knowledge","s70 journal: ""...do some sort of Tonal Magic and shut down automaton. So long as she's able to get close to them without being noticed, she should be able to take out automaton before they become a problem for us.""",HLIORemi.esp:62E259,A,Single outcome.
HLIOMQ1,Reunion of the Fallen,100,Recovered the case of skooma the Riften guard had confiscated so it could be handed back to a smuggler.,theft_burglary,"s100 journal: ""We found a smuggler in Riften who will only give us information if we recover a case of skooma that the Riften guard took from him. We found the skooma, so we should return it to him.""",HLIORemi.esp:46FA55,A,Required step on the investigation path; no refusal branch present.
HLIOMQ1,Reunion of the Fallen,110,Delivered the recovered skooma to the Riften smuggler as payment for information about Remi's family.,contraband_trade,"s110 journal: ""We found a smuggler in Riften who gave us information about Remi's family. I should read the note he gave me.""",HLIORemi.esp:46FA55,A,Owner-approved contraband exchange: skooma paid to an informant.
HLIOMQ1,Reunion of the Fallen,125,Helped Remi send an anonymous letter falsely denouncing Morvic to the Order of the Hour as a daedra worshipper.,deceit,"s125 journal: ""Emboldened by her family's safety, Remiel wrote an anonymous letter to the Order of the Hour in Wayrest to frame Morvic as a daedra worshipper.""",HLIORemi.esp:46FA55,A,Revenge branch; mutually exclusive with the s230 restraint ending.
HLIOMQ1,Reunion of the Fallen,190,"Killed Morvic, the ex-fiance who had hired assassins against Remi, when he hunted her down in Arkngchal.","kill_honorable_combat,protect_the_weak","s190 journal: ""Despite his plotting, we managed to kill him. I should check in with Remi.""",HLIORemi.esp:46FA55,A,Revenge branch (terminal s220); mutually exclusive with s230.
HLIOMQ1,Reunion of the Fallen,230,Talked Remi out of her revenge plot against Morvic and ended the vendetta.,mercy_spare,"s230 journal: ""Remi wanted to exact her own revenge on him, but I told her that she was taking it too far and convinced her to stop with her plotting.""",HLIORemi.esp:46FA55,A,Restraint ending; mutually exclusive with the s220 revenge ending.
HLIORemiMarriage,HLIORemiMarriage,15,Married Remi under an Amulet of Mara and spoke with her after the ceremony.,marriage_family,"s15 journal: "";talked to Remi after marriage ceremony"" (s10 obj: Ask Remi to marry you while wearing an Amulet of Mara.)",HLIORemi.esp:3211E5,A,Single outcome.
HLIORPLock,Picking Remi's Brain,70,Supplied the iron and kept Remi's finished tension wrench so that lockpicking would be easier.,theft_burglary,"s70 journal: ""Remi has made some adjustments to it, which has made it significantly more useful. I should keep this with me so that lockpicking is easier.""",HLIORemi.esp:237EE7,A,Accepted branch; mutually exclusive with the s80 refusal.
HLIORPLock,Picking Remi's Brain,80,Refused to help Remi build a device that would simplify lockpicking.,reject_criminality,"s80 journal: ""I refused to help Remi create an object to simplify lockpicking.""",HLIORemi.esp:237EE7,A,Owner-approved refusal branch; mutually exclusive with s70.
HLIOStartingQuest,The Dwemer Specialist,30,"Killed Nimhe, the giant spider infesting Calcelmo's excavation, under a bargain for access to Nchuand-Zel.","the_hunt,protect_the_weak","s30 journal: ""I killed Nimhe in the excavation site, but others weren't so lucky.""",HLIORemi.esp:0E4852,A,Deal-with-Calcelmo path; s35 is the already-killed variant of the same act.
HLIOStartingQuest,The Dwemer Specialist,90,Reactivated Nchuand-Zel's dwemer defences to stop the falmer invading Markarth from below.,"protect_the_weak,civic_service","s90 journal: ""We reactivated the dwemer defenses, but Remi has noticed one automaton behaving oddly."" (s80 obj: Pull the lever.)",HLIORemi.esp:0E4852,A,Expedition path only; the s85 already-explored variant never surfaces the falmer threat.
