race,moment,moment_order,deity_tone,slot_id,surface,surfacing,voice,budget_target,budget_hard,char_count,over_budget,trigger,draft_prose,edit
Nocturnal,Boon -- Seeker (Tier 1),10,"Nocturnal (Daedric path): Detached, cryptic, contractual; the god of shadow, luck, and debt who speaks in inevitability, not command -- the oath was always yours, the debt was always coming, and she merely records it; cool and distant, neither warm nor punishing; her register is the certainty of the ledger kept in the dark.",PDV_Bless_Daedric_Nocturnal_Seeker,Boon description,Quiet,Narrator,140,200,100,,Passive blessing description; visible whenever the player views active effects.,Shadow luck covers you. Small fortunate turns come more often; the unseen paths open a little wider.,
Nocturnal,Boon -- Devoted (Tier 2),11,"Nocturnal (Daedric path): Detached, cryptic, contractual; the god of shadow, luck, and debt who speaks in inevitability, not command -- the oath was always yours, the debt was always coming, and she merely records it; cool and distant, neither warm nor punishing; her register is the certainty of the ledger kept in the dark.",PDV_Bless_Daedric_Nocturnal_Devoted,Boon description,Quiet,Narrator,140,200,108,,Passive blessing description; visible whenever the player views active effects.,"Nocturnal's shade deepens. Luck favors you more reliably, and in shadows you move as though they expect you.",
Nocturnal,Boon -- Champion (Tier 3),12,"Nocturnal (Daedric path): Detached, cryptic, contractual; the god of shadow, luck, and debt who speaks in inevitability, not command -- the oath was always yours, the debt was always coming, and she merely records it; cool and distant, neither warm nor punishing; her register is the certainty of the ledger kept in the dark.",PDV_Bless_Daedric_Nocturnal_Champion,Boon description,Quiet,Narrator,140,200,133,,Passive blessing description; visible whenever the player views active effects.,"Nocturnal's debt runs in your favor. Fortune tilts for you in the dark; shadows are allies, and your concealment in them is absolute.",
Nocturnal,Price -- Seeker (Tier 1),20,"Nocturnal (Daedric path): Detached, cryptic, contractual; the god of shadow, luck, and debt who speaks in inevitability, not command -- the oath was always yours, the debt was always coming, and she merely records it; cool and distant, neither warm nor punishing; her register is the certainty of the ledger kept in the dark.",PDV_Price_Daedric_Nocturnal_Seeker,Price description,Quiet,Narrator,140,200,135,,Passive price description (paired with the boon); visible whenever the player views active effects.,"The price of the shadow: the oath binds. What you owe Nocturnal has no stated invoice, only the certainty that it comes due eventually.",
Nocturnal,Price -- Devoted (Tier 2),21,"Nocturnal (Daedric path): Detached, cryptic, contractual; the god of shadow, luck, and debt who speaks in inevitability, not command -- the oath was always yours, the debt was always coming, and she merely records it; cool and distant, neither warm nor punishing; her register is the certainty of the ledger kept in the dark.",PDV_Price_Daedric_Nocturnal_Devoted,Price description,Quiet,Narrator,140,200,145,,Passive price description (paired with the boon); visible whenever the player views active effects.,"The price deepens: the debt has weight. Luck does not withdraw, but the oath tightens; Nocturnal does not forget, and the shadow does not either.",
Nocturnal,Price -- Champion (Tier 3),22,"Nocturnal (Daedric path): Detached, cryptic, contractual; the god of shadow, luck, and debt who speaks in inevitability, not command -- the oath was always yours, the debt was always coming, and she merely records it; cool and distant, neither warm nor punishing; her register is the certainty of the ledger kept in the dark.",PDV_Price_Daedric_Nocturnal_Champion,Price description,Quiet,Narrator,140,200,188,,Passive price description (paired with the boon); visible whenever the player views active effects.,"The full price: the oath is you now. Nocturnal is patient. She takes her due when the circumstances are right, and the sworn servant always finds it was implied in the terms they accepted.",
Nocturnal,Tier-up -- Seeker,30,"Nocturnal (Daedric path): Detached, cryptic, contractual; the god of shadow, luck, and debt who speaks in inevitability, not command -- the oath was always yours, the debt was always coming, and she merely records it; cool and distant, neither warm nor punishing; her register is the certainty of the ledger kept in the dark.",PDV_Notif_Daedric_Nocturnal_SeekerEntry,Notification,Noted,Narrator,60,80,49,,HUD corner notification. One per save.,Nocturnal acknowledges you. Seeker of the shadow.,
Nocturnal,Tier-up -- Devoted,31,"Nocturnal (Daedric path): Detached, cryptic, contractual; the god of shadow, luck, and debt who speaks in inevitability, not command -- the oath was always yours, the debt was always coming, and she merely records it; cool and distant, neither warm nor punishing; her register is the certainty of the ledger kept in the dark.",PDV_Notif_Daedric_Nocturnal_DevotedEntry,Notification,Marked,Narrator,60,80,47,,HUD corner notification. One per save.,Nocturnal's shadow runs deeper in you. Devoted.,
Nocturnal,Tier-down (lapse),32,"Nocturnal (Daedric path): Detached, cryptic, contractual; the god of shadow, luck, and debt who speaks in inevitability, not command -- the oath was always yours, the debt was always coming, and she merely records it; cool and distant, neither warm nor punishing; her register is the certainty of the ledger kept in the dark.",PDV_Notif_Daedric_Nocturnal_Lapse,Notification,Noted,Narrator,60,80,58,,HUD corner notification. One per direction per save.,Nocturnal's luck turns away. The shadow grows indifferent.,
Nocturnal,Champion recognition (MessageBox),33,"Nocturnal (Daedric path): Detached, cryptic, contractual; the god of shadow, luck, and debt who speaks in inevitability, not command -- the oath was always yours, the debt was always coming, and she merely records it; cool and distant, neither warm nor punishing; her register is the certainty of the ledger kept in the dark.",PDV_Msg_Daedric_Nocturnal_ChampionEntry,MessageBox,Marked,God-voice,280,500,23+264,,MessageBox. One-time on first Champion tier.,"Title: ""Nocturnal's Nightingale"" Body: ""Every oath to me echoes through the Evergloam eventually. You found yours through choice, which is unusual. The luck stays, the shadow stays, and the debt is recorded as it always was. You are mine -- which means the dark is yours, and the terms were always clear.""",
Nocturnal,Commitment / pact (the gate clears),40,"Nocturnal (Daedric path): Detached, cryptic, contractual; the god of shadow, luck, and debt who speaks in inevitability, not command -- the oath was always yours, the debt was always coming, and she merely records it; cool and distant, neither warm nor punishing; her register is the certainty of the ledger kept in the dark.",PDV_Msg_Daedric_Nocturnal_Commitment,MessageBox,Marked,God-voice,280,500,17+233,,MessageBox. Fires once when the commitment gate clears.,"Title: ""Nocturnal's Claim"" Body: ""Three times you chose the shadow when the open path was easier. You understand the terms now -- not fully, because no one does, but enough. The luck is real, the concealment is real, and the price is real. This is what you agreed to.""",
Nocturnal,Stigma -- Suspected,50,"Nocturnal (Daedric path): Detached, cryptic, contractual; the god of shadow, luck, and debt who speaks in inevitability, not command -- the oath was always yours, the debt was always coming, and she merely records it; cool and distant, neither warm nor punishing; her register is the certainty of the ledger kept in the dark.",PDV_Notif_Daedric_Nocturnal_Stigma_Suspected,Notification,Noted,Narrator,60,80,80,,HUD corner notification. On entering Suspected.,Nocturnal's oath on you is suspected. The shadow leaves a residue some can read.,
Nocturnal,Stigma -- Known,51,"Nocturnal (Daedric path): Detached, cryptic, contractual; the god of shadow, luck, and debt who speaks in inevitability, not command -- the oath was always yours, the debt was always coming, and she merely records it; cool and distant, neither warm nor punishing; her register is the certainty of the ledger kept in the dark.",PDV_Notif_Daedric_Nocturnal_Stigma_Known,Notification,Noted,Narrator,60,80,78,,HUD corner notification. On entering Known.,Your oath to Nocturnal is known. The shadow-debt is not civil; people note it.,
Nocturnal,Stigma -- Notorious,52,"Nocturnal (Daedric path): Detached, cryptic, contractual; the god of shadow, luck, and debt who speaks in inevitability, not command -- the oath was always yours, the debt was always coming, and she merely records it; cool and distant, neither warm nor punishing; her register is the certainty of the ledger kept in the dark.",PDV_Notif_Daedric_Nocturnal_Stigma_Notorious,Notification,Marked,Narrator,60,80,74,,HUD corner notification. On entering Notorious.,You are openly Nocturnal's. The oath marks you as outside the civic order.,
Nocturnal,Drifting away (neglect),60,"Nocturnal (Daedric path): Detached, cryptic, contractual; the god of shadow, luck, and debt who speaks in inevitability, not command -- the oath was always yours, the debt was always coming, and she merely records it; cool and distant, neither warm nor punishing; her register is the certainty of the ledger kept in the dark.",PDV_Notif_Daedric_Nocturnal_NeglectTexture,Notification,Noted,Player-2nd,60,80,77,,HUD corner notification. One per lapse-band crossing.,You leave the shadow unused. Nocturnal's luck withdraws; only the debt stays.,
Nocturnal,Renunciation (exit),61,"Nocturnal (Daedric path): Detached, cryptic, contractual; the god of shadow, luck, and debt who speaks in inevitability, not command -- the oath was always yours, the debt was always coming, and she merely records it; cool and distant, neither warm nor punishing; her register is the certainty of the ledger kept in the dark.",PDV_Msg_Daedric_Nocturnal_Exit,MessageBox,Marked,God-voice,280,500,19+258,,MessageBox. Fires once on renunciation; residue persists.,"Title: ""Nocturnal's Release"" Body: ""You release the oath. Nocturnal does not argue; she is patient with all things. The shadow luck withdraws and the concealment with it. The Evergloam keeps the record, and the debt is listed as settled -- which is the nearest thing to forgiveness she extends.""",
Nocturnal,Per-race response (on commitment),70,"Nocturnal (Daedric path): Detached, cryptic, contractual; the god of shadow, luck, and debt who speaks in inevitability, not command -- the oath was always yours, the debt was always coming, and she merely records it; cool and distant, neither warm nor punishing; her register is the certainty of the ledger kept in the dark.",PDV_Msg_Daedric_Nocturnal_Response_Nord,MessageBox,Marked,Narrator,280,500,20+229,,MessageBox. One-time on a Nord committing.,"Title: ""The Oath in the Dark"" Body: ""For a Nord, Nocturnal's oath-cult corrupts the open honor that Nord life rests on. Shadow-bargaining is not the way of the mead-hall or the honest fight. Leaving asks real effort: renounce the oath directly, or carry the residue.""",
Nocturnal,Per-race response (on commitment),70,"Nocturnal (Daedric path): Detached, cryptic, contractual; the god of shadow, luck, and debt who speaks in inevitability, not command -- the oath was always yours, the debt was always coming, and she merely records it; cool and distant, neither warm nor punishing; her register is the certainty of the ledger kept in the dark.",PDV_Msg_Daedric_Nocturnal_Response_Imperial,MessageBox,Marked,Narrator,280,500,23+283,,MessageBox. One-time on an Imperial committing.,"Title: ""Outside the Legal Order"" Body: ""For an Imperial, a shadow-cult oath strains the legal and divine order both -- the Divines are the proper frame, and criminal devotion is anti-civic by definition. The path is private apostasy, and leaving it is hardest through formal oath release. Without that, the residue lingers.""",
Nocturnal,Per-race response (on commitment),70,"Nocturnal (Daedric path): Detached, cryptic, contractual; the god of shadow, luck, and debt who speaks in inevitability, not command -- the oath was always yours, the debt was always coming, and she merely records it; cool and distant, neither warm nor punishing; her register is the certainty of the ledger kept in the dark.",PDV_Msg_Daedric_Nocturnal_Response_Breton,MessageBox,Marked,Narrator,280,500,20+256,,MessageBox. One-time on a Breton committing.,"Title: ""Margins of the Craft"" Body: ""A Breton reads Nocturnal's shadow bargains clearly -- they sit at the margins of the craft and the secret society tradition that has always run through Breton culture. The path is legible but publicly staining; cover it, or release the oath and rededicate.""",
Nocturnal,Per-race response (on commitment),70,"Nocturnal (Daedric path): Detached, cryptic, contractual; the god of shadow, luck, and debt who speaks in inevitability, not command -- the oath was always yours, the debt was always coming, and she merely records it; cool and distant, neither warm nor punishing; her register is the certainty of the ledger kept in the dark.",PDV_Msg_Daedric_Nocturnal_Response_Dunmer,MessageBox,Marked,Narrator,280,500,22+243,,MessageBox. One-time on a Dunmer committing.,"Title: ""Outside the Hidden Web"" Body: ""A Dunmer can see Nocturnal's hidden-network shape -- it resembles Mephala's web. But Nocturnal is not the Reclamations; she is an outsider wearing familiar clothes. Hard rededication runs through the Reclamation proper, not simple abandonment.""",
Nocturnal,Per-race response (on commitment),70,"Nocturnal (Daedric path): Detached, cryptic, contractual; the god of shadow, luck, and debt who speaks in inevitability, not command -- the oath was always yours, the debt was always coming, and she merely records it; cool and distant, neither warm nor punishing; her register is the certainty of the ledger kept in the dark.",PDV_Msg_Daedric_Nocturnal_Response_Altmer,MessageBox,Marked,Narrator,280,500,16+229,,MessageBox. One-time on an Altmer committing.,"Title: ""Apostasy by Oath"" Body: ""For an Altmer, a shadow-cult oath is apostasy against Aldmeri order outright. The trickster and the web have no sanctioned place, and Nocturnal's secrecy-devotion compounds it. Absolution is difficult and requires sincere effort.""",
Nocturnal,Per-race response (on commitment),70,"Nocturnal (Daedric path): Detached, cryptic, contractual; the god of shadow, luck, and debt who speaks in inevitability, not command -- the oath was always yours, the debt was always coming, and she merely records it; cool and distant, neither warm nor punishing; her register is the certainty of the ledger kept in the dark.",PDV_Msg_Daedric_Nocturnal_Response_Khajiit,MessageBox,Marked,Narrator,280,500,17+253,,MessageBox. One-time on a Khajiit committing.,"Title: ""Not Rajhin's Lane"" Body: ""A Khajiit knows the trickster trade -- Rajhin walked it first and holds that lane. Nocturnal wears the same cut but is not native; her oath is Daedric, outside the lattice. It sits poorly beside Rajhin's memory. Exit is oath release or clean withdrawal.""",
Nocturnal,Per-race response (on commitment),70,"Nocturnal (Daedric path): Detached, cryptic, contractual; the god of shadow, luck, and debt who speaks in inevitability, not command -- the oath was always yours, the debt was always coming, and she merely records it; cool and distant, neither warm nor punishing; her register is the certainty of the ledger kept in the dark.",PDV_Msg_Daedric_Nocturnal_Response_Bosmer,MessageBox,Marked,Narrator,280,500,17+248,,MessageBox. One-time on a Bosmer committing.,"Title: ""Baan Dar's Margin"" Body: ""A Bosmer finds Nocturnal familiar at the surface -- Baan Dar is native cunning, and shadow margins are not foreign to the Green Pact world. But Nocturnal is not Baan Dar. Leaving is oath release or a costly switch back to the native trickster lane.""",
Nocturnal,Per-race response (on commitment),70,"Nocturnal (Daedric path): Detached, cryptic, contractual; the god of shadow, luck, and debt who speaks in inevitability, not command -- the oath was always yours, the debt was always coming, and she merely records it; cool and distant, neither warm nor punishing; her register is the certainty of the ledger kept in the dark.",PDV_Msg_Daedric_Nocturnal_Response_Redguard,MessageBox,Marked,Narrator,280,500,22+252,,MessageBox. One-time on a Redguard committing.,"Title: ""Against Honor's Record"" Body: ""For a Redguard, a shadow oath is anti-honor -- the Yokudan way is the open name and the kept word. Nocturnal's debt is the inverse: the hidden name, the debt you cannot see. Leaving requires sincere renunciation and the slow restoration of trust spent.""",
Nocturnal,Per-race response (on commitment),70,"Nocturnal (Daedric path): Detached, cryptic, contractual; the god of shadow, luck, and debt who speaks in inevitability, not command -- the oath was always yours, the debt was always coming, and she merely records it; cool and distant, neither warm nor punishing; her register is the certainty of the ledger kept in the dark.",PDV_Msg_Daedric_Nocturnal_Response_Orc,MessageBox,Marked,Narrator,280,500,22+252,,MessageBox. One-time on an Orc committing.,"Title: ""Not the Code's Cunning"" Body: ""An Orc can see the use in Nocturnal's shadow -- exiles live in the margins. But cunning for its own sake is not Malacath's code; that is plain oath, not hidden debt. Exit is oath release or direct renunciation, then prove the code in some visible form.""",
Nocturnal,Per-race response (on commitment),70,"Nocturnal (Daedric path): Detached, cryptic, contractual; the god of shadow, luck, and debt who speaks in inevitability, not command -- the oath was always yours, the debt was always coming, and she merely records it; cool and distant, neither warm nor punishing; her register is the certainty of the ledger kept in the dark.",PDV_Msg_Daedric_Nocturnal_Response_Argonian,MessageBox,Marked,Narrator,280,500,24+253,,MessageBox. One-time on an Argonian committing.,"Title: ""Not a Shadow of the Hist"" Body: ""To an Argonian, Nocturnal is foreign -- stealth and outsider life do not constitute devotion to the shadow. The Hist does not whisper through Nocturnal, and her oath carries no bond to the community. The path simply drifts away, or is cleansed directly.""",
