editor_id,quest_name,outcome_stage,outcome,act_tags,deity,valence,intensity,magnitude,citation,formid
MASMainQuest,Moon and Star (killed the Nerevarine unhired),48,"Hunted down and killed the Nerevarine without even being contracted to, out of pride",kill_the_helpless,Stendarr,-,S,small,"B02 tier A terminal: s48 'Even though I was not hired to do so, I killed him all the same. Surely if I can kill even the Nerevarine, none can stand before me!' Tagged as murder rather than assassination_contract precisely because the journal says there was no contract for it. cross-gen KEEP: kill_the_helpless(C) from the Stendarr Part B profile, stepped down.",MoonAndStar_MAS.esp:00696B
MASMainQuest,Moon and Star (killed the Nerevarine unhired),48,"Hunted down and killed the Nerevarine without even being contracted to, out of pride",murder_treacherous,Mara,-,m,small,"B02 tier A terminal: s48 'Even though I was not hired to do so, I killed him all the same. Surely if I can kill even the Nerevarine, none can stand before me!' Tagged as murder rather than assassination_contract precisely because the journal says there was no contract for it. cross-gen KEEP: murder_treacherous(m) from the Mara Part B profile, stepped down.",MoonAndStar_MAS.esp:00696B
MASMainQuest,Moon and Star (killed the Nerevarine unhired),48,"Hunted down and killed the Nerevarine without even being contracted to, out of pride",kill_the_helpless,Dibella,-,m,small,"B02 tier A terminal: s48 'Even though I was not hired to do so, I killed him all the same. Surely if I can kill even the Nerevarine, none can stand before me!' Tagged as murder rather than assassination_contract precisely because the journal says there was no contract for it. cross-gen KEEP: kill_the_helpless(m) from the Dibella Part B profile, stepped down.",MoonAndStar_MAS.esp:00696B
MASMainQuest,Moon and Star (killed the Nerevarine unhired),48,"Hunted down and killed the Nerevarine without even being contracted to, out of pride",murder_treacherous,Talos,-,m,small,"B02 tier A terminal: s48 'Even though I was not hired to do so, I killed him all the same. Surely if I can kill even the Nerevarine, none can stand before me!' Tagged as murder rather than assassination_contract precisely because the journal says there was no contract for it. cross-gen KEEP: murder_treacherous(S) from the Talos Part B profile, stepped down.",MoonAndStar_MAS.esp:00696B
MASMainQuest,Moon and Star (killed the Nerevarine unhired),48,"Hunted down and killed the Nerevarine without even being contracted to, out of pride",kill_the_helpless,Kyne,-,m,small,"B02 tier A terminal: s48 'Even though I was not hired to do so, I killed him all the same. Surely if I can kill even the Nerevarine, none can stand before me!' Tagged as murder rather than assassination_contract precisely because the journal says there was no contract for it. cross-gen KEEP: kill_the_helpless(m) from the Kyne Part B profile, stepped down.",MoonAndStar_MAS.esp:00696B
MASMainQuest,Moon and Star (killed the Nerevarine unhired),48,"Hunted down and killed the Nerevarine without even being contracted to, out of pride",murder_treacherous,Shor,-,m,small,"B02 tier A terminal: s48 'Even though I was not hired to do so, I killed him all the same. Surely if I can kill even the Nerevarine, none can stand before me!' Tagged as murder rather than assassination_contract precisely because the journal says there was no contract for it. cross-gen KEEP: murder_treacherous(S) from the Shor Part B profile, stepped down.",MoonAndStar_MAS.esp:00696B
MASMainQuest,Moon and Star (killed the Nerevarine unhired),48,"Hunted down and killed the Nerevarine without even being contracted to, out of pride",murder_treacherous,Tsun,-,m,small,"B02 tier A terminal: s48 'Even though I was not hired to do so, I killed him all the same. Surely if I can kill even the Nerevarine, none can stand before me!' Tagged as murder rather than assassination_contract precisely because the journal says there was no contract for it. cross-gen KEEP: murder_treacherous(S) from the Tsun Part B profile, stepped down.",MoonAndStar_MAS.esp:00696B
MASMainQuest,Moon and Star (killed the Nerevarine unhired),48,"Hunted down and killed the Nerevarine without even being contracted to, out of pride",kill_the_helpless,Stuhn,-,S,small,"B02 tier A terminal: s48 'Even though I was not hired to do so, I killed him all the same. Surely if I can kill even the Nerevarine, none can stand before me!' Tagged as murder rather than assassination_contract precisely because the journal says there was no contract for it. cross-gen KEEP: kill_the_helpless(C) from the Stuhn Part B profile, stepped down.",MoonAndStar_MAS.esp:00696B
MASMainQuest,Moon and Star (killed the Nerevarine unhired),48,"Hunted down and killed the Nerevarine without even being contracted to, out of pride",kill_the_helpless,Baan Dar,-,m,small,"B02 tier A terminal: s48 'Even though I was not hired to do so, I killed him all the same. Surely if I can kill even the Nerevarine, none can stand before me!' Tagged as murder rather than assassination_contract precisely because the journal says there was no contract for it. cross-gen KEEP: kill_the_helpless(m) from the Baan Dar Part B profile, stepped down.",MoonAndStar_MAS.esp:00696B
MASMainQuest,Moon and Star (killed the Nerevarine unhired),48,"Hunted down and killed the Nerevarine without even being contracted to, out of pride",kill_the_helpless,Khenarthi,-,m,small,"B02 tier A terminal: s48 'Even though I was not hired to do so, I killed him all the same. Surely if I can kill even the Nerevarine, none can stand before me!' Tagged as murder rather than assassination_contract precisely because the journal says there was no contract for it. cross-gen KEEP: kill_the_helpless(m) from the Khenarthi Part B profile, stepped down.",MoonAndStar_MAS.esp:00696B
MASMainQuest,Moon and Star (killed the Nerevarine unhired),48,"Hunted down and killed the Nerevarine without even being contracted to, out of pride",kill_the_helpless,Rajhin,-,m,small,"B02 tier A terminal: s48 'Even though I was not hired to do so, I killed him all the same. Surely if I can kill even the Nerevarine, none can stand before me!' Tagged as murder rather than assassination_contract precisely because the journal says there was no contract for it. cross-gen KEEP: kill_the_helpless(m) from the Rajhin Part B profile, stepped down.",MoonAndStar_MAS.esp:00696B
MASMainQuest,Moon and Star (killed the Nerevarine unhired),48,"Hunted down and killed the Nerevarine without even being contracted to, out of pride",murder_treacherous,HoonDing,-,m,small,"B02 tier A terminal: s48 'Even though I was not hired to do so, I killed him all the same. Surely if I can kill even the Nerevarine, none can stand before me!' Tagged as murder rather than assassination_contract precisely because the journal says there was no contract for it. cross-gen KEEP: murder_treacherous(m) from the HoonDing Part B profile, stepped down.",MoonAndStar_MAS.esp:00696B
MASMainQuest,Moon and Star (killed the Nerevarine unhired),48,"Hunted down and killed the Nerevarine without even being contracted to, out of pride",murder_treacherous,Leki,-,m,small,"B02 tier A terminal: s48 'Even though I was not hired to do so, I killed him all the same. Surely if I can kill even the Nerevarine, none can stand before me!' Tagged as murder rather than assassination_contract precisely because the journal says there was no contract for it. cross-gen KEEP: murder_treacherous(S) from the Leki Part B profile, stepped down.",MoonAndStar_MAS.esp:00696B
MASMainQuest,Moon and Star (killed the Nerevarine unhired),48,"Hunted down and killed the Nerevarine without even being contracted to, out of pride",murder_treacherous,Sithis,+,m,small,"B02 tier A terminal: s48 'Even though I was not hired to do so, I killed him all the same. Surely if I can kill even the Nerevarine, none can stand before me!' Tagged as murder rather than assassination_contract precisely because the journal says there was no contract for it. cross-gen KEEP: murder_treacherous(S) from the Sithis Part B profile, stepped down.",MoonAndStar_MAS.esp:00696B
MASMainQuest,Moon and Star (killed the Nerevarine unhired),48,"Hunted down and killed the Nerevarine without even being contracted to, out of pride",murder_treacherous,Boethiah,+,m,small,"B02 tier A terminal: s48 'Even though I was not hired to do so, I killed him all the same. Surely if I can kill even the Nerevarine, none can stand before me!' Tagged as murder rather than assassination_contract precisely because the journal says there was no contract for it. cross-gen KEEP: murder_treacherous(S) from the Boethiah Part B profile, stepped down.",MoonAndStar_MAS.esp:00696B
MASMainQuest,Moon and Star (killed the Nerevarine unhired),48,"Hunted down and killed the Nerevarine without even being contracted to, out of pride",murder_treacherous,Mephala,+,m,small,"B02 tier A terminal: s48 'Even though I was not hired to do so, I killed him all the same. Surely if I can kill even the Nerevarine, none can stand before me!' Tagged as murder rather than assassination_contract precisely because the journal says there was no contract for it. cross-gen KEEP: murder_treacherous(S) from the Mephala Part B profile, stepped down.",MoonAndStar_MAS.esp:00696B
MASMainQuest,Moon and Star (killed the Nerevarine unhired),48,"Hunted down and killed the Nerevarine without even being contracted to, out of pride",kill_the_helpless,Molag Bal,+,S,small,"B02 tier A terminal: s48 'Even though I was not hired to do so, I killed him all the same. Surely if I can kill even the Nerevarine, none can stand before me!' Tagged as murder rather than assassination_contract precisely because the journal says there was no contract for it. cross-gen KEEP: kill_the_helpless(C) from the Molag Bal Part B profile, stepped down.",MoonAndStar_MAS.esp:00696B
MASMainQuest,Moon and Star (killed the Nerevarine unhired),48,"Hunted down and killed the Nerevarine without even being contracted to, out of pride",murder_treacherous,Mehrunes Dagon,+,m,small,"B02 tier A terminal: s48 'Even though I was not hired to do so, I killed him all the same. Surely if I can kill even the Nerevarine, none can stand before me!' Tagged as murder rather than assassination_contract precisely because the journal says there was no contract for it. cross-gen KEEP: murder_treacherous(m) from the Mehrunes Dagon Part B profile, stepped down.",MoonAndStar_MAS.esp:00696B
