editor_id,quest_name,outcome_stage,outcome,act_tags,deity,valence,intensity,magnitude,citation
FreeformSkyHavenTempleD,Dragon Research,100,Delivered a dragon bone and scale for Esbern's research,disciplined_study,Akatosh,+,m,small,"cross-gen candidate: disciplined_study(m) from the Akatosh Part B profile, stepped down; REVIEW before promotion; reviewed A1"
BardsCollegePoeticEdda,Collecting the Edda,200,Recovered the Poetic Edda from Fellglow Keep and returned it to the Bards College,disciplined_study,Akatosh,+,m,small,"cross-gen candidate: disciplined_study(m) from the Akatosh Part B profile, stepped down; REVIEW before promotion; reviewed A1"
MQ301,The Fallen,240,Lured the dragon Odahviing into Dragonsreach and spared him for parley,mercy_spare,Stendarr,+,S,small,"cross-gen candidate: mercy_spare(C) from the Stendarr Part B profile, stepped down; REVIEW before promotion; reviewed A1"
MQ301,The Fallen,240,Lured the dragon Odahviing into Dragonsreach and spared him for parley,mercy_spare,Mara,+,S,small,cross-gen candidate: mercy_spare(S) from the Mara Part B profile; REVIEW before promotion; reviewed A1
BardsCollegePoeticEdda,Collecting the Edda,200,Recovered the Poetic Edda from Fellglow Keep and returned it to the Bards College,aesthetic_devotion,Dibella,+,S,small,"cross-gen candidate: aesthetic_devotion(C) from the Dibella Part B profile, stepped down; reviewed A2"
FreeformSkyHavenTempleD,Dragon Research,100,Delivered a dragon bone and scale for Esbern's research,disciplined_study,Julianos,+,S,small,"cross-gen candidate: disciplined_study(C) from the Julianos Part B profile, stepped down; reviewed A2"
BardsCollegePoeticEdda,Collecting the Edda,200,Recovered the Poetic Edda from Fellglow Keep and returned it to the Bards College,disciplined_study,Julianos,+,S,small,"cross-gen candidate: disciplined_study(C) from the Julianos Part B profile, stepped down; reviewed A2"
C02,Brotherhood,200,Completed initiation into the Companions after proving worth through trials,prove_by_struggle,Talos,+,m,small,"cross-gen candidate: prove_by_struggle(S) from the Talos Part B profile, stepped down; reviewed A2"
MQ101,Unbound,150,Escaped the Helgen execution block through the chaos of Alduin's attack,prove_by_struggle,Talos,+,m,small,"cross-gen candidate: prove_by_struggle(S) from the Talos Part B profile, stepped down; reviewed A2"
C02,Brotherhood,200,Completed initiation into the Companions after proving worth through trials,prove_by_struggle,Kyne,+,m,small,"cross-gen candidate: prove_by_struggle(S) from the Kyne Part B profile, stepped down; reviewed A3"
MQ301,The Fallen,240,Lured the dragon Odahviing into Dragonsreach and spared him for parley,mercy_spare,Kyne,+,m,small,"cross-gen candidate: mercy_spare(m) from the Kyne Part B profile, stepped down; reviewed A3"
C02,Brotherhood,200,Completed initiation into the Companions after proving worth through trials,prove_by_struggle,Shor,+,m,small,"cross-gen candidate: prove_by_struggle(S) from the Shor Part B profile, stepped down; reviewed A3"
C02,Brotherhood,200,Completed initiation into the Companions after proving worth through trials,prove_by_struggle,Tsun,+,C,small,cross-gen candidate: prove_by_struggle(C) from the Tsun Part B profile; reviewed A3
