editor_id,quest_name,outcome_stage,outcome,act_tags,citation,formid,evidence_tier,branch_note
JRLucienDaedric,JRLucienDaedric,470,Declared he would read the Oghma Infinium.,forbidden_knowledge,"s470 journal: "";The player has said they will read the Oghma Infinium""",Lucien.esp:0D0385,A,"Branch: read (s470) vs refuse (s480); s475 undecided is not an act."
JRLucienDaedric,JRLucienDaedric,480,Refused to read the Oghma Infinium and turned away Hermaeus Mora's gift.,destroy_reject_daedra:hermaeusmora,"s480 journal: "";The player has said they will not read the Oghma Infinium.""",Lucien.esp:0D0385,A,"Branch: refuse (s480) vs read (s470)."
JRLucienDragon,JRLucienDragon,10,Reassured a frightened Lucien that he would be safe before the dragon fight.,heal_comfort,"s10 journal: "";Off to fight the dragon - told Lucien he would be safe.""",Lucien.esp:0987A1,A,"Branch: reassure (s10) vs rebuke (s11)."
JRLucienDragon,JRLucienDragon,11,Told a frightened Lucien to man up instead of reassuring him.,,"s11 journal: "";Off to fight the dragon, told Lucien to man up.""",Lucien.esp:0987A1,A,"Branch vs s10. NEEDS-TAG: rebuke_harden_companion"
JRLucienDragon,JRLucienDragon,20,Killed a dragon in open combat alongside Lucien.,kill_honorable_combat,"s20 journal: "";Killed first dragon with Lucien.""",Lucien.esp:0987A1,A,"Same outcome at three milestones (s20/s40/s60)."
JRLucienDragon,JRLucienDragon,40,Killed a dragon in open combat alongside Lucien.,kill_honorable_combat,"s40 journal: "";Killed second dragon with Lucien.""",Lucien.esp:0987A1,A,"Same outcome at three milestones (s20/s40/s60)."
JRLucienDragon,JRLucienDragon,60,Killed a dragon in open combat alongside Lucien.,kill_honorable_combat,"s60 journal: "";Killed third dragon with Lucien.""",Lucien.esp:0987A1,A,"Same outcome at three milestones (s20/s40/s60)."
JRLucienElderScroll,JRLucienElderScroll,10,Allowed Lucien to read the Elder Scroll.,forbidden_knowledge,"s10 journal: "";Allowed Lucien to read the Scroll.""",Lucien.esp:0DF697,A,"Branch: allowed (s10) vs refused (s20)."
JRLucienElderScroll,JRLucienElderScroll,20,Refused to let Lucien read the Elder Scroll.,arcane_restraint,"s20 journal: "";Refused to allow Lucien to read the Scroll.""",Lucien.esp:0DF697,A,Branch vs s10; owner-approved restraint around dangerous supernatural knowledge.
JRLucienGetHorseQuest,Intruders,60,Defeated the Daedra pouring through the Oblivion Gate before they could escape to the surface.,defend_kin_home,"s60 journal: ""The facility is under attack from Daedra who have entered through the Oblivion Gate. We need to defeat them before they escape to the surface.""",Lucien.esp:62424C,A,"Single outcome; s40 is the same incursion's first wave. No Prince is named so no namespaced Daedric tag applies."
