editor_id,quest_name,outcome_stage,outcome,act_tags,deity,valence,intensity,magnitude,citation,formid
PHPreachingDialogueQuest,War's Folly,20,Told the preacher every man he killed deserved it,pride_in_slaughter,Stendarr,-,m,small,"Tier A dialogue INFO 000010:War's Folly.esp; PDV dialogue-hook stage s20 added by PDV_Patch_WarsFolly.esp; ruled 2026-07-16; RUNTIME-VERIFY",War's Folly.esp:000001
PHPreachingDialogueQuest,War's Folly,20,Told the preacher every man he killed deserved it,pride_in_slaughter,Mara,-,m,small,"Tier A dialogue INFO 000010:War's Folly.esp; PDV dialogue-hook stage s20 added by PDV_Patch_WarsFolly.esp; ruled 2026-07-16; RUNTIME-VERIFY",War's Folly.esp:000001
PHPreachingDialogueQuest,War's Folly,20,Told the preacher every man he killed deserved it,pride_in_slaughter,Boethiah,+,S,small,"Tier A dialogue INFO 000010:War's Folly.esp; PDV dialogue-hook stage s20 added by PDV_Patch_WarsFolly.esp; ruled 2026-07-16; RUNTIME-VERIFY",War's Folly.esp:000001
PHPreachingDialogueQuest,War's Folly,20,Told the preacher every man he killed deserved it,pride_in_slaughter,Molag Bal,+,m,small,"Tier A dialogue INFO 000010:War's Folly.esp; PDV dialogue-hook stage s20 added by PDV_Patch_WarsFolly.esp; ruled 2026-07-16; RUNTIME-VERIFY",War's Folly.esp:000001
PHPreachingDialogueQuest,War's Folly,21,"Admitted most he killed earned it, though some killings bring him shame",honest_reckoning,Stendarr,+,m,small,"Tier A dialogue INFO 000011:War's Folly.esp; PDV dialogue-hook stage s21 added by PDV_Patch_WarsFolly.esp; ruled 2026-07-16; RUNTIME-VERIFY",War's Folly.esp:000001
PHPreachingDialogueQuest,War's Folly,21,"Admitted most he killed earned it, though some killings bring him shame",honest_reckoning,Arkay,+,m,small,"Tier A dialogue INFO 000011:War's Folly.esp; PDV dialogue-hook stage s21 added by PDV_Patch_WarsFolly.esp; ruled 2026-07-16; RUNTIME-VERIFY",War's Folly.esp:000001
PHPreachingDialogueQuest,War's Folly,22,Confessed he cannot excuse any of the deaths he has caused,"honest_reckoning,show_humility",Stendarr,+,S,small,"Tier A dialogue INFO 000012:War's Folly.esp; PDV dialogue-hook stage s22 added by PDV_Patch_WarsFolly.esp; ruled 2026-07-16; RUNTIME-VERIFY",War's Folly.esp:000001
PHPreachingDialogueQuest,War's Folly,22,Confessed he cannot excuse any of the deaths he has caused,"honest_reckoning,show_humility",Mara,+,S,small,"Tier A dialogue INFO 000012:War's Folly.esp; PDV dialogue-hook stage s22 added by PDV_Patch_WarsFolly.esp; ruled 2026-07-16; RUNTIME-VERIFY",War's Folly.esp:000001
PHPreachingDialogueQuest,War's Folly,22,Confessed he cannot excuse any of the deaths he has caused,"honest_reckoning,show_humility",Arkay,+,m,small,"Tier A dialogue INFO 000012:War's Folly.esp; PDV dialogue-hook stage s22 added by PDV_Patch_WarsFolly.esp; ruled 2026-07-16; RUNTIME-VERIFY",War's Folly.esp:000001
PHPreachingDialogueQuest,War's Folly,23,Declared the civil war a righteous cause worth its dead,righteous_war,Talos,+,m,small,"Tier A dialogue INFO 000015:War's Folly.esp; PDV dialogue-hook stage s23 added by PDV_Patch_WarsFolly.esp; ruled 2026-07-16; RUNTIME-VERIFY",War's Folly.esp:000001
PHPreachingDialogueQuest,War's Folly,23,Declared the civil war a righteous cause worth its dead,righteous_war,Kyne,-,m,small,"Tier A dialogue INFO 000015:War's Folly.esp; PDV dialogue-hook stage s23 added by PDV_Patch_WarsFolly.esp; ruled 2026-07-16; RUNTIME-VERIFY",War's Folly.esp:000001
PHPreachingDialogueQuest,War's Folly,24,Renounced the war as not his fight and turned from the slaughter,renounce_war,Mara,+,m,small,"Tier A dialogue INFO 000016:War's Folly.esp; PDV dialogue-hook stage s24 added by PDV_Patch_WarsFolly.esp; ruled 2026-07-16; RUNTIME-VERIFY",War's Folly.esp:000001
PHPreachingDialogueQuest,War's Folly,24,Renounced the war as not his fight and turned from the slaughter,renounce_war,Kyne,+,m,small,"Tier A dialogue INFO 000016:War's Folly.esp; PDV dialogue-hook stage s24 added by PDV_Patch_WarsFolly.esp; ruled 2026-07-16; RUNTIME-VERIFY",War's Folly.esp:000001
PHPreachingDialogueQuest,War's Folly,25,Answered that war is all he was ever built for,self_as_weapon,Boethiah,+,S,small,"Tier A dialogue INFO 000014:War's Folly.esp; PDV dialogue-hook stage s25 added by PDV_Patch_WarsFolly.esp; ruled 2026-07-16; RUNTIME-VERIFY",War's Folly.esp:000001
PHPreachingDialogueQuest,War's Folly,25,Answered that war is all he was ever built for,self_as_weapon,Tsun,-,m,small,"Tier A dialogue INFO 000014:War's Folly.esp; PDV dialogue-hook stage s25 added by PDV_Patch_WarsFolly.esp; ruled 2026-07-16; RUNTIME-VERIFY",War's Folly.esp:000001
