editor_id,quest_name,outcome_stage,outcome,act_tags,deity,valence,intensity,magnitude,citation,formid
CW01B,Joining the Stormcloaks,1,Kill the Ice Wraith at Serpentstone Isle to prove worthy,kill_honorable_combat,Trinimac,+,m,small,"cross-gen candidate: kill_honorable_combat(S) from the Trinimac Part B profile, stepped down; REVIEW before promotion",
CW01B,Joining the Stormcloaks,1,Kill the Ice Wraith at Serpentstone Isle to prove worthy,kill_honorable_combat,Alkosh,+,m,small,"cross-gen candidate: kill_honorable_combat(S) from the Alkosh Part B profile, stepped down; REVIEW before promotion",
CW01B,Joining the Stormcloaks,1,Kill the Ice Wraith at Serpentstone Isle to prove worthy,kill_honorable_combat,Mehrunes Dagon,+,m,small,"cross-gen candidate: kill_honorable_combat(m) from the Mehrunes Dagon Part B profile, stepped down; REVIEW before promotion",
DA01,The Black Star,100,Cleanse Azura's Star (give to Aranea/Azura),serve_a_daedra:azura,Akatosh,-,m,small,"cross-gen candidate: serve_a_daedra:azura(m) from the Akatosh Part B profile, stepped down; REVIEW before promotion",
DA01,The Black Star,100,Cleanse Azura's Star (give to Aranea/Azura),serve_a_daedra:azura,Auri-El,-,m,small,"cross-gen candidate: serve_a_daedra:azura(S) from the Auri-El Part B profile, stepped down; REVIEW before promotion",
DA03,A Daedra's Best Friend,200,Reunite Barbas + Vile; Masque,mercy_spare,Kyne,+,m,small,"cross-gen candidate: mercy_spare(m) from the Kyne Part B profile, stepped down; REVIEW before promotion",
DA03,A Daedra's Best Friend,200,Reunite Barbas + Vile; Masque,serve_a_daedra:clavicus,Auri-El,-,m,small,"cross-gen candidate: serve_a_daedra:clavicus(S) from the Auri-El Part B profile, stepped down; REVIEW before promotion",
DA03,A Daedra's Best Friend,200,Reunite Barbas + Vile; Masque,keep_oath,Trinimac,+,m,small,"cross-gen candidate: keep_oath(S) from the Trinimac Part B profile, stepped down; REVIEW before promotion",
DA03,A Daedra's Best Friend,200,Reunite Barbas + Vile; Masque,keep_oath,Malacath,+,S,small,"cross-gen candidate: keep_oath(C) from the Malacath Part B profile, stepped down; REVIEW before promotion",
DA04,Discerning the Transmundane,100,Open the lockbox; claim the Oghma Infinium,disciplined_study,Xarxes,+,m,small,"cross-gen candidate: disciplined_study(S) from the Xarxes Part B profile, stepped down; REVIEW before promotion",
DA05,Ill Met By Moonlight,100,Kill Sinding for Hircine (the hunt); Savior's Hide,serve_a_daedra:hircine,Akatosh,-,m,small,"cross-gen candidate: serve_a_daedra:hircine(m) from the Akatosh Part B profile, stepped down; REVIEW before promotion",
DA05,Ill Met By Moonlight,100,Kill Sinding for Hircine (the hunt); Savior's Hide,the_hunt,Kyne,+,S,small,"cross-gen candidate: the_hunt(C) from the Kyne Part B profile, stepped down; REVIEW before promotion",
DA05,Ill Met By Moonlight,100,Kill Sinding for Hircine (the hunt); Savior's Hide,serve_a_daedra:hircine,Auri-El,-,m,small,"cross-gen candidate: serve_a_daedra:hircine(S) from the Auri-El Part B profile, stepped down; REVIEW before promotion",
DA05,Ill Met By Moonlight,105,Defend Sinding; spare the hunted (Ring of Hircine),protect_the_weak,Syrabane,+,S,small,"cross-gen candidate: protect_the_weak(C) from the Syrabane Part B profile, stepped down; REVIEW before promotion",
DA07,Pieces of the Past,150,Refuse to kill Silus; reject Dagon,mercy_spare,Kyne,+,m,small,"cross-gen candidate: mercy_spare(m) from the Kyne Part B profile, stepped down; REVIEW before promotion",
DA08,The Whispering Door,60,Take Mephala's Ebony Blade (fed by slaying those close),serve_a_daedra:mephala,Akatosh,-,m,small,"cross-gen candidate: serve_a_daedra:mephala(m) from the Akatosh Part B profile, stepped down; REVIEW before promotion",
DA08,The Whispering Door,60,Take Mephala's Ebony Blade (fed by slaying those close),keep_secret,Nocturnal,+,m,small,"cross-gen candidate: keep_secret(S) from the Nocturnal Part B profile, stepped down; REVIEW before promotion",
DA09,The Break of Dawn,500,Destroy Malkoran (necromancer); reclaim Dawnbreaker,serve_a_daedra:meridia,Akatosh,-,m,small,"cross-gen candidate: serve_a_daedra:meridia(m) from the Akatosh Part B profile, stepped down; REVIEW before promotion",
DA09,The Break of Dawn,500,Destroy Malkoran (necromancer); reclaim Dawnbreaker,serve_a_daedra:meridia,Auri-El,-,m,small,"cross-gen candidate: serve_a_daedra:meridia(S) from the Auri-El Part B profile, stepped down; REVIEW before promotion",
DA09,The Break of Dawn,500,Destroy Malkoran (necromancer); reclaim Dawnbreaker,slay_undead,Y'ffre,+,m,small,"cross-gen candidate: slay_undead(m) from the Y'ffre Part B profile, stepped down; REVIEW before promotion",
DA09,The Break of Dawn,500,Destroy Malkoran (necromancer); reclaim Dawnbreaker,cure_undeath,Hircine,-,m,small,"cross-gen candidate: cure_undeath(S) from the Hircine Part B profile, stepped down; REVIEW before promotion",
DA11,The Taste of Death,250,Kill Eola; save Verulus from the cannibals,protect_the_weak,Syrabane,+,S,small,"cross-gen candidate: protect_the_weak(C) from the Syrabane Part B profile, stepped down; REVIEW before promotion",
DB06,Breaching Security,200,Killed Gaius Maro and planted the Incriminating Letter to frame him (single outcome),murder_treacherous,Talos,-,m,small,"cross-gen candidate: murder_treacherous(S) from the Talos Part B profile, stepped down; REVIEW before promotion",
DB06,Breaching Security,200,Killed Gaius Maro and planted the Incriminating Letter to frame him (single outcome),murder_treacherous,Tsun,-,m,small,"cross-gen candidate: murder_treacherous(S) from the Tsun Part B profile, stepped down; REVIEW before promotion",
DB06,Breaching Security,200,Killed Gaius Maro and planted the Incriminating Letter to frame him (single outcome),murder_treacherous,HoonDing,-,m,small,"cross-gen candidate: murder_treacherous(m) from the HoonDing Part B profile, stepped down; REVIEW before promotion",
DB06,Breaching Security,200,Killed Gaius Maro and planted the Incriminating Letter to frame him (single outcome),murder_treacherous,Vaermina,+,m,small,"cross-gen candidate: murder_treacherous(m) from the Vaermina Part B profile, stepped down; REVIEW before promotion",
DB09,To Kill an Empire,50,Infiltrated as the Gourmet and assassinated the decoy 'Emperor' by poison (single outcome),murder_treacherous,Talos,-,m,small,"cross-gen candidate: murder_treacherous(S) from the Talos Part B profile, stepped down; REVIEW before promotion",
DB09,To Kill an Empire,50,Infiltrated as the Gourmet and assassinated the decoy 'Emperor' by poison (single outcome),murder_treacherous,Tsun,-,m,small,"cross-gen candidate: murder_treacherous(S) from the Tsun Part B profile, stepped down; REVIEW before promotion",
DB09,To Kill an Empire,50,Infiltrated as the Gourmet and assassinated the decoy 'Emperor' by poison (single outcome),murder_treacherous,HoonDing,-,m,small,"cross-gen candidate: murder_treacherous(m) from the HoonDing Part B profile, stepped down; REVIEW before promotion",
DB09,To Kill an Empire,50,Infiltrated as the Gourmet and assassinated the decoy 'Emperor' by poison (single outcome),murder_treacherous,Vaermina,+,m,small,"cross-gen candidate: murder_treacherous(m) from the Vaermina Part B profile, stepped down; REVIEW before promotion",
DB10,Death Incarnate,20,"Defended the burning Sanctuary, killing the Legion soldiers attacking the Family (defense outcome)",kill_honorable_combat,Talos,+,m,small,"cross-gen candidate: kill_honorable_combat(S) from the Talos Part B profile, stepped down; REVIEW before promotion",
DB10,Death Incarnate,20,"Defended the burning Sanctuary, killing the Legion soldiers attacking the Family (defense outcome)",kill_honorable_combat,Auri-El,+,m,small,"cross-gen candidate: kill_honorable_combat(m) from the Auri-El Part B profile, stepped down; REVIEW before promotion",
DB10,Death Incarnate,20,"Defended the burning Sanctuary, killing the Legion soldiers attacking the Family (defense outcome)",kill_honorable_combat,Trinimac,+,m,small,"cross-gen candidate: kill_honorable_combat(S) from the Trinimac Part B profile, stepped down; REVIEW before promotion",
DB10,Death Incarnate,20,"Defended the burning Sanctuary, killing the Legion soldiers attacking the Family (defense outcome)",defend_kin_home,Y'ffre,+,m,small,"cross-gen candidate: defend_kin_home(m) from the Y'ffre Part B profile, stepped down; REVIEW before promotion",
DB10,Death Incarnate,20,"Defended the burning Sanctuary, killing the Legion soldiers attacking the Family (defense outcome)",defend_kin_home,The Hist,+,S,small,"cross-gen candidate: defend_kin_home(C) from the The Hist Part B profile, stepped down; REVIEW before promotion",
DB10,Death Incarnate,20,"Defended the burning Sanctuary, killing the Legion soldiers attacking the Family (defense outcome)",kill_honorable_combat,Hircine,+,m,small,"cross-gen candidate: kill_honorable_combat(S) from the Hircine Part B profile, stepped down; REVIEW before promotion",
DB10,Death Incarnate,20,"Defended the burning Sanctuary, killing the Legion soldiers attacking the Family (defense outcome)",kill_honorable_combat,Mehrunes Dagon,+,m,small,"cross-gen candidate: kill_honorable_combat(m) from the Mehrunes Dagon Part B profile, stepped down; REVIEW before promotion",
DB11,Hail Sithis!,70,Optionally killed the contractor Amaund Motierre after taking payment (optional kill branch),murder_treacherous,Talos,-,m,small,"cross-gen candidate: murder_treacherous(S) from the Talos Part B profile, stepped down; REVIEW before promotion",
DB11,Hail Sithis!,70,Optionally killed the contractor Amaund Motierre after taking payment (optional kill branch),murder_treacherous,Tsun,-,m,small,"cross-gen candidate: murder_treacherous(S) from the Tsun Part B profile, stepped down; REVIEW before promotion",
DB11,Hail Sithis!,70,Optionally killed the contractor Amaund Motierre after taking payment (optional kill branch),murder_treacherous,HoonDing,-,m,small,"cross-gen candidate: murder_treacherous(m) from the HoonDing Part B profile, stepped down; REVIEW before promotion",
DB11,Hail Sithis!,70,Optionally killed the contractor Amaund Motierre after taking payment (optional kill branch),murder_treacherous,Leki,-,m,small,"cross-gen candidate: murder_treacherous(S) from the Leki Part B profile, stepped down; REVIEW before promotion",
DB11,Hail Sithis!,70,Optionally killed the contractor Amaund Motierre after taking payment (optional kill branch),murder_treacherous,Sithis,+,m,small,"cross-gen candidate: murder_treacherous(S) from the Sithis Part B profile, stepped down; REVIEW before promotion",
DB11,Hail Sithis!,70,Optionally killed the contractor Amaund Motierre after taking payment (optional kill branch),murder_treacherous,Molag Bal,+,m,small,"cross-gen candidate: murder_treacherous(S) from the Molag Bal Part B profile, stepped down; REVIEW before promotion",
DB11,Hail Sithis!,70,Optionally killed the contractor Amaund Motierre after taking payment (optional kill branch),murder_treacherous,Mehrunes Dagon,+,m,small,"cross-gen candidate: murder_treacherous(m) from the Mehrunes Dagon Part B profile, stepped down; REVIEW before promotion",
DB11,Hail Sithis!,70,Optionally killed the contractor Amaund Motierre after taking payment (optional kill branch),murder_treacherous,Vaermina,+,m,small,"cross-gen candidate: murder_treacherous(m) from the Vaermina Part B profile, stepped down; REVIEW before promotion",
