editor_id,quest_name,outcome_stage,outcome,act_tags,deity,valence,intensity,magnitude,citation,formid
TG09,Darkness Returns,201,Freed every Nightingale from Nocturnal instead of returning the Skeleton Key,protect_the_weak,Kynareth,+,m,small,"cross-gen candidate: protect_the_weak(m) from the Kynareth Part B profile, stepped down; REVIEW before promotion",Skyrim.esm:021555
TG09,Darkness Returns,201,Freed every Nightingale from Nocturnal instead of returning the Skeleton Key,protect_the_weak,Talos,+,m,small,"cross-gen candidate: protect_the_weak(m) from the Talos Part B profile, stepped down; REVIEW before promotion",Skyrim.esm:021555
TG09,Darkness Returns,201,Freed every Nightingale from Nocturnal instead of returning the Skeleton Key,protect_the_weak,Tsun,+,m,small,"cross-gen candidate: protect_the_weak(m) from the Tsun Part B profile, stepped down; REVIEW before promotion",Skyrim.esm:021555
TG09,Darkness Returns,201,Freed every Nightingale from Nocturnal instead of returning the Skeleton Key,protect_the_weak,Syrabane,+,S,small,"cross-gen candidate: protect_the_weak(C) from the Syrabane Part B profile, stepped down; REVIEW before promotion",Skyrim.esm:021555
TG09,Darkness Returns,201,Freed every Nightingale from Nocturnal instead of returning the Skeleton Key,protect_the_weak,Khenarthi,+,m,small,"cross-gen candidate: protect_the_weak(S) from the Khenarthi Part B profile, stepped down; REVIEW before promotion",Skyrim.esm:021555
TG09,Darkness Returns,201,Freed every Nightingale from Nocturnal instead of returning the Skeleton Key,break_oath_betray,The Hist,-,m,small,"cross-gen candidate: break_oath_betray(m) from the The Hist Part B profile, stepped down; REVIEW before promotion",Skyrim.esm:021555
TG09,Darkness Returns,201,Freed every Nightingale from Nocturnal instead of returning the Skeleton Key,break_oath_betray,Sithis,-,S,small,"cross-gen candidate: break_oath_betray(C) from the Sithis Part B profile, stepped down; REVIEW before promotion",Skyrim.esm:021555
TG09,Darkness Returns,201,Freed every Nightingale from Nocturnal instead of returning the Skeleton Key,break_oath_betray,Boethiah,+,m,small,"cross-gen candidate: break_oath_betray(m) from the Boethiah Part B profile, stepped down; REVIEW before promotion",Skyrim.esm:021555
TG09,Darkness Returns,201,Freed every Nightingale from Nocturnal instead of returning the Skeleton Key,protect_the_weak,Molag Bal,-,m,small,"cross-gen candidate: protect_the_weak(m) from the Molag Bal Part B profile, stepped down; REVIEW before promotion",Skyrim.esm:021555
TG09,Darkness Returns,202,Defied Nocturnal and kept the Skeleton Key,destroy_reject_daedra:nocturnal,Stendarr,+,m,small,"cross-gen candidate: destroy_reject_daedra:nocturnal(S) from the Stendarr Part B profile, stepped down; REVIEW before promotion",Skyrim.esm:021555
TG09,Darkness Returns,202,Defied Nocturnal and kept the Skeleton Key,break_oath_betray,The Hist,-,m,small,"cross-gen candidate: break_oath_betray(m) from the The Hist Part B profile, stepped down; REVIEW before promotion",Skyrim.esm:021555
TG09,Darkness Returns,202,Defied Nocturnal and kept the Skeleton Key,break_oath_betray,Sithis,-,S,small,"cross-gen candidate: break_oath_betray(C) from the Sithis Part B profile, stepped down; REVIEW before promotion",Skyrim.esm:021555
TG09,Darkness Returns,202,Defied Nocturnal and kept the Skeleton Key,break_oath_betray,Boethiah,+,m,small,"cross-gen candidate: break_oath_betray(m) from the Boethiah Part B profile, stepped down; REVIEW before promotion",Skyrim.esm:021555
TG09,Darkness Returns,202,Defied Nocturnal and kept the Skeleton Key,theft_burglary,Mephala,+,m,small,"cross-gen candidate: theft_burglary(S) from the Mephala Part B profile, stepped down; REVIEW before promotion",Skyrim.esm:021555
