occurrence_id,scope,audit_tranche,audit_shard,risk_priority,source_plugin,plugin_path,formid,editor_id,role,is_canonical,canonical_source_plugin
CORE-0001,core,V03B,V03B-01,standard,Skyrim.esm,D:\Wabbajack\modlists\Anvil\Stock Game\Data\Skyrim.esm,Skyrim.esm:000E46,CreatureDialogueWerewolf,defined,no,Dawnguard.esm
CORE-0002,core,V02,V02-01,standard,Skyrim.esm,D:\Wabbajack\modlists\Anvil\Stock Game\Data\Skyrim.esm,Skyrim.esm:017042,MQSovngardeConv2ActorDialogue,defined,yes,Skyrim.esm
CORE-0003,core,V02,V02-01,standard,Skyrim.esm,D:\Wabbajack\modlists\Anvil\Stock Game\Data\Skyrim.esm,Skyrim.esm:01703C,KingOlafsFestivalStarter,defined,yes,Skyrim.esm
CORE-0004,core,V02,V02-04,standard,Skyrim.esm,D:\Wabbajack\modlists\Anvil\Stock Game\Data\Skyrim.esm,Skyrim.esm:10FF8F,DA15Return,defined,yes,Skyrim.esm
CORE-0005,core,V02,V02-04,standard,Skyrim.esm,D:\Wabbajack\modlists\Anvil\Stock Game\Data\Skyrim.esm,Skyrim.esm:10FE25,CRTwinsPostQuest,defined,yes,Skyrim.esm
CORE-0006,core,V02,V02-04,standard,Skyrim.esm,D:\Wabbajack\modlists\Anvil\Stock Game\Data\Skyrim.esm,Skyrim.esm:10FDD5,CWReservations,defined,yes,Skyrim.esm
CORE-0007,core,V02,V02-04,standard,Skyrim.esm,D:\Wabbajack\modlists\Anvil\Stock Game\Data\Skyrim.esm,Skyrim.esm:10FBF5,C00PlayerTheftPoke,defined,yes,Skyrim.esm
CORE-0008,core,V02,V02-04,standard,Skyrim.esm,D:\Wabbajack\modlists\Anvil\Stock Game\Data\Skyrim.esm,Skyrim.esm:10FAEE,DA08FriendKill,defined,yes,Skyrim.esm
CORE-0009,core,V02,V02-04,standard,Skyrim.esm,D:\Wabbajack\modlists\Anvil\Stock Game\Data\Skyrim.esm,Skyrim.esm:10FAEC,DA08EbonyBladeTracking,defined,yes,Skyrim.esm
CORE-0010,core,V02,V02-04,standard,Skyrim.esm,D:\Wabbajack\modlists\Anvil\Stock Game\Data\Skyrim.esm,Skyrim.esm:10F676,CreatureDialogueFox,defined,yes,Skyrim.esm
CORE-0011,core,V02,V02-04,standard,Skyrim.esm,D:\Wabbajack\modlists\Anvil\Stock Game\Data\Skyrim.esm,Skyrim.esm:10F4AC,MGScrollSwap,defined,yes,Skyrim.esm
CORE-0012,core,V02,V02-04,standard,Skyrim.esm,D:\Wabbajack\modlists\Anvil\Stock Game\Data\Skyrim.esm,Skyrim.esm:10EC61,MQGreybeardCall,defined,yes,Skyrim.esm
CORE-0013,core,V02,V02-04,standard,Skyrim.esm,D:\Wabbajack\modlists\Anvil\Stock Game\Data\Skyrim.esm,Skyrim.esm:10E3E9,TGJarl,defined,yes,Skyrim.esm
CORE-0014,core,V02,V02-04,standard,Skyrim.esm,D:\Wabbajack\modlists\Anvil\Stock Game\Data\Skyrim.esm,Skyrim.esm:10DCD8,EscapeJailQuest,defined,yes,Skyrim.esm
CORE-0015,core,V02,V02-04,standard,Skyrim.esm,D:\Wabbajack\modlists\Anvil\Stock Game\Data\Skyrim.esm,Skyrim.esm:10D9F4,JailQuest,defined,yes,Skyrim.esm
CORE-0016,core,V02,V02-04,standard,Skyrim.esm,D:\Wabbajack\modlists\Anvil\Stock Game\Data\Skyrim.esm,Skyrim.esm:10D9F1,MQVoiceoftheSkyMonitor,defined,yes,Skyrim.esm
CORE-0017,core,V02,V02-04,standard,Skyrim.esm,D:\Wabbajack\modlists\Anvil\Stock Game\Data\Skyrim.esm,Skyrim.esm:10D3BB,MS10MiscObjPointer,defined,yes,Skyrim.esm
CORE-0018,core,V02,V02-04,standard,Skyrim.esm,D:\Wabbajack\modlists\Anvil\Stock Game\Data\Skyrim.esm,Skyrim.esm:10C055,MQHighHrothgarTraining3,defined,yes,Skyrim.esm
CORE-0019,core,V02,V02-04,standard,Skyrim.esm,D:\Wabbajack\modlists\Anvil\Stock Game\Data\Skyrim.esm,Skyrim.esm:10C052,MQHighHrothgarTraining2,defined,yes,Skyrim.esm
CORE-0020,core,V02,V02-04,standard,Skyrim.esm,D:\Wabbajack\modlists\Anvil\Stock Game\Data\Skyrim.esm,Skyrim.esm:10C045,MQHighHrothgarTraining1,defined,yes,Skyrim.esm
