editor_id,quest_name,outcome_stage,outcome,act_tags,deity,valence,intensity,magnitude,citation,formid
manny_GF_Books,Memories of the Umbranox,30,Recovered all of Caio Umbranox's journals and handed them over to Seviana for a gold reward.,honest_labor_trade,Zenithar,+,S,small,"s30 journal: ""I've rescued all the Caio's Journals and delivered them to Seviana. She rewarded me with 1000 gold."" cross-gen KEEP: honest_labor_trade(C) from the Zenithar Part B profile, stepped down.",Gray Fox Cowl.esm:0026F4
manny_GF_Books,Memories of the Umbranox,30,Recovered all of Caio Umbranox's journals and handed them over to Seviana for a gold reward.,honest_labor_trade,Z'en,+,S,small,"s30 journal: ""I've rescued all the Caio's Journals and delivered them to Seviana. She rewarded me with 1000 gold."" cross-gen KEEP: honest_labor_trade(C) from the Z'en Part B profile, stepped down.",Gray Fox Cowl.esm:0026F4
manny_GF_Books,Memories of the Umbranox,40,Recovered all of Caio Umbranox's journals and handed them over to Seviana for a spell tome.,honest_labor_trade,Zenithar,+,S,small,"s40 journal: ""I've rescued all the Caio's Journals and delivered them to Seviana. She rewarded me with a powerful spell tome."" cross-gen KEEP: honest_labor_trade(C) from the Zenithar Part B profile, stepped down.",Gray Fox Cowl.esm:0026F4
manny_GF_Books,Memories of the Umbranox,40,Recovered all of Caio Umbranox's journals and handed them over to Seviana for a spell tome.,honest_labor_trade,Z'en,+,S,small,"s40 journal: ""I've rescued all the Caio's Journals and delivered them to Seviana. She rewarded me with a powerful spell tome."" cross-gen KEEP: honest_labor_trade(C) from the Z'en Part B profile, stepped down.",Gray Fox Cowl.esm:0026F4
manny_GF_Books,Memories of the Umbranox,50,Recovered all of Caio Umbranox's journals and kept them instead of delivering them to Seviana.,theft_burglary,Zenithar,-,m,small,"s50 journal: ""I've rescued all the Caio's Journals. However I decided to keep them with me."" cross-gen KEEP: theft_burglary(S) from the Zenithar Part B profile, stepped down.",Gray Fox Cowl.esm:0026F4
manny_GF_Books,Memories of the Umbranox,50,Recovered all of Caio Umbranox's journals and kept them instead of delivering them to Seviana.,theft_burglary,Baan Dar,+,m,small,"s50 journal: ""I've rescued all the Caio's Journals. However I decided to keep them with me."" cross-gen KEEP: theft_burglary(S) from the Baan Dar Part B profile, stepped down.",Gray Fox Cowl.esm:0026F4
manny_GF_Books,Memories of the Umbranox,50,Recovered all of Caio Umbranox's journals and kept them instead of delivering them to Seviana.,theft_burglary,Rajhin,+,S,small,"s50 journal: ""I've rescued all the Caio's Journals. However I decided to keep them with me."" cross-gen KEEP: theft_burglary(C) from the Rajhin Part B profile, stepped down.",Gray Fox Cowl.esm:0026F4
manny_GF_Books,Memories of the Umbranox,50,Recovered all of Caio Umbranox's journals and kept them instead of delivering them to Seviana.,theft_burglary,Mephala,+,m,small,"s50 journal: ""I've rescued all the Caio's Journals. However I decided to keep them with me."" cross-gen KEEP: theft_burglary(S) from the Mephala Part B profile, stepped down.",Gray Fox Cowl.esm:0026F4
manny_GF_Books,Memories of the Umbranox,50,Recovered all of Caio Umbranox's journals and kept them instead of delivering them to Seviana.,theft_burglary,Nocturnal,+,S,small,"s50 journal: ""I've rescued all the Caio's Journals. However I decided to keep them with me."" cross-gen KEEP: theft_burglary(C) from the Nocturnal Part B profile, stepped down.",Gray Fox Cowl.esm:0026F4
manny_GF_BuryValenDreth,Bury Valen Dreth,10,Buried the remains of Valen Dreth at Falkreath.,honor_the_dead,Arkay,+,S,small,"s10 objective (tier B, objective only): ""Bury the rests of Valen Dreth at Falkreath"" -- RUNTIME-VERIFY that the burial actually lands on s10 rather than the untexted s20. cross-gen KEEP: honor_the_dead(C) from the Arkay Part B profile, stepped down.",Gray Fox Cowl.esm:01E072
