editor_id,quest_name,outcome_stage,outcome,act_tags,deity,valence,intensity,magnitude,citation
ccBGSSSE067_Quest2,The Consequences,1000,Entered the Deadlands defeated the Dremora and escaped with the Vigil securing Red Scar Cavern,"destroy_reject_daedra:mehrunesdagon,kill_honorable_combat,uphold_law_justice",Mehrunes Dagon,-,C,milestone,"T13 direct raw-file read: s1000 CompleteQuest explicitly records entering the Deadlands, vanquishing two Dremora, escaping, and the Vigil of Stendarr securing the cavern."
ccBGSSSE067_Quest2,The Consequences,1000,Entered the Deadlands defeated the Dremora and escaped with the Vigil securing Red Scar Cavern,"destroy_reject_daedra:mehrunesdagon,kill_honorable_combat,uphold_law_justice",Stendarr,+,S,small,"T13 direct raw-file read: s1000 CompleteQuest explicitly records the anti-Dagon victory and the Vigil securing Red Scar Cavern; Stendarr destroy/reject profile is S."
ccBGSSSE067_Quest2,The Consequences,1000,Entered the Deadlands defeated the Dremora and escaped with the Vigil securing Red Scar Cavern,"destroy_reject_daedra:mehrunesdagon,kill_honorable_combat,uphold_law_justice",Akatosh,+,m,small,"T13 cross-gen KEEP: the Vigil securing Red Scar Cavern after the Deadlands incursion is a concrete restoration of lawful order; stepped-down Akatosh profile match."
ccASVSSE001_QuestE,Trueflame,100,Restored Trueflame in the Dwarven forge,master_craft_forge,Zenithar,+,S,small,"T13 direct raw-file read: s100 CompleteQuest says the unenchanted weapon was restored in the fully operational Dwarven forge; generic craft credit only, not Tribunal worship."
ccASVSSE001_QuestE,Trueflame,100,Restored Trueflame in the Dwarven forge,master_craft_forge,Malacath,+,S,small,"T13 direct raw-file read: s100 CompleteQuest says the unenchanted weapon was restored in the fully operational Dwarven forge; Malacath master-craft profile is S."
ccMTYSSE001_Quest,The Pilgrim's Path,100,Completed a pilgrimage to nine shrines to repent and become worthy of the Crusader's Relics,honor_divine,Akatosh,+,C,milestone,"T13 resolving-stage inference: s10 log explicitly requires pilgrimage to nine shrines for repentance; s100 is CompleteQuest but has no entry text. RUNTIME-VERIFY actual pilgrimage progression and s100 route."
ccMTYSSE001_Quest,The Pilgrim's Path,100,Completed a pilgrimage to nine shrines to repent and become worthy of the Crusader's Relics,honor_divine,Arkay,+,C,milestone,"T13 resolving-stage inference: nine-shrine repentance from s10 resolved by s100 CompleteQuest; RUNTIME-VERIFY actual progression."
ccMTYSSE001_Quest,The Pilgrim's Path,100,Completed a pilgrimage to nine shrines to repent and become worthy of the Crusader's Relics,honor_divine,Dibella,+,C,milestone,"T13 resolving-stage inference: nine-shrine repentance from s10 resolved by s100 CompleteQuest; RUNTIME-VERIFY actual progression."
ccMTYSSE001_Quest,The Pilgrim's Path,100,Completed a pilgrimage to nine shrines to repent and become worthy of the Crusader's Relics,honor_divine,Julianos,+,C,milestone,"T13 resolving-stage inference: nine-shrine repentance from s10 resolved by s100 CompleteQuest; RUNTIME-VERIFY actual progression."
ccMTYSSE001_Quest,The Pilgrim's Path,100,Completed a pilgrimage to nine shrines to repent and become worthy of the Crusader's Relics,honor_divine,Kynareth,+,C,milestone,"T13 resolving-stage inference: nine-shrine repentance from s10 resolved by s100 CompleteQuest; RUNTIME-VERIFY actual progression."
ccMTYSSE001_Quest,The Pilgrim's Path,100,Completed a pilgrimage to nine shrines to repent and become worthy of the Crusader's Relics,honor_divine,Mara,+,C,milestone,"T13 resolving-stage inference: nine-shrine repentance from s10 resolved by s100 CompleteQuest; RUNTIME-VERIFY actual progression."
ccMTYSSE001_Quest,The Pilgrim's Path,100,Completed a pilgrimage to nine shrines to repent and become worthy of the Crusader's Relics,honor_divine,Stendarr,+,C,milestone,"T13 resolving-stage inference: nine-shrine repentance from s10 resolved by s100 CompleteQuest; RUNTIME-VERIFY actual progression."
ccMTYSSE001_Quest,The Pilgrim's Path,100,Completed a pilgrimage to nine shrines to repent and become worthy of the Crusader's Relics,honor_divine,Talos,+,C,milestone,"T13 resolving-stage inference: nine-shrine repentance from s10 resolved by s100 CompleteQuest; RUNTIME-VERIFY actual progression."
ccMTYSSE001_Quest,The Pilgrim's Path,100,Completed a pilgrimage to nine shrines to repent and become worthy of the Crusader's Relics,honor_divine,Zenithar,+,C,milestone,"T13 resolving-stage inference: nine-shrine repentance from s10 resolved by s100 CompleteQuest; RUNTIME-VERIFY actual progression."
