editor_id,quest_name,outcome_stage,outcome,act_tags,deity,valence,intensity,magnitude,citation,formid
SMQuest,Calling the Watchmaker,40,Murdered the scholar and dismissed him as someone no one would miss,"murder_treacherous,kill_the_helpless",Sithis,+,S,small,"T13 direct raw-file read: s40 explicitly says the player killed the scholar and that no one would miss the pathetic man; this is a cold-murder side stage, not the s35 CompleteQuest route.",Sithis Mod - Lovecraftian Inspired Quest.esp:000892
SMQuest,Calling the Watchmaker,40,Murdered the scholar and dismissed him as someone no one would miss,"murder_treacherous,kill_the_helpless",Stendarr,-,C,small,"T13 direct raw-file read: s40 explicitly says the player killed the scholar and that no one would miss the pathetic man; Stendarr's helpless-kill rejection is C but the stage is nonterminal.",Sithis Mod - Lovecraftian Inspired Quest.esp:000892
SMQuest,Calling the Watchmaker,40,Murdered the scholar and dismissed him as someone no one would miss,"murder_treacherous,kill_the_helpless",Baan Dar,-,m,small,"T13 cross-gen KEEP: the cold murder harms a helpless victim rather than reversing fortune by cleverness; stepped down.",Sithis Mod - Lovecraftian Inspired Quest.esp:000892
SMQuest,Calling the Watchmaker,40,Murdered the scholar and dismissed him as someone no one would miss,"murder_treacherous,kill_the_helpless",Dibella,-,m,small,"T13 cross-gen KEEP: s40's contemptuous cold murder is cruelty to a helpless victim; stepped down.",Sithis Mod - Lovecraftian Inspired Quest.esp:000892
SMQuest,Calling the Watchmaker,40,Murdered the scholar and dismissed him as someone no one would miss,"murder_treacherous,kill_the_helpless",HoonDing,-,m,small,"T13 cross-gen KEEP: cold murder is the cowardly opposite of making way openly; stepped down.",Sithis Mod - Lovecraftian Inspired Quest.esp:000892
SMQuest,Calling the Watchmaker,40,Murdered the scholar and dismissed him as someone no one would miss,"murder_treacherous,kill_the_helpless",Khenarthi,-,m,small,"T13 cross-gen KEEP: explicit helpless killing; stepped-down Khenarthi profile match.",Sithis Mod - Lovecraftian Inspired Quest.esp:000892
SMQuest,Calling the Watchmaker,40,Murdered the scholar and dismissed him as someone no one would miss,"murder_treacherous,kill_the_helpless",Kyne,-,m,small,"T13 cross-gen KEEP: explicit helpless killing; stepped-down Kyne profile match.",Sithis Mod - Lovecraftian Inspired Quest.esp:000892
SMQuest,Calling the Watchmaker,40,Murdered the scholar and dismissed him as someone no one would miss,"murder_treacherous,kill_the_helpless",Kynareth,-,m,small,"T13 paired-equity KEEP: the same helpless-killing breach applies to Kynareth's mercy/protection face; stepped down to avoid over-weighting a nonterminal branch.",Sithis Mod - Lovecraftian Inspired Quest.esp:000892
SMQuest,Calling the Watchmaker,40,Murdered the scholar and dismissed him as someone no one would miss,"murder_treacherous,kill_the_helpless",Leki,-,m,small,"T13 cross-gen KEEP: cold murder violates the sword-saint's open-combat ethic; stepped down.",Sithis Mod - Lovecraftian Inspired Quest.esp:000892
SMQuest,Calling the Watchmaker,40,Murdered the scholar and dismissed him as someone no one would miss,"murder_treacherous,kill_the_helpless",Mara,-,m,small,"T13 cross-gen KEEP: contemptuous cold murder of a helpless scholar; stepped-down Mara profile match.",Sithis Mod - Lovecraftian Inspired Quest.esp:000892
SMQuest,Calling the Watchmaker,40,Murdered the scholar and dismissed him as someone no one would miss,"murder_treacherous,kill_the_helpless",Molag Bal,+,S,small,"T13 cross-gen KEEP: explicit cold killing of a helpless victim matches domination/cruelty; stepped down.",Sithis Mod - Lovecraftian Inspired Quest.esp:000892
SMQuest,Calling the Watchmaker,40,Murdered the scholar and dismissed him as someone no one would miss,"murder_treacherous,kill_the_helpless",Rajhin,-,m,small,"T13 cross-gen KEEP: a clumsy cruel killing rather than elegant theft/deceit; stepped down.",Sithis Mod - Lovecraftian Inspired Quest.esp:000892
SMQuest,Calling the Watchmaker,40,Murdered the scholar and dismissed him as someone no one would miss,"murder_treacherous,kill_the_helpless",Shor,-,m,small,"T13 cross-gen KEEP: cold murder violates honored open battle; stepped down.",Sithis Mod - Lovecraftian Inspired Quest.esp:000892
SMQuest,Calling the Watchmaker,40,Murdered the scholar and dismissed him as someone no one would miss,"murder_treacherous,kill_the_helpless",Stuhn,-,S,small,"T13 cross-gen KEEP: helpless cold killing violates Stuhn's ransom/mercy ethic; stepped down.",Sithis Mod - Lovecraftian Inspired Quest.esp:000892
SMQuest,Calling the Watchmaker,40,Murdered the scholar and dismissed him as someone no one would miss,"murder_treacherous,kill_the_helpless",Talos,-,m,small,"T13 cross-gen KEEP: cold murder is the opposite of heroic open defiance; stepped down.",Sithis Mod - Lovecraftian Inspired Quest.esp:000892
SMQuest,Calling the Watchmaker,40,Murdered the scholar and dismissed him as someone no one would miss,"murder_treacherous,kill_the_helpless",Tsun,-,m,small,"T13 cross-gen KEEP: cold murder violates the shield-thane's trial-of-arms ethic; stepped down.",Sithis Mod - Lovecraftian Inspired Quest.esp:000892
