"exchange_schema","copy_id","flow_ids","journey","event","surface","runtime_location","current_runtime_text","gameplay_contract","character_budget","risk","dynamic","row_fingerprint","owner_status","owner_draft","owner_note"
"pdv.copy-prose-exchange.v1","esp:book:071490:Devotion.esp:booktext","core.focused;signal.world;surface.book","Shared","book-of-days.entry","book-text","Devotion.esp:BOOK:071490:Devotion.esp:PDV_BookOfDays:BookText","The pages keep the record of devotion.","The book record is a container surface; event-specific journal text is appended dynamically by the manager.","","P2","false","0a51c29ca72953618c3e47551c1a203d","","",""
"pdv.copy-prose-exchange.v1","esp:book:071490:Devotion.esp:name","core.focused;signal.world;surface.book","Shared","book-of-days.entry","book-title","Devotion.esp:BOOK:071490:Devotion.esp:PDV_BookOfDays:Name","Book of Days","The book record is a container surface; event-specific journal text is appended dynamically by the manager.","60","P2","false","651a5ce7f3662c10b04d46b7809a0554","","",""
"pdv.copy-prose-exchange.v1","esp:book:071557:Devotion.esp:booktext","core.focused;race.dunmer;signal.world;surface.book","Shared","unclassified","book-text","Devotion.esp:BOOK:071557:Devotion.esp:PDV_BOOK_DunmerAncestralUrn:BookText","The ash is warm. Speak the names of the dead, and keep the old obligations close.","Live record field is inventoried, but its current firing/attachment contract still requires source linkage.","","P2","false","bcd22ecbdc2b69f3790301afc3a47946","","",""
"pdv.copy-prose-exchange.v1","esp:book:071557:Devotion.esp:name","core.focused;race.dunmer;signal.world;surface.book","Shared","unclassified","book-title","Devotion.esp:BOOK:071557:Devotion.esp:PDV_BOOK_DunmerAncestralUrn:Name","Ancestral Urn","Live record field is inventoried, but its current firing/attachment contract still requires source linkage.","60","P2","false","9aecb84615e7f16592928477d108d0a8","","",""
"pdv.copy-prose-exchange.v1","esp:book:07155A:Devotion.esp:booktext","core.focused;race.argonian;signal.world;surface.book","Shared","unclassified","book-text","Devotion.esp:BOOK:07155A:Devotion.esp:PDV_BOOK_ArgonianHistSapToken:BookText","The sap remembers. Touch it to hear the old root-call and return your thoughts to the Hist.","Live record field is inventoried, but its current firing/attachment contract still requires source linkage.","","P2","false","f5e51c642dfcd8cc32159684762eacd8","","",""
"pdv.copy-prose-exchange.v1","esp:book:07155A:Devotion.esp:name","core.focused;race.argonian;signal.world;surface.book","Shared","unclassified","book-title","Devotion.esp:BOOK:07155A:Devotion.esp:PDV_BOOK_ArgonianHistSapToken:Name","Hist Sap Token","Live record field is inventoried, but its current firing/attachment contract still requires source linkage.","60","P2","false","ad2dc2bf655d0565560d3402d795e3dc","","",""
"pdv.copy-prose-exchange.v1","esp:mesg:06FA1D:Devotion.esp:description","journey.origin-choice;race.bosmer;surface.message","Shared","unclassified","message-body","Devotion.esp:MESG:06FA1D:Devotion.esp:PDV_MSG_BosmerSetupChoice:Description","A Bosmer is raised to one of four paths.
Old Contract: the hardest Green Pact burden, and the highest reward.
Living Story: community kept and stories carried, under Y'ffre.
Exchange: debt, restitution, and fair redress, under Z'en.
Bandit Road: survival and reversal on the road, under Baan Dar.","Live record field is inventoried, but its current firing/attachment contract still requires source linkage.","500","P2","false","8393d9db630d9607469fafa64b094272","","",""
"pdv.copy-prose-exchange.v1","esp:mesg:06FA1D:Devotion.esp:menubuttons[0].text","journey.origin-choice;race.bosmer;surface.message","Shared","unclassified","message-button","Devotion.esp:MESG:06FA1D:Devotion.esp:PDV_MSG_BosmerSetupChoice:MenuButtons[0].Text","Old Contract","Live record field is inventoried, but its current firing/attachment contract still requires source linkage.","40","P2","false","1912080b5be5b566b76e097bd6fe46a1","","",""
"pdv.copy-prose-exchange.v1","esp:mesg:06FA1D:Devotion.esp:menubuttons[1].text","journey.origin-choice;race.bosmer;surface.message","Shared","unclassified","message-button","Devotion.esp:MESG:06FA1D:Devotion.esp:PDV_MSG_BosmerSetupChoice:MenuButtons[1].Text","Living Story","Live record field is inventoried, but its current firing/attachment contract still requires source linkage.","40","P2","false","c9e93a33b69bc5b6909562f6a953a624","","",""
"pdv.copy-prose-exchange.v1","esp:mesg:06FA1D:Devotion.esp:menubuttons[2].text","journey.origin-choice;race.bosmer;surface.message","Shared","unclassified","message-button","Devotion.esp:MESG:06FA1D:Devotion.esp:PDV_MSG_BosmerSetupChoice:MenuButtons[2].Text","Exchange","Live record field is inventoried, but its current firing/attachment contract still requires source linkage.","40","P2","false","9b1f519d22764adf49ae6a6484d83b74","","",""
"pdv.copy-prose-exchange.v1","esp:mesg:06FA1D:Devotion.esp:menubuttons[3].text","journey.origin-choice;race.bosmer;surface.message","Shared","unclassified","message-button","Devotion.esp:MESG:06FA1D:Devotion.esp:PDV_MSG_BosmerSetupChoice:MenuButtons[3].Text","Bandit Road","Live record field is inventoried, but its current firing/attachment contract still requires source linkage.","40","P2","false","850e0ce2c6cf2bb4f162be2aafafed54","","",""
"pdv.copy-prose-exchange.v1","esp:mesg:06FA1D:Devotion.esp:name","journey.origin-choice;race.bosmer;surface.message","Shared","unclassified","message-record-name","Devotion.esp:MESG:06FA1D:Devotion.esp:PDV_MSG_BosmerSetupChoice:Name","Bosmer startup path","Live record field is inventoried, but its current firing/attachment contract still requires source linkage.","","P2","false","898a13081f2fadc6d739b023592c5673","","",""
"pdv.copy-prose-exchange.v1","esp:mesg:06FA1E:Devotion.esp:description","journey.origin-choice;race.bosmer;surface.message","Shared","commitment.offer","message-body","Devotion.esp:MESG:06FA1E:Devotion.esp:PDV_MSG_BosmerSuggestLivingStory:Description","Your recent life points toward the Living Story. Accept this path offer? A rite still confirms the change.","Live record field is inventoried, but its current firing/attachment contract still requires source linkage.","500","P2","false","0f0e8d4a86eeb9b891ea9b5ecbe876a8","","",""
"pdv.copy-prose-exchange.v1","esp:mesg:06FA1E:Devotion.esp:menubuttons[0].text","journey.origin-choice;race.bosmer;surface.message","Shared","unclassified","message-button","Devotion.esp:MESG:06FA1E:Devotion.esp:PDV_MSG_BosmerSuggestLivingStory:MenuButtons[0].Text","Accept","Live record field is inventoried, but its current firing/attachment contract still requires source linkage.","40","P2","false","b73cfde0d5b9ac4f94f2087629d2c836","","",""
"pdv.copy-prose-exchange.v1","esp:mesg:06FA1E:Devotion.esp:menubuttons[1].text","journey.origin-choice;race.bosmer;surface.message","Shared","commitment.refuse","message-button","Devotion.esp:MESG:06FA1E:Devotion.esp:PDV_MSG_BosmerSuggestLivingStory:MenuButtons[1].Text","Refuse","Live record field is inventoried, but its current firing/attachment contract still requires source linkage.","40","P2","false","eb63f4d4958108f1834d60e383bc0ca6","","",""
"pdv.copy-prose-exchange.v1","esp:mesg:06FA1E:Devotion.esp:name","journey.origin-choice;race.bosmer;surface.message","Shared","unclassified","message-record-name","Devotion.esp:MESG:06FA1E:Devotion.esp:PDV_MSG_BosmerSuggestLivingStory:Name","PDV_MSG_BosmerSuggestLivingStory","Live record field is inventoried, but its current firing/attachment contract still requires source linkage.","","P2","false","3b255b2c67cfee7cd9dc4f392c40a69b","","",""
"pdv.copy-prose-exchange.v1","esp:mesg:06FA1F:Devotion.esp:description","journey.origin-choice;race.bosmer;surface.message","Shared","commitment.offer","message-body","Devotion.esp:MESG:06FA1F:Devotion.esp:PDV_MSG_BosmerSuggestExchange:Description","Your recent life points toward the Exchange. Accept this path offer? A rite still confirms the change.","Live record field is inventoried, but its current firing/attachment contract still requires source linkage.","500","P2","false","fec59b06c510aeada0cf7b79ff10ced0","","",""
"pdv.copy-prose-exchange.v1","esp:mesg:06FA1F:Devotion.esp:menubuttons[0].text","journey.origin-choice;race.bosmer;surface.message","Shared","unclassified","message-button","Devotion.esp:MESG:06FA1F:Devotion.esp:PDV_MSG_BosmerSuggestExchange:MenuButtons[0].Text","Accept","Live record field is inventoried, but its current firing/attachment contract still requires source linkage.","40","P2","false","cdf248d6e5a14d9659426713d3a03d83","","",""
"pdv.copy-prose-exchange.v1","esp:mesg:06FA1F:Devotion.esp:menubuttons[1].text","journey.origin-choice;race.bosmer;surface.message","Shared","commitment.refuse","message-button","Devotion.esp:MESG:06FA1F:Devotion.esp:PDV_MSG_BosmerSuggestExchange:MenuButtons[1].Text","Refuse","Live record field is inventoried, but its current firing/attachment contract still requires source linkage.","40","P2","false","d1a8777da026a7252480a58b3d7e1b3c","","",""
"pdv.copy-prose-exchange.v1","esp:mesg:06FA1F:Devotion.esp:name","journey.origin-choice;race.bosmer;surface.message","Shared","unclassified","message-record-name","Devotion.esp:MESG:06FA1F:Devotion.esp:PDV_MSG_BosmerSuggestExchange:Name","PDV_MSG_BosmerSuggestExchange","Live record field is inventoried, but its current firing/attachment contract still requires source linkage.","","P2","false","706250d43bedce3c43ae134486b5041e","","",""
"pdv.copy-prose-exchange.v1","esp:mesg:06FA20:Devotion.esp:description","journey.origin-choice;race.bosmer;surface.message","Shared","commitment.offer","message-body","Devotion.esp:MESG:06FA20:Devotion.esp:PDV_MSG_BosmerSuggestBanditRoad:Description","Your recent life points toward the Bandit Road. Accept this path offer? A rite still confirms the change.","Live record field is inventoried, but its current firing/attachment contract still requires source linkage.","500","P2","false","63c003c3377204d5c6590cc6905f7558","","",""
"pdv.copy-prose-exchange.v1","esp:mesg:06FA20:Devotion.esp:menubuttons[0].text","journey.origin-choice;race.bosmer;surface.message","Shared","unclassified","message-button","Devotion.esp:MESG:06FA20:Devotion.esp:PDV_MSG_BosmerSuggestBanditRoad:MenuButtons[0].Text","Accept","Live record field is inventoried, but its current firing/attachment contract still requires source linkage.","40","P2","false","7cfda5dd34235d8682a22c0e44c4ccff","","",""
"pdv.copy-prose-exchange.v1","esp:mesg:06FA20:Devotion.esp:menubuttons[1].text","journey.origin-choice;race.bosmer;surface.message","Shared","commitment.refuse","message-button","Devotion.esp:MESG:06FA20:Devotion.esp:PDV_MSG_BosmerSuggestBanditRoad:MenuButtons[1].Text","Refuse","Live record field is inventoried, but its current firing/attachment contract still requires source linkage.","40","P2","false","228e50ee32b2dbabc258cffffbe238f3","","",""
"pdv.copy-prose-exchange.v1","esp:mesg:06FA20:Devotion.esp:name","journey.origin-choice;race.bosmer;surface.message","Shared","unclassified","message-record-name","Devotion.esp:MESG:06FA20:Devotion.esp:PDV_MSG_BosmerSuggestBanditRoad:Name","PDV_MSG_BosmerSuggestBanditRoad","Live record field is inventoried, but its current firing/attachment contract still requires source linkage.","","P2","false","d812dc37b6b302fae935061d5c4b2873","","",""
"pdv.copy-prose-exchange.v1","esp:mesg:06FA21:Devotion.esp:description","journey.origin-choice;race.bosmer;surface.message","Shared","commitment.offer","message-body","Devotion.esp:MESG:06FA21:Devotion.esp:PDV_MSG_BosmerSuggestOldContract:Description","Your recent life points toward the Old Contract. Accept this path offer? A rite still confirms the change.","Live record field is inventoried, but its current firing/attachment contract still requires source linkage.","500","P2","false","075157b5f09b8e2d96f90637f064c97a","","",""
"pdv.copy-prose-exchange.v1","esp:mesg:06FA21:Devotion.esp:menubuttons[0].text","journey.origin-choice;race.bosmer;surface.message","Shared","unclassified","message-button","Devotion.esp:MESG:06FA21:Devotion.esp:PDV_MSG_BosmerSuggestOldContract:MenuButtons[0].Text","Accept","Live record field is inventoried, but its current firing/attachment contract still requires source linkage.","40","P2","false","6f99885b109c4bfc3ad1c357c829da48","","",""
"pdv.copy-prose-exchange.v1","esp:mesg:06FA21:Devotion.esp:menubuttons[1].text","journey.origin-choice;race.bosmer;surface.message","Shared","commitment.refuse","message-button","Devotion.esp:MESG:06FA21:Devotion.esp:PDV_MSG_BosmerSuggestOldContract:MenuButtons[1].Text","Refuse","Live record field is inventoried, but its current firing/attachment contract still requires source linkage.","40","P2","false","f23d828ccac93636960561f5a15787f5","","",""
"pdv.copy-prose-exchange.v1","esp:mesg:06FA21:Devotion.esp:name","journey.origin-choice;race.bosmer;surface.message","Shared","unclassified","message-record-name","Devotion.esp:MESG:06FA21:Devotion.esp:PDV_MSG_BosmerSuggestOldContract:Name","PDV_MSG_BosmerSuggestOldContract","Live record field is inventoried, but its current firing/attachment contract still requires source linkage.","","P2","false","fe731a97b93b3960166405f612f0d36e","","",""
"pdv.copy-prose-exchange.v1","esp:mesg:06FA22:Devotion.esp:description","journey.reckoning;race.bosmer;surface.message","Shared","unclassified","message-body","Devotion.esp:MESG:06FA22:Devotion.esp:PDV_MSG_BosmerReckoning:Description","The Pact demands reckoning. Recommit now, or renounce it.","Live record field is inventoried, but its current firing/attachment contract still requires source linkage.","500","P2","false","bdfcb9f08a29d999f8a0b60ab47b905c","","",""
"pdv.copy-prose-exchange.v1","esp:mesg:06FA22:Devotion.esp:menubuttons[0].text","journey.reckoning;race.bosmer;surface.message","Shared","unclassified","message-button","Devotion.esp:MESG:06FA22:Devotion.esp:PDV_MSG_BosmerReckoning:MenuButtons[0].Text","Recommit","Live record field is inventoried, but its current firing/attachment contract still requires source linkage.","40","P2","false","8424b08141d30c082a5e715ee93e93a2","","",""
"pdv.copy-prose-exchange.v1","esp:mesg:06FA22:Devotion.esp:menubuttons[1].text","journey.reckoning;race.bosmer;surface.message","Shared","unclassified","message-button","Devotion.esp:MESG:06FA22:Devotion.esp:PDV_MSG_BosmerReckoning:MenuButtons[1].Text","Renounce","Live record field is inventoried, but its current firing/attachment contract still requires source linkage.","40","P2","false","a359f1d7063793033d6d1288897b0ea7","","",""
"pdv.copy-prose-exchange.v1","esp:mesg:06FA22:Devotion.esp:name","journey.reckoning;race.bosmer;surface.message","Shared","unclassified","message-record-name","Devotion.esp:MESG:06FA22:Devotion.esp:PDV_MSG_BosmerReckoning:Name","PDV_MSG_BosmerReckoning","Live record field is inventoried, but its current firing/attachment contract still requires source linkage.","","P2","false","d527eab6f5347c44e1c81f9c5bea95a4","","",""
"pdv.copy-prose-exchange.v1","esp:mesg:070525:Devotion.esp:description","journey.curse-transition;race.nord;signal.world;surface.message","Shared","unclassified","message-body","Devotion.esp:MESG:070525:Devotion.esp:PDV_Msg_Nord_CurseState_WerewolfOnset:Description","The beast is in the Companions' gift, but it stands against Shor's hall. Your seat on the bridge weakens while the hunt holds.","Live record field is inventoried, but its current firing/attachment contract still requires source linkage. Prior reference claim: Once on first transformation as Nord","500","P3","false","f7f933a12b184d6521963662fb729886","","",""
"pdv.copy-prose-exchange.v1","esp:mesg:070525:Devotion.esp:menubuttons[0].text","journey.curse-transition;race.nord;signal.world;surface.message","Shared","unclassified","message-button","Devotion.esp:MESG:070525:Devotion.esp:PDV_Msg_Nord_CurseState_WerewolfOnset:MenuButtons[0].Text","Continue","Live record field is inventoried, but its current firing/attachment contract still requires source linkage. Prior reference claim: Once on first transformation as Nord","500","P2","false","360a7ed2ca16d2b8c2f8b9faf98fe9f6","","",""
"pdv.copy-prose-exchange.v1","esp:mesg:070525:Devotion.esp:name","journey.curse-transition;race.nord;signal.world;surface.message","Shared","unclassified","message-record-name","Devotion.esp:MESG:070525:Devotion.esp:PDV_Msg_Nord_CurseState_WerewolfOnset:Name","Hircine's Pull","Live record field is inventoried, but its current firing/attachment contract still requires source linkage. Prior reference claim: Once on first transformation as Nord","500","P3","false","3ca4b190f20a71e314484eb6c015656c","","",""
"pdv.copy-prose-exchange.v1","esp:mesg:070526:Devotion.esp:description","journey.curse-transition;race.nord;signal.world;surface.message","Shared","unclassified","message-body","Devotion.esp:MESG:070526:Devotion.esp:PDV_Msg_Nord_CurseState_VampireOnset:Description","Molag Bal's shadow has fallen across you. Sovngarde will not name you while you carry his thirst. Cure the curse, and even then the scar remains.","Live record field is inventoried, but its current firing/attachment contract still requires source linkage. Prior reference claim: Once on becoming vampire","500","P3","false","17e65c890bdd1302de6628f574a7e801","","",""
"pdv.copy-prose-exchange.v1","esp:mesg:070526:Devotion.esp:menubuttons[0].text","journey.curse-transition;race.nord;signal.world;surface.message","Shared","unclassified","message-button","Devotion.esp:MESG:070526:Devotion.esp:PDV_Msg_Nord_CurseState_VampireOnset:MenuButtons[0].Text","Continue","Live record field is inventoried, but its current firing/attachment contract still requires source linkage. Prior reference claim: Once on becoming vampire","500","P2","false","deb6847042bf8436c624d1332b9a6eb3","","",""
"pdv.copy-prose-exchange.v1","esp:mesg:070526:Devotion.esp:name","journey.curse-transition;race.nord;signal.world;surface.message","Shared","unclassified","message-record-name","Devotion.esp:MESG:070526:Devotion.esp:PDV_Msg_Nord_CurseState_VampireOnset:Name","Sovngarde Closes","Live record field is inventoried, but its current firing/attachment contract still requires source linkage. Prior reference claim: Once on becoming vampire","500","P3","false","4267d5e82b0ff91f9d8eac293f3b1167","","",""
"pdv.copy-prose-exchange.v1","esp:mesg:070527:Devotion.esp:description","journey.curse-transition;race.nord;signal.world;surface.message","Shared","unclassified","message-body","Devotion.esp:MESG:070527:Devotion.esp:PDV_Msg_Nord_CurseState_VampireCured:Description","The thirst is gone. The bridge is open again. But Tsun has seen what walked into the dark, and that is not forgotten.","Live record field is inventoried, but its current firing/attachment contract still requires source linkage. Prior reference claim: Once on cure completion","500","P3","false","1debe165f2b5001f6b229f98bc8e55a1","","",""
"pdv.copy-prose-exchange.v1","esp:mesg:070527:Devotion.esp:menubuttons[0].text","journey.curse-transition;race.nord;signal.world;surface.message","Shared","unclassified","message-button","Devotion.esp:MESG:070527:Devotion.esp:PDV_Msg_Nord_CurseState_VampireCured:MenuButtons[0].Text","Continue","Live record field is inventoried, but its current firing/attachment contract still requires source linkage. Prior reference claim: Once on cure completion","500","P2","false","f9a142a1d532eb54f08fe69d75020a8d","","",""
"pdv.copy-prose-exchange.v1","esp:mesg:070527:Devotion.esp:name","journey.curse-transition;race.nord;signal.world;surface.message","Shared","unclassified","message-record-name","Devotion.esp:MESG:070527:Devotion.esp:PDV_Msg_Nord_CurseState_VampireCured:Name","The Door Stands Ajar","Live record field is inventoried, but its current firing/attachment contract still requires source linkage. Prior reference claim: Once on cure completion","500","P3","false","0bc713ee92e5ac863ae5914291776066","","",""
"pdv.copy-prose-exchange.v1","esp:mesg:071001:Devotion.esp:description","journey.curse-transition;race.altmer;surface.message","Shared","unclassified","message-body","Devotion.esp:MESG:071001:Devotion.esp:PDV_Msg_Altmer_VampireExiledPath_Entry:Description","Auri-El is closed while you flee the sun. Still, an Altmer does not become nothing because the records cast them out. What remains is exile: a narrow discipline, a name kept privately, never a full return.","Live record field is inventoried, but its current firing/attachment contract still requires source linkage. Prior reference claim: One-time after vampire onset, if the Exiled path is enabled","500","P2","false","ce21f41f04ffc25c6bd8955c8b891243","","",""
