actor,eventId,eventName,sentiment,tier,baseDelta,dailyCap,cooldownDays,stanceGate,conditionTag,originGate,notes
kyne,1,kill-hostile-beast,-,small,-0.5,2,0,,,,Kyne protects beasts; softened to -0.5 + cap 2/day for self-defense fairness (combat migration)
kyne,2,kill-hostile-humanoid,+,small,0.5,0,0,,,,uncapped (combat migration)
kyne,40,shout-attack,+,small,0.35,3,0.0208,,Shout,,NOT read - Kyne shout uses property-based call
kyne,343,learn-word-of-power,+,medium,1.0,2,0.5,,,,Kyne gifted the Voice to mankind
kyne,313,rest-under-open-sky,+,small,0.5,3,0,,,,the Kiss of Kyne is wind and open sky
kyne,345,discover-location,+,small,0.25,3,0,,,,the wild places are meant to be walked
kyne,350,heal-or-cure-npc,+,small,0.25,3,0,,,,the kind mother shelters the weak
akatosh,302,kill-dragon,-,medium,-0.75,2,0.5,,,,the dragon is his aspect; slaying it is fraught reverence not glory
akatosh,343,learn-word-of-power,+,medium,0.75,2,0.5,,,,the Thu'um is the dragon's own voice
akatosh,313,rest-under-open-sky,+,small,0.25,3,0,,,,endurance under the open march of time
akatosh,300,kill-undead,+,small,0.5,3,0,,ActorTypeUndead,,undeath defies the proper span of life
akatosh,365,raise-undead,-,medium,-1.0,2,0.5,,,,necromancy cheats the orderly passage of time
akatosh,344,increase-skill,+,small,0.25,3,0,,,,patient discipline honors the dragon
Arkay,300,kill-undead,+,small,0.5,3,0,,ActorTypeUndead,,guardian of the cycle puts the restless dead to rest
Arkay,365,raise-undead,-,large,-1.5,1,1.0,,,,necromancy is the core sin against the life-death cycle
Arkay,304,murder-defenseless,-,medium,-1.0,2,0.5,,,,unnatural death tears the rightful order
Arkay,350,heal-or-cure-npc,+,small,0.5,3,0,,,,sustaining the living honors the natural span
Arkay,342,read-lore-book,+,small,0.25,3,0,,,,studying burial rites and the mysteries of death
Mara,350,heal-or-cure-npc,+,medium,0.75,2,0.5,,,,compassion made manifest in tending the suffering
Mara,333,cook-meal,+,small,0.5,3,0,,,,the warmth of the hearth and feeding others
Mara,304,murder-defenseless,-,large,-1.5,1,1.0,,,,cruelty to the helpless offends the goddess of love
Mara,314,sleep-in-bed,+,small,0.25,3,0,,,,rest within the hearth and home she blesses
Mara,364,assault-innocent,-,medium,-1.0,2,0.5,,,,violence against the innocent betrays compassion
Stendarr,301,kill-daedra,+,medium,0.75,2,0.5,,ActorTypeDaedra,,the Vigil stands against the Daedra
Stendarr,300,kill-undead,+,small,0.5,3,0,,ActorTypeUndead,,righteous mercy frees the dead from undeath
Stendarr,350,heal-or-cure-npc,+,small,0.5,3,0,,,,mercy and aid to the weary
Stendarr,304,murder-defenseless,-,large,-1.5,1,1.0,,,,the god of restraint abhors merciless slaughter
Stendarr,364,assault-innocent,-,medium,-1.0,2,0.5,,,,justice forbids preying on the innocent
Stendarr,368,accept-daedric-artifact,-,medium,-1.0,2,0.5,,,,consorting with Daedra betrays the Vigil
Zenithar,330,smith-item,+,small,0.5,3,0,,,,honest labor at the forge
Zenithar,331,enchant-item,+,small,0.5,3,0,,,,skilled craft adds worth through honest work
Zenithar,332,brew-potion,+,small,0.25,3,0,,,,diligent apothecary trade craft
Zenithar,362,steal-item,-,medium,-1.0,2,0.5,,owned,,theft mocks honest commerce
Zenithar,360,pick-owned-lock,-,small,-0.5,3,0,,owned,,breaking into property scorns lawful trade
Zenithar,361,trespass,-,small,-0.25,3,0,,,,respecting boundaries is the merchant's creed
Julianos,340,read-skill-book,+,small,0.5,3,0,,,,the god of wisdom rewards diligent study
Julianos,341,read-spell-tome,+,small,0.5,3,0,,,,magic mastered as disciplined logic
Julianos,342,read-lore-book,+,small,0.5,3,0,,,,contemplation of lore and understanding
Julianos,343,learn-word-of-power,+,medium,0.75,2,0.5,,,,the deep logic of the Thu'um is sacred knowledge
Julianos,344,increase-skill,+,small,0.25,3,0,,,,patient mastery through reasoned practice
Julianos,331,enchant-item,+,small,0.25,3,0,,,,applied arcane knowledge in disciplined craft
Dibella,331,enchant-item,+,small,0.5,3,0,,,,beauty wrought into a created thing
Dibella,330,smith-item,+,small,0.25,3,0,,,,artistry of the maker's hand
Dibella,342,read-lore-book,+,small,0.25,3,0,,,,appreciation of art and created beauty
Dibella,350,heal-or-cure-npc,+,small,0.25,3,0,,,,tenderness shown toward another
Dibella,304,murder-defenseless,-,medium,-1.0,2,0.5,,,,wanton cruelty defiles beauty and love
Dibella,333,cook-meal,+,small,0.25,3,0,,,,the gentle art of a well made meal
Kynareth,313,rest-under-open-sky,+,medium,0.75,2,0.5,,,,communion with sky and open air
Kynareth,345,discover-location,+,small,0.5,3,0,,,,the goddess of travel blesses the wanderer
Kynareth,332,brew-potion,+,small,0.25,3,0,,,,gathering nature's gifts into healing draughts
Kynareth,365,raise-undead,-,medium,-1.0,2,0.5,,,,raising the dead profanes the natural order
Kynareth,350,heal-or-cure-npc,+,small,0.5,3,0,,,,restoring life with nature's bounty
Talos,343,learn-word-of-power,+,medium,1.0,2,0.5,,,,Tiber Septim mastered the Thu'um as warrior-god of man
Talos,345,discover-location,+,small,0.5,3,0,,,,the conqueror's path is to claim new ground
Talos,2,kill-hostile-humanoid,+,small,0.5,3,0,,,,valor in battle honors the Hero-God of Man
Talos,344,increase-skill,+,small,0.25,3,0,,,,mortal striving toward greatness
Talos,304,murder-defenseless,-,medium,-0.75,2,0.5,,,,empire is built on valor not slaughter of the helpless
Shor,343,learn-word-of-power,+,small,0.5,3,0,,,,the king of old Atmora prized the warrior's Voice
Shor,313,rest-under-open-sky,+,small,0.25,3,0,,,,the old Nord king kept the rough camps of his host
Shor,304,murder-defenseless,-,large,-1.5,1,1.0,,,,honorless killing bars the door to Sovngarde
Shor,300,kill-undead,+,small,0.5,3,0,,ActorTypeUndead,,the restless dead deny the honored hall
Shor,365,raise-undead,-,medium,-1.0,2,0.5,,ActorTypeUndead,,binding the dead mocks the hall of valor
Shor,342,read-lore-book,+,small,0.25,3,0,,,Nord,sagas and lore-books keep the road to Sovngarde in living memory
Tsun,2,kill-hostile-humanoid,+,medium,0.75,2,0.5,,,,the shield-thane proves the warrior at honorable arms
Tsun,343,learn-word-of-power,+,small,0.25,3,0,,,,Tsun stands where trials are met
Tsun,304,murder-defenseless,-,large,-1.5,1,1.0,,,,the guardian of trials despises a coward's kill
Tsun,365,raise-undead,-,medium,-1.0,2,0.5,,ActorTypeUndead,,no true trial is won by raising the dead
Tsun,350,heal-or-cure-npc,+,small,0.25,3,0,,,,a shield-thane guards his comrades
Stuhn,2,kill-hostile-humanoid,+,small,0.5,3,0,,,,fair combat against an armed foe honors the shield-god
Stuhn,304,murder-defenseless,-,large,-2.0,1,1.0,,,,Stuhn ransoms prisoners and abhors slaughter of the helpless
Stuhn,350,heal-or-cure-npc,+,medium,0.75,2,0.5,,,,sparing and mending a foe reflects mercy in war
Stuhn,365,raise-undead,-,medium,-1.0,2,0.5,,ActorTypeUndead,,the dead deserve rest not conscription
Stuhn,300,kill-undead,+,small,0.25,3,0,,ActorTypeUndead,,laying the bound dead to rest restores fair order
auri-el,344,increase-skill,+,small,0.5,3,0,,,,disciplined self-perfection toward ascension
auri-el,342,read-lore-book,+,small,0.25,3,0,,,,study of the ages befits the supreme ancestor
auri-el,313,rest-under-open-sky,+,small,0.35,3,0,,,,ascetic restraint under the bare dawn sky
auri-el,350,heal-or-cure-npc,+,medium,0.75,2,0.5,,,,the soul's elevation served by mending others
auri-el,304,murder-defenseless,-,large,-1.5,1,1.0,,,,base slaughter drags the soul down from its ascent
auri-el,368,accept-daedric-artifact,-,medium,-1.0,2,0.5,,ActorTypeDaedra,,the Daedra are lesser et'Ada beneath the light
