editor_id,quest_name,outcome_stage,outcome,act_tags,deity,valence,intensity,magnitude,citation
CW03,Message to Whiterun,16,Carried the warning that armed Whiterun against the coming storm of war,defend_kin_home,Kyne,+,m,small,"CW03 s16: warned Whiterun and helped ready her people's defense (defend_kin_home m). Kyne is the Nords' storm-mother; guarding the kin-hold under her sky is hearth-duty, not battle glory -> m/small. Aspect-parity echo of the Kynareth s16 cell (T03 precedent). UESP: Message to Whiterun"
T03,The Blessings of Nature,200,"Restored the Gildergreen, the holy tree, under the open sky",honor_the_wild,Kyne,+,S,small,"T03 (01C48E) s200: the Gildergreen blooms again (honor_the_wild S). To Kyne the renewed sacred tree is the wild honored under her storm-sky; temple primacy stays with Kynareth (C/milestone), so the Nord face takes one step down -> S/small. Aspect-parity echo per the T03 Y'ffre/Khenarthi precedent. UESP: The Blessings of Nature"
T03,The Blessings of Nature,100,"Tapped the ancient Eldergleam with Nettlebane, wounding the eldest living tree",defile_nature,Kyne,-,C,small,"T03 s100: cut the Eldergleam with Nettlebane (defile_nature C). The raw wild is Kyne's own; wounding the eldest tree offends the storm-mother as gravely as Y'ffre's forest law (per-cell override above the step-down rule, matching the Y'ffre -C cell). Net restoration keeps it small. UESP: The Blessings of Nature / Nettlebane"
MQ104,Dragon Rising,160,Slew the dragon Mirmulnir at the Western Watchtower in open battle,kill_honorable_combat,Kyne,+,S,small,"MQ104 s160: killed Mirmulnir and first absorbed a dragon soul (kill_honorable_combat S). Kyne breathed the Voice onto men to face the dragons; a dragon slain under her storm-sky is her gift fulfilled. Parallel to the Alkosh s160 cell -> S/small. UESP: Dragon Rising"
MQ106,A Blade in the Dark,200,Slew the named dragon Sahloknir at Kynesgrove in open battle,kill_honorable_combat,Kyne,+,S,small,"MQ106 s200: killed Sahloknir at KYNESGROVE, a site sacred to Kyne (kill_honorable_combat S). The dragon felled at her own grove is the clearest Kyne beat in the questline. Parallel to the Alkosh/Shor s200 cells -> S/small. UESP: A Blade in the Dark"
MQ105,The Way of the Voice,160,Climbed the Seven Thousand Steps and began learning the Way of the Voice,prove_by_struggle,Kyne,+,S,small,"MQ105 s160: reached High Hrothgar and took up the Voice (prove_by_struggle S). Paarthurnax names the Voice Kyne's gift; mastering it is devotion to her breath. Anchor cell is the Julianos disciplined_study milestone; Kyne reads the same beat as her gift taken up -> S/small. UESP: The Way of the Voice"
MQ206,Alduin's Bane,220,Drove Alduin from the skies above the Throat of the World,kill_honorable_combat,Kyne,+,S,small,"MQ206 s220: wounded Alduin with Dragonrend and drove him off (kill_honorable_combat S). The World-Eater beaten back by the Voice is Kyne's gift used as she intended. Parallel to the Alkosh s220 cell -> S/small. UESP: Alduin's Bane"
MQ305,Dragonslayer,200,Felled Alduin the World-Eater in Sovngarde,kill_honorable_combat,Kyne,+,S,small,"MQ305 s200: Alduin destroyed (kill_honorable_combat S). The storm-mother's breath in mortal lungs ended the World-Eater; the widow of Shor sees her gift redeemed in her husband's hall. Parallel to the Alkosh s200 cell -> S/small. UESP: Dragonslayer"
DA05,Ill Met By Moonlight,105,Spared Sinding and turned on the hunters; mercy shown to the hunted,"the_hunt,mercy_spare",Kyne,+,m,small,"DA05 s105: defended Sinding and spared the hunted (mercy_spare m). Kyne's Sacred Trials teach respect for the prey-spirit; mercy to a hunted creature honors her hunt-law even inside Hircine's game. One step below the Hircine S cell, and her primary hunt surface is dunHunterQST -> m/small. UESP: Ill Met by Moonlight"
dunHunterQST,Kyne's Sacred Trials,100,Completed the Sacred Trials of Kyne and received her blessing from Froki,"the_hunt,prove_by_struggle",Kyne,+,C,milestone,"dunHunterQST (018601) s100 journal: 'I had to defeat the guardian spirits of many beasts, and was rewarded with the Blessing of Kyne.' The one vanilla quest that IS Kyne worship: the respectful hunt as trial (the_hunt C). Terminal reward stage -> C/milestone (the only new milestone in the aspect-parity tranche; stage verified via houseCARL, USSEP-patched record). UESP: Kyne's Sacred Trials"
