race,moment,moment_order,deity_tone,slot_id,surface,surfacing,voice,budget_target,budget_hard,char_count,over_budget,trigger,draft_prose,edit
Hermaeus Mora,Boon -- Seeker (Tier 1),10,"Hermaeus Mora (Daedric path): Vast, patient, archival; the god of what is known and what should not be known; speaks as though the answer is already recorded and you are the last to arrive at it; impersonal, encyclopedic, faintly horrifying in completeness -- he takes your secrets as tribute and your agency as a ledger entry; no warmth, no malice, only the accumulation.",PDV_Bless_Daedric_Mora_Seeker,Boon description,Quiet,Narrator,140,200,118,,Passive blessing description; visible whenever the player views active effects.,Mora's archive opens a corner. You retain more of what you study; knowledge surfaces from texts that should give less.,
Hermaeus Mora,Boon -- Devoted (Tier 2),11,"Hermaeus Mora (Daedric path): Vast, patient, archival; the god of what is known and what should not be known; speaks as though the answer is already recorded and you are the last to arrive at it; impersonal, encyclopedic, faintly horrifying in completeness -- he takes your secrets as tribute and your agency as a ledger entry; no warmth, no malice, only the accumulation.",PDV_Bless_Daedric_Mora_Devoted,Boon description,Quiet,Narrator,140,200,138,,Passive blessing description; visible whenever the player views active effects.,"Mora's collection deepens in you. Spell insight comes faster, and dangerous texts open their secrets to your study without the usual cost.",
Hermaeus Mora,Boon -- Champion (Tier 3),12,"Hermaeus Mora (Daedric path): Vast, patient, archival; the god of what is known and what should not be known; speaks as though the answer is already recorded and you are the last to arrive at it; impersonal, encyclopedic, faintly horrifying in completeness -- he takes your secrets as tribute and your agency as a ledger entry; no warmth, no malice, only the accumulation.",PDV_Bless_Daedric_Mora_Champion,Boon description,Quiet,Narrator,140,200,131,,Passive blessing description; visible whenever the player views active effects.,Mora names you archivist. Secrets yield; forbidden knowledge is yours; what drives lesser scholars to ruin is a tool in your hands.,
Hermaeus Mora,Price -- Seeker (Tier 1),20,"Hermaeus Mora (Daedric path): Vast, patient, archival; the god of what is known and what should not be known; speaks as though the answer is already recorded and you are the last to arrive at it; impersonal, encyclopedic, faintly horrifying in completeness -- he takes your secrets as tribute and your agency as a ledger entry; no warmth, no malice, only the accumulation.",PDV_Price_Daedric_Mora_Seeker,Price description,Quiet,Narrator,140,200,126,,Passive price description (paired with the boon); visible whenever the player views active effects.,"The price of the archive: knowledge corrupts. What you learn through Mora changes how you think, and some cannot be unlearned.",
Hermaeus Mora,Price -- Devoted (Tier 2),21,"Hermaeus Mora (Daedric path): Vast, patient, archival; the god of what is known and what should not be known; speaks as though the answer is already recorded and you are the last to arrive at it; impersonal, encyclopedic, faintly horrifying in completeness -- he takes your secrets as tribute and your agency as a ledger entry; no warmth, no malice, only the accumulation.",PDV_Price_Daedric_Mora_Devoted,Price description,Quiet,Narrator,140,200,136,,Passive price description (paired with the boon); visible whenever the player views active effects.,"The price deepens: agency erodes. Mora's archive pulls; curiosity becomes compulsion, and the questions grow larger than the questioner.",
Hermaeus Mora,Price -- Champion (Tier 3),22,"Hermaeus Mora (Daedric path): Vast, patient, archival; the god of what is known and what should not be known; speaks as though the answer is already recorded and you are the last to arrive at it; impersonal, encyclopedic, faintly horrifying in completeness -- he takes your secrets as tribute and your agency as a ledger entry; no warmth, no malice, only the accumulation.",PDV_Price_Daedric_Mora_Champion,Price description,Quiet,Narrator,140,200,180,,Passive price description (paired with the boon); visible whenever the player views active effects.,"The full price: the archive owns you. Mora holds what you have learned, and you are catalogued alongside the things you studied. Agency is a recorded entry, not a living condition.",
Hermaeus Mora,Tier-up -- Seeker,30,"Hermaeus Mora (Daedric path): Vast, patient, archival; the god of what is known and what should not be known; speaks as though the answer is already recorded and you are the last to arrive at it; impersonal, encyclopedic, faintly horrifying in completeness -- he takes your secrets as tribute and your agency as a ledger entry; no warmth, no malice, only the accumulation.",PDV_Notif_Daedric_Mora_SeekerEntry,Notification,Noted,Narrator,60,80,37,,HUD corner notification. One per save.,Mora opens a section for you. Seeker.,
Hermaeus Mora,Tier-up -- Devoted,31,"Hermaeus Mora (Daedric path): Vast, patient, archival; the god of what is known and what should not be known; speaks as though the answer is already recorded and you are the last to arrive at it; impersonal, encyclopedic, faintly horrifying in completeness -- he takes your secrets as tribute and your agency as a ledger entry; no warmth, no malice, only the accumulation.",PDV_Notif_Daedric_Mora_DevotedEntry,Notification,Marked,Narrator,60,80,42,,HUD corner notification. One per save.,Mora's archive deepens its claim. Devoted.,
Hermaeus Mora,Tier-down (lapse),32,"Hermaeus Mora (Daedric path): Vast, patient, archival; the god of what is known and what should not be known; speaks as though the answer is already recorded and you are the last to arrive at it; impersonal, encyclopedic, faintly horrifying in completeness -- he takes your secrets as tribute and your agency as a ledger entry; no warmth, no malice, only the accumulation.",PDV_Notif_Daedric_Mora_Lapse,Notification,Noted,Narrator,60,80,52,,HUD corner notification. One per direction per save.,Mora's archive closes. The forbidden knowledge dims.,
Hermaeus Mora,Champion recognition (MessageBox),33,"Hermaeus Mora (Daedric path): Vast, patient, archival; the god of what is known and what should not be known; speaks as though the answer is already recorded and you are the last to arrive at it; impersonal, encyclopedic, faintly horrifying in completeness -- he takes your secrets as tribute and your agency as a ledger entry; no warmth, no malice, only the accumulation.",PDV_Msg_Daedric_Mora_ChampionEntry,MessageBox,Marked,God-voice,280,500,16+261,,MessageBox. One-time on first Champion tier.,"Title: ""Mora's Archivist"" Body: ""You have given me three things: your curiosity, your willingness to pay for it, and your silence on what you found. The archive is open. The Black Books, the dark corners, what other scholars refused -- yours to handle. You are catalogued now, beside all of it.""",
