race,moment,moment_order,deity_tone,slot_id,surface,surfacing,voice,budget_target,budget_hard,char_count,over_budget,trigger,draft_prose,edit
Bosmer,First blessing (Tier 1),10,,PDV_Bless_Bosmer_OldContract_T1,Blessing description,Quiet,Narrator,140,200,86,,Passive blessing description; visible whenever the player views active effects.,The Green Pact is kept. Archery damage +3%; poison resistance +15%; dagger damage +2%.,
Bosmer,Deepening blessing (Tier 2),11,,PDV_Bless_Bosmer_OldContract_T2,Blessing description,Quiet,Narrator,140,200,147,,Passive blessing description; visible whenever the player views active effects.,"Y'ffre answers the kept covenant. Hunting kills restore stamina; animals never flee unprovoked. At Strict compliance, devotion gains a fifth again.",
Bosmer,Devoted blessing (Tier 3),12,,PDV_Bless_Bosmer_OldContract_T3,Blessing description,Quiet,Narrator,140,200,133,,Passive blessing description; visible whenever the player views active effects.,"Y'ffre's Mark is on you. In forest and wild, archery damage +8%; animals never flee; the first arrow of a hunt strikes true and deep.",
Bosmer,First blessing (Tier 1),10,,PDV_Bless_Bosmer_LivingStory_T1,Blessing description,Quiet,Narrator,140,200,84,,Passive blessing description; visible whenever the player views active effects.,The Story is carried. Speech +5%; outdoor stamina regen +5%; poison resistance +10%.,
Bosmer,Deepening blessing (Tier 2),11,,PDV_Bless_Bosmer_LivingStory_T2,Blessing description,Quiet,Narrator,140,200,129,,Passive blessing description; visible whenever the player views active effects.,Y'ffre and the secondary gods answer the diaspora faith. Community acts return piety; nature sites and outdoor combat steady you.,
Bosmer,Devoted blessing (Tier 3),12,,PDV_Bless_Bosmer_LivingStory_T3,Blessing description,Quiet,Narrator,140,200,147,,Passive blessing description; visible whenever the player views active effects.,You carry the Story itself. Speech +10%; preserving a community or tradition returns a day of broadened skill. The dialogue of memory opens to you.,
Bosmer,First blessing (Tier 1),10,,PDV_Bless_Bosmer_Exchange_T1,Blessing description,Quiet,Narrator,140,200,119,,Passive blessing description; visible whenever the player views active effects.,Z'en weighs your dealings. Barter +5%; merchant prices improve; defending against a first-striker returns minor health.,
Bosmer,Deepening blessing (Tier 2),11,,PDV_Bless_Bosmer_Exchange_T2,Blessing description,Quiet,Narrator,140,200,134,,Passive blessing description; visible whenever the player views active effects.,Z'en answers the settled account. Proportionate vengeance grants a day of stronger weapons; honored debts and fair trade return piety.,
Bosmer,Devoted blessing (Tier 3),12,,PDV_Bless_Bosmer_Exchange_T3,Blessing description,Quiet,Narrator,140,200,144,,Passive blessing description; visible whenever the player views active effects.,Balance is restored through you. A debt settled or a wrong redressed returns a day of stronger skill growth; proportionate kills return stamina.,
Bosmer,First blessing (Tier 1),10,,PDV_Bless_Bosmer_BanditRoad_T1,Blessing description,Quiet,Narrator,140,200,110,,Passive blessing description; visible whenever the player views active effects.,The road teaches you. Pickpocket +5%; sneak +3%; a night slept outdoors sharpens the next day's first stealth.,
Bosmer,Deepening blessing (Tier 2),11,,PDV_Bless_Bosmer_BanditRoad_T2,Blessing description,Quiet,Narrator,140,200,126,,Passive blessing description; visible whenever the player views active effects.,Baan Dar answers the exile. Surviving severe odds returns a burst of stamina; road-life scores; outcasts deal with you kindly.,
Bosmer,Devoted blessing (Tier 3),12,,PDV_Bless_Bosmer_BanditRoad_T3,Blessing description,Quiet,Narrator,140,200,154,,Passive blessing description; visible whenever the player views active effects.,"Baan Dar's luck is yours. Once a week, a survival you should not have had returns a day-long pulse of fortune; the wild road weighs heavier than the city.",
Bosmer,Other,999,,PDV_Notif_Bosmer_Observant_Entry,Notification,Noted,Narrator,60,80,36,,HUD corner notification. One per path per save; %s deity.,%s has noticed your path. Observant.,
Bosmer,Other,999,,PDV_Notif_Bosmer_Faithful_Entry,Notification,Noted,Narrator,60,80,46,,HUD corner notification. One per path per save.,Your standing with %s is steady now. Faithful.,
Bosmer,Other,999,,PDV_Notif_Bosmer_Devoted_Entry,Notification,Marked,Narrator,60,80,28,,HUD corner notification. One per save.,%s knows your name. Devoted.,
Bosmer,Other,999,,PDV_Notif_Bosmer_Observant_Lapse,Notification,Noted,Narrator,60,80,46,,HUD corner notification. One per direction per save.,Your standing with %s has slipped to Wavering.,
Bosmer,Other,999,,PDV_Notif_Bosmer_Faithful_Lapse,Notification,Noted,Narrator,60,80,39,,HUD corner notification. One per direction per save.,The favor of %s is thinning. Observant.,
Bosmer,Other,999,,PDV_Notif_Bosmer_Devoted_Lapse,Notification,Marked,Narrator,60,80,55,,HUD corner notification. One per save per Devoted loss.,The bond with %s loosens. The Devoted bond is not held.,
Bosmer,Other,999,,PDV_Msg_Bosmer_ChampionEntry_OldContract,MessageBox,Marked,God-voice,280,500,13+198,,MessageBox. One-time on first Old Contract Devoted.,"Title: ""Y'ffre's Mark"" Body: ""You kept the Pact in exile, where no warden watched and no forest enforced it. You kept it because it is true, not because it is law. The covenant is fully yours, and the wild knows you for its own.""",
Bosmer,Other,999,,PDV_Msg_Bosmer_ChampionEntry_LivingStory,MessageBox,Marked,God-voice,280,500,17+175,,MessageBox. One-time on first Living Story Devoted.,"Title: ""The Story Carried"" Body: ""The forest could not follow you here, so you carried the Story instead -- in memory, in community, in the telling. Y'ffre is the Now held by narrative. You hold a piece of it.""",
Bosmer,Other,999,,PDV_Msg_Bosmer_ChampionEntry_Exchange,MessageBox,Marked,God-voice,280,500,17+145,,MessageBox. One-time on first Exchange Devoted.,"Title: ""The Account Clean"" Body: ""Debt by debt, wrong by wrong, you have kept the world even. Nothing free, nothing owed, nothing left unpaid. Z'en's balance runs through you now.""",
Bosmer,Other,999,,PDV_Msg_Bosmer_ChampionEntry_BanditRoad,MessageBox,Marked,God-voice,280,500,21+176,,MessageBox. One-time on first Bandit Road Devoted.,"Title: ""The Story by the Fire"" Body: ""You are the one who should not have made it -- and did, and again, and again. That is the story exiles tell in the dark. Baan Dar writes those stories, and you are in his book.""",
Bosmer,Path / tradition setup,101,,PDV_Msg_Bosmer_PathChoice_Setup,MessageBox,Marked,Narrator,280,500,21+216,,MessageBox. First-run setup; one-time.,"Title: ""The Covenant in Exile"" Body: ""Y'ffre made a covenant with the Bosmer. In Skyrim, far from Valenwood's enforcement, you must decide what you still carry of it. Choose your path: the Old Contract, the Living Story, the Exchange, or the Bandit Road.""",
Bosmer,Track / posture transition (Bosmer Old Contract),100,,PDV_Notif_Bosmer_Path_OldContract_Entry,Notification,Noted,Narrator,60,80,68,,HUD corner notification. On confirmed entry into Old Contract.,"You walk the Old Contract. The Green Pact is yours to keep, in full.",
Bosmer,Path / tradition setup,101,,PDV_Notif_Bosmer_Path_LivingStory_Entry,Notification,Noted,Narrator,60,80,70,,HUD corner notification. On confirmed entry into Living Story.,You walk the Living Story. The covenant lives in memory and community.,
