race,moment,moment_order,deity_tone,slot_id,surface,surfacing,voice,budget_target,budget_hard,char_count,over_budget,trigger,draft_prose,edit
Khajiit,Other,999,,PDV_Msg_Khajiit_LunarPosture_Normal,Status spell readout,Quiet,Narrator,180,240,92,,Shown via Survey Devotion and on posture transitions.,"The Lunar Lattice holds you cleanly. The moons know your form, and the road knows your step.",
Khajiit,Other,999,,PDV_Msg_Khajiit_LunarPosture_Strained,Status spell readout,Noted,Narrator,180,240,111,,Shown via Survey Devotion and on posture transitions.,"The Lattice holds you, but strained. The beast-shape is a competing form, and the caravans keep their distance.",
Khajiit,Other,999,,PDV_Msg_Khajiit_LunarPosture_Corrupted,Status spell readout,Marked,Narrator,180,240,111,,Shown via Survey Devotion and on posture transitions.,"The Lattice still holds you, corrupted and thinned. The moons do not disown the undead, but the community does.",
Khajiit,Other,999,,PDV_Msg_Khajiit_LunarPosture_ShadowDrift,Status spell readout,Marked,Narrator,180,240,108,,Shown via Survey Devotion and on posture transitions.,You have drifted into shadow. The moons grow distant; the Lattice loosens toward the dark between the stars.,
Khajiit,Lunar phase flavor (Khajiit),100,,PDV_Notif_Khajiit_LunarPhase_FullMoons,Notification,Noted,Narrator,60,80,67,,HUD corner notification. Curated pool; cosmetic; per phase shift.,Masser and Secunda are both full. The night's devotion runs strong.,
Khajiit,Lunar phase flavor (Khajiit),100,,PDV_Notif_Khajiit_LunarPhase_Crossed,Notification,Noted,Narrator,60,80,67,,HUD corner notification. Curated pool; cosmetic; per phase shift.,The moons cross overhead. You feel the Lattice tighten in the bone.,
Khajiit,Lunar phase flavor (Khajiit),100,,PDV_Notif_Khajiit_LunarPhase_Waning,Notification,Noted,Narrator,60,80,64,,HUD corner notification. Curated pool; cosmetic; per phase shift.,"The moons wane. The road asks for a quieter, steadier faith now.",
Khajiit,Other,999,,PDV_Bless_Khajiit_Lunar_Substrate,Blessing description,Quiet,Narrator,140,200,124,,Passive blessing description; visible whenever the player views active effects.,The Lunar Lattice holds you. Night vision is keener after dark; outdoor night life and caravan kinship are felt as devotion.,
Khajiit,First blessing (Tier 1),10,,PDV_Bless_Khajiit_Lunar_T1,Blessing description,Quiet,Narrator,140,200,109,,Passive blessing description; visible whenever the player views active effects.,"The moons have noticed how you move. Stamina Regeneration +5% (at night), Disease Resistance +15% (at night).",
Khajiit,Deepening blessing (Tier 2),11,,PDV_Bless_Khajiit_Lunar_T2,Blessing description,Quiet,Narrator,140,200,137,,Passive blessing description; visible whenever the player views active effects.,The Lattice holds you steady. Outdoor night travel carries more; cold and storms press lighter; full moons strengthen the day's devotion.,
Khajiit,Devoted blessing (Tier 3),12,"Khenarthi: Wind-voiced, road-knowing, merciful; speaks of passage, of arriving when needed, of the open sky; always moving.",PDV_Bless_Khajiit_Khenarthi_T3,Blessing description,Quiet,Narrator,140,200,152,,Passive blessing description; visible whenever the player views active effects.,Khenarthi names you to the road. Sprinting outdoors drains 15% less stamina; storms no longer chill you; outdoor sleep restores health and stamina both.,
Khajiit,Devoted blessing (Tier 3),12,"Azurah: Twilight-voiced, threshold-knowing; the mother who shaped the Khajiit; speaks of fate and the hinges of the world; tender and certain.",PDV_Bless_Khajiit_Azurah_T3,Blessing description,Quiet,Narrator,140,200,138,,Passive blessing description; visible whenever the player views active effects.,Azurah watches your thresholds. Spells cost 10% less at night and 15% less at dawn and dusk. The hinges of the world turn where you stand.,
Khajiit,Devoted blessing (Tier 3),12,,PDV_Bless_Khajiit_BaanDar_T3,Blessing description,Quiet,Narrator,140,200,143,,Passive blessing description; visible whenever the player views active effects.,"Baan Dar walks with the pariah. Once a week, a near-fatal escape returns a day-long pulse of fortune. Acts beyond the city walls weigh heavier.",
Khajiit,Devoted blessing (Tier 3),12,"Rajhin: A performer's voice, delighted, legend-making; speaks of theft as art and of the story worth telling; never petty.",PDV_Bless_Khajiit_Rajhin_T3,Blessing description,Quiet,Narrator,140,200,130,,Passive blessing description; visible whenever the player views active effects.,Rajhin marks the artful thief. A theft from a notable target opens a brief unseen window; the first strike of a fight cuts deeper.,
Khajiit,Devoted blessing (Tier 3),12,"Alkosh: Rare, immense, order-keeping; the dragon-lord; speaks of cosmic chaos held back and the line that must not break.",PDV_Bless_Khajiit_Alkosh_T3,Blessing description,Quiet,Narrator,140,200,130,,Passive blessing description; visible whenever the player views active effects.,"Alkosh keeps the cosmic line. Your resistance to fire rises by 15%, and felling a named dragon grants a two-day blessing of order.",
Khajiit,Other,999,,PDV_Notif_Khajiit_Lunar_ObservantEntry,Notification,Noted,Narrator,60,80,47,,HUD corner notification. One per save.,The moons have noticed how you move. Observant.,
Khajiit,Other,999,,PDV_Notif_Khajiit_Lunar_FaithfulEntry,Notification,Noted,Narrator,60,80,43,,HUD corner notification. One per save.,The Lattice holds you steady now. Faithful.,
Khajiit,Other,999,,PDV_Notif_Khajiit_Lunar_ObservantLapse,Notification,Noted,Narrator,60,80,45,,HUD corner notification. One per direction per save.,The moons mark you less surely now. Wavering.,
Khajiit,Other,999,,PDV_Notif_Khajiit_Lunar_FaithfulLapse,Notification,Noted,Narrator,60,80,45,,HUD corner notification. One per direction per save.,The Lattice holds you more thinly. Observant.,
Khajiit,Other,999,,PDV_Notif_Khajiit_Focus_DevotedLapse,Notification,Marked,Narrator,60,80,55,,HUD corner notification. One per save per focus loss; %s is the focus deity.,The lean toward %s fades. The Devoted bond is not held.,
Khajiit,Focus emergence (silent),25,,PDV_Notif_Khajiit_FocusEmergence,Notification,Noted,Narrator,60,80,65,,HUD corner notification. Fires once at dawn when emphasis shifts None to a deity; %s is the emerging deity.,Your devotion has been leaning toward %s. The moons already knew.,
Khajiit,Champion recognition (MessageBox),30,"Khenarthi: Wind-voiced, road-knowing, merciful; speaks of passage, of arriving when needed, of the open sky; always moving.",PDV_Msg_Khajiit_Khenarthi_ChampionEntry,MessageBox,Marked,God-voice,280,500,16+135,,MessageBox. One-time on first Khenarthi Devoted.,"Title: ""Khenarthi's Road"" Body: ""The wind has carried you so long it has learned your name. Walk, and the road walks with you. The open sky was always your temple roof.""",
Khajiit,Champion ambient line,31,"Khenarthi: Wind-voiced, road-knowing, merciful; speaks of passage, of arriving when needed, of the open sky; always moving.",PDV_Notif_Khajiit_Khenarthi_ChampionAmbient_Road,Notification,Noted,Player-2nd,60,80,63,,HUD corner notification. Khenarthi Devoted + open-road travel; one per in-game day.,The road runs easy under you. Khenarthi's wind is at your back.,
Khajiit,Champion recognition (MessageBox),30,"Azurah: Twilight-voiced, threshold-knowing; the mother who shaped the Khajiit; speaks of fate and the hinges of the world; tender and certain.",PDV_Msg_Khajiit_Azurah_ChampionEntry,MessageBox,Marked,God-voice,280,500,17+135,,MessageBox. One-time on first Azurah Devoted.,"Title: ""Azurah's Twilight"" Body: ""I shaped the Khajiit at the first dusk. I have watched you stand at every threshold since. You feel the world's hinges now. Cross well.""",
Khajiit,Champion ambient line,31,"Azurah: Twilight-voiced, threshold-knowing; the mother who shaped the Khajiit; speaks of fate and the hinges of the world; tender and certain.",PDV_Notif_Khajiit_Azurah_ChampionAmbient_Threshold,Notification,Noted,Player-2nd,60,80,53,,HUD corner notification. Azurah Devoted + threshold beat; one per in-game day.,A threshold ahead. Azurah's twilight goes before you.,
Khajiit,Champion recognition (MessageBox),30,,PDV_Msg_Khajiit_BaanDar_ChampionEntry,MessageBox,Marked,God-voice,280,500,16+156,,MessageBox. One-time on first Baan Dar Devoted.,"Title: ""Baan Dar's Favor"" Body: ""The world offered you nothing, exile, and you made a life of it anyway. That is my whole gospel. When the reversal should have killed you, look for my hand.""",
Khajiit,Champion ambient line,31,,PDV_Notif_Khajiit_BaanDar_ChampionAmbient_Reversal,Notification,Noted,Player-2nd,60,80,59,,HUD corner notification. Baan Dar Devoted + improbable survival; weekly cap.,You should not have walked away from that. Baan Dar's hand.,
Khajiit,Champion recognition (MessageBox),30,"Rajhin: A performer's voice, delighted, legend-making; speaks of theft as art and of the story worth telling; never petty.",PDV_Msg_Khajiit_Rajhin_ChampionEntry,MessageBox,Marked,God-voice,280,500,14+133,,MessageBox. One-time on first Rajhin Devoted; Entry-only.,"Title: ""Rajhin's Touch"" Body: ""The Footpad himself stole from an Emperor and wore Mephala's ring. You steal as though a story is being told. It is. I am telling it.""",
Khajiit,Champion recognition (MessageBox),30,"Alkosh: Rare, immense, order-keeping; the dragon-lord; speaks of cosmic chaos held back and the line that must not break.",PDV_Msg_Khajiit_Alkosh_ChampionEntry,MessageBox,Marked,God-voice,280,500,13+144,,MessageBox. One-time on first Alkosh Devoted; Entry-only.,"Title: ""Alkosh's Line"" Body: ""Lorkhaj's chaos gnaws at the seams of the world. Few are asked to hold the line against it. You were. You held. The dragon-lord knows your face.""",
Khajiit,Drifting away (neglect),40,,PDV_Notif_Khajiit_NeglectTexture_SubstrateThinning,Notification,Noted,Player-2nd,60,80,66,,HUD corner notification. One per lapse-band crossing.,Too long indoors and walled in. The Lattice holds you more thinly.,
Khajiit,Drifting away (neglect),40,,PDV_Notif_Khajiit_NeglectTexture_PatronFading,Notification,Noted,Player-2nd,60,80,61,,HUD corner notification. One per lapse-band crossing; %s is the focus deity.,%s sends less than you had grown used to. The lean is fading.,
Khajiit,Drifting away (neglect),40,,PDV_Notif_Khajiit_NeglectTexture_CaravanForgotten,Notification,Noted,Player-2nd,60,80,68,,HUD corner notification. One per lapse-band crossing.,The caravans do not know your face. You have not been where they go.,
Khajiit,Survey Devotion (player checks status),60,,PDV_Msg_Khajiit_Survey_Broad,Status spell readout,Quiet,Narrator,180,240,138,,Shown via Survey Devotion and on posture transitions.,"You walk inside the Lunar Lattice, broad and unfocused, held by the moons and the road. Standing: %s. No god leads yet, and that is whole.",
Khajiit,Survey Devotion (player checks status),60,,PDV_Msg_Khajiit_Survey_Focused,Status spell readout,Quiet,Narrator,180,240,114,,Shown via Survey Devotion and on posture transitions.,"The Lattice holds you, and %s1 leads your devotion now. Standing: %s2. You did not choose it; you were walking it.",
Khajiit,"Contextual favor (small, Noted)",70,,PDV_Notif_Khajiit_FavorNoted_Substrate_RoadLife,Notification,Noted,Player-2nd,60,80,56,,HUD corner notification. Environmental; daily cap; no fast-travel.,The road carries you kindly tonight. The moons are near.,
Khajiit,"Contextual favor (small, Noted)",70,,PDV_Notif_Khajiit_FavorNoted_Substrate_CaravanKinship,Notification,Noted,Player-2nd,60,80,56,,HUD corner notification. After-act; cooldown per caravan encounter.,The caravan knows you and is glad of it. Kinship counts.,
Khajiit,"Contextual favor (small, Noted)",70,,PDV_Notif_Khajiit_FavorNoted_Khenarthi_RoadGrace,Notification,Noted,Player-2nd,60,80,50,,HUD corner notification. Environmental; Khenarthi emphasis.,Khenarthi's wind finds your back on the open road.,
Khajiit,"Contextual favor (small, Noted)",70,,PDV_Notif_Khajiit_FavorNoted_Azurah_Threshold,Notification,Noted,Player-2nd,60,80,49,,HUD corner notification. After-act; real threshold required.,A crossing made well. Azurah's twilight marks it.,
Khajiit,"Contextual favor (small, Noted)",70,,PDV_Notif_Khajiit_FavorNoted_BaanDar_Outnumbered,Notification,Noted,Player-2nd,60,80,62,,HUD corner notification. Momentary combat; adversity filter; cooldown.,Outnumbered and still standing. Baan Dar favors the long odds.,
Khajiit,"Contextual favor (large, Marked)",71,,PDV_Msg_Khajiit_FavorMarked_BaanDar_Reversal,MessageBox,Marked,God-voice,280,500,16+142,,MessageBox. Weekly cap; near-fatal escape only.,"Title: ""Pariah's Fortune"" Body: ""That was not survivable, and you survived it. The god of pariahs wrote you a way out, because once, someone should have done the same for him.""",
Khajiit,"Contextual favor (small, Noted)",70,,PDV_Notif_Khajiit_FavorNoted_Rajhin_ElegantTheft,Notification,Noted,Player-2nd,60,80,43,,HUD corner notification. After-act; notable target; no petty-theft spam.,A theft worth a story. Rajhin is delighted.,
Khajiit,"Contextual favor (small, Noted)",70,,PDV_Notif_Khajiit_FavorNoted_Alkosh_DragonOrder,Notification,Noted,Player-2nd,60,80,58,,HUD corner notification. After-act; named dragon or order-keeping beat.,"A dragon down, the line held. Alkosh marks the order kept.",
Khajiit,Road home acknowledgment (Khajiit),110,,PDV_Notif_Khajiit_RoadHome_Designate,Notification,Noted,Player-2nd,60,80,63,,HUD corner notification. On designating an anchor (max 2-3).,You have made this a road home. The circuit has an anchor here.,
Khajiit,Road home acknowledgment (Khajiit),110,,PDV_Notif_Khajiit_RoadHome_Return,Notification,Noted,Player-2nd,60,80,63,,HUD corner notification. On returning to an anchor after cycling; not repeat-camping.,"Back at a road home, the circuit holding. The Lattice steadies.",
Khajiit,Road home acknowledgment (Khajiit),110,,PDV_Notif_Khajiit_RoadHome_MissedCadence,Notification,Noted,Player-2nd,60,80,67,,HUD corner notification. On cadence lapse.,You have not walked the circuit in too long. The anchors grow cold.,
Khajiit,Curse onset / cure,80,,PDV_Msg_Khajiit_CurseState_VampireOnset,MessageBox,Marked,God-voice,280,500,21+215,,MessageBox. Once on becoming vampire.,"Title: ""The Lattice Corrupted"" Body: ""The thirst has taken you, little moon. The Lattice does not cast you out -- the moons do not disown their own -- but the caravans will fear you, and rightly. I will not look away. Few of the others can say the same.""",
Khajiit,Curse onset / cure,80,,PDV_Msg_Khajiit_CurseState_VampireCured,MessageBox,Marked,God-voice,280,500,18+155,,MessageBox. Once on cure; clears posture toward Normal.,"Title: ""The Lattice Clears"" Body: ""The thirst is gone. The corruption lifts from the Lattice, and the caravans may learn your face again. Walk back into the moonlight. It was always waiting.""",
Khajiit,Curse onset / cure,80,,PDV_Msg_Khajiit_CurseState_WerewolfOnset,MessageBox,Marked,God-voice,280,500,17+206,,MessageBox. Once on first transformation.,"Title: ""A Competing Shape"" Body: ""Hircine has given you another shape. The moons are about form, and you carry one too many now. You are still Khajiit -- strained, watched, but not erased. The community will fear the wolf. Hold to the road.""",
Khajiit,Curse onset / cure,80,,PDV_Msg_Khajiit_CurseState_WerewolfCured,MessageBox,Marked,God-voice,280,500,15+200,,MessageBox. Once on werewolf cure; clears posture toward Normal.,"Title: ""One Shape Again"" Body: ""The wolf is set down, little moon. The Lattice holds a single shape once more, and the extra form no longer pulls against the moons. The caravans will lose their fear in time. The road is yours again.""",
