race,moment,moment_order,deity_tone,slot_id,surface,surfacing,voice,budget_target,budget_hard,char_count,over_budget,trigger,draft_prose,edit
Malacath,Boon -- Seeker (Tier 1),10,"Malacath (Daedric path): Blunt, bitter, oath-bound; the god of the spurned and exiled; speaks of the code kept, the oath answered, the strong enduring what breaks the weak; no comfort, only respect earned. On the global path he is the outsider's god, pariah-strength offered to the cast-out of any race.",PDV_Bless_Daedric_Malacath_Seeker,Boon description,Quiet,Narrator,140,200,126,,Passive blessing description; visible whenever the player views active effects.,"Malacath hardens the outcast. You endure a little more before you break, and a blow struck against you is answered the harder.",
Malacath,Boon -- Devoted (Tier 2),11,"Malacath (Daedric path): Blunt, bitter, oath-bound; the god of the spurned and exiled; speaks of the code kept, the oath answered, the strong enduring what breaks the weak; no comfort, only respect earned. On the global path he is the outsider's god, pariah-strength offered to the cast-out of any race.",PDV_Bless_Daedric_Malacath_Devoted,Boon description,Quiet,Narrator,140,200,139,,Passive blessing description; visible whenever the player views active effects.,"Malacath's endurance is yours. Pain moves you less, and those who break their oath to you, or strike you first, take the cost back doubled.",
Malacath,Boon -- Champion (Tier 3),12,"Malacath (Daedric path): Blunt, bitter, oath-bound; the god of the spurned and exiled; speaks of the code kept, the oath answered, the strong enduring what breaks the weak; no comfort, only respect earned. On the global path he is the outsider's god, pariah-strength offered to the cast-out of any race.",PDV_Bless_Daedric_Malacath_Champion,Boon description,Quiet,Narrator,140,200,154,,Passive blessing description; visible whenever the player views active effects.,"Malacath names you of the spurned-and-strong. You stand where others fall, your oath is iron, and vengeance for a broken word comes due through your hand.",
Malacath,Price -- Seeker (Tier 1),20,"Malacath (Daedric path): Blunt, bitter, oath-bound; the god of the spurned and exiled; speaks of the code kept, the oath answered, the strong enduring what breaks the weak; no comfort, only respect earned. On the global path he is the outsider's god, pariah-strength offered to the cast-out of any race.",PDV_Price_Daedric_Malacath_Seeker,Price description,Quiet,Narrator,140,200,136,,Passive price description (paired with the boon); visible whenever the player views active effects.,"The price of the code: harsh judgment. Malacath holds you to the oath as hard as your enemies, and weakness in yourself is not forgiven.",
Malacath,Price -- Devoted (Tier 2),21,"Malacath (Daedric path): Blunt, bitter, oath-bound; the god of the spurned and exiled; speaks of the code kept, the oath answered, the strong enduring what breaks the weak; no comfort, only respect earned. On the global path he is the outsider's god, pariah-strength offered to the cast-out of any race.",PDV_Price_Daedric_Malacath_Devoted,Price description,Quiet,Narrator,140,200,149,,Passive price description (paired with the boon); visible whenever the player views active effects.,"The price deepens: the code burdens. You cannot bend a sworn word without loss, and the world treats the pariah-god's follower as the outsider he is.",
Malacath,Price -- Champion (Tier 3),22,"Malacath (Daedric path): Blunt, bitter, oath-bound; the god of the spurned and exiled; speaks of the code kept, the oath answered, the strong enduring what breaks the weak; no comfort, only respect earned. On the global path he is the outsider's god, pariah-strength offered to the cast-out of any race.",PDV_Price_Daedric_Malacath_Champion,Price description,Quiet,Narrator,140,200,182,,Passive price description (paired with the boon); visible whenever the player views active effects.,"The full price: you are the code, and it is merciless. Every oath binds you absolutely; every mercy you would give, Malacath counts as weakness, and the exile he grants is permanent.",
Malacath,Tier-up -- Seeker,30,"Malacath (Daedric path): Blunt, bitter, oath-bound; the god of the spurned and exiled; speaks of the code kept, the oath answered, the strong enduring what breaks the weak; no comfort, only respect earned. On the global path he is the outsider's god, pariah-strength offered to the cast-out of any race.",PDV_Notif_Daedric_Malacath_SeekerEntry,Notification,Noted,Narrator,60,80,41,,HUD corner notification. One per save.,Malacath counts you a Seeker of the code.,
Malacath,Tier-up -- Devoted,31,"Malacath (Daedric path): Blunt, bitter, oath-bound; the god of the spurned and exiled; speaks of the code kept, the oath answered, the strong enduring what breaks the weak; no comfort, only respect earned. On the global path he is the outsider's god, pariah-strength offered to the cast-out of any race.",PDV_Notif_Daedric_Malacath_DevotedEntry,Notification,Marked,Narrator,60,80,40,,HUD corner notification. One per save.,Malacath counts your oath iron. Devoted.,
Malacath,Tier-down (lapse),32,"Malacath (Daedric path): Blunt, bitter, oath-bound; the god of the spurned and exiled; speaks of the code kept, the oath answered, the strong enduring what breaks the weak; no comfort, only respect earned. On the global path he is the outsider's god, pariah-strength offered to the cast-out of any race.",PDV_Notif_Daedric_Malacath_Lapse,Notification,Noted,Narrator,60,80,63,,HUD corner notification. One per direction per save.,Malacath's regard hardens away. The code's strength leaves you.,
Malacath,Champion recognition (MessageBox),33,"Malacath (Daedric path): Blunt, bitter, oath-bound; the god of the spurned and exiled; speaks of the code kept, the oath answered, the strong enduring what breaks the weak; no comfort, only respect earned. On the global path he is the outsider's god, pariah-strength offered to the cast-out of any race.",PDV_Msg_Daedric_Malacath_ChampionEntry,MessageBox,Marked,God-voice,280,500,16+245,,MessageBox. One-time on first Champion tier.,"Title: ""Malacath's Sworn"" Body: ""You are not mine by blood, and still you kept the oath when keeping it cost you everything. That is the code. The spurned do not get comfort, Champion -- they get strength, and the right to endure. Stand. That is all I have ever asked of anyone.""",
Malacath,Commitment / pact (the gate clears),40,"Malacath (Daedric path): Blunt, bitter, oath-bound; the god of the spurned and exiled; speaks of the code kept, the oath answered, the strong enduring what breaks the weak; no comfort, only respect earned. On the global path he is the outsider's god, pariah-strength offered to the cast-out of any race.",PDV_Msg_Daedric_Malacath_Commitment,MessageBox,Marked,God-voice,280,500,15+288,,MessageBox. Fires once when the commitment gate clears.,"Title: ""Malacath's Oath"" Body: ""Three times you stood by the sworn word when the easy road was to break it, and three times you took the outsider's part. You understand me, though you are not Orc. Take the code. Its price is that you will be held to it without mercy, by me and by everyone who learns whose god you keep.""",
Malacath,Stigma -- Suspected,50,"Malacath (Daedric path): Blunt, bitter, oath-bound; the god of the spurned and exiled; speaks of the code kept, the oath answered, the strong enduring what breaks the weak; no comfort, only respect earned. On the global path he is the outsider's god, pariah-strength offered to the cast-out of any race.",PDV_Notif_Daedric_Malacath_Stigma_Suspected,Notification,Noted,Narrator,60,80,75,,HUD corner notification. On entering Suspected.,Your turn to the pariah-god is suspected. Some eye the outsider's strength.,
Malacath,Stigma -- Known,51,"Malacath (Daedric path): Blunt, bitter, oath-bound; the god of the spurned and exiled; speaks of the code kept, the oath answered, the strong enduring what breaks the weak; no comfort, only respect earned. On the global path he is the outsider's god, pariah-strength offered to the cast-out of any race.",PDV_Notif_Daedric_Malacath_Stigma_Known,Notification,Noted,Narrator,60,80,79,,HUD corner notification. On entering Known.,Your oath to Malacath is known. He is the spurned Daedra here; you are suspect.,
Malacath,Stigma -- Notorious,52,"Malacath (Daedric path): Blunt, bitter, oath-bound; the god of the spurned and exiled; speaks of the code kept, the oath answered, the strong enduring what breaks the weak; no comfort, only respect earned. On the global path he is the outsider's god, pariah-strength offered to the cast-out of any race.",PDV_Notif_Daedric_Malacath_Stigma_Notorious,Notification,Marked,Narrator,60,80,75,,HUD corner notification. On entering Notorious.,You are openly Malacath's. The wary treat his sworn as one of the cast-out.,
Malacath,Drifting away (neglect),60,"Malacath (Daedric path): Blunt, bitter, oath-bound; the god of the spurned and exiled; speaks of the code kept, the oath answered, the strong enduring what breaks the weak; no comfort, only respect earned. On the global path he is the outsider's god, pariah-strength offered to the cast-out of any race.",PDV_Notif_Daedric_Malacath_NeglectTexture,Notification,Noted,Player-2nd,60,80,77,,HUD corner notification. One per lapse-band crossing.,You let the oath go soft. Malacath's strength withdraws; only the mark stays.,
Malacath,Renunciation (exit),61,"Malacath (Daedric path): Blunt, bitter, oath-bound; the god of the spurned and exiled; speaks of the code kept, the oath answered, the strong enduring what breaks the weak; no comfort, only respect earned. On the global path he is the outsider's god, pariah-strength offered to the cast-out of any race.",PDV_Msg_Daedric_Malacath_Exit,MessageBox,Marked,God-voice,280,500,19+278,,MessageBox. Fires once on renunciation; residue persists.,"Title: ""Malacath's Contempt"" Body: ""You set the code down. Malacath has no surprise in him -- the weak always find the oath too heavy in the end. The endurance leaves you. The mark of the pariah fades on its own slow time, and the people who saw you swear by the spurned god remember it longer than you would like.""",
Malacath,Per-race response (on commitment),70,"Malacath (Daedric path): Blunt, bitter, oath-bound; the god of the spurned and exiled; speaks of the code kept, the oath answered, the strong enduring what breaks the weak; no comfort, only respect earned. On the global path he is the outsider's god, pariah-strength offered to the cast-out of any race.",PDV_Msg_Daedric_Malacath_Response_Nord,MessageBox,Marked,Narrator,280,500,17+233,,MessageBox. One-time on a Nord committing.,"Title: ""An Outsider's God"" Body: ""To a Nord, Malacath is an understandable outsider god -- strength and grudge are not strange -- but he is not a normal Nord lane. The path is foreign; it can be walked and then abandoned, or cleansed away at a shrine of the old gods.""",
Malacath,Per-race response (on commitment),70,"Malacath (Daedric path): Blunt, bitter, oath-bound; the god of the spurned and exiled; speaks of the code kept, the oath answered, the strong enduring what breaks the weak; no comfort, only respect earned. On the global path he is the outsider's god, pariah-strength offered to the cast-out of any race.",PDV_Msg_Daedric_Malacath_Response_Imperial,MessageBox,Marked,Narrator,280,500,17+222,,MessageBox. One-time on an Imperial committing.,"Title: ""Civically Suspect"" Body: ""To an Imperial, Malacath is a legally and civically suspect path -- an outsider's god whose code answers oath with vengeance, not law. The path strains the civic order; return runs through cleansing or public renunciation.""",
