editor_id,quest_name,outcome_stage,outcome,act_tags,citation,formid,evidence_tier,branch_note
DwarfSphereQ04,"No Corpse, No Case",20,Dissolved a vampire's corpse in a barrel of chaurus acid on Shanath's orders.,desecrate_the_dead,"s20 journal: ""I now need to carefully place the vampire's body in to the barrel."" (s20 obj: Drop the n'wah's body into the barrel)",Dwarfsphere.esp:7B5507,A,Single outcome.
DwarfSphereQ06,Legacy of the Extinct Race,230,Took position beside the Sadrith Kegran scientists and fought off the assault on the settlement.,"defend_kin_home,protect_the_weak","RUNTIME-VERIFY: s230 has an objective only -- ""Prepare for battle. Take your position next to the scientists"" (s240 obj: Stay alive)",Dwarfsphere.esp:7D3B68,B,Single outcome.
DwarfSphereQ06,Legacy of the Extinct Race,280,"Took Dwemer books and scrolls out of the library depository for Yen-Ylu, behind his master Shanath's back.",forbidden_knowledge,"s280 journal: ""Yen-Ylu asked me to fetch any Dwemer books or scrolls from the library's depository. Apparently, he is at odds with Shanath Selthri.""",Dwarfsphere.esp:7D3B68,A,Single outcome.
DwarfSphereQ07,Freedom of Choice,260,Killed Shanath Selthri before he could summon the AHO.,"kill_honorable_combat,protect_the_weak","RUNTIME-VERIFY: s260 has an objective only -- ""Kill Shanath Selthri before he summons the AHO""",Dwarfsphere.esp:8159F6,B,Branch: stood against Shanath. Mutually exclusive with the s261/s666 branch that joins him.
DwarfSphereQ07,Freedom of Choice,666,"Sided with Shanath, let Sadrith Kegran be destroyed, and took the AHO for himself.","break_oath_betray,kill_the_helpless","s666 journal: ""Sadrith Kegran is no more. I am in control of the AHO now."" (reached via s261: ""Rendezvous with Shanath Selthri at Deep Folk Crossing"")",Dwarfsphere.esp:8159F6,A,Branch: joined Shanath. Mutually exclusive with the s260/s1000 branch that saves the settlement.
DwarfSphereQ07,Freedom of Choice,1000,Launched the AHO with Yen-Ylu's leave and saved Sadrith Kegran.,"protect_the_weak,keep_oath","s1000 journal: ""Yen-Ylu allowed me to launch AHO. ... Sadrith Kegran is saved.""",Dwarfsphere.esp:8159F6,A,Branch: settlement saved. Mutually exclusive with the s666 destruction ending.
DwarfSphereSQ03,The Lady's Ring,100,Handed the recovered ring back to Tadys Andavel so he could give it to his wife.,"keep_oath,marriage_family","s100 journal: ""Now that Tadys has the ring, he can present it to Selveni.""",Dwarfsphere.esp:8B3BDD,A,Branch: ring returned. Mutually exclusive with s101.
DwarfSphereSQ03,The Lady's Ring,101,Kept for himself the ring Tadys had prepared as a gift for his wife.,"theft_burglary,break_oath_betray","s101 journal: ""I think I'd rather keep the ring for myself.""",Dwarfsphere.esp:8B3BDD,A,Branch: ring kept. Mutually exclusive with s100.
DwarfSphereSQ04,A Burden of the Past,250,Carried out the Morag Tong hit on the Orys family.,assassination_contract,"s250 journal: ""The job's done. I should speak to Evos Mils."" (contract stated at s20: ""The Morag Tong has ordered a hit on them. I am to kill them both -- or at least one of them."")",Dwarfsphere.esp:8B8D04,A,Branch: contract fulfilled. Mutually exclusive with s100.
DwarfSphereSQ04,A Burden of the Past,100,"Spared the Orys family, let them leave Sadrith Kegran, and told Evos Mils they had run away.","mercy_spare,deceit","s100 journal: ""The Orys family will soon depart from Sadrith Kegran. I should speak with Evos Mils and tell him they ran away.""",Dwarfsphere.esp:8B8D04,A,Branch: targets spared. Mutually exclusive with s250.
DwarfSphereSQ05,Orsimer of House Telvanni,10,Drank the night away with Shaglak at the tavern until he could not remember it.,revel_indulge,"s10 journal: ""Shaglak offered me drinks, on him, at a local tavern of Sadrith Kegran called ""Chitin and Flin"".""",Dwarfsphere.esp:8C804B,A,Single outcome.
DwarfSphereSQ06,A Legacy of Ancestors,10,Tested Erver Milo's untried experimental time-magic scroll on himself.,reckless_magic,"s10 journal: ""Erver has given me an experimental scroll. I should put it to test.""",Dwarfsphere.esp:8DC48F,A,Single path; paired with the s40 row.
DwarfSphereSQ06,A Legacy of Ancestors,40,Saw Erver Milo's ancestral time-manipulation spell through to a scroll that worked.,"disciplined_study,forbidden_knowledge","s40 journal: ""I've managed to help Erver Milo."" (s35: ""The scroll worked as intended."")",Dwarfsphere.esp:8DC48F,A,Single path; paired with the s10 row.
DwarfSphereSQ07,Signs of Attention,50,Repaired Maren Dwyn's broken amulet and mended his courtship with Aryni Sendu.,"heal_comfort,marriage_family","s50 journal: ""Maren plans on giving Aryni a gift. Their relationship will soon rebound."" (s30: ""I've successfully repaired the amulet!"")",Dwarfsphere.esp:8EBFB9,A,Single outcome.
DwarfSphereSQ08,Forgotten Art,15,Carved ten pieces of bark off the living Tel And sprouts so they could be made into weapons.,defile_nature,"s15 journal: ""Merano Rendo asked me to obtain ten pieces of Tel And bark from its sprouts.""",Dwarfsphere.esp:97F2B4,A,Single path; paired with the s30 row.
DwarfSphereSQ08,Forgotten Art,30,Learned the craft of Tel And bark weapons and took a bow made from it.,master_craft_forge,"s30 journal: ""Merano Rendo gave me a bow made from Tel And bark and explained how I can use the giant mushroom's bark to craft my own items.""",Dwarfsphere.esp:97F2B4,A,Single path; paired with the s15 row.
DwarfSphereSQ09,Be Aware of Darkness,13,"Killed Slyboots, the creature living in the catacombs beneath the Andavel home.","the_hunt,protect_the_weak","RUNTIME-VERIFY: s13 has an objective only -- ""Kill Slyboots""; the choice is framed at s10: ""I should try to feed it or kill it.""",Dwarfsphere.esp:984460,B,Branch: creature killed. Mutually exclusive with feeding it.
DwarfSphereSQ09,Be Aware of Darkness,15,Fed Slyboots rather than killing it.,mercy_spare,"RUNTIME-VERIFY: s15 carries no journal text and no objective; the feed path of s10's ""I should try to feed it or kill it"" resolves through one of s15/s17/s19 and the exact stage is unconfirmed.",Dwarfsphere.esp:984460,C,Branch: creature spared. Mutually exclusive with s13; stage number unconfirmed.
DwarfSphereSQ11,Shadow of the Past,50,Finished the dead Dwemer Kuovin Nrezalf's work and let him pass on without ever telling him he had died.,"honor_the_dead,keep_secret","s50 journal: ""The mysterious ghost of the Dwemer disappeared. He never realized he had died more than four thousand years ago.""",Dwarfsphere.esp:AFCC1B,A,Single outcome.
