editor_id,quest_name,outcome_stage,outcome,act_tags,deity,valence,intensity,magnitude,citation
C00,Take Up Arms,20,Spar with Vilkas as a one-on-one trial of arms (intermediate stage),honorable_duel,Leki,+,C,small,"C00 OBJ 20: Train with Vilkas (one-on-one trial of arms; intermediate, completion=100)"
C00,Take Up Arms,20,Spar with Vilkas as a one-on-one trial of arms (intermediate stage),honorable_duel,Talos,+,m,small,C00 OBJ 20: Train with Vilkas (trial of arms)
C00,Take Up Arms,20,Spar with Vilkas as a one-on-one trial of arms (intermediate stage),honorable_duel,Boethiah,+,S,small,C00 OBJ 20: Train with Vilkas (one-on-one trial of arms)
C01,Proving Honor,200,Won my place by a judged trial of valor (terminal),prove_by_struggle,Tsun,+,C,milestone,C01 LOG 200: retrieved a fragment of Wuuthrad to earn my place; s20 Observer judges my valor
C01,Proving Honor,200,Won my place by a judged trial of valor (terminal),prove_by_struggle,HoonDing,+,C,milestone,C01 LOG 200: earned my place; s20 valor judged
C01,Proving Honor,200,Won my place by a judged trial of valor (terminal),prove_by_struggle,Boethiah,+,C,milestone,C01 LOG 200: earned my place; s20 valor judged
C01,Proving Honor,200,Won my place by a judged trial of valor (terminal),prove_by_struggle,Shor,+,S,small,C01 LOG 200: earned my place; s20 valor judged
C01,Proving Honor,200,Won my place by a judged trial of valor (terminal),prove_by_struggle,Talos,+,S,small,C01 LOG 200: earned my place; s20 valor judged
C01,Proving Honor,200,Won my place by a judged trial of valor (terminal),prove_by_struggle,Malacath,+,m,small,C01 LOG 200: earned my place; s20 valor judged
C01,Proving Honor,200,Won my place by a judged trial of valor (terminal),prove_by_struggle,Auri-El,+,m,small,C01 LOG 200: earned my place; s20 valor judged
C03,The Silver Hand,200,Killed armed Silver Hand foes in open battle (terminal),kill_honorable_combat,Shor,+,C,milestone,C03 OBJ 30: Kill the werewolf hunters; LOG 200 Silver Hand stronghold battle (completion=200)
C03,The Silver Hand,200,Killed armed Silver Hand foes in open battle,kill_honorable_combat,Talos,+,S,small,C03 OBJ 30: Kill the werewolf hunters
C03,The Silver Hand,200,Killed armed Silver Hand foes in open battle,kill_honorable_combat,Tsun,+,S,small,C03 OBJ 30: Kill the werewolf hunters
C04,Blood's Honor,200,Slew the hostile Glenmoril Witches in battle (terminal),kill_honorable_combat,Shor,+,C,milestone,C04 OBJ 20: kill the Glenmoril Witches; LOG 200 (completion=200)
