editor_id,quest_name,outcome_stage,outcome,act_tags,deity,valence,intensity,magnitude,citation
BardsCollegeDrum,Rjorn's Drum,200,Recovered Rjorn's legendary drum and returned it to the Bards College.,aesthetic_devotion,Dibella,+,S,small,"cross-gen candidate: aesthetic_devotion(C) from the Dibella Part B profile, stepped down; owner-approved official-content retrospective 2026-08-12"
BardsCollegeDrum,Rjorn's Drum,200,Recovered Rjorn's legendary drum and returned it to the Bards College.,restore_cultural_relic,Xarxes,+,S,small,"cross-gen candidate: restore_cultural_relic(C) from the Xarxes Part B profile, stepped down; owner-approved official-content retrospective 2026-08-12"
BardsCollegeDrum,Rjorn's Drum,200,Recovered Rjorn's legendary drum and returned it to the Bards College.,aesthetic_devotion,Y'ffre,+,m,small,"cross-gen candidate: aesthetic_devotion(S) from the Y'ffre Part B profile, stepped down; owner-approved official-content retrospective 2026-08-12"
BardsCollegeFlute,Pantea's Flute,200,Recovered Pantea's flute and returned it to the Bards College.,aesthetic_devotion,Dibella,+,S,small,"cross-gen candidate: aesthetic_devotion(C) from the Dibella Part B profile, stepped down; owner-approved official-content retrospective 2026-08-12"
BardsCollegeFlute,Pantea's Flute,200,Recovered Pantea's flute and returned it to the Bards College.,restore_cultural_relic,Xarxes,+,S,small,"cross-gen candidate: restore_cultural_relic(C) from the Xarxes Part B profile, stepped down; owner-approved official-content retrospective 2026-08-12"
BardsCollegeFlute,Pantea's Flute,200,Recovered Pantea's flute and returned it to the Bards College.,aesthetic_devotion,Y'ffre,+,m,small,"cross-gen candidate: aesthetic_devotion(S) from the Y'ffre Part B profile, stepped down; owner-approved official-content retrospective 2026-08-12"
BardsCollegeLute,Finn's Lute,200,Recovered Finn's stolen lute and returned it to the Bards College.,aesthetic_devotion,Dibella,+,S,small,"cross-gen candidate: aesthetic_devotion(C) from the Dibella Part B profile, stepped down; owner-approved official-content retrospective 2026-08-12"
BardsCollegeLute,Finn's Lute,200,Recovered Finn's stolen lute and returned it to the Bards College.,restore_cultural_relic,Xarxes,+,S,small,"cross-gen candidate: restore_cultural_relic(C) from the Xarxes Part B profile, stepped down; owner-approved official-content retrospective 2026-08-12"
BardsCollegeLute,Finn's Lute,200,Recovered Finn's stolen lute and returned it to the Bards College.,aesthetic_devotion,Y'ffre,+,m,small,"cross-gen candidate: aesthetic_devotion(S) from the Y'ffre Part B profile, stepped down; owner-approved official-content retrospective 2026-08-12"
BardsCollegePoeticEdda,Collecting the Edda,200,Recovered the Poetic Edda from Fellglow Keep and returned it to the Bards College,disciplined_study,Akatosh,+,m,small,"cross-gen candidate: disciplined_study(m) from the Akatosh Part B profile, stepped down; REVIEW before promotion; reviewed A1"
BardsCollegePoeticEdda,Collecting the Edda,200,Recovered the Poetic Edda from Fellglow Keep and returned it to the Bards College,aesthetic_devotion,Dibella,+,S,small,"cross-gen candidate: aesthetic_devotion(C) from the Dibella Part B profile, stepped down; reviewed A2"
BardsCollegePoeticEdda,Collecting the Edda,200,Recovered the Poetic Edda from Fellglow Keep and returned it to the Bards College,disciplined_study,Julianos,+,S,small,"cross-gen candidate: disciplined_study(C) from the Julianos Part B profile, stepped down; reviewed A2"
BardsCollegePoeticEdda,Collecting the Edda,200,Recovered the Poetic Edda from Fellglow Keep and returned it to the Bards College,disciplined_study,Xarxes,+,m,small,"cross-gen candidate: disciplined_study(S) from the Xarxes Part B profile, stepped down; reviewed A4"
BardsCollegePoeticEdda,Collecting the Edda,200,Recovered the Poetic Edda from Fellglow Keep and returned it to the Bards College,disciplined_study,Hermaeus Mora,+,m,small,"cross-gen candidate: disciplined_study(S) from the Hermaeus Mora Part B profile, stepped down; reviewed A8"
BardsCollegePoeticEdda,Poetic Edda,200,Recovered the Poetic Edda - an ancient saga of the old world - for the Bards College,aesthetic_devotion,Y'ffre,+,S,small,"tranche10-ext: Y'ffre the Storyteller - recovering an ancient saga is preserving the first-story tradition itself; his strongest bardic beat; s200 already watched (Akatosh/Dibella/Julianos/Xarxes/Mora)."
BQ02,Bounty: Forsworn,200,Killed a Forsworn leader under a hold bounty and collected the reward.,uphold_law_justice,Akatosh,+,m,small,"cross-gen candidate: uphold_law_justice(m) from the Akatosh Part B profile, stepped down; owner-approved official-content retrospective 2026-08-12"
BQ02,Bounty: Forsworn,200,Killed a Forsworn leader under a hold bounty and collected the reward.,uphold_law_justice,Auri-El,+,m,small,"cross-gen candidate: uphold_law_justice(m) from the Auri-El Part B profile, stepped down; owner-approved official-content retrospective 2026-08-12"
BQ02,Bounty: Forsworn,200,Killed a Forsworn leader under a hold bounty and collected the reward.,kill_honorable_combat,Hircine,+,m,small,"cross-gen candidate: kill_honorable_combat(S) from the Hircine Part B profile, stepped down; owner-approved official-content retrospective 2026-08-12"
BQ02,Bounty: Forsworn,200,Killed a Forsworn leader under a hold bounty and collected the reward.,kill_honorable_combat,HoonDing,+,m,small,"cross-gen candidate: kill_honorable_combat(m) from the HoonDing Part B profile, stepped down; owner-approved official-content retrospective 2026-08-12"
BQ02,Bounty: Forsworn,200,Killed a Forsworn leader under a hold bounty and collected the reward.,uphold_law_justice,Julianos,+,m,small,"cross-gen candidate: uphold_law_justice(S) from the Julianos Part B profile, stepped down; owner-approved official-content retrospective 2026-08-12"
BQ02,Bounty: Forsworn,200,Killed a Forsworn leader under a hold bounty and collected the reward.,kill_honorable_combat,Kyne,+,m,small,"cross-gen candidate: kill_honorable_combat(S) from the Kyne Part B profile, stepped down; owner-approved official-content retrospective 2026-08-12"
BQ02,Bounty: Forsworn,200,Killed a Forsworn leader under a hold bounty and collected the reward.,kill_honorable_combat,Leki,+,m,small,"cross-gen candidate: kill_honorable_combat(S) from the Leki Part B profile, stepped down; owner-approved official-content retrospective 2026-08-12"
BQ02,Bounty: Forsworn,200,Killed a Forsworn leader under a hold bounty and collected the reward.,kill_honorable_combat,Malacath,+,m,small,"cross-gen candidate: kill_honorable_combat(S) from the Malacath Part B profile, stepped down; owner-approved official-content retrospective 2026-08-12"
BQ02,Bounty: Forsworn,200,Killed a Forsworn leader under a hold bounty and collected the reward.,kill_honorable_combat,Mehrunes Dagon,+,m,small,"cross-gen candidate: kill_honorable_combat(m) from the Mehrunes Dagon Part B profile, stepped down; owner-approved official-content retrospective 2026-08-12"
BQ02,Bounty: Forsworn,200,Killed a Forsworn leader under a hold bounty and collected the reward.,uphold_law_justice,Namira,-,m,small,"cross-gen candidate: uphold_law_justice(m) from the Namira Part B profile, stepped down; owner-approved official-content retrospective 2026-08-12"
BQ02,Bounty: Forsworn,200,Killed a Forsworn leader under a hold bounty and collected the reward.,uphold_law_justice,Sheogorath,-,m,small,"cross-gen candidate: uphold_law_justice(m) from the Sheogorath Part B profile, stepped down; owner-approved official-content retrospective 2026-08-12"
BQ02,Bounty: Forsworn,200,Killed a Forsworn leader under a hold bounty and collected the reward.,kill_honorable_combat,Shor,+,S,small,"cross-gen candidate: kill_honorable_combat(C) from the Shor Part B profile, stepped down; owner-approved official-content retrospective 2026-08-12"
BQ02,Bounty: Forsworn,200,Killed a Forsworn leader under a hold bounty and collected the reward.,uphold_law_justice,Sithis,-,m,small,"cross-gen candidate: uphold_law_justice(m) from the Sithis Part B profile, stepped down; owner-approved official-content retrospective 2026-08-12"
BQ02,Bounty: Forsworn,200,Killed a Forsworn leader under a hold bounty and collected the reward.,uphold_law_justice,Stendarr,+,m,small,"cross-gen candidate: uphold_law_justice(S) from the Stendarr Part B profile, stepped down; owner-approved official-content retrospective 2026-08-12"
BQ02,Bounty: Forsworn,200,Killed a Forsworn leader under a hold bounty and collected the reward.,uphold_law_justice,Stuhn,+,m,small,"cross-gen candidate: uphold_law_justice(m) from the Stuhn Part B profile, stepped down; owner-approved official-content retrospective 2026-08-12"
BQ02,Bounty: Forsworn,200,Killed a Forsworn leader under a hold bounty and collected the reward.,kill_honorable_combat,Talos,+,m,small,"cross-gen candidate: kill_honorable_combat(S) from the Talos Part B profile, stepped down; owner-approved official-content retrospective 2026-08-12"
BQ02,Bounty: Forsworn,200,Killed a Forsworn leader under a hold bounty and collected the reward.,kill_honorable_combat,Trinimac,+,m,small,"cross-gen candidate: kill_honorable_combat(S) from the Trinimac Part B profile, stepped down; owner-approved official-content retrospective 2026-08-12"
BQ02,Bounty: Forsworn,200,Killed a Forsworn leader under a hold bounty and collected the reward.,kill_honorable_combat,Tsun,+,m,small,"cross-gen candidate: kill_honorable_combat(S) from the Tsun Part B profile, stepped down; owner-approved official-content retrospective 2026-08-12"
BQ02,Bounty: Forsworn,200,Killed a Forsworn leader under a hold bounty and collected the reward.,uphold_law_justice,Vaermina,-,m,small,"cross-gen candidate: uphold_law_justice(m) from the Vaermina Part B profile, stepped down; owner-approved official-content retrospective 2026-08-12"
BQ02,Bounty: Forsworn,200,Killed a Forsworn leader under a hold bounty and collected the reward.,uphold_law_justice,Z'en,+,m,small,"cross-gen candidate: uphold_law_justice(S) from the Z'en Part B profile, stepped down; owner-approved official-content retrospective 2026-08-12"
BQ02,Bounty: Forsworn,200,Killed a Forsworn leader under a hold bounty and collected the reward.,uphold_law_justice,Zenithar,+,m,small,"cross-gen candidate: uphold_law_justice(m) from the Zenithar Part B profile, stepped down; owner-approved official-content retrospective 2026-08-12"
BQ03,Bounty: Giant,200,Killed a giant under a hold bounty and collected the reward.,uphold_law_justice,Akatosh,+,m,small,"cross-gen candidate: uphold_law_justice(m) from the Akatosh Part B profile, stepped down; owner-approved official-content retrospective 2026-08-12"
BQ03,Bounty: Giant,200,Killed a giant under a hold bounty and collected the reward.,uphold_law_justice,Auri-El,+,m,small,"cross-gen candidate: uphold_law_justice(m) from the Auri-El Part B profile, stepped down; owner-approved official-content retrospective 2026-08-12"
BQ03,Bounty: Giant,200,Killed a giant under a hold bounty and collected the reward.,kill_honorable_combat,Hircine,+,m,small,"cross-gen candidate: kill_honorable_combat(S) from the Hircine Part B profile, stepped down; owner-approved official-content retrospective 2026-08-12"
BQ03,Bounty: Giant,200,Killed a giant under a hold bounty and collected the reward.,kill_honorable_combat,HoonDing,+,m,small,"cross-gen candidate: kill_honorable_combat(m) from the HoonDing Part B profile, stepped down; owner-approved official-content retrospective 2026-08-12"
BQ03,Bounty: Giant,200,Killed a giant under a hold bounty and collected the reward.,uphold_law_justice,Julianos,+,m,small,"cross-gen candidate: uphold_law_justice(S) from the Julianos Part B profile, stepped down; owner-approved official-content retrospective 2026-08-12"
BQ03,Bounty: Giant,200,Killed a giant under a hold bounty and collected the reward.,kill_honorable_combat,Kyne,+,m,small,"cross-gen candidate: kill_honorable_combat(S) from the Kyne Part B profile, stepped down; owner-approved official-content retrospective 2026-08-12"
BQ03,Bounty: Giant,200,Killed a giant under a hold bounty and collected the reward.,kill_honorable_combat,Leki,+,m,small,"cross-gen candidate: kill_honorable_combat(S) from the Leki Part B profile, stepped down; owner-approved official-content retrospective 2026-08-12"
