"editor_id","quest_name","outcome_stage","outcome","act_tags","citation","formid","evidence_tier","branch_note"
"FreeformMarkarthM","Search and Seizure","200","Delivered evidence of Ogmund's Talos worship to the Thalmor.","persecute_religious_worship","Skyrim.esm direct QUST read: objectives require finding Ogmund's Talos amulet and bringing it to Ondolemar; s200 is the terminal position but carries no text or completion flag; RUNTIME-VERIFY.","Skyrim.esm:064798","C","OWNER-APPROVED 2026-08-12: persecute_religious_worship. Positional terminal remains RUNTIME-VERIFY."
"FreeformMarkarthN","Coated in Blood","200","Brought a Daedra's Heart to Moth gro-Bagol for his smithing work.","civic_service","Skyrim.esm direct QUST read: objective requires bringing a Daedra's Heart to Moth; s200 is the terminal position without journal text; RUNTIME-VERIFY.","Skyrim.esm:0647B3","C","Commission/helping-work reading only; do not infer Daedric service from the ingredient. RUNTIME-VERIFY."
"FreeformStonehillsA","Payment Delivery","20","Completed a payment delivery for Stonehills and reported to Bryling.","civic_service","Skyrim.esm direct QUST read: quest name is Payment Delivery; objective says Speak with Bryling; s20 carries CompleteQuest; RUNTIME-VERIFY.","Skyrim.esm:064958","B","Completion is flagged but journal text is absent."
"FreeformRiftenThane","I Done Got Thaned!","200","Was named Thane of the Rift after service to the hold.","civic_service","Skyrim.esm direct QUST read: quest is I Done Got Thaned!; objectives lead through Honeyside purchase and returning to the Jarl; s200 is the terminal position; RUNTIME-VERIFY.","Skyrim.esm:065BDF","C","Existing outcome inventory independently identifies s200 as the thaneship completion. RUNTIME-VERIFY."
"FreeformRiften19","Bloody Nose","200","Defeated Hofgrir in an agreed unarmed brawl.","honorable_duel,prove_by_struggle","Skyrim.esm direct QUST read: objective is Defeat Hofgrir in an unarmed brawl; s200 is the likely success terminal but has no completion flag or journal; RUNTIME-VERIFY.","Skyrim.esm:065C30","C","RUNTIME-VERIFY s200 rather than alternate s250."
"FreeformOldHroldanB","The Ghost of Old Hroldan","100","Returned Hjalti's Sword to the Ghost of Old Hroldan.","honor_the_dead","Skyrim.esm direct QUST read: objective says Bring Hjalti's Sword to the Ghost of Old Hroldan; s100 is the terminal position without completion flag; RUNTIME-VERIFY.","Skyrim.esm:06819A","C","RUNTIME-VERIFY."
"FreeformKynesgroveA","Dravynea's Frost Salts","200","Brought Frost Salts to Dravynea.","civic_service","Skyrim.esm direct QUST read: objective requires bringing Frost Salts to the quest giver; s200 is terminal but unflagged; RUNTIME-VERIFY.","Skyrim.esm:069043","C","RUNTIME-VERIFY."
"MGRArniel01","Arniel's Endeavor","200","Delivered ten Dwarven cogs to help Arniel Gane's research project.","civic_service","Skyrim.esm direct QUST read: s200 CompleteQuest says the player gave Arniel the requested cogs and he was grateful.","Skyrim.esm:06A086","A","One completed research-assistance errand."
"MGRArniel02","Arniel's Endeavor","200","Recovered a staff and completed the trade between Enthir and Arniel.","civic_service","Skyrim.esm direct QUST read: s200 CompleteQuest says the player successfully completed the trade between Enthir and Arniel.","Skyrim.esm:06A08D","A","No theft tag: the record says acquire/recover, not steal."
"MGRArniel04","Arniel's Endeavor","200","Helped Arniel complete the Keening experiment that made him vanish.","forbidden_knowledge,reckless_magic","Skyrim.esm direct QUST read: s40 says the player supplied Keening and observed the experiment; s200 CompleteQuest says Arniel vanished during it.","Skyrim.esm:06A119","A","The player materially enabled and witnessed the dangerous experiment."
"MQ105Ustengrav","The Horn of Jurgen Windcaller","60","Completed the Greybeards' final trial and was formally greeted as Dragonborn.","prove_by_struggle,keep_oath","Skyrim.esm direct QUST read: s60 CompleteQuest explicitly says the horn was returned, the final trial completed, and the Greybeards formally greeted the player as Dragonborn.","Skyrim.esm:0713DC","A","REPAIR: retain only directly evidenced trial/discipline tags; broad T11 fan-out is unsupported."
"RelationshipMarriageWedding","Wedding Ceremony Scene","100","Completed the wedding ceremony at the Temple of Mara.","marriage_family","Skyrim.esm direct QUST/INFO/VMAD reads: the wedding quest links the Temple of Mara, wedding scene, Bonds of Matrimony ring, love-interest alias, and marriage factions; s100 is a scripted ceremony position without journal text; RUNTIME-VERIFY.","Skyrim.esm:07404E","C","Owner already ruled marriage eligible. Exact s100 fire position remains RUNTIME-VERIFY."
"FreeformMarkarthE","Lisbet's Missing Shipment","20","Recovered Lisbet's Dibella statue shipment from a Forsworn camp.","aesthetic_devotion,civic_service","Skyrim.esm direct QUST read: objectives require retrieving Lisbet's shipment and bringing the Dibella Statue to her; s20 is terminal but unflagged; RUNTIME-VERIFY.","Skyrim.esm:0753A1","C","RUNTIME-VERIFY."
