editor_id,quest_name,outcome_stage,outcome,act_tags,citation,formid,evidence_tier,branch_note
0_FloatingSwordQuest01,There Is No Umbra,60,Kept the reforged Daedric blade Daumbra for himself and spared her rather than destroy her.,"mercy_spare,acquire_daedric_artifact:clavicus","stage 60 journal: ""Daumbra is mine. She doesn't seem to remember her previous life as Umbra. It's for the best. Let's have a new start.""",FloatingSwordFollower.esp:0171EE,A,Branch 1 of 2 mutually-exclusive endings: keep/spare (s60) vs destroy (s75).
0_FloatingSwordQuest01,There Is No Umbra,75,"Killed Daumbra with the Daumbra Killer dagger, destroying the reforged Umbra.",destroy_reject_daedra:clavicus,"stage 75 journal: ""Daumbra is dead. This doesn't pay back for all the evil she did as Umbra... but it's all I could do.""",FloatingSwordFollower.esp:0171EE,A,Branch 2 of 2 mutually-exclusive endings: destroy (s75) vs keep/spare (s60).
0_FloatingSwordQuest02,She Trusted You,55,"Handed Daumbra over to Clavicus Vile to be re-absorbed, surrendering the companion who trusted him.","serve_a_daedra:clavicus,break_oath_betray","stage 55 journal: ""I decided to let Clavicus re-absorb Daumbra. It wasn't meant to be.""",FloatingSwordFollower.esp:03EBF3,A,Branch 1 of 3 (surrender to Clavicus); resolves at terminal s56.
0_FloatingSwordQuest02,She Trusted You,56,Let Clavicus Vile take Daumbra and carried her lifeless body as a greatsword afterward.,"serve_a_daedra:clavicus,break_oath_betray","stage 56 journal: ""I carry Daumbra's lifeless body, and wield it like a greatsword now. It's still full of power. But I will never forget that she trusted me.""",FloatingSwordFollower.esp:03EBF3,A,Terminal of the s55 surrender branch; shares its flavour text with terminal s70 (kill branch).
0_FloatingSwordQuest02,She Trusted You,70,Killed Daumbra himself with the Daumbra Killer dagger to deny Clavicus Vile her soul.,"destroy_reject_daedra:clavicus,murder_treacherous","stage 70 journal: ""I carry Daumbra's lifeless body, and wield it like a greatsword now. It's still full of power. But I will never forget that she trusted me."" (reached via s60 obj: ""Use the 'Daumbra Killer' Dagger to Kill Daumbra"")",FloatingSwordFollower.esp:03EBF3,A,Terminal of the kill branch (s60 -> s70); mutually exclusive with s56 and s100.
0_FloatingSwordQuest02,She Trusted You,90,Traded ten dragon souls to Clavicus Vile in exchange for Daumbra.,serve_a_daedra:clavicus,"stage 90 journal: ""I have traded ten dragon souls to Clavicus Vile in exchange for Daumbra. It's time to get her back.""",FloatingSwordFollower.esp:03EBF3,A,Bargain leg of the Dragonborn branch (s80-s100).
0_FloatingSwordQuest02,She Trusted You,91,"Pledged both himself and Daumbra to Clavicus Vile, promising him every soul they take.",serve_a_daedra:clavicus,"stage 91 journal: ""I have pledged both myself and Daumbra to Clavicus Vile. Every soul we take, shall go to him.""",FloatingSwordFollower.esp:03EBF3,A,Alternate price paid on the Dragonborn branch.
0_FloatingSwordQuest02,She Trusted You,100,Won Daumbra back from Clavicus Vile and kept faith with the companion who trusted him.,"keep_oath,serve_a_daedra:clavicus","stage 100 journal: ""Daumbra is back with me, and Clavicus Vile will never bother her again. As long as he keeps his word... Also... she loves me.""",FloatingSwordFollower.esp:03EBF3,A,"Branch 3 of 3, terminal; mutually exclusive with s56 and s70."
0_FloatingSwordQuest02,She Trusted You,110,Killed Daumbra outright.,"murder_treacherous,break_oath_betray","stage 110 journal: ""I've killed Daumbra. It's over.""",FloatingSwordFollower.esp:03EBF3,A,Non-terminal alternate outcome (not flagged COMPLETE); same kill act as s70 reached another way.
0_FloatingSwordQuest03,There Is An Umbra,30,"Merged Elhul's blade back into Daumbra at the Atronach Forge, restoring a piece of Umbra to her.","master_craft_forge,forbidden_knowledge","stage 30 journal: ""I've merged Daumbra with Elhul's blade. Did I do the right thing?"" (act ordered at s27 obj: ""Merge Daumbra with Elhul's blade at the Atronach Forge"")",FloatingSwordFollower.esp:0BD61A,A,"Single outcome; the merge is the act, s30 is its completion."
0_FloatingSwordQuest03,There Is An Umbra,160,Harvested body parts from ten female corpses to build Daumbra a flesh-and-blood body.,"desecrate_the_dead,necromancy","stage 160 journal: ""I've collected enough body parts for Naenra. We must return to her and see what she has prepared."" (act at s150 obj: ""Use Naenra's spell on 10 female corpses to gather parts for Daumbra's body"")",FloatingSwordFollower.esp:0BD61A,A,First harvest; the refusal alternative surfaces later at s195/s305.
0_FloatingSwordQuest03,There Is An Umbra,190,Harvested ten more corpses so Daumbra could permanently inhabit human bodies.,"desecrate_the_dead,necromancy","stage 190 journal: ""Daumbra is now capable to permanently inhabit flesh-and-blood bodies. We should return to Naenra and learn what she meant when she said 'final chapter'.""",FloatingSwordFollower.esp:0BD61A,A,Second harvest; mutually exclusive with the refusal at s195.
0_FloatingSwordQuest03,There Is An Umbra,195,Refused to let Daumbra take over human bodies and stopped the corpse harvest.,honor_the_dead,"stage 195 journal: ""I didn't want Daumbra to be able to take over human bodies. We should return to Naenra and learn what else she has in mind for us.""",FloatingSwordFollower.esp:0BD61A,A,"Refusal branch, mutually exclusive with s190; terminal form at s305."
0_FloatingSwordQuest03,There Is An Umbra,260,Sacrificed his own soul in place of Clavicus' godflesh so Daumbra would be free of both Clavicus and the Ideal Masters.,"ritual_sacrifice,destroy_reject_daedra:clavicus","stage 260 journal: ""I have sacrificed myself, so that Daumbra will neither have the Ideal Masters nor Clavicus inside of her.""",FloatingSwordFollower.esp:0BD61A,A,Self-sacrifice branch (decided at s247); mutually exclusive with the Naenra-godflesh path at s240.
0_FloatingSwordQuest03,There Is An Umbra,280,"Went to Daumbra and healed her, standing as her light so she could win the battle inside herself.",heal_comfort,"stage 280 journal: ""Daumbra has defeated Umbra, within her. The battle is won!"" (act at s270 obj: ""You are the light in Daumbra's darkness. Go to her and heal her!"")",FloatingSwordFollower.esp:0BD61A,A,"Victory branch, mutually exclusive with the Umbra-triumphant path at s310."
0_FloatingSwordQuest03,There Is An Umbra,290,Stayed with Daumbra after she overcame Umbra.,keep_oath,"stage 290 journal: ""No matter what the future holds in store for us... Daumbra's story with me has only just begun.""",FloatingSwordFollower.esp:0BD61A,A,"Terminal, good ending; one of six mutually-exclusive terminals."
0_FloatingSwordQuest03,There Is An Umbra,300,Gave up the companion who loved him so the world would be safe from the thing inside her.,arcane_restraint,"stage 300 journal: ""In the end, I didn't love Daumbra as much as she loved me. I hope she finds peace somehow. And at least the world is safe from the threat of Umbra. I... did the right thing.""",FloatingSwordFollower.esp:0BD61A,A,Owner-approved renunciation of dangerous supernatural power; terminal and mutually exclusive with s290.
0_FloatingSwordQuest03,There Is An Umbra,305,"Refused to harvest human bodies on principle, leaving Daumbra a sword.",honor_the_dead,"stage 305 journal: ""In the end, I didn't want to pursue a gruesome exercise in harvesting human bodies. It's just not in my values. Daumbra will have to remain a sword. Although... it seems she no longer likes me as much.""",FloatingSwordFollower.esp:0BD61A,A,Terminal of the s195 refusal branch.
0_FloatingSwordQuest03,There Is An Umbra,310,"Killed Naenra while carrying Umbra, letting Umbra's reign begin.","murder_treacherous,break_oath_betray","stage 310 journal: ""Naenra is dead. Now nothing can stop me. After aeons in exile, I have now returned, and not even Clavicus could stand in my way! Let the reign of Umbra begin!"" (act at s252 obj: ""Don't kill Naenra! She's trying to save you!"")",FloatingSwordFollower.esp:0BD61A,A,Terminal Umbra-triumphant branch; mutually exclusive with s280/s290.
