editor_id,quest_name,outcome_stage,outcome,act_tags,deity,valence,intensity,magnitude,citation,formid
SU04SachilFollower_A6_ScaredDungeon,Sa'chil's Fear of Ruins,20,Comforted Sa'chil through her fear of caves and ruins.,heal_comfort,Mara,+,S,small,"s20 journal: ""You talked to Sa'chil about her irrational fear and she feels better now. She won't be scared of caves or ruins now. She appreciates it a lot!"" cross-gen KEEP: heal_comfort(C) from the Mara Part B profile, stepped down",SU04SachilFollower.esp:32D315
SU04SachilFollower_A6_ScaredDungeon,Sa'chil's Fear of Ruins,20,Comforted Sa'chil through her fear of caves and ruins.,heal_comfort,Dibella,+,m,small,"s20 journal: ""You talked to Sa'chil about her irrational fear and she feels better now. She won't be scared of caves or ruins now. She appreciates it a lot!"" cross-gen KEEP: heal_comfort(S) from the Dibella Part B profile, stepped down",SU04SachilFollower.esp:32D315
SU04SachilFollower_A6_ScaredDungeon,Sa'chil's Fear of Ruins,20,Comforted Sa'chil through her fear of caves and ruins.,heal_comfort,Kynareth,+,m,small,"s20 journal: ""You talked to Sa'chil about her irrational fear and she feels better now. She won't be scared of caves or ruins now. She appreciates it a lot!"" cross-gen KEEP: heal_comfort(m) from the Kynareth Part B profile, stepped down",SU04SachilFollower.esp:32D315
SU04SachilFollower_A6_ScaredDungeon,Sa'chil's Fear of Ruins,20,Comforted Sa'chil through her fear of caves and ruins.,heal_comfort,The Hist,+,m,small,"s20 journal: ""You talked to Sa'chil about her irrational fear and she feels better now. She won't be scared of caves or ruins now. She appreciates it a lot!"" cross-gen KEEP: heal_comfort(m) from the The Hist Part B profile, stepped down",SU04SachilFollower.esp:32D315
SU04SachilFollower_B6_RomancePicnic,Groveside Picnic,12,Shared a quiet picnic with Sa'chil and strengthened the relationship.,marriage_family,Mara,+,S,small,"s12 [COMPLETE] journal: ""I sat together with her and talked for a bit. I hope it was succesfull in strengthening our bond."" cross-gen KEEP: marriage_family(C) from the Mara Part B profile, stepped down",SU04SachilFollower.esp:CD08D4
SU04SachilFollower_B6_RomancePicnic,Groveside Picnic,12,Shared a quiet picnic with Sa'chil and strengthened the relationship.,marriage_family,Dibella,+,m,small,"s12 [COMPLETE] journal: ""I sat together with her and talked for a bit. I hope it was succesfull in strengthening our bond."" cross-gen KEEP: marriage_family(m) from the Dibella Part B profile, stepped down",SU04SachilFollower.esp:CD08D4
SU04SachilFollower_B8_Marriage,Marriage,100,Married Sa'chil and established a shared household.,marriage_family,Mara,+,S,small,"s100 journal: ""Marriage finished, married""; the record's CompleteQuest flag sits earlier at s33, so this later explicit marriage state is used and must be runtime-confirmed. RUNTIME-VERIFY cross-gen KEEP: marriage_family(C) from the Mara Part B profile, stepped down",SU04SachilFollower.esp:B4F743
SU04SachilFollower_B8_Marriage,Marriage,100,Married Sa'chil and established a shared household.,marriage_family,Dibella,+,m,small,"s100 journal: ""Marriage finished, married""; the record's CompleteQuest flag sits earlier at s33, so this later explicit marriage state is used and must be runtime-confirmed. RUNTIME-VERIFY cross-gen KEEP: marriage_family(m) from the Dibella Part B profile, stepped down",SU04SachilFollower.esp:B4F743
SU04SachilFollower_D3_TheKhajiitReturns,The Khajiit Returns,20,Helped Sa'chil deceive Whiterun's guard into accepting a fabricated authorization.,deceit,Baan Dar,+,S,small,"s5 journal: ""Her plan is to manipulate a guard into believing there is a new 'Capital captain' who gave her clearance""; s20 [COMPLETE]: ""The message will be spread, and Sa'chil is now welcome in Skyrim."" cross-gen KEEP: deceit(C) from the Baan Dar Part B profile, stepped down",SU04SachilFollower.esp:85205E
SU04SachilFollower_D3_TheKhajiitReturns,The Khajiit Returns,20,Helped Sa'chil deceive Whiterun's guard into accepting a fabricated authorization.,deceit,Rajhin,+,m,small,"s5 journal: ""Her plan is to manipulate a guard into believing there is a new 'Capital captain' who gave her clearance""; s20 [COMPLETE]: ""The message will be spread, and Sa'chil is now welcome in Skyrim."" cross-gen KEEP: deceit(S) from the Rajhin Part B profile, stepped down",SU04SachilFollower.esp:85205E
