race,moment,moment_order,deity_tone,slot_id,surface,surfacing,voice,budget_target,budget_hard,char_count,over_budget,trigger,draft_prose,edit
Mephala,Boon -- Seeker (Tier 1),10,"Mephala (Daedric path): Whispering, sidelong, web-voiced; speaks of secrets kept and bonds spun and cut; never raises her voice because she does not need to; offers corruption as intimacy. The web is social and the violence is personal -- not a thief's skill, a spider's patience.",PDV_Bless_Daedric_Mephala_Seeker,Boon description,Quiet,Narrator,140,200,116,,Passive blessing description; visible whenever the player views active effects.,"Mephala spins you a first thread. Secrets find their way to you, and a hidden path opens where others see only wall.",
Mephala,Boon -- Devoted (Tier 2),11,"Mephala (Daedric path): Whispering, sidelong, web-voiced; speaks of secrets kept and bonds spun and cut; never raises her voice because she does not need to; offers corruption as intimacy. The web is social and the violence is personal -- not a thief's skill, a spider's patience.",PDV_Bless_Daedric_Mephala_Devoted,Boon description,Quiet,Narrator,140,200,139,,Passive blessing description; visible whenever the player views active effects.,Mephala's web is yours to read. Hidden loyalties and unseen routes reveal themselves; what is whispered in one room reaches you in another.,
Mephala,Boon -- Champion (Tier 3),12,"Mephala (Daedric path): Whispering, sidelong, web-voiced; speaks of secrets kept and bonds spun and cut; never raises her voice because she does not need to; offers corruption as intimacy. The web is social and the violence is personal -- not a thief's skill, a spider's patience.",PDV_Bless_Daedric_Mephala_Champion,Boon description,Quiet,Narrator,140,200,152,,Passive blessing description; visible whenever the player views active effects.,"Mephala names you of the web. The network is yours -- leverage over the connected, passage through the closed, and the quiet knowledge of who owes whom.",
Mephala,Price -- Seeker (Tier 1),20,"Mephala (Daedric path): Whispering, sidelong, web-voiced; speaks of secrets kept and bonds spun and cut; never raises her voice because she does not need to; offers corruption as intimacy. The web is social and the violence is personal -- not a thief's skill, a spider's patience.",PDV_Price_Daedric_Mephala_Seeker,Price description,Quiet,Narrator,140,200,137,,Passive price description (paired with the boon); visible whenever the player views active effects.,The price of the web: corruption seeps in. The secrets you gather stain the gathering; trust given to you frays a little for the knowing.,
Mephala,Price -- Devoted (Tier 2),21,"Mephala (Daedric path): Whispering, sidelong, web-voiced; speaks of secrets kept and bonds spun and cut; never raises her voice because she does not need to; offers corruption as intimacy. The web is social and the violence is personal -- not a thief's skill, a spider's patience.",PDV_Price_Daedric_Mephala_Devoted,Price description,Quiet,Narrator,140,200,150,,Passive price description (paired with the boon); visible whenever the player views active effects.,"The price deepens: the web demands feeding. Hidden violence and quiet betrayal are its currency, and Mephala's advantage dims if the threads go slack.",
Mephala,Price -- Champion (Tier 3),22,"Mephala (Daedric path): Whispering, sidelong, web-voiced; speaks of secrets kept and bonds spun and cut; never raises her voice because she does not need to; offers corruption as intimacy. The web is social and the violence is personal -- not a thief's skill, a spider's patience.",PDV_Price_Daedric_Mephala_Champion,Price description,Quiet,Narrator,140,200,151,,Passive price description (paired with the boon); visible whenever the player views active effects.,"The full price: you are a knot in the web, not its master. Every bond you hold holds you; the corruption you spread runs back along the threads to you.",
Mephala,Tier-up -- Seeker,30,"Mephala (Daedric path): Whispering, sidelong, web-voiced; speaks of secrets kept and bonds spun and cut; never raises her voice because she does not need to; offers corruption as intimacy. The web is social and the violence is personal -- not a thief's skill, a spider's patience.",PDV_Notif_Daedric_Mephala_SeekerEntry,Notification,Noted,Narrator,60,80,39,,HUD corner notification. One per save.,Mephala counts you a Seeker of the web.,
Mephala,Tier-up -- Devoted,31,"Mephala (Daedric path): Whispering, sidelong, web-voiced; speaks of secrets kept and bonds spun and cut; never raises her voice because she does not need to; offers corruption as intimacy. The web is social and the violence is personal -- not a thief's skill, a spider's patience.",PDV_Notif_Daedric_Mephala_DevotedEntry,Notification,Marked,Narrator,60,80,40,,HUD corner notification. One per save.,Mephala draws you into the web. Devoted.,
Mephala,Tier-down (lapse),32,"Mephala (Daedric path): Whispering, sidelong, web-voiced; speaks of secrets kept and bonds spun and cut; never raises her voice because she does not need to; offers corruption as intimacy. The web is social and the violence is personal -- not a thief's skill, a spider's patience.",PDV_Notif_Daedric_Mephala_Lapse,Notification,Noted,Narrator,60,80,52,,HUD corner notification. One per direction per save.,Mephala's threads loosen. The web's advantage thins.,
Mephala,Champion recognition (MessageBox),33,"Mephala (Daedric path): Whispering, sidelong, web-voiced; speaks of secrets kept and bonds spun and cut; never raises her voice because she does not need to; offers corruption as intimacy. The web is social and the violence is personal -- not a thief's skill, a spider's patience.",PDV_Msg_Daedric_Mephala_ChampionEntry,MessageBox,Marked,God-voice,280,500,13+232,,MessageBox. One-time on first Champion tier.,"Title: ""Mephala's Web"" Body: ""You learned that everything is connected, and that the one who holds the threads holds the room. I do not shout; neither should you. You are of the web now, Champion -- and the web is never set down cleanly. Pull, and see who moves.""",
