race,moment,moment_order,deity_tone,slot_id,surface,surfacing,voice,budget_target,budget_hard,char_count,over_budget,trigger,draft_prose,edit
Redguard,First blessing (Tier 1),10,,PDV_Bless_Redguard_Yokudan_T1,Blessing description,Quiet,Narrator,140,200,184,,Passive blessing description; visible whenever the player views active effects.,Satakal's cycle is acknowledged and Tu'whacca's guidance sought. Your resistance to disease rises by 10%; your one-handed attacks strike 3% harder; felling undead returns minor health.,
Redguard,Deepening blessing (Tier 2),11,,PDV_Bless_Redguard_Crown_T2,Blessing description,Quiet,Narrator,140,200,129,,Passive blessing description; visible whenever the player views active effects.,The Yokudan gods recognize a kept orthodoxy. Honorable combat sharpens your blade for a time; tomb sites draw the ancestors near.,
Redguard,Deepening blessing (Tier 2),11,,PDV_Bless_Redguard_Forebear_T2,Blessing description,Quiet,Narrator,140,200,138,,Passive blessing description; visible whenever the player views active effects.,The Yokudan gods recognize the way made in exile. Surviving hard odds or a long road returns stamina; honored contracts earn Tava's favor.,
Redguard,Deepening blessing (Tier 2),11,,PDV_Bless_Redguard_AshAbah_T2,Blessing description,Quiet,Narrator,140,200,129,,Passive blessing description; visible whenever the player views active effects.,The Yokudan gods recognize the unclean duty borne. Cleansing a tomb restores full health on next rest; undead deal 15% less harm.,
Redguard,Devoted blessing (Tier 3),12,"Satakal: The Worldskin; vast, cyclical; speaks of the shedding, of creation and destruction as one motion, of death as correct when its time has come.",PDV_Bless_Redguard_Satakal_T3,Blessing description,Quiet,Narrator,140,200,138,,Passive blessing description; visible whenever the player views active effects.,Satakal sheds the Worldskin around you. A quest of cosmic or generational stakes returns a day of fear resistance and health regeneration.,
Redguard,Devoted blessing (Tier 3),12,,PDV_Bless_Redguard_Tuwhacca_T3,Blessing description,Quiet,Narrator,140,200,156,,Passive blessing description; visible whenever the player views active effects.,"Tu'whacca draws the Far Shores nearer. Undead deal up to 25% less harm; a completed death-rite restores full health, and the dead feel present at the tombs.",
Redguard,Devoted blessing (Tier 3),12,"Ruptga: Tall Papa, the pathfinder; the first to find the Far Shores; speaks of the way charted and of survival as a sacred achievement.",PDV_Bless_Redguard_Ruptga_T3,Blessing description,Quiet,Narrator,140,200,115,,Passive blessing description; visible whenever the player views active effects.,Ruptga charts your way. Making a path through the impossible returns a day of steady bonus across your disciplines.,
Redguard,Devoted blessing (Tier 3),12,"Leki: Saint of the Spirit Sword; disciplined, exact; speaks of the blade as devotion, the honorable cut, the art learned with patience.",PDV_Bless_Redguard_Leki_T3,Blessing description,Quiet,Narrator,140,200,134,,Passive blessing description; visible whenever the player views active effects.,"Leki makes the blade discipline holy. Your one-handed attacks strike 8% harder, and honorable sword-work returns power-attack stamina.",
Redguard,Devoted blessing (Tier 3),12,"Tava: The bird-god of wind and passage; speaks of safe arrival, the road carried, the storm steered through.",PDV_Bless_Redguard_Tava_T3,Blessing description,Quiet,Narrator,140,200,155,,Passive blessing description; visible whenever the player views active effects.,Tava rides the wind with you. Storms no longer penalize the open road; sprinting drains 15% less stamina; a long journey's end restores health and stamina.,
Redguard,Devoted blessing (Tier 3),12,HoonDing: The Make-Way God; surges and does not linger; speaks only in the moment a way is forced where there was none.,PDV_Bless_Redguard_HoonDing_T3,Blessing description,Quiet,Narrator,140,200,108,,Passive blessing description; visible whenever the player views active effects.,"HoonDing makes the way. Once a week, an impossible-odds victory returns a day-long surge of combat strength.",
Redguard,Other,999,,PDV_Notif_Redguard_Observant_Entry,Notification,Noted,Narrator,60,80,38,,HUD corner notification. One per deity per save.,%s has marked your conduct. Observant.,
Redguard,Other,999,,PDV_Notif_Redguard_Faithful_Entry,Notification,Noted,Narrator,60,80,46,,HUD corner notification. One per deity per save; suppress-if-offer-same-dawn.,Your standing with %s is steady now. Faithful.,
Redguard,Other,999,,PDV_Notif_Redguard_Devoted_Entry,Notification,Marked,Narrator,60,80,61,,HUD corner notification. One per save; the patron's name.,"%s knows your name, and your ancestors speak of you. Devoted.",
Redguard,Other,999,,PDV_Notif_Redguard_Observant_Lapse,Notification,Noted,Narrator,60,80,46,,HUD corner notification. One per deity per direction per save.,Your standing with %s has slipped to Wavering.,
Redguard,Other,999,,PDV_Notif_Redguard_Faithful_Lapse,Notification,Noted,Narrator,60,80,39,,HUD corner notification. One per deity per direction per save.,The favor of %s is thinning. Observant.,
Redguard,Other,999,,PDV_Notif_Redguard_Devoted_Lapse,Notification,Marked,Narrator,60,80,55,,HUD corner notification. One per save per patron loss.,The bond with %s loosens. The Devoted bond is not held.,
Redguard,Sect entry (Redguard),100,,PDV_Notif_Redguard_Sect_Crown_Entry,Notification,Noted,Narrator,60,80,67,,HUD corner notification. On confirmed switch into Crown.,"You hold the Crown way: orthodoxy kept, the old inheritance intact.",
Redguard,Sect entry (Redguard),100,,PDV_Notif_Redguard_Sect_Forebear_Entry,Notification,Noted,Narrator,60,80,69,,HUD corner notification. On confirmed switch into Forebear.,You hold the Forebear way: Redguard identity carried among outsiders.,
Redguard,Sect entry (Redguard),100,,PDV_Notif_Redguard_Sect_AshAbah_Entry,Notification,Noted,Narrator,60,80,70,,HUD corner notification. On taking up the Ash'abah burden.,You take up the Ash'abah duty: the unclean work others will not touch.,
Redguard,Other,999,,PDV_Msg_Redguard_ChampionEntry_Crown,MessageBox,Marked,God-voice,280,500,20+184,,MessageBox. One-time on first Crown Devoted.,"Title: ""The Inheritance Kept"" Body: ""You carried the old way into exile and did not let it thin -- the blade, the bearing, the rites, all intact. The ancestors who died holding Hammerfell see their orthodoxy alive in you.""",
Redguard,Champion ambient line,31,,PDV_Notif_Redguard_Crown_ChampionAmbient_Tomb,Notification,Noted,Player-2nd,60,80,52,,HUD corner notification. Crown Devoted + tomb site; one per in-game day.,"At the tomb, the ancestors feel close and approving.",
Redguard,Other,999,,PDV_Msg_Redguard_ChampionEntry_Forebear,MessageBox,Marked,God-voice,280,500,12+169,,MessageBox. One-time on first Forebear Devoted.,"Title: ""The Way Made"" Body: ""You made a life in a province that was never yours, and stayed Redguard doing it. That is the way-making. The god who held the Alik'r line knows the same quality in you.""",
Redguard,Champion ambient line,31,,PDV_Notif_Redguard_Forebear_ChampionAmbient_Road,Notification,Noted,Player-2nd,60,80,55,,HUD corner notification. Forebear Devoted + hard passage; per qualifying event.,The road yields. HoonDing's way-making is in your step.,
Redguard,Other,999,,PDV_Msg_Redguard_ChampionEntry_AshAbah,MessageBox,Marked,God-voice,280,500,21+177,,MessageBox. One-time on first Ash'abah Devoted.,"Title: ""Burden-Bearer's Grace"" Body: ""You did the work your own people will not thank you for. You cleansed the unclean dead and bore the stigma. The god of the Far Shores is grateful, even where the living are not.""",
Redguard,Champion ambient line,31,,PDV_Notif_Redguard_AshAbah_ChampionAmbient_DeathSite,Notification,Noted,Player-2nd,60,80,49,,HUD corner notification. Ash'abah Devoted + major tomb or death site; one per in-game day.,"At the death-site, Tu'whacca's presence is close.",
Redguard,Drifting away (neglect),40,,PDV_Notif_Redguard_AncestorLayer_NeglectTexture,Notification,Noted,Player-2nd,60,80,71,,HUD corner notification. One per lapse-band crossing.,You have handled the dead carelessly. The Far Shores seem further away.,
