editor_id,quest_name,outcome_stage,outcome,act_tags,deity,valence,intensity,magnitude,citation,formid
CJ03RotBelowMQ,The Rot Below,120,Slew the Hierophant of Rot and foiled Namira's plan beneath Tamriel,defy_daedra,Namira,-,C,milestone,"Tier A stage log s90 'The Hierophant is dead... Namira's plan has been foiled'; Namira named in-quest; ruled 2026-07-16",CJ03Elroy.esp:02DA43
CJ03RotBelowMQ,The Rot Below,120,Slew the Hierophant of Rot and foiled Namira's plan beneath Tamriel,slay_undead,Arkay,+,C,milestone,"Tier A stage log s90 'The Hierophant is dead... Namira's plan has been foiled'; Namira named in-quest; ruled 2026-07-16",CJ03Elroy.esp:02DA43
CJ03RotBelowMQ,The Rot Below,120,Slew the Hierophant of Rot and foiled Namira's plan beneath Tamriel,slay_undead,Meridia,+,C,small,"Tier A stage log s90 'The Hierophant is dead... Namira's plan has been foiled'; Namira named in-quest; ruled 2026-07-16",CJ03Elroy.esp:02DA43
CJ03RotBelowMQ,The Rot Below,120,Slew the Hierophant of Rot and foiled Namira's plan beneath Tamriel,smite_corruption,Stendarr,+,S,small,"Tier A stage log s90 'The Hierophant is dead... Namira's plan has been foiled'; Namira named in-quest; ruled 2026-07-16",CJ03Elroy.esp:02DA43
CJ03RotBelowMQ,The Rot Below,120,Slew the Hierophant of Rot and foiled Namira's plan beneath Tamriel,slay_undead,Tu'whacca,+,S,small,"Tier A stage log s90 'The Hierophant is dead... Namira's plan has been foiled'; Namira named in-quest; ruled 2026-07-16",CJ03Elroy.esp:02DA43
CJ03RotBelowMQ,The Rot Below,120,Slew the Hierophant of Rot and foiled Namira's plan beneath Tamriel,slay_undead,Azura,+,m,small,"Tier A stage log s90 'The Hierophant is dead... Namira's plan has been foiled'; Namira named in-quest; ruled 2026-07-16",CJ03Elroy.esp:02DA43
CJ03RotBelowMQ,The Rot Below,120,Slew the Hierophant of Rot and foiled Namira's plan beneath Tamriel,slay_undead,Y'ffre,+,m,small,"Tier A stage log s90 'The Hierophant is dead... Namira's plan has been foiled'; Namira named in-quest; ruled 2026-07-16",CJ03Elroy.esp:02DA43
CJ03RotBelowMQ,The Rot Below,130,Slew the Hierophant of Rot and foiled Namira's plan beneath Tamriel,defy_daedra,Namira,-,C,milestone,"Tier A stage log s90 'The Hierophant is dead... Namira's plan has been foiled'; Namira named in-quest; ruled 2026-07-16",CJ03Elroy.esp:02DA43
CJ03RotBelowMQ,The Rot Below,130,Slew the Hierophant of Rot and foiled Namira's plan beneath Tamriel,slay_undead,Arkay,+,C,milestone,"Tier A stage log s90 'The Hierophant is dead... Namira's plan has been foiled'; Namira named in-quest; ruled 2026-07-16",CJ03Elroy.esp:02DA43
CJ03RotBelowMQ,The Rot Below,130,Slew the Hierophant of Rot and foiled Namira's plan beneath Tamriel,slay_undead,Meridia,+,C,small,"Tier A stage log s90 'The Hierophant is dead... Namira's plan has been foiled'; Namira named in-quest; ruled 2026-07-16",CJ03Elroy.esp:02DA43
CJ03RotBelowMQ,The Rot Below,130,Slew the Hierophant of Rot and foiled Namira's plan beneath Tamriel,smite_corruption,Stendarr,+,S,small,"Tier A stage log s90 'The Hierophant is dead... Namira's plan has been foiled'; Namira named in-quest; ruled 2026-07-16",CJ03Elroy.esp:02DA43
CJ03RotBelowMQ,The Rot Below,130,Slew the Hierophant of Rot and foiled Namira's plan beneath Tamriel,slay_undead,Tu'whacca,+,S,small,"Tier A stage log s90 'The Hierophant is dead... Namira's plan has been foiled'; Namira named in-quest; ruled 2026-07-16",CJ03Elroy.esp:02DA43
CJ03RotBelowMQ,The Rot Below,130,Slew the Hierophant of Rot and foiled Namira's plan beneath Tamriel,slay_undead,Azura,+,m,small,"Tier A stage log s90 'The Hierophant is dead... Namira's plan has been foiled'; Namira named in-quest; ruled 2026-07-16",CJ03Elroy.esp:02DA43
CJ03RotBelowMQ,The Rot Below,130,Slew the Hierophant of Rot and foiled Namira's plan beneath Tamriel,slay_undead,Y'ffre,+,m,small,"Tier A stage log s90 'The Hierophant is dead... Namira's plan has been foiled'; Namira named in-quest; ruled 2026-07-16",CJ03Elroy.esp:02DA43
CJ03RotBelowMQ,The Rot Below,120,Killed the lich Adabelle after freeing her soul,deny_a_second_chance,Mara,-,m,small,"Tier A stage log s120 CompleteQuest 'The lich Adabelle has been slain'; ruled 2026-07-16",CJ03Elroy.esp:02DA43
CJ03RotBelowMQ,The Rot Below,120,Killed the lich Adabelle after freeing her soul,slay_undead,Meridia,+,S,small,"Tier A stage log s120 CompleteQuest 'The lich Adabelle has been slain'; ruled 2026-07-16",CJ03Elroy.esp:02DA43
CJ03RotBelowMQ,The Rot Below,130,Freed Adabelle to live among mortals and chase her dream of becoming a bard,show_compassion,Mara,+,m,small,"Tier A stage log s130 CompleteQuest 'Adabelle has decided to live among mortals... Now she is free'; ruled 2026-07-16",CJ03Elroy.esp:02DA43
CJ03RotBelowMQ,The Rot Below,130,Freed Adabelle to live among mortals and chase her dream of becoming a bard,foster_art,Dibella,+,S,small,"Tier A stage log s130 CompleteQuest 'Adabelle has decided to live among mortals... Now she is free'; ruled 2026-07-16",CJ03Elroy.esp:02DA43
