editor_id,quest_name,outcome_stage,outcome,act_tags,deity,valence,intensity,magnitude,citation
T01,The Heart of Dibella,200,Rescued Fjotra the kidnapped Sybil child from the Forsworn and restored her to the Temple of Dibella,protect_the_weak,Stendarr,+,C,milestone,"T01 (023B6C): rescue Fjotra from Broken Tower Redoubt + escort to Temple (protect_the_weak C, terminal). UESP: The Heart of Dibella (completion-convention s200; exact stage pending wiring readback)"
T01,The Heart of Dibella,200,Cared for and restored the rescued Sybil child to Dibella's temple,heal_comfort,Dibella,+,S,small,"T01: return Fjotra + pray at Dibella's altar (heal_comfort S). Dibella is indifferent to the rescue/combat mechanics; her flagship is thin by design -> leans on Part D (Agent of Dibella, art/speech acts). UESP: The Heart of Dibella"
T01,The Heart of Dibella,200,Saved a kidnapped innocent child,protect_the_weak,Mara,+,m,small,"T01: rescued Fjotra (protect_the_weak m). UESP: The Heart of Dibella"
T01,The Heart of Dibella,200,Sheltered an innocent from harm,protect_the_weak,Kynareth,+,m,small,"T01: rescued Fjotra (protect_the_weak m). UESP: The Heart of Dibella"
t02,The Book of Love,200,Reunited three estranged couples for the Temple of Mara (incl. lovers parted by death),"marriage_family,heal_comfort",Mara,+,C,milestone,"t02 (0211D5): reunite Fastred/Bassianus (Ivarstead), Calcelmo/Faleen (Markarth), and the war-dead Ruki/Fenrig (Gjukar's Monument); rewarded Agent of Mara (marriage_family C + heal_comfort C, terminal). UESP: The Book of Love (completion-convention s200)"
t02,The Book of Love,200,Helped the spirits of two war-dead lovers find each other and rest,honor_the_dead,Arkay,+,C,small,"t02: final task reunites Ruki & Fenrig (slain at Gjukar's Monument) beyond death (honor_the_dead C; intermediate to Arkay's own domain -> small). UESP: The Book of Love"
T03,The Blessings of Nature,200,"Restored the sacred Gildergreen, holy tree of Kynareth in Whiterun",honor_the_wild,Kynareth,+,C,milestone,"T03 (01C48E): returned Eldergleam sap/sapling to Danica Pure-Spring; the Gildergreen blooms again (honor_the_wild C, terminal; both branches restore it). UESP: The Blessings of Nature"
T03,The Blessings of Nature,100,"Tapped the ancient Eldergleam with Nettlebane, wounding the sacred tree (sap branch)",defile_nature,Kynareth,-,C,small,"T03 s100: used Nettlebane to cut the Eldergleam's roots for sap (vs s105 Maurice's peaceful sapling); defile_nature C, but net restoration is the gain -> small loss. UESP: The Blessings of Nature / Nettlebane"
MS14,Laid to Rest,200,Destroyed the master vampire Movarth and his coven preying on Morthal,slay_undead,Arkay,+,C,milestone,"MS14 (025F3E): exposed the vampire plot, slew Laelette/Alva and Movarth in his lair (slay_undead C, terminal). UESP: Laid to Rest"
MS14,Laid to Rest,200,Saved Morthal from a vampire 'blood farm' and avenged the murdered child Helgi,"protect_the_weak,slay_undead",Stendarr,+,C,milestone,"MS14: stopped Movarth's plan to farm Morthal for blood; avenged Helgi (protect_the_weak C + slay_undead S, terminal). UESP: Laid to Rest"
MS14,Laid to Rest,200,Cleansed a nest of the undead,slay_undead,Meridia,+,C,small,"MS14: destroyed the vampire coven (slay_undead C; Meridia patron-gated + tangential to this quest -> small). UESP: Laid to Rest"
MS14,Laid to Rest,200,Destroyed the risen dead,slay_undead,Tu'whacca,+,S,small,"MS14: slew the vampires (slay_undead S). UESP: Laid to Rest"
FreeformKolskeggrA,Kolskeggr Mine (reclaim),200,Drove the Forsworn from Kolskeggr so Pavo and the miners could return to honest work,"honest_labor_trade,uphold_law_justice",Zenithar,+,C,milestone,"FreeformKolskeggrA (01FD72): cleared the Forsworn occupying Skyrim's richest gold mine; restored it to lawful labor/commerce (honest_labor_trade C + uphold_law_justice m, terminal). UESP: Kolskeggr Mine (completion-convention s200; exact stage pending wiring readback)"
