editor_id,quest_name,outcome_stage,outcome,act_tags,citation
C02,Brotherhood,200,Completed initiation into the Companions after proving worth through trials,prove_by_struggle,"C02 s200: inducted as a full Companion after the proving. Phase-3 tagging 2026-07-04, spot-check kept. UESP: Brotherhood [PROVISIONAL]"
DarkBrotherhoodSanctuaryRepair,Where You Hang Your Enemy's Head...,200,Funded the restoration of the Dawnstar Sanctuary as a home for the Brotherhood,keep_oath,"DarkBrotherhoodSanctuaryRepair s200: guild duty made concrete -- rebuilding the order's sanctum (retagged from civic_service in spot-check; an assassin sanctum is guild loyalty, not civic service). UESP: Where You Hang Your Enemy's Head..."
DB02a,Sanctuary,200,Accepted the first assassination contracts from Nazir and committed to the Brotherhood's creed,keep_oath,"DB02a s200: bound to the Brotherhood's service. UESP: Sanctuary"
DB04a,The Silence Has Been Broken,20,Accepted the contract chain whose true mark is the Emperor of Tamriel,assassination_contract,"DB04a s20: took on the Emperor plot for the Brotherhood. UESP: The Silence Has Been Broken"
MQ101,Unbound,150,Escaped the Helgen execution block through the chaos of Alduin's attack,prove_by_struggle,"MQ101 s150: survived and escaped Helgen. UESP: Unbound"
MQ103,Bleak Falls Barrow,190,Fought through the draugr of Bleak Falls Barrow and returned the Dragonstone to Farengar,"kill_honorable_combat,slay_undead","MQ103 s190: cleared the barrow and delivered the tablet. UESP: Bleak Falls Barrow [PROVISIONAL]"
MQ202,A Cornered Rat,150,Found the hidden Blade Esbern in the Ratway Warrens and won his trust,prove_by_struggle,"MQ202 s150: reached Esbern through the hostile Ratway (kill tag dropped in spot-check; the Thalmor fight lands after this stage). UESP: A Cornered Rat [PROVISIONAL]"
MQ301,The Fallen,240,Lured the dragon Odahviing into Dragonsreach and spared him for parley,"deceit,mercy_spare","MQ301 s240: the trap sprung and the wyrm spared for the flight to Skuldafn (spot-check REWRITE: the original s10 row credited Alduin's defeat, which is the recap START stage of this quest). Stage semantics unverified -- setstage probe in smoke. UESP: The Fallen [PROVISIONAL]"
MQ302,Season Unending,200,Brokered the High Hrothgar truce between the Empire and the Stormcloaks,civic_service,"MQ302 s200: the truce concluded so Skyrim could face the dragon threat (moved from s15 in spot-check; s15 is the arranging stage). Stage semantics unverified -- setstage probe in smoke. UESP: Season Unending [PROVISIONAL]"
FreeformRiftenThane,I Done Got Thaned!,200,Named Thane of the Rift in recognition of service to the hold,civic_service,"FreeformRiftenThane s200: thaneship granted (s20 row dropped in spot-check -- UESP research shows s20 is the Honeyside purchase, not a civic favor; s200 is UESP-undocumented but is the completion stage). UESP: I Done Got Thaned! [PROVISIONAL]"
FreeformSkyhavenTempleA,Rebuilding the Blades,50,Rebuilt the Blades by bringing three recruits to Sky Haven Temple for induction,keep_oath,"FreeformSkyhavenTempleA s50: the order reestablished (retagged from civic_service -- recommitting to an oath-order; s30 mid-recruit row dropped; s50 is UESP-undocumented but is the completion stage). UESP: Rebuilding the Blades [PROVISIONAL]"
FreeformSkyHavenTempleD,Dragon Research,100,Delivered a dragon bone and scale for Esbern's research,disciplined_study,"FreeformSkyHavenTempleD s100: research materials delivered (retagged from forbidden_knowledge in spot-check -- dragon lore is scholarship, not proscribed knowledge). UESP: Dragon Research [PROVISIONAL]"
BardsCollegeDrum,Rjorn's Drum,20,Recovered Rjorn's drum from Halldir's Cairn for the Bards College,aesthetic_devotion,"BardsCollegeDrum s20: a legendary instrument returned to the college of the arts (retagged from theft_burglary in spot-check -- recovering a relic for the arts is not burglary). UESP: Rjorn's Drum"
BardsCollegeLute,Finn's Lute,20,Reclaimed Finn's stolen lute from the thieves who took it and returned it to the Bards College,"aesthetic_devotion,uphold_law_justice","BardsCollegeLute s20: stolen art reclaimed from thieves (retagged from theft_burglary -- recovering stolen property is the opposite act). UESP: Finn's Lute"
BardsCollegePoeticEdda,Collecting the Edda,200,Recovered the Poetic Edda from Fellglow Keep and returned it to the Bards College,"aesthetic_devotion,disciplined_study","BardsCollegePoeticEdda s200: the great song-record preserved (retagged from theft_burglary+forbidden_knowledge -- Nord poetry is neither). UESP: Tending the Flames context [PROVISIONAL]"
TG05,Speaking With Silence,60,Survived Mercer Frey's attempt to murder you in Snow Veil Sanctum,prove_by_struggle,"TG05 s60: lived through the betrayal that revealed Gallus's murder (retagged from expose_betray_secret in spot-check -- the player exposed nothing; they survived). UESP: Speaking With Silence"
